Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2007,0.00,2537166.00,0.00,2537166.00,"3,058 B",898 B,"3,956 B","3,320 B","2,976 B"
12M 2008,0.00,2719880.50,0.00,2719880.50,"6,954 B",729 B,"7,683 B","6,582 B","2,965 B"
12M 2009,0.00,2902919.00,0.00,2902919.00,"4,435 B",589 B,"5,024 B","3,264 B","2,501 B"
12M 2010,2.02,589.15,2.02,589.15,"5,374 B",909 B,"6,283 B","2,090 B","5,357 B"
12M 2011,1.29,645.39,1.29,645.39,"6,003 B","1,368 B","7,371 B","3,777 B","4,009 B"
12M 2012,0.95,671.88,0.95,671.88,"8,016 B","1,563 B","9,580 B","6,966 B","1,501 B"
12M 2013,0.62,798.05,0.62,798.05,"10,503 B","1,875 B","12,378 B","10,058 B",(524 B)
12M 2014,0.70,693.04,0.70,693.04,"13,593 B","3,162 B","16,755 B","13,810 B","(4,412 B)"
12M 2015,0.19,1557.46,0.19,1557.46,"16,682 B","5,775 B","22,457 B","20,628 B","(7,789 B)"
12M 2016,0.60,1278.98,0.61,1252.97,"12,671 B","11,255 B","23,927 B","20,367 B","(3,052 B)"
12M 2017,0.33,1301.82,0.33,1279.88,"13,470 B","11,471 B","24,940 B","21,135 B","(4,609 B)"
12M 2018,0.30,1353.84,0.30,1330.66,"18,176 B","12,433 B","30,609 B","28,100 B","(8,818 B)"
12M 2019,1.06,286.39,1.06,285.45,"28,720 B","3,501 B","32,221 B","30,410 B","(24,729 B)"
12M 2020,1.19,359.35,1.20,357.32,"6,971 B","27,312 B","34,283 B","32,692 B",111 B
12M 2021,0.98,418.30,0.99,415.84,"14,050 B","17,924 B","31,974 B","30,760 B","(7,335 B)"
12M 2022,0.68,479.02,0.68,476.76,"26,654 B",306 B,"26,960 B","25,731 B","(20,692 B)"
12M 2023,0.34,421.22,0.34,419.70,"22,002 B",180 B,"22,183 B","20,597 B","(23,013 B)"
12M 2024,0.31,328.18,0.34,294.55,"22,312 B","1,009 B","23,321 B","21,700 B","(25,419 B)"
