Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2018,(7 B),(34 B),(40 B),-66.18
12M 2019,(26 B),(24 B),(50 B),-61.40
12M 2020,(3 B),(1 B),(4 B),-4.83
12M 2021,(3 B),(10 B),(13 B),-15.59
12M 2022,(3 B),(13 B),(16 B),-14.44
12M 2023,12 B,(6 B),6 B,5.31
12M 2024,19 B,(5 B),14 B,13.24
