Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Untuk Beban Operasional,Pembayaran Pajak Penghasilan,Pembayaran Biaya Dibayar Dimuka,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pembayaran Untuk Uang Muka Pembelian Aset,Penerimaan Hasil Investasi,Uang Muka Properti Investasi,Perolehan Aset Tetap,Uang Muka Investasi,Pelepasan Aset Tetap,Pelepasan Aset Tak Berwujud,Penambahan Aset Tidak Berwujud,Penambahan Aset Hak Guna,Penambahan Asset Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Untuk Pinjaman Bank Dan Lembaga Bukan Bank,Penerimaan Dari/(Pembayaran) Pinjaman Bank,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Total Penerimaan Dari/(Pembayaran) Pinjaman Bank,Penerimaan Dari/(Pembayaran) Lembaga Bukan Bank,Pembayaran Untuk Lembaga Bukan Bank,Total Penerimaan Dari/(Pembayaran) Lembaga Bukan Bank,Tambahan Modal Disetor Dari Pelepasan Saham Kepada Masyarakat,Pembayaran Utang Sewa Pembiayaan,Penerimaan Tambahan Modal Disetor,Penerimaan (Pembayaran) Dari Pihak-Pihak Ketiga,Pembayaran Dividen Tunai,Penerimaan (Pembayaran) Pinjaman Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Operasi Yang Dihentikan,Selisih Penyesuaian Nilai Kurs,Total Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Pelepasan Entitas Anak,Kas Dan Setara Kas Akhir Periode
12M 2018,-6728780273.000000,108767865521.000000,-75513576953.000000,-16258093889.000000,-20606596062.000000,-3118378890.000000,,-6728780273.000000,-33657741765.000000,,,,-33627741765.000000,,,,-30000000.000000,,,-33657741765.000000,37136964266.000000,9928635113.000000,,,,,,,,28505500000.000000,,,,-2000000000.000000,702829153.000000,37136964266.000000,-3249557772.000000,,,-3249557772.000000,6509881199.000000,,3260323427.000000
12M 2019,-26051820760.000000,91438331020.000000,-63520835680.000000,-14556299473.000000,-36857144919.000000,-2555871708.000000,,-26051820760.000000,-33901199810.000000,-10000000000.000000,,,-23901199810.000000,,,,,,,-33901199810.000000,57944354946.000000,852952678.000000,,,,,,,,50038048200.000000,,,,,7053354068.000000,57944354946.000000,-2008665624.000000,,,-2008665624.000000,3260323427.000000,,1251657803.000000
12M 2020,-3294965348.000000,51789272688.000000,3445975007.000000,-5161026458.000000,-53295881826.000000,-73304759.000000,,-3294965348.000000,-631597564.000000,,,,-631597564.000000,,,,,,,-631597564.000000,5849631989.000000,14330081554.000000,,,,,,,,,,,,,-8480449565.000000,5849631989.000000,1923069077.000000,-182991798.000000,,1923069077.000000,1251657803.000000,,2991735082.000000
12M 2021,-2615241852.000000,69284220704.000000,-42635080758.000000,-16940079656.000000,-11828496805.000000,-495805337.000000,,-2615241852.000000,-10066817099.000000,,,-8566679727.000000,-1500137372.000000,,,,,,,-10066817099.000000,15660712732.000000,,,54445701630.000000,-54519587292.000000,-73885662.000000,,-207858000.000000,-207858000.000000,,,,15346015923.000000,,596440471.000000,15660712732.000000,2978653781.000000,,,2978653781.000000,2991735081.000000,,5970388862.000000
12M 2022,-2697017862.000000,116127250637.000000,-87175375716.000000,-20270292096.000000,-11305524759.000000,-73075928.000000,,-2697017862.000000,-20706521237.000000,-7774558168.000000,,-1433320273.000000,-11498642796.000000,,,,,,,-20706521237.000000,25242474960.000000,,,73420177664.000000,-72860697408.000000,559480256.000000,-207858000.000000,,-207858000.000000,26894828100.000000,,,-2003975396.000000,,,25242474960.000000,1838935861.000000,,951367240.000000,1838935861.000000,5970388861.000000,,8760691962.000000
12M 2023,11801869007.000000,94294528691.000000,-63364121575.000000,-17734890633.000000,-2093663485.000000,700016009.000000,,11801869007.000000,-6323389412.000000,-267000000.000000,,,-6056389412.000000,,,,,,,-6323389412.000000,-188952370.000000,,,67795787648.000000,-68591326214.000000,-795538566.000000,,,,,-565463000.000000,,1172049196.000000,,,-188952370.000000,5289527225.000000,,-1762966985.000000,5289527225.000000,8760691963.000000,,12287252203.000000
12M 2024,18958612509.000000,125684708745.000000,-81362112295.000000,-20270970516.000000,-5935415441.000000,842402016.000000,,18958612509.000000,-20498815067.000000,,,,-4627028581.000000,-15871786486.000000,,,,,,-20498815067.000000,6425978747.000000,,,67162456134.000000,-73702272498.000000,-6539816364.000000,,,,,-447563600.000000,13600.000000,13413345111.000000,,,6425978747.000000,4885776189.000000,,-19514710.000000,4885776189.000000,12287252204.000000,,17153513683.000000
