Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penyusutan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,1112390000000.000000,-891984000000.000000,220406000000.000000,-63375000000.000000,-63375000000.000000,,-63375000000.000000,157031000000.000000,5567000000.000000,-562000000.000000,3883000000.000000,2246000000.000000,5567000000.000000,162598000000.000000,-41060000000.000000,121538000000.000000,-1498000000.000000,120040000000.000000,121538000000.000000,121527000000.000000,11000000.000000,121538000000.000000,120040000000.000000,120029000000.000000,11000000.000000,120040000000.000000
12M 2018,1509601000000.000000,-1083699000000.000000,425902000000.000000,-121813000000.000000,-121813000000.000000,,-121813000000.000000,304089000000.000000,-26580000000.000000,-42578000000.000000,18340000000.000000,-2342000000.000000,-26580000000.000000,277509000000.000000,-65448000000.000000,212061000000.000000,1065000000.000000,213126000000.000000,212061000000.000000,210814000000.000000,1247000000.000000,212061000000.000000,213126000000.000000,211879000000.000000,1247000000.000000,213126000000.000000
12M 2019,1780848000000.000000,-1325094000000.000000,455754000000.000000,-138293000000.000000,-138293000000.000000,,-138293000000.000000,317461000000.000000,-25839000000.000000,-49873000000.000000,16776000000.000000,7258000000.000000,-25839000000.000000,291622000000.000000,-78019000000.000000,213603000000.000000,-875000000.000000,212728000000.000000,213603000000.000000,211412000000.000000,2191000000.000000,213603000000.000000,212728000000.000000,210537000000.000000,2191000000.000000,212728000000.000000
12M 2020,1389166000000.000000,-995949000000.000000,393217000000.000000,-115619000000.000000,-115619000000.000000,,-115619000000.000000,277598000000.000000,-60534000000.000000,-62989000000.000000,16488000000.000000,-14033000000.000000,-60534000000.000000,217064000000.000000,-48188000000.000000,168876000000.000000,2683000000.000000,171559000000.000000,168876000000.000000,167037000000.000000,1839000000.000000,168876000000.000000,171559000000.000000,169720000000.000000,1839000000.000000,171559000000.000000
12M 2021,1813220000000.000000,-1279340000000.000000,533880000000.000000,-125428000000.000000,-125428000000.000000,,-125428000000.000000,408452000000.000000,-22398000000.000000,-38134000000.000000,22080000000.000000,-6344000000.000000,-22398000000.000000,386054000000.000000,-84931000000.000000,301123000000.000000,2288000000.000000,303411000000.000000,301123000000.000000,300077000000.000000,1046000000.000000,301123000000.000000,303411000000.000000,302365000000.000000,1046000000.000000,303411000000.000000
12M 2022,3517808000000.000000,-2507169000000.000000,1010639000000.000000,-570737000000.000000,-570737000000.000000,,-570737000000.000000,439902000000.000000,-3026000000.000000,-33743000000.000000,,30717000000.000000,-3026000000.000000,436876000000.000000,-96113000000.000000,340763000000.000000,734119000000.000000,1074882000000.000000,340763000000.000000,339771000000.000000,992000000.000000,340763000000.000000,1074882000000.000000,1073890000000.000000,992000000.000000,1074882000000.000000
12M 2023,2952629000000.000000,-2127987000000.000000,824642000000.000000,-529993000000.000000,-529993000000.000000,,-529993000000.000000,294649000000.000000,7339000000.000000,-14494000000.000000,,21833000000.000000,7339000000.000000,301988000000.000000,-37166000000.000000,264822000000.000000,-2039000000.000000,262783000000.000000,264822000000.000000,263992000000.000000,830000000.000000,264822000000.000000,262783000000.000000,261953000000.000000,830000000.000000,262783000000.000000
12M 2024,3470199000000.000000,-2504944000000.000000,965255000000.000000,-528934000000.000000,-528934000000.000000,,-528934000000.000000,436321000000.000000,14420000000.000000,-9533000000.000000,,23953000000.000000,14420000000.000000,450741000000.000000,-51361000000.000000,399380000000.000000,1961000000.000000,401341000000.000000,399380000000.000000,398533000000.000000,847000000.000000,399380000000.000000,401341000000.000000,400494000000.000000,847000000.000000,401341000000.000000
