Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Total Pembayaran Kas Kepada Pemasok Dan Karyawan,Penerimaan Bunga,Pembayaran Bungan Pinjaman Dan Pajak Penghasilan,Pembayaran Bunga Pinjaman,Pembayaran Pajak Penghasilan,Total Pembayaran Bungan Pinjaman Dan Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pembelian Unit Bisnis,Kas Bersih Yang Diperoleh Saat Akuisisi,Perolehan Aset Tetap,Uang Muka Perolehan Aset Tidak Berwujud,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Hasil Pelepasan Aset Tetap,Hasil Pelepasan Investasi Trading,Hasil Pelepasan Investasi Pada Obligasi,Investasi Pada Obligasi,Investasi Perolehan Entitas Anak,Penambahan Content Library Oleh Anak Perusahaan,Penerimaan Dari Aset Keuangan Tidak Lancar Lainnya,Penambahan Aset Keuangan Tidak Lancar Lainnya,Penambahan Aset Keuangan Lancar Lainnya,Penambahan Aset Konten,Pelepasan Uang Muka Investasi,Pelepasan Investasi Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Perolehan Dana Penawaran Saham Perdana,Setoran Modal Pemegang Saham Pada Entitas Anak,Penerimaan Utang Jangka Pendek,Pembayaran Utang Jangka Pendek,Penerimaan Utang Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Liabilitas Sewa,Penambahan Utang Pembelian Aset Tetap,Pembayaran Utang Pembelian Aset Tetap,Penerimaan Dari Penerbitan Saham,Pembelian Saham Diperoleh Kembali,Pembayaran Dividen Kas,Pembayaran Dividen Entitas Anak Kepada Kepentingan Non-Pengendali,Pembayaran Kembali Utang Bank,Pembayaran Utang Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,51935000000.000000,1093637000000.000000,-1015734000000.000000,,,-1015734000000.000000,3883000000.000000,,-225000000.000000,-29626000000.000000,-29851000000.000000,51935000000.000000,-46397000000.000000,,,-53663000000.000000,-202000000.000000,,,,13214000000.000000,,-6000000000.000000,-35973000000.000000,,,,,,35973000000.000000,254000000.000000,-46397000000.000000,-4050000000.000000,,,,,,,,935000000.000000,-985000000.000000,,,,,-4000000000.000000,,-4050000000.000000,1488000000.000000,96205000000.000000,97693000000.000000
12M 2018,-253905000000.000000,1225160000000.000000,-1427577000000.000000,,,-1427577000000.000000,18340000000.000000,,-34863000000.000000,-34965000000.000000,-69828000000.000000,-253905000000.000000,-534659000000.000000,-500000000000.000000,,-29841000000.000000,-11402000000.000000,,,,,6055000000.000000,,,,,,,,,529000000.000000,-534659000000.000000,1201594000000.000000,753724000000.000000,,446706000000.000000,,,,,2608000000.000000,-1444000000.000000,,,,,,,1201594000000.000000,413030000000.000000,97693000000.000000,510723000000.000000
12M 2019,75669000000.000000,1643331000000.000000,-1492557000000.000000,,,-1492557000000.000000,16776000000.000000,-91881000000.000000,,,-91881000000.000000,75669000000.000000,-233845000000.000000,,,-47770000000.000000,-936000000.000000,,,,,,,,,164000000.000000,-186000000000.000000,,,,697000000.000000,-233845000000.000000,-158090000000.000000,,,,-450000000000.000000,514155000000.000000,-113410000000.000000,,3410000000.000000,-3003000000.000000,,,-109242000000.000000,,,,-158090000000.000000,-316266000000.000000,510723000000.000000,194457000000.000000
12M 2020,143011000000.000000,1372304000000.000000,-1127173000000.000000,,,-1127173000000.000000,16488000000.000000,-118608000000.000000,,,-118608000000.000000,143011000000.000000,-62857000000.000000,,,-3442000000.000000,,,-21457000000.000000,,,,,,,-38000000000.000000,,,,,42000000.000000,-62857000000.000000,121882000000.000000,,,190000000000.000000,,,-56518000000.000000,,,-1571000000.000000,,-9534000000.000000,,-495000000.000000,,,121882000000.000000,202036000000.000000,194457000000.000000,396493000000.000000
12M 2021,206720000000.000000,1825725000000.000000,-1513031000000.000000,,,-1513031000000.000000,22080000000.000000,-128054000000.000000,,,-128054000000.000000,206720000000.000000,-34428000000.000000,,,-72301000000.000000,,,-370000000.000000,,,,,,,38000000000.000000,,,,,243000000.000000,-34428000000.000000,81626000000.000000,,,-190000000000.000000,,250000000000.000000,-127884000000.000000,,,-996000000.000000,164383000000.000000,9534000000.000000,-22889000000.000000,-522000000.000000,,,81626000000.000000,253918000000.000000,396493000000.000000,650411000000.000000
12M 2022,740308000000.000000,3592053000000.000000,-2859303000000.000000,,,-2859303000000.000000,20228000000.000000,-12670000000.000000,,,-12670000000.000000,740308000000.000000,-644215000000.000000,,,-94300000000.000000,,,-397323000000.000000,510000000.000000,,,,,,,-147504000000.000000,-318000000.000000,-5280000000.000000,,,-644215000000.000000,-199323000000.000000,,,,,,-191353000000.000000,-5420000000.000000,,,,,,-2550000000.000000,,,-199323000000.000000,-103230000000.000000,694116000000.000000,590886000000.000000
12M 2023,588995000000.000000,2983136000000.000000,-2363145000000.000000,,,-2363145000000.000000,21339000000.000000,-52335000000.000000,,,-52335000000.000000,588995000000.000000,-501414000000.000000,,,-71415000000.000000,,,-392729000000.000000,7641000000.000000,,,,,,,-45196000000.000000,285000000.000000,,,,-501414000000.000000,-62131000000.000000,,,,,,-59113000000.000000,-3018000000.000000,,,,,,,,,-62131000000.000000,25450000000.000000,590886000000.000000,616336000000.000000
12M 2024,564243000000.000000,3223682000000.000000,-2658427000000.000000,,,-2658427000000.000000,21313000000.000000,-22325000000.000000,,,-22325000000.000000,564243000000.000000,-994704000000.000000,,,-126561000000.000000,,,-316529000000.000000,8330000000.000000,,,,,,,-559944000000.000000,,,,,-994704000000.000000,382371000000.000000,,461022000000.000000,,-49500000000.000000,,-27862000000.000000,-1289000000.000000,,,,,,,,,382371000000.000000,-48090000000.000000,616336000000.000000,568246000000.000000
