Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Usaha,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2015,,,3588514096.000000,7366614751.000000,,,7366614751.000000,32350954.000000,,,32350954.000000,27669557927.000000,1131833140.000000,39788870868.000000,,,,3707407562.000000,4047767065.000000,132210448.000000,7887385075.000000,47676255943.000000,,,4114441745.000000,,3323365186.000000,,3323365186.000000,66513323.000000,433457623.000000,101852784.000000,,127377829.000000,61875000.000000,189252829.000000,,4114441745.000000,12202134512.000000,,,,,12202134512.000000,12202134512.000000,16316576257.000000,,59182800000.000000,,-31260944948.000000,,,-31260944948.000000,-3460746.000000,3441285380.000000,31359679686.000000,47676255943.000000,118365600.000000
12M 2016,,,8207163591.000000,15655083631.000000,,,15655083631.000000,70721925.000000,,,70721925.000000,13112609034.000000,2194102976.000000,39239681157.000000,,,,3778923574.000000,3627011106.000000,115311248.000000,7521245928.000000,46760927085.000000,,,926725760.000000,,347655418.000000,,347655418.000000,92071380.000000,345035334.000000,41963628.000000,,,100000000.000000,100000000.000000,,926725760.000000,11654672213.000000,,,391666667.000000,391666667.000000,11263005546.000000,11654672213.000000,12581397973.000000,,59182800000.000000,,-30034610191.000000,,,-30034610191.000000,-3485712.000000,5034825015.000000,34179529112.000000,46760927085.000000,118365600.000000
12M 2017,,,11862231958.000000,11211655043.000000,,,11211655043.000000,253451222.000000,,,253451222.000000,18005248842.000000,1556991187.000000,42889578252.000000,,314000000.000000,,2967218680.000000,3477118725.000000,98412048.000000,6856749453.000000,49746327705.000000,,,2624381969.000000,,2281515457.000000,,2281515457.000000,155599236.000000,46825980.000000,40441296.000000,,,100000000.000000,100000000.000000,,2624381969.000000,10892238622.000000,,,291666667.000000,291666667.000000,10600571955.000000,10892238622.000000,13516620591.000000,,59182800000.000000,,-28354021945.000000,,,-28354021945.000000,-3485712.000000,5404414771.000000,36229707114.000000,49746327705.000000,418008927.000000
12M 2018,,,10091252923.000000,11711649280.000000,,,11711649280.000000,119643956.000000,,,119643956.000000,22725098764.000000,678506901.000000,45326151824.000000,,,,3056727852.000000,3728614702.000000,81512848.000000,6866855402.000000,52193007226.000000,,,3112978732.000000,,2072916930.000000,,2072916930.000000,179149407.000000,374416800.000000,37224119.000000,,239271475.000000,210000001.000000,449271476.000000,,3112978732.000000,10276653519.000000,,408499741.000000,375833339.000000,784333080.000000,9492320439.000000,10276653519.000000,13389632251.000000,,59182800000.000000,,-26624386958.000000,,,-26624386958.000000,-3485712.000000,6248447645.000000,38803374975.000000,52193007226.000000,591828000.000000
12M 2019,,,7444287661.000000,11782583467.000000,,,11782583467.000000,26244181.000000,,,26244181.000000,23085140580.000000,1220323027.000000,43558578916.000000,,,,2241159668.000000,3555748548.000000,64613648.000000,5861521864.000000,49420100780.000000,,,2721869447.000000,,1416615567.000000,,1416615567.000000,202177306.000000,315068313.000000,28501570.000000,,265256672.000000,494250019.000000,759506691.000000,,2721869447.000000,5392022678.000000,,143243069.000000,165833333.000000,309076402.000000,5082946276.000000,5392022678.000000,8113892125.000000,,59182800000.000000,,-25884664220.000000,,,-25884664220.000000,-3485712.000000,8011558587.000000,41306208655.000000,49420100780.000000,591828000.000000
12M 2020,,,15895313191.000000,5963493702.000000,,,5963493702.000000,45513317.000000,,,45513317.000000,14942221386.000000,1937839348.000000,38784380944.000000,,,,1733355156.000000,1260516397.000000,304353969.000000,3298225522.000000,42082606466.000000,,,1203940394.000000,,41821227.000000,,41821227.000000,228286046.000000,275655730.000000,59525989.000000,,143243069.000000,455408333.000000,598651402.000000,,1203940394.000000,5200386317.000000,,,234731250.000000,234731250.000000,4965655067.000000,5200386317.000000,6404326711.000000,,59182800000.000000,,-31467863651.000000,,,-31467863651.000000,-3485712.000000,7966829118.000000,35678279755.000000,42082606466.000000,591828000.000000
12M 2021,,,25700017152.000000,4372584584.000000,,,4372584584.000000,165710696.000000,,,165710696.000000,8262996136.000000,3146196720.000000,41647505288.000000,,,,1279794025.000000,997140756.000000,261065249.000000,2538000030.000000,44185505318.000000,,,1430552914.000000,,255085587.000000,,255085587.000000,347887874.000000,437803121.000000,28919082.000000,,,360857250.000000,360857250.000000,,1430552914.000000,3867114538.000000,,,,,3867114538.000000,3867114538.000000,5297667452.000000,,59182800000.000000,,-28466842157.000000,,,-28466842157.000000,-3485712.000000,8175365735.000000,38887837866.000000,44185505318.000000,591828000.000000
12M 2022,,,21598470792.000000,3468083197.000000,,,3468083197.000000,162526817.000000,,,162526817.000000,12535867686.000000,4748641433.000000,42513589925.000000,,,,916667729.000000,578923995.000000,84000000.000000,1579591724.000000,44093181649.000000,,,1452070956.000000,,975413326.000000,,975413326.000000,389968422.000000,37016058.000000,49673150.000000,,,,,,1452070956.000000,2381042062.000000,,,,,2381042062.000000,2381042062.000000,3833113018.000000,,59182800000.000000,1909666000.000000,-27464790492.000000,,,-27464790492.000000,-3485712.000000,6635878835.000000,40260068631.000000,44093181649.000000,591828000.000000
12M 2023,,,14171352686.000000,1659118993.000000,,,1659118993.000000,24975610.000000,,,24975610.000000,16377844953.000000,7983540430.000000,40216832672.000000,,,,716550943.000000,934354786.000000,576003423.000000,2226909152.000000,42443741824.000000,,,380223827.000000,,4231187.000000,,4231187.000000,293852685.000000,31922369.000000,50217586.000000,,,,,,380223827.000000,2411659568.000000,,,,,2411659568.000000,2411659568.000000,2791883395.000000,,59182800000.000000,1909666000.000000,-28050816067.000000,,,-28050816067.000000,-3485712.000000,6613694208.000000,39651858429.000000,42443741824.000000,591828000.000000
12M 2024,,,18467792727.000000,2692836398.000000,,,2692836398.000000,43768609.000000,,,43768609.000000,12247319888.000000,4563362289.000000,38015079911.000000,,,,522497548.000000,1782265468.000000,443956459.000000,2748719475.000000,40763799386.000000,,,414522061.000000,,48095976.000000,,48095976.000000,311382672.000000,4987898.000000,50055515.000000,,,,,,414522061.000000,2210926759.000000,,,,,2210926759.000000,2210926759.000000,2625448820.000000,,59182800000.000000,1959656476.000000,-29750398486.000000,,,-29750398486.000000,-3485712.000000,6749778288.000000,38138350566.000000,40763799386.000000,591828000.000000
