Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pemasok Dan Beban Operasi,Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Gaji Dan Tunjangan,Pembayaran Untuk Pajak Penghasilan Badan,Pembayaran Bunga,Penerimaan Bunga,Penerimaan Sewa,Pembayaran Beban Usaha Dan Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,(Penurunan)/Kenaikan Kas Dan Deposito Berjangka Yang Dibatasi Penggunaannya,Pinjaman Bank:,Penerimaan,Pembayaran,Total Pinjaman Bank:,Pinjaman:,Penerimaan,Pembayaran,Total Pinjaman:,Utang Pembiayaan Konsumen:,Penerimaan,Pembayaran,Total Utang Pembiayaan Konsumen:,Penerimaan Tambahan Modal Disetor,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2015,6297143743.000000,88195088366.000000,-69416521271.000000,,,-69416521271.000000,-8036980854.000000,-1355108500.000000,-482355291.000000,126563939.000000,,-2733542646.000000,6297143743.000000,-537111919.000000,-563031921.000000,25920002.000000,-537111919.000000,-5818052492.000000,,,,-5510031911.000000,-5510031911.000000,,,,,,,-308020581.000000,-308020581.000000,,-5818052492.000000,-58020668.000000,3472481943.000000,174052821.000000,,3588514096.000000
12M 2016,5438031328.000000,65650071349.000000,-43955799205.000000,,,-43955799205.000000,-12579447848.000000,-678237500.000000,-40868176.000000,71245422.000000,780710000.000000,-3809642714.000000,5438031328.000000,-871850000.000000,-975950000.000000,104100000.000000,-871850000.000000,62622171.000000,,,,,,,,,,,,-127377829.000000,-127377829.000000,190000000.000000,62622171.000000,4628803499.000000,3588514096.000000,-10154004.000000,,8207163591.000000
12M 2017,3505383443.000000,57344518529.000000,-37561323114.000000,,,-37561323114.000000,-11196833638.000000,-914914750.000000,,411569799.000000,307691999.000000,-4885325382.000000,3505383443.000000,145629545.000000,-73461364.000000,219090909.000000,145629545.000000,,,,,,,,,,,,,,,,,3651012988.000000,8207163591.000000,4055379.000000,,11862231958.000000
12M 2018,-1681783832.000000,82248747417.000000,-68692157863.000000,,,-68692157863.000000,-10558854741.000000,-1559981332.000000,-30358655.000000,296315802.000000,1358391669.000000,-4743886129.000000,-1681783832.000000,46303673.000000,-34923600.000000,81227273.000000,46303673.000000,-290176345.000000,,,,,,,,,,,,-290176345.000000,-290176345.000000,,-290176345.000000,-1925656504.000000,11862231958.000000,154677469.000000,,10091252923.000000
12M 2019,-2449359481.000000,84867969375.000000,-66170223562.000000,,,-66170223562.000000,-14109710341.000000,-1792869635.000000,-31328525.000000,258058298.000000,708531445.000000,-6179786536.000000,-2449359481.000000,147400000.000000,-9100000.000000,156500000.000000,147400000.000000,-239271475.000000,,,,,,,,,,,,-239271475.000000,-239271475.000000,,-239271475.000000,-2541230956.000000,10091252923.000000,-105734306.000000,,7444287661.000000
12M 2020,8611389240.000000,57240883765.000000,-35042006665.000000,,,-35042006665.000000,-9004940689.000000,-1046573283.000000,-29943328.000000,175698229.000000,885420000.000000,-4567148789.000000,8611389240.000000,65700000.000000,-8300000.000000,74000000.000000,65700000.000000,-265256672.000000,,,,,,,,,,,,-265256672.000000,-265256672.000000,,-265256672.000000,8411832568.000000,7444287661.000000,39192962.000000,,15895313191.000000
12M 2021,9796464692.000000,60864787565.000000,-39101829543.000000,,,-39101829543.000000,-9412221292.000000,-1322053200.000000,-28956931.000000,312925880.000000,841046000.000000,-2357233787.000000,9796464692.000000,135150000.000000,-28350000.000000,163500000.000000,135150000.000000,-143243069.000000,,,,,,,,,,,,-143243069.000000,-143243069.000000,,-143243069.000000,9788371623.000000,15895313191.000000,16332338.000000,,25700017152.000000
12M 2022,-4824781222.000000,44109702160.000000,-35377088495.000000,,,-35377088495.000000,-9374197076.000000,-605745000.000000,,303279044.000000,627822450.000000,-4508554305.000000,-4824781222.000000,286649099.000000,-12450000.000000,299099099.000000,286649099.000000,,,,,,,,,,,,,,,,,-4538132123.000000,25700017152.000000,436585763.000000,,21598470792.000000
12M 2023,-7604726254.000000,45635476808.000000,-38923601642.000000,,,-38923601642.000000,-7108440138.000000,-1445182170.000000,,535710538.000000,450450450.000000,-6749140100.000000,-7604726254.000000,181111893.000000,-13280000.000000,194391893.000000,181111893.000000,,,,,,,,,,,,,,,,,-7423614361.000000,21598470792.000000,-3503745.000000,,14171352686.000000
12M 2024,4205521562.000000,30232661602.000000,-20973226139.000000,,,-20973226139.000000,-7213874055.000000,660619585.000000,,1177219763.000000,1491914100.000000,-1169793294.000000,4205521562.000000,82620721.000000,-5667568.000000,88288289.000000,82620721.000000,,,,,,,,,,,,,,,,,4288142283.000000,14171352686.000000,8297758.000000,,18467792727.000000
