Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2015,1.43,264.97,1.43,264.97,0 B,,0 B,(3 B),36 B
12M 2016,2.25,288.79,2.25,288.79,,,,(8 B),38 B
12M 2017,5.19,86.68,5.19,86.68,,,,(12 B),40 B
12M 2018,3.66,65.57,3.66,65.57,0 B,0 B,1 B,(9 B),42 B
12M 2019,5.01,69.80,5.01,69.80,0 B,0 B,0 B,(7 B),41 B
12M 2020,1.72,60.29,1.72,60.29,0 B,,0 B,(16 B),38 B
12M 2021,3.93,65.71,3.93,65.71,,,,(26 B),40 B
12M 2022,2.40,68.03,2.40,68.03,,,,(22 B),41 B
12M 2023,2.03,67.00,2.03,67.00,,,,(14 B),40 B
12M 2024,3.17,64.45,3.17,64.45,,,,(18 B),38 B
