Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Dari Royalti Fees Komisi Dan Pendapatan Lain,Pendapatan Bunga,Pembayaran Kepada Pemasok Dan Pihak Ketiga,Penerimaan Dari Pihak Berelasi,Penerimaan Dari Pihak Ketiga,Penerimaan Dari Pajak,Pembayaran Bunga,Pembayaran Kas Kepada Karyawan,Penerimaan (Pembayaran) Untuk Kegiatan Operasional Lain - Neto,Pembayaran Pajak Penghasilan,Penerimaan Dari Kegiatan Operasional Lain - Neto,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Peningkatan Uang Muka Investasi,Pencairan (Penempatan) Deposito Yang Dibatasi Penggunaannya,Penambahan Aset Eksplorasi Dan Evaluasi,Penambahan Piutang Pihak Berelasi,Peningkatan Atau Penurunan Investasi,Pembelian Saham Entitas Anak Dari Pemegang Saham Lain Setelah Dikurangi Kas Yang Diperoleh,Uang Muka Aset Pertambangan,Penambahan Piutang Lain-Lain,Investasi Saham,Peningkatan Investasi Pada Entitas Asosiasi,Pembayaran Uang Muka Pembelian Aset Tetap,Penerimaan Dari Penjualan Aset Non Keuangan Lainnya,Penerimaan Penjualan Aset Tetap,Penambahan Properti Pertambangan,Peningkatan Beban Ditangguhkan,Penambahan Aset Lain-Lain,Pengembalian (Peningkatan) Uang Muka Pembelian Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Untuk Utang Pihak Ketiga,Penerimaan Dari Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Penambahan (Pembayaran Untuk) Utang Lain-Lain Jangka Panjang,Pembayaran Utang Lain-Lain,Pembayaran Untuk Utang Bank Jangka Pendek,Penambahan Piutang Pihak Berelasi,Pembayaran Beban Emisi Saham,Pembayaran Beban Emisi Efek Utang Yang Diterbitkan,Pembayaran Untuk Utang Sewa Guna Usaha,Pembayaran Untuk Utang Pembiayaan,Penambahan Utang Lain-Lain,Penerimaan Dari Efek Utang Yang Diterbitkan,Penambahan Pitang Lain-Lain Pihak Berelasi,Penerimaan Dari Penawaran Umum Perdana Saham,Penerimaan Dari Obligasi Wajib Konversi,Penerimaan Pinjaman Bank,Penerimaan Dari Utang Bank Jangka Pendek,Penerimaan Dari Utang Pihak Ketiga,Penerimaan Dari Utang Pihak Berelasi,Penerimaan Dari Penjualan Dan Sewa Kembali Aset Tetap,Penerimaan Dari Pelunasan Piutang Pihak Berelasi,Pembayaran Dividen,Penerimaan Dari Utang Pembiayaan,Penerimaan Dari Konversi Utang Pemegang Saham,Penerimaan Dari (Pembayaran Untuk) Utang Bank Jangka Pendek,Penerimaan Dari Sewa Guna Usaha - Jual Dan Sewa Balik,Pembayaran Untuk Utang Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2016,85647622527.000000,146830925802.000000,,1919453530.000000,-31036421490.000000,,,,-12696954694.000000,-5925737933.000000,-7316141447.000000,-6127501241.000000,,85647622527.000000,-93668309141.000000,-13841938406.000000,-8100000000.000000,2885157709.000000,,,,,,,,,,,36960278000.000000,-110471806444.000000,-800000000.000000,,-300000000.000000,-93668309141.000000,-45907162136.000000,-75462751352.000000,,-28853121375.000000,,,,-465080000.000000,,,-3321864094.000000,-1058437581.000000,,,,,,,,59432383758.000000,,,18303860554.000000,,,,-12252876153.000000,8455520000.000000,-10684795893.000000,-45907162136.000000,-53927848750.000000,67422100761.000000,,13494252011.000000
12M 2017,32588237913.000000,451584565235.000000,,103514485.000000,-245666032305.000000,,,,-13021507268.000000,-23313906642.000000,-108671618861.000000,-28426776731.000000,,32588237913.000000,-40477196374.000000,-79764342983.000000,-3755143454.000000,-61928611.000000,,,,,,,,,,,14004980000.000000,,,,29099238674.000000,-40477196374.000000,60765663160.000000,-88771413537.000000,,-22006869703.000000,,,,-19981818862.000000,-9000000661.000000,,-5581343651.000000,-2155155767.000000,,,-298506560.000000,77000000000.000000,70000000000.000000,,,43984059560.000000,,,20604648862.000000,,1288000000.000000,,777980336.000000,,-5093916857.000000,60765663160.000000,52876704699.000000,13494252011.000000,,66370956710.000000
12M 2018,90816406568.000000,879946929692.000000,,10833487257.000000,-562904551670.000000,,,,-15512934759.000000,-16178845976.000000,-110937777712.000000,-94429900264.000000,,90816406568.000000,-226901701192.000000,-12156648182.000000,-7200000000.000000,-768014517.000000,,,,,,-25105327280.000000,,,,,,-181671711213.000000,,,,-226901701192.000000,138344305504.000000,,120000000000.000000,-25910328710.000000,,,,-127489159667.000000,,-3026303810.000000,-36827878295.000000,-19680287980.000000,,73000000000.000000,,,,,,147097500000.000000,,,,,14840273610.000000,,-3659509644.000000,,,138344305504.000000,2259010880.000000,66370956710.000000,-52735719.000000,68577231871.000000
12M 2019,282325784051.000000,731049838675.000000,,302659015.000000,-465920503564.000000,,,,-40151957331.000000,-12852011223.000000,87758802465.000000,-17861043986.000000,,282325784051.000000,-347720663031.000000,-2462184979.000000,,-3544724794.000000,,-65783303214.000000,,-43382601012.000000,,,,-150000000.000000,-930000000.000000,,680000000.000000,-232147849032.000000,,,,-347720663031.000000,63216128462.000000,,,-24000000000.000000,,,,,,-4600000000.000000,-17874233402.000000,-5064310424.000000,,,,,,,741599832996.000000,,38899300000.000000,,,-10000000000.000000,,,-672606652996.000000,16862192288.000000,,63216128462.000000,-2178750518.000000,68577231871.000000,-1088371856.000000,65310109497.000000
12M 2020,208905876966.000000,672324310642.000000,,180097317.000000,-351397031277.000000,,,,-46965789510.000000,-17757718499.000000,16412161927.000000,-63890153634.000000,,208905876966.000000,-77081252730.000000,-5122159907.000000,,-958778470.000000,,,,,,,,,-1500000000.000000,,145454546.000000,-69645768899.000000,,,,-77081252730.000000,-122432749310.000000,,,-24000000000.000000,8758849673.000000,,,,,-27000000000.000000,-15401492909.000000,-7537266388.000000,,,,,,,109976685000.000000,,18643813192.000000,,,,,,-157720746000.000000,7327908122.000000,-35480500000.000000,-122432749310.000000,9391874926.000000,65310109497.000000,3151200.000000,74705135623.000000
12M 2021,-102535087736.000000,762017348713.000000,,24534261979.000000,-607488651390.000000,,,,-68622746627.000000,-21259993544.000000,-121050196381.000000,-70665110486.000000,,-102535087736.000000,-404571962836.000000,-61760720940.000000,,-1015092034.000000,,-78377604635.000000,,,,,,,-7359543452.000000,,2481177816.000000,-258540179591.000000,,,,-404571962836.000000,609589841576.000000,,995677760000.000000,-66000000000.000000,-164908950358.000000,,,,,-18400000000.000000,-18352896412.000000,-8449386654.000000,,,,,,,,,,,,,,,-109976685000.000000,,,609589841576.000000,102482791004.000000,74705135623.000000,,177187926627.000000
12M 2022,153579087270.000000,738474917304.000000,,22769556532.000000,-443699961240.000000,,,,-115915615240.000000,-34198565370.000000,19631796702.000000,-33483041418.000000,,153579087270.000000,-634207507818.000000,-16894682376.000000,,-1079265057.000000,,-322191307500.000000,,,,,,,-47681426295.000000,,109090908.000000,-246469917498.000000,,,,-634207507818.000000,356905396126.000000,,373900000000.000000,-226180000000.000000,,,,,,,-10360497781.000000,-8684427536.000000,,,,,,,228230321443.000000,,,,,,,,,,,356905396126.000000,-123723024422.000000,177187926627.000000,,53464902205.000000
12M 2023,112989057532.000000,614207684549.000000,,4923863.000000,-362312343069.000000,,,,-66248220598.000000,-34964108590.000000,-9039961960.000000,-28658916663.000000,,112989057532.000000,-160206011011.000000,-5173518097.000000,,-249539126.000000,,-25797738186.000000,,,,,-500000000.000000,,,,444559398.000000,-128929775000.000000,,,,-160206011011.000000,40200745021.000000,,1500900978519.000000,-1262284341794.000000,,,-185849256443.000000,,,,-5542126840.000000,-7024508421.000000,,,,,,,,,,,,,,,,,,40200745021.000000,-7016208458.000000,53464902205.000000,,46448693747.000000
12M 2024,23572079534.000000,158440712946.000000,,1753824187.000000,-107622700770.000000,,,,-28965160910.000000,-38110179056.000000,-24758157667.000000,62833740804.000000,,23572079534.000000,-10263974324.000000,-204386857.000000,,4652779178.000000,,-17075890858.000000,,,,,,,,,2363524213.000000,,,,,-10263974324.000000,-54547125493.000000,,,,,,-42381065000.000000,,,-9666666668.000000,-1239862442.000000,-1259531383.000000,,,,,,,,,,,,,,,,,,-54547125493.000000,-41239020283.000000,46448693747.000000,,5209673464.000000
