Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pendapatan Bunga,Pembayaran Kepada Pemasok,"Pembayaran Beban Penjualan, Umum Dan Administrasi, Dan Kegiatan Operasi Lainnya",Pembayaran Kepada Karyawan,Pembayaran Bunga,Penerimaan Tagihan Pajak Penghasilan,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Investasi Jangka Pendek,Pencairan Investasi Jangka Pendek,Perolehan Aset Tetap,Penyertaan Saham Pada Entitas Anak,Penempatan Deposito Yang Dibatasi Penggunaannya,Akuisisi Bisnis,Penambahan Aset Tidak Lancar Lainnya,Pembayaran Uang Muka Pembelian Aset Tetap,"Hasil Penjualan Dari Entitas Anak, Setelah Dikurangi Kas Yang Dilepas",Pencairan Deposito Yang Dibatasi Penggunaannya,Hasil Penjualan Aset Tetap,Penambahan Aset Hak Guna,Hasil Penjualan Aset Hak Guna,Akuisisi Entitas Anak,Likuidasi Entitas Asosiasi,Penyertaan Saham Pada Entitas Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank Jangka Pendek,Agio Saham Dari Penawaran Umum Perdana Saham,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Pendek,Pembelian Saham Treasuri,Beban Emisi Saham,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Sewa Pembiayaan,Pembayaran Kepada Pihak Berelasi,Pembayaran Kepada Kepentingan Non-Pengendali Atas Likuidasi Entitas Anak,Pembayaran Utang Pembiayaan Konsumen,Penambahan Modal Disetor,Penerimaan Dari Pihak Berelasi,Pembayaran Bunga,Pembayaran Dividen,Pemberian Pinjaman Ke Pihak Ketiga,Penerimaan Utang Dari Pihak Ketiga,Penambahan Modal Disetor Entitas Anak,Pengampunan Pajak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Bank Entitas Anak Saat Diakuisisi,Kas Entitas Anak Didistribusikan Kepada Pemilik Induk,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2012,30889000000.000000,1657800000000.000000,63000000.000000,-937680000000.000000,-497522000000.000000,-144663000000.000000,-31140000000.000000,,-15969000000.000000,30889000000.000000,-86645000000.000000,,,-75782000000.000000,,-26346000000.000000,,,,,15449000000.000000,34000000.000000,,,,,,-86645000000.000000,58292000000.000000,281902000000.000000,,40000000000.000000,-216541000000.000000,,,-33600000000.000000,,-2086000000.000000,,-7501000000.000000,,,,-3882000000.000000,,,,,58292000000.000000,2536000000.000000,,,,6929000000.000000,9465000000.000000
12M 2013,183780000000.000000,2278421000000.000000,594000000.000000,-1196987000000.000000,-653983000000.000000,-191502000000.000000,-36337000000.000000,,-16426000000.000000,183780000000.000000,-98408000000.000000,,,-58516000000.000000,,-50996000000.000000,,-387000000.000000,,,52231000000.000000,1260000000.000000,,,,,-42000000000.000000,-98408000000.000000,-34646000000.000000,327700000000.000000,,8875000000.000000,-315974000000.000000,,,-43730000000.000000,-2535000000.000000,,,-7954000000.000000,,4197000000.000000,,-6295000000.000000,,,1070000000.000000,,-34646000000.000000,50726000000.000000,311000000.000000,2367000000.000000,,9465000000.000000,62869000000.000000
12M 2014,-92146000000.000000,3195148000000.000000,1217000000.000000,-2155310000000.000000,-733194000000.000000,-319196000000.000000,-60512000000.000000,,-20299000000.000000,-92146000000.000000,-215618000000.000000,,,-181767000000.000000,,-63293000000.000000,,-175000000.000000,,,42222000000.000000,2963000000.000000,,,-19311000000.000000,3743000000.000000,,-215618000000.000000,288520000000.000000,977878000000.000000,,54452000000.000000,-696575000000.000000,,,-34519000000.000000,-7143000000.000000,-11589000000.000000,,-6179000000.000000,55000000000.000000,,,-42805000000.000000,,,,,288520000000.000000,-19244000000.000000,729000000.000000,,,62869000000.000000,44354000000.000000
12M 2015,-72552345084.000000,3125309712433.000000,4081072930.000000,-2075548388937.000000,-621653957405.000000,-391946266779.000000,-88755557608.000000,,-24038959718.000000,-72552345084.000000,-234674673194.000000,-110000000000.000000,,-107856239884.000000,,-84816456296.000000,,-4238430757.000000,,,69032789754.000000,3203663989.000000,,,,,,-234674673194.000000,929095517645.000000,1855679113143.000000,845714550000.000000,75000000000.000000,-1744041266385.000000,,-72153448277.000000,-41028964929.000000,-10038845638.000000,,,-2892770269.000000,22857150000.000000,,,,,,,,929095517645.000000,621868499367.000000,-233797324.000000,,,44353548329.000000,665988250372.000000
12M 2016,11867374074.000000,3519502295630.000000,29058052825.000000,-2205433691181.000000,-719024879609.000000,-432904865772.000000,-89716276150.000000,,-89613261669.000000,11867374074.000000,-247473810519.000000,,,-163904513151.000000,,-11422852108.000000,-84000000000.000000,-29068420582.000000,-4825001100.000000,,42381927304.000000,3365049118.000000,,,,,,-247473810519.000000,-50068342439.000000,1471267785805.000000,,,-1429943199170.000000,,,-51742521074.000000,-6898293066.000000,,,-1044969434.000000,,,,-52857145500.000000,,,21050000000.000000,100000000.000000,-50068342439.000000,-285674778884.000000,-3658175151.000000,,,665988250372.000000,376655296337.000000
12M 2017,240312298590.000000,3203290182735.000000,16663381938.000000,-1737416025677.000000,-718322274259.000000,-398978751923.000000,-70481376024.000000,,-54442838200.000000,240312298590.000000,-37205898051.000000,,,-54624600124.000000,-5000000000.000000,,,-575640065.000000,,,16348952772.000000,6645389366.000000,,,,,,-37205898051.000000,-230342414449.000000,3374423308106.000000,,,-3556264920899.000000,,,-29778715220.000000,-2110256911.000000,,,-507542025.000000,,,,-35714287500.000000,,,19610000000.000000,,-230342414449.000000,-27236013910.000000,805461809.000000,,,376655296337.000000,350224744236.000000
12M 2018,104743680332.000000,3464290031268.000000,11332747328.000000,-1983475540789.000000,-847693101509.000000,-449466757480.000000,-55685895439.000000,,-34557803047.000000,104743680332.000000,-209808585835.000000,,,-204181066113.000000,-4850000000.000000,,,-1195220000.000000,,,,5544509028.000000,,,,,-5126808750.000000,-209808585835.000000,-6679331066.000000,3841590040878.000000,,,-3787433398440.000000,,,-26265764530.000000,-1277305408.000000,,,-846473066.000000,,,,-38571430500.000000,,,6125000000.000000,,-6679331066.000000,-111744236569.000000,1292068210.000000,,,350224744236.000000,239772575877.000000
12M 2019,17379083127.000000,4367397382240.000000,12639740742.000000,-2318301001324.000000,-1331427676021.000000,-607894526398.000000,,3765879872.000000,-108800715984.000000,17379083127.000000,-331514358398.000000,,133008381917.000000,-426566045801.000000,-36446069182.000000,,,-3414109012.000000,,,,1903483680.000000,,,,,,-331514358398.000000,330746974935.000000,901217467682.000000,,168513421424.000000,-564445752368.000000,,,-15254239238.000000,-2193818530.000000,,,,,,-83254960535.000000,-81428575500.000000,,4802000000.000000,2791432000.000000,,330746974935.000000,16611699664.000000,-2278846283.000000,,,237187487993.000000,251520341374.000000
12M 2020,-71182500389.000000,3785339970898.000000,4606190801.000000,-2250394244666.000000,-892269273308.000000,-643170916885.000000,,,-75294227229.000000,-71182500389.000000,-384947541280.000000,,,-381229505561.000000,,,,-10825358663.000000,,4969824931.000000,,2137498013.000000,,,,,,-384947541280.000000,385170905805.000000,1405884751713.000000,,306205115667.000000,-919066697289.000000,,,-83312815438.000000,-24209685842.000000,,-13803373784.000000,,,,-137913524722.000000,-147142864500.000000,,-1470000000.000000,,,385170905805.000000,-70959135864.000000,3430395930.000000,,,251520341374.000000,183991601440.000000
12M 2021,591719438701.000000,4057207193112.000000,1200884366.000000,-1963188176406.000000,-964851898082.000000,-536776192365.000000,,,-1872371924.000000,591719438701.000000,-353987842430.000000,,,-340946960630.000000,,,,-15946068776.000000,-15000000000.000000,,,17905186976.000000,,,,,,-353987842430.000000,-235880649942.000000,982032691337.000000,,887906813473.000000,-1638222461075.000000,,,-242389581956.000000,-38976622980.000000,,-1300050129.000000,,,,-150225836367.000000,-34705602245.000000,,,,,-235880649942.000000,1850946329.000000,-4336727204.000000,,,183991601440.000000,181505820565.000000
