Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,1692137000000.0,-1020631000000.0,671506000000.0,-597667000000.0,-477399000000.0,-120268000000.0,-597667000000.0,73839000000.0,-34681000000.0,-31141000000.0,-3175000000.0,8000000.0,-55000000.0,63000000.0,-381000000.0,-34681000000.0,39158000000.0,-12900000000.0,26258000000.0,5286000000.0,31544000000.0,177885000000.0,186100000000.0,31544000000.0,31460000000.0,84000000.0,31544000000.0,186100000000.0,185393000000.0,707000000.0,186100000000.0
12M 2013,2267314000000.0,-1355230000000.0,912084000000.0,-793140000000.0,-614596000000.0,-178544000000.0,-793140000000.0,118944000000.0,-41451000000.0,-36441000000.0,-11751000000.0,735000000.0,-446000000.0,634000000.0,5818000000.0,-41451000000.0,77493000000.0,-19037000000.0,58456000000.0,-7301000000.0,51155000000.0,151122000000.0,195615000000.0,51155000000.0,50893000000.0,262000000.0,51155000000.0,195615000000.0,195123000000.0,492000000.0,195615000000.0
12M 2014,3339386000000.0,-2200936000000.0,1138450000000.0,-952124000000.0,-728308000000.0,-223816000000.0,-952124000000.0,186326000000.0,-48798000000.0,-60503000000.0,-4293000000.0,2092000000.0,2118000000.0,1217000000.0,10571000000.0,-48798000000.0,137528000000.0,-34273000000.0,103255000000.0,905000000.0,104160000000.0,97405000000.0,204550000000.0,104160000000.0,103995000000.0,165000000.0,104160000000.0,204550000000.0,204460000000.0,90000000.0,204550000000.0
12M 2015,3603847602517.000000,-2135496398423.000000,1468351204094.000000,-1040292765928.000000,-799644743798.000000,-240648022130.000000,-1040292765928.000000,428058438166.000000,-91084195634.000000,-88755557608.000000,-9220434650.000000,1904617947.000000,-10620231933.000000,4081072930.000000,11526337680.000000,-91084195634.000000,336974242532.000000,-73943129784.000000,263031112748.000000,,263031112748.000000,54795179275.000000,317826292023.000000,263031112748.000000,263021638344.000000,9474404.000000,263031112748.000000,317826292023.000000,317808611336.000000,17680687.000000,317826292023.000000
12M 2016,3493028761680.000000,-2088614823251.000000,1404413938429.000000,-1165331956434.000000,-902643546116.000000,-262688410318.000000,-1165331956434.000000,239081981995.000000,-19769003304.000000,-89716276150.000000,-439519906.000000,1979577842.000000,3263535315.000000,29058052825.000000,36085626770.000000,-19769003304.000000,219312978691.000000,-38202824881.000000,181110153810.000000,,181110153810.000000,26040213019.000000,207150366829.000000,181110153810.000000,180601811058.000000,508342752.000000,181110153810.000000,207150366829.000000,206440734285.000000,709632544.000000,207150366829.000000
12M 2017,3160637269263.000000,-1830139851672.000000,1330497417591.000000,-1143690244075.000000,-895102169999.000000,-248588074076.000000,-1143690244075.000000,186807173516.000000,-45842222456.000000,-70481376024.000000,-529095590.000000,2465035943.000000,-4093652299.000000,16663381938.000000,10133483576.000000,-45842222456.000000,140964951060.000000,-31268949262.000000,109696001798.000000,,109696001798.000000,11433835777.000000,121129837575.000000,109696001798.000000,110416605833.000000,-720604035.000000,109696001798.000000,121129837575.000000,121800101722.000000,-670264147.000000,121129837575.000000
12M 2018,3611694059699.000000,-1968473595847.000000,1643220463852.000000,-1407193752161.000000,-1132904245611.000000,-274289506550.000000,-1407193752161.000000,236026711691.000000,-35641337818.000000,-55685895439.000000,-156231318.000000,1168101819.000000,-14279643966.000000,11332747328.000000,21979583758.000000,-35641337818.000000,200385373873.000000,-50269328831.000000,150116045042.000000,,150116045042.000000,28909631745.000000,179025676787.000000,150116045042.000000,150148639199.000000,-32594157.000000,150116045042.000000,179025676787.000000,179044306177.000000,-18629390.000000,179025676787.000000
12M 2019,4678868638822.000000,-2488296342317.000000,2190572296505.000000,-1746892181085.000000,-1444252755566.000000,-302639425519.000000,-1746892181085.000000,443680115420.000000,192416660759.000000,-83254960535.000000,103256204.000000,807629004.000000,-2421953513.000000,12639740742.000000,264542948857.000000,192416660759.000000,636096776179.000000,-120493436530.000000,515603339649.000000,,515603339649.000000,18437088448.000000,534040428097.000000,515603339649.000000,520444102306.000000,-4840762657.000000,515603339649.000000,534040428097.000000,538850617946.000000,-4810189849.000000,534040428097.000000
12M 2020,4024971042139.000000,-2096106905353.000000,1928864136786.000000,-1719089475640.000000,-1222309355683.000000,-496780119957.000000,-1719089475640.000000,209774661146.000000,-74614721094.000000,-137913524745.000000,4625055041.000000,1438784057.000000,,4606190801.000000,52628773752.000000,-74614721094.000000,135159940052.000000,-21494720414.000000,113665219638.000000,,113665219638.000000,-2760271348.000000,110904948290.000000,113665219638.000000,113696602485.000000,-31382847.000000,113665219638.000000,110904948290.000000,111152692351.000000,-247744061.000000,110904948290.000000
12M 2021,3976656101508.000000,-2180716142879.000000,1795939958629.000000,-1693793156779.000000,-1276019571661.000000,-417773585118.000000,-1693793156779.000000,102146801850.000000,24989173735.000000,-156329231119.000000,-1428794549.000000,13588409184.000000,,1200884366.000000,167957905853.000000,24989173735.000000,127135975585.000000,-26486437355.000000,100649538230.000000,,100649538230.000000,21752071020.000000,122401609250.000000,100649538230.000000,107945020067.000000,-7295481837.000000,100649538230.000000,122401609250.000000,129002917823.000000,-6601308573.000000,122401609250.000000
