Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Tetap,Properti Investasi,Aset Tak Berwujud,Aset Pajak Tangguhan,Piutang Pihak Berelasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,,6929000000.000000,,247270000000.000000,211250000000.000000,36020000000.000000,247270000000.000000,1879000000.000000,142167000000.000000,22228000000.000000,420473000000.000000,,3051000000.000000,227674000000.000000,,,5364000000.000000,2135000000.000000,3742000000.000000,241966000000.000000,662439000000.000000,,,469066000000.000000,188114000000.000000,,179015000000.000000,41732000000.000000,220747000000.000000,,,,,6768000000.000000,11074000000.000000,,30160000000.000000,5652000000.000000,,35812000000.000000,6551000000.000000,469066000000.000000,98822000000.000000,8088000000.000000,,71244000000.000000,4245000000.000000,,75489000000.000000,,15245000000.000000,98822000000.000000,567888000000.000000,,65000000000.000000,,58100000000.000000,58100000000.000000,,58100000000.000000,214000000.000000,-28763000000.000000,94551000000.000000,662439000000.000000,65000.000000
12M 2012,,,9465000000.000000,,281867000000.000000,248117000000.000000,33750000000.000000,281867000000.000000,1878000000.000000,193649000000.000000,26428000000.000000,513287000000.000000,,2996000000.000000,444097000000.000000,,,8186000000.000000,4221000000.000000,14200000000.000000,473700000000.000000,986987000000.000000,,,599181000000.000000,253475000000.000000,,228518000000.000000,44987000000.000000,273505000000.000000,,,,,5895000000.000000,6946000000.000000,,43730000000.000000,6847000000.000000,,50577000000.000000,8783000000.000000,599181000000.000000,94962000000.000000,8088000000.000000,,64074000000.000000,4916000000.000000,,68990000000.000000,,17884000000.000000,94962000000.000000,694143000000.000000,,65000000000.000000,,82831000000.000000,82831000000.000000,,82831000000.000000,921000000.000000,144092000000.000000,292844000000.000000,986987000000.000000,65000.000000
12M 2013,,,62869000000.000000,,301937000000.000000,301937000000.000000,,301937000000.000000,4470000000.000000,217693000000.000000,52854000000.000000,639823000000.000000,,44550000000.000000,618304000000.000000,,,8603000000.000000,,13700000000.000000,685157000000.000000,1324980000000.000000,,,783144000000.000000,265201000000.000000,,297788000000.000000,120611000000.000000,418399000000.000000,7452000000.000000,,,7452000000.000000,9419000000.000000,29445000000.000000,,31223000000.000000,5837000000.000000,6229000000.000000,43289000000.000000,9939000000.000000,783144000000.000000,80644000000.000000,11117000000.000000,,41728000000.000000,2083000000.000000,9895000000.000000,53706000000.000000,,15821000000.000000,80644000000.000000,863788000000.000000,,65000000000.000000,,130606000000.000000,130606000000.000000,,130606000000.000000,637000000.000000,264949000000.000000,461192000000.000000,1324980000000.000000,65000.000000
12M 2014,,,44354000000.000000,,445839000000.000000,445839000000.000000,,445839000000.000000,6793000000.000000,329937000000.000000,61711000000.000000,888634000000.000000,,42925000000.000000,870052000000.000000,,,6395000000.000000,,55375000000.000000,974747000000.000000,1863381000000.000000,,,1090292000000.000000,546504000000.000000,,268968000000.000000,157227000000.000000,426195000000.000000,8481000000.000000,,,8481000000.000000,16083000000.000000,50048000000.000000,,30656000000.000000,2343000000.000000,8704000000.000000,41703000000.000000,1278000000.000000,1090292000000.000000,110705000000.000000,,,62228000000.000000,1743000000.000000,6468000000.000000,70439000000.000000,294000000.000000,39972000000.000000,110705000000.000000,1200997000000.000000,,120000000000.000000,-66377000000.000000,199453000000.000000,199453000000.000000,,199453000000.000000,1282000000.000000,408026000000.000000,662384000000.000000,1863381000000.000000,120000.000000
12M 2015,,,665988250372.000000,110028847838.000000,924165164856.000000,924165164856.000000,,924165164856.000000,7840008557.000000,343075067180.000000,38799487780.000000,2089896826583.000000,,32305583364.000000,1007344773034.000000,,,7606395199.000000,,74081080390.000000,1121337831987.000000,3211234658570.000000,,,1291021571370.000000,658142101371.000000,,366270812055.000000,94131946431.000000,460402758486.000000,4136644728.000000,,,4136644728.000000,55606780775.000000,62700524700.000000,,41395880605.000000,968210522.000000,5975984142.000000,48340075269.000000,1692686041.000000,1291021571370.000000,143583834900.000000,,,85458915937.000000,1199973949.000000,919020626.000000,87577910512.000000,13748595487.000000,42257328901.000000,143583834900.000000,1434605406270.000000,,142857150000.000000,707183976767.000000,467923267490.000000,443923267490.000000,24000000000.000000,467923267490.000000,1300138496.000000,457364719547.000000,1776629252300.000000,3211234658570.000000,1428571500.000000
12M 2016,,,376655296337.000000,117502807126.000000,863423500403.000000,,,863423500403.000000,67583898644.000000,410137896311.000000,40854150306.000000,1876157549127.000000,,35585833043.000000,1222356238771.000000,,,25490921251.000000,,124913882166.000000,1408346875231.000000,3284504424358.000000,,,1220778246218.000000,699466688006.000000,,301158735027.000000,92694654985.000000,393853390012.000000,7256561558.000000,,,7256561558.000000,17195701972.000000,69249800172.000000,,29778715216.000000,496715249.000000,2011855234.000000,32287285699.000000,1468818799.000000,1220778246218.000000,111653704511.000000,,,45333560252.000000,737389632.000000,1937251660.000000,48008201544.000000,21735480982.000000,41910021985.000000,111653704511.000000,1332431950729.000000,,142857150000.000000,707283976767.000000,600131530488.000000,552131530488.000000,48000000000.000000,600131530488.000000,23059771040.000000,478740045334.000000,1952072473629.000000,3284504424358.000000,1428571500.000000
12M 2017,,,350224744236.000000,124984149494.000000,820333562486.000000,,,820333562486.000000,50660404836.000000,384646010207.000000,64556108595.000000,1795404979854.000000,,31032813938.000000,1247283242755.000000,,,48685083046.000000,,115189099681.000000,1442190239420.000000,3237595219274.000000,,,1085566305465.000000,517625075213.000000,,413844863910.000000,24514490439.000000,438359354349.000000,8923761232.000000,,,8923761232.000000,12524594528.000000,76627905102.000000,,26265766266.000000,377692113.000000,1511863561.000000,28155321940.000000,3350293101.000000,1085566305465.000000,96858033700.000000,,,19067793981.000000,429097637.000000,826194587.000000,20323086205.000000,28870876880.000000,47664070615.000000,96858033700.000000,1182424339165.000000,,142857150000.000000,710356833172.000000,670658805215.000000,622658805215.000000,48000000000.000000,670658805215.000000,37198116098.000000,494099975624.000000,2055170880109.000000,3237595219274.000000,1428571500.000000
12M 2018,,,239772575877.000000,131833381337.000000,967561118359.000000,966790910171.000000,770208188.000000,967561118359.000000,55603969418.000000,519237523369.000000,61970680944.000000,1975979249304.000000,,22670230449.000000,1423720979453.000000,,,66120709273.000000,,103673036929.000000,1616184956104.000000,3592164205408.000000,,,1316323262100.000000,571781717651.000000,,545455845864.000000,,545455845864.000000,15769745420.000000,,,15769745420.000000,48310338934.000000,116673724306.000000,,15254236761.000000,,808379067.000000,16062615828.000000,2269274097.000000,1316323262100.000000,88940816912.000000,,,3813558956.000000,,310972678.000000,4124531634.000000,30962627882.000000,53853657396.000000,88940816912.000000,1405264079012.000000,,142857150000.000000,710356833172.000000,788270353870.000000,740270353870.000000,48000000000.000000,788270353870.000000,27849354846.000000,517566434508.000000,2186900126396.000000,3592164205408.000000,1428571500.000000
12M 2019,,,267677121921.000000,,1369763734522.000000,1369676008091.000000,87726431.000000,1369763734522.000000,55341961569.000000,557080008368.000000,85176737431.000000,2335039563811.000000,,2527690648.000000,2159772086658.000000,,,68906238776.000000,,129519378990.000000,2360725395072.000000,4695764958883.000000,,,1733135623684.000000,922028495861.000000,,565236151929.000000,,565236151929.000000,36747871409.000000,,,36747871409.000000,36058903049.000000,134927336346.000000,,29939588445.000000,,2623291248.000000,32562879693.000000,5573985397.000000,1733135623684.000000,259767155647.000000,,,142387389458.000000,,3600617810.000000,145988007268.000000,43562281254.000000,70216867125.000000,259767155647.000000,1992902779331.000000,,142857150000.000000,710356833172.000000,1220324492285.000000,48000000000.000000,1172324492285.000000,1220324492285.000000,86371607016.000000,542952097079.000000,2702862179552.000000,4695764958883.000000,1428571500.000000
12M 2020,,,183991601440.000000,,1428552938541.000000,1428552938541.000000,,1428552938541.000000,145068638530.000000,690323890776.000000,114247819728.000000,2562184889015.000000,,,2340811522787.000000,,,101078601534.000000,,251284141695.000000,2693174266016.000000,5255359155031.000000,,,2146338161363.000000,1392689769738.000000,,478214276810.000000,,478214276810.000000,22885026552.000000,,,22885026552.000000,11462334979.000000,134565154722.000000,,69565529974.000000,,24834056424.000000,94399586398.000000,12122012164.000000,2146338161363.000000,531785447447.000000,,,325653748158.000000,,48165278937.000000,373819027095.000000,55383171922.000000,102583248430.000000,531785447447.000000,2678123608810.000000,,142857150000.000000,710356833172.000000,1098020444399.000000,48000000000.000000,1050020444399.000000,1098020444399.000000,69755688238.000000,556245430412.000000,2577235546221.000000,5255359155031.000000,1428571500.000000
