Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembyaran Kas Kepada Pemasok, Karyawan Dan Lain-Lain",Penerimaan Restitusi Pajak,Penerimaan Bunga,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Pendapatan Kompensasi Asuransi,Uang Muka Untuk Perolehan Aset Tetap,Penempatan Investasi,Perolehan Aset Tetap,Penarikan Pada Rekening Bank Yang Dibatasi Penggunaannya,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Investasi,Penerimaan Dari Bunga,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Beban Keuangan,Pembayaran Atas Penyelesaian Derivatif Keuangan - Bersih,Penurunan Pada Piutang Lain-Lain - Pihak Ketiga,Penurunan (Peningkatan) Pada Rekening Bank Yang Dibatasi Penggunaannya,Penerimaan Pinjaman Lainnya,Penerimaan Dari Utang Bank,Pembayaran Utang Obligasi,Pembayaran Utang Pihak Ketiga,Pembayaran Utang Bank,Pembayaran Utang Kepada Pihak Berelasi,Pembayaran Utang Sewa Pembiayaan,Penerimaan Utang Dari Pihak Ketiga,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2013,56336022.000000,252784474.000000,-171352518.000000,,,-25095934.000000,56336022.000000,-100472067.000000,47773.000000,,-65604860.000000,,-35018807.000000,,,103827.000000,-100472067.000000,63204323.000000,,,,6115.000000,,84538559.000000,-21340351.000000,,,,,,63204323.000000,19068278.000000,,19329689.000000,38397967.000000
12M 2014,59078616.000000,244288540.000000,-169024351.000000,,,-16185573.000000,59078616.000000,50056766.000000,36272.000000,63000000.000000,7755976.000000,,-20916131.000000,,,180649.000000,50056766.000000,-85595065.000000,-25837569.000000,-5976530.000000,,-13287953.000000,,15000000.000000,-26255513.000000,,-20300000.000000,-8937500.000000,,,-85595065.000000,23540317.000000,,38397967.000000,61938284.000000
12M 2015,62213912.000000,260632624.000000,-180509866.000000,,,-17908846.000000,62213912.000000,2789643.000000,138870.000000,18500000.000000,-1792875.000000,,-14180964.000000,,,124612.000000,2789643.000000,-92673944.000000,-32630869.000000,,,14245387.000000,,,,,-74250000.000000,,-4038462.000000,4000000.000000,-92673944.000000,-27670389.000000,,61938284.000000,34267895.000000
12M 2016,27150092.000000,116741492.000000,-86431023.000000,,,-3160377.000000,27150092.000000,-8603876.000000,10477.000000,,-1652443.000000,,-7076768.000000,,,114858.000000,-8603876.000000,-14598647.000000,-15840666.000000,,,-66523.000000,,,,,,,-3365384.000000,4673926.000000,-14598647.000000,3947569.000000,,34267895.000000,38215464.000000
12M 2017,3706954.000000,60845954.000000,-55033013.000000,,,-2105987.000000,3706954.000000,-16203007.000000,31517.000000,,-321420.000000,,-16031824.000000,,,118720.000000,-16203007.000000,-15689671.000000,-12800384.000000,,,134640.000000,,,,-4350000.000000,,,,1326073.000000,-15689671.000000,-28185724.000000,,38215464.000000,10029740.000000
12M 2018,10886178.000000,110336260.000000,-101958557.000000,5007052.000000,,-2498577.000000,10886178.000000,-5420930.000000,21375.000000,,-708644.000000,,-4802003.000000,,,68342.000000,-5420930.000000,-2720019.000000,-1951144.000000,,,,,,,,-768875.000000,,,,-2720019.000000,2745229.000000,,10029740.000000,12774969.000000
12M 2019,11214667.000000,96861395.000000,-90918319.000000,5972984.000000,,-701393.000000,11214667.000000,-174149.000000,803895.000000,,-683836.000000,,-4357950.000000,3911010.000000,,152732.000000,-174149.000000,-4744214.000000,-762285.000000,,,,,,,,-3981929.000000,,,,-4744214.000000,6296304.000000,,12774969.000000,19071273.000000
12M 2020,5200816.000000,64318298.000000,-61401860.000000,2671012.000000,,-386634.000000,5200816.000000,-8459402.000000,38710.000000,,-3358317.000000,,-4740791.000000,-695346.000000,,296342.000000,-8459402.000000,-2700318.000000,-998943.000000,,,,,,,,-485375.000000,,-1216000.000000,,-2700318.000000,-5958904.000000,,19071273.000000,13112369.000000
12M 2021,13521898.000000,55363206.000000,-42169716.000000,545211.000000,,-216803.000000,13521898.000000,-11511036.000000,34519.000000,,-554219.000000,,-11095757.000000,-7994.000000,,112415.000000,-11511036.000000,-1659306.000000,-1038897.000000,,,,,,,,-620409.000000,,,,-1659306.000000,351556.000000,,13112369.000000,13463925.000000
12M 2022,18497885.000000,86358228.000000,-67821330.000000,236755.000000,,-275768.000000,18497885.000000,-5012647.000000,6815352.000000,,-3974123.000000,,-2063450.000000,-5942712.000000,,152286.000000,-5012647.000000,-4150893.000000,-1692985.000000,,,,,,,,-2457908.000000,,,,-4150893.000000,9334345.000000,,13463925.000000,22798270.000000
12M 2023,-4951869.000000,58874686.000000,-63786314.000000,197546.000000,,-237787.000000,-4951869.000000,-4640205.000000,165054.000000,,-1381595.000000,,-5388098.000000,1748126.000000,,216308.000000,-4640205.000000,-4593195.000000,-1522786.000000,,,,,,,,-3070409.000000,,,,-4593195.000000,-14185269.000000,,22798270.000000,8613001.000000
12M 2024,10213730.000000,81245063.000000,-70756753.000000,,,-274580.000000,10213730.000000,-1224093.000000,34000.000000,4842174.000000,-1385840.000000,,-4804576.000000,,,90149.000000,-1224093.000000,-5706696.000000,-1636287.000000,,,,,,,,-4070409.000000,,,,-5706696.000000,3282941.000000,,8613579.000000,11896520.000000
