Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Pihak Berelasi,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Investasi Jangka Panjang,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Wesel Bayar,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Liabilitas Derivatif,Utang Pihak Berelasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Lembaga Keuangan Lain,Utang Bank,Utang Obligasi,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Utang Pihak Berelasi,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Beban Akrual,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,37633757.000000,41645262.000000,,41645262.000000,41645262.000000,,26231970.000000,26231970.000000,,26231970.000000,30785365.000000,15754689.000000,152051043.000000,,,,,,243254226.000000,395605685.000000,638859911.000000,790910954.000000,,,119109331.000000,,,16248158.000000,,16248158.000000,716917.000000,,,716917.000000,21982132.000000,27942875.000000,8053362.000000,,,19591158.000000,,24574729.000000,,44165887.000000,,119109331.000000,389280099.000000,,,,,,,20974916.000000,,,362328143.000000,,,362328143.000000,5977040.000000,389280099.000000,508389430.000000,,122030559.000000,10090948.000000,150653536.000000,24406111.000000,126247425.000000,150653536.000000,,-253519.000000,282521524.000000,790910954.000000,2659850000.000000
12M 2014,,,61938284.000000,44528943.000000,44528943.000000,,44528943.000000,,791090.000000,791090.000000,,791090.000000,33968961.000000,16984235.000000,158211513.000000,,,,,2208210.000000,597776924.000000,20266902.000000,620252036.000000,778463549.000000,,,149212464.000000,,,20754281.000000,,20754281.000000,,,15315808.000000,15315808.000000,22640444.000000,30787809.000000,,,,51960571.000000,,,7753551.000000,59714122.000000,,149212464.000000,602579614.000000,,45000000.000000,,,,,60985948.000000,,,327141434.000000,163346670.000000,,490488104.000000,6105562.000000,602579614.000000,751792078.000000,,122030559.000000,-170631609.000000,75538341.000000,24406111.000000,51132230.000000,75538341.000000,,-265820.000000,26671471.000000,778463549.000000,2659850000.000000
12M 2015,,,34267895.000000,28479807.000000,28479807.000000,,28479807.000000,,238375.000000,238375.000000,,238375.000000,26710122.000000,23842418.000000,113538617.000000,,,2358108.000000,,,578339934.000000,10032648.000000,590730690.000000,704269307.000000,,,379483295.000000,,,18470498.000000,,18470498.000000,,,156931.000000,156931.000000,8469054.000000,37206493.000000,,,,309012189.000000,,,6168130.000000,315180319.000000,,379483295.000000,278765153.000000,,48712500.000000,,,,,59188510.000000,,,,161596768.000000,4000000.000000,165596768.000000,5267375.000000,278765153.000000,658248448.000000,,122030559.000000,-170631609.000000,95863352.000000,24406111.000000,71457241.000000,95863352.000000,,-1241443.000000,46020859.000000,704269307.000000,2659850000.000000
12M 2016,,,38215464.000000,17053858.000000,17053858.000000,,17053858.000000,,269190.000000,269190.000000,,269190.000000,26297582.000000,16739114.000000,98575208.000000,,,5467018.000000,,,570777358.000000,7554656.000000,583799032.000000,682374240.000000,,,42685678.000000,,,7833016.000000,,7833016.000000,,,281274.000000,281274.000000,8159208.000000,25178602.000000,,,,,,,1233578.000000,1233578.000000,,42685678.000000,612715679.000000,,52742292.000000,,,,,56459279.000000,,,312334701.000000,163942814.000000,21807239.000000,498084754.000000,5429354.000000,612715679.000000,655401357.000000,,122030559.000000,-170631609.000000,76286541.000000,24406111.000000,51880430.000000,76286541.000000,,-712608.000000,26972883.000000,682374240.000000,2659850000.000000
12M 2017,,,10029740.000000,30682969.000000,30682969.000000,,30682969.000000,,254420.000000,254420.000000,,254420.000000,26796862.000000,16677546.000000,84441537.000000,,,,,,491872145.000000,1320913.000000,493193058.000000,577634595.000000,,,376352687.000000,,,15798282.000000,,15798282.000000,,,496213.000000,496213.000000,1331117.000000,27194274.000000,,29000000.000000,,,302532801.000000,,,302532801.000000,,376352687.000000,248277417.000000,,,,,,,46153853.000000,,,12450408.000000,178799027.000000,5054155.000000,196303590.000000,5819974.000000,248277417.000000,624630104.000000,,122030559.000000,-141970272.000000,-26236328.000000,24406111.000000,-50642439.000000,-26236328.000000,,-819468.000000,-46995509.000000,577634595.000000,2659850000.000000
12M 2018,,,12774969.000000,16657140.000000,16657140.000000,,16657140.000000,,240764.000000,240764.000000,,240764.000000,28227962.000000,15439053.000000,73339888.000000,,,,,,437583074.000000,3752536.000000,441335610.000000,514675498.000000,,,422218404.000000,,,16356488.000000,,16356488.000000,,,323318.000000,323318.000000,1413180.000000,52142384.000000,,31392500.000000,,,315890254.000000,,,315890254.000000,4700280.000000,422218404.000000,242724685.000000,,,,,,,40278786.000000,,,,192478402.000000,4981054.000000,197459456.000000,4986443.000000,242724685.000000,664943089.000000,,122030559.000000,-141970272.000000,-130040263.000000,24406111.000000,-154446374.000000,-130040263.000000,,-287615.000000,-150267591.000000,514675498.000000,2659850000.000000
12M 2019,,,19071273.000000,13714651.000000,13714651.000000,,13714651.000000,,245343.000000,245343.000000,,245343.000000,29011831.000000,6588897.000000,68631995.000000,,,,,,425178950.000000,6915304.000000,432094254.000000,500726249.000000,,,18904522.000000,,,8519528.000000,,8519528.000000,,,46739.000000,46739.000000,599215.000000,4155736.000000,,,,,537075.000000,,3663794.000000,4200869.000000,1382435.000000,18904522.000000,425526491.000000,,34066871.000000,,2286626.000000,,2286626.000000,47942372.000000,,,,201078688.000000,135319835.000000,336398523.000000,4832099.000000,425526491.000000,444431013.000000,,122030559.000000,43872014.000000,-109683936.000000,24406111.000000,-134090047.000000,-109683936.000000,,76599.000000,56295236.000000,500726249.000000,2659850000.000000
12M 2020,,,13112369.000000,4163859.000000,4163859.000000,,4163859.000000,,180066.000000,180066.000000,,180066.000000,27967630.000000,6996705.000000,52420629.000000,,803645.000000,,,,273845974.000000,9191265.000000,283840884.000000,336261513.000000,,,6329060.000000,,,4762888.000000,,4762888.000000,,,29812.000000,29812.000000,236972.000000,678979.000000,,,,,620409.000000,,,620409.000000,,6329060.000000,203226105.000000,,,,12181186.000000,,12181186.000000,47312969.000000,,3502685.000000,,1152025.000000,134751126.000000,139405836.000000,4326114.000000,203226105.000000,209555165.000000,,122030559.000000,69879393.000000,-65174434.000000,24406111.000000,-89580545.000000,-65174434.000000,,-29170.000000,126706348.000000,336261513.000000,2659849998.000000
12M 2021,,,13463925.000000,13956286.000000,13956286.000000,,13956286.000000,,312148.000000,312148.000000,,312148.000000,29216474.000000,8402831.000000,65351664.000000,,859980.000000,,,,278120654.000000,13417657.000000,292398291.000000,357749955.000000,,,17294981.000000,,,10250150.000000,,10250150.000000,,,47562.000000,47562.000000,313004.000000,1153546.000000,,,,,2049575.000000,,,2049575.000000,3481144.000000,17294981.000000,209234674.000000,,,,11494241.000000,,11494241.000000,50980952.000000,,5733449.000000,,5063927.000000,132701552.000000,143498928.000000,3260553.000000,209234674.000000,226529655.000000,,122030559.000000,69879393.000000,-61517947.000000,24406111.000000,-85924058.000000,-61517947.000000,,828295.000000,131220300.000000,357749955.000000,2659849998.000000
12M 2022,,,22798270.000000,8574829.000000,8574829.000000,,8574829.000000,,127596.000000,127596.000000,,127596.000000,26603732.000000,12608926.000000,70713353.000000,,1649594.000000,,,,177490460.000000,13113381.000000,192253435.000000,262966788.000000,,,15239151.000000,,,7995931.000000,,7995931.000000,,,51007.000000,51007.000000,306374.000000,840618.000000,,,,,3070409.000000,,,3070409.000000,2974812.000000,15239151.000000,181329353.000000,,,,5166125.000000,,5166125.000000,33712305.000000,,8169496.000000,,2177594.000000,129222810.000000,139569900.000000,2881023.000000,181329353.000000,196568504.000000,,126840386.000000,65069566.000000,-126258261.000000,24406111.000000,-150664372.000000,-126258261.000000,,746593.000000,66398284.000000,262966788.000000,2796804997.000000
