Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Eksplorasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,4124941232085.000000,-1911748335306.000000,2213192896779.000000,-1260456139739.000000,,-1190269524855.000000,-69359086886.000000,-827527998.000000,,-1260456139739.000000,952736757040.000000,-37011999515.000000,3824417764.000000,-13660358675.000000,755070499.000000,-25362611849.000000,-1121116513.000000,-1447400741.000000,-37011999515.000000,915724757525.000000,-229038050430.000000,,,-229038050430.000000,686686707095.000000,343045421738.000000,1029732128833.000000,686686707095.000000,628612361768.000000,58074345327.000000,686686707095.000000,1029732128833.000000,971657783506.000000,58074345327.000000,1029732128833.000000
12M 2014,167877150565.000000,-97481852614.000000,70395297951.000000,-117821630197.000000,,-53089246985.000000,-60632128209.000000,-4100255003.000000,,-117821630197.000000,-47426332246.000000,-333563475525.000000,15569676852.000000,-42853532613.000000,-108035014.000000,2847519153.000000,-46552054226.000000,-262467049677.000000,-333563475525.000000,-380989807771.000000,-3709537413.000000,,,-3709537413.000000,-384699345184.000000,-68805594381.000000,-453504939565.000000,-384699345184.000000,-384443603696.000000,-255741488.000000,-384699345184.000000,-453504939565.000000,-453249198077.000000,-255741488.000000,-453504939565.000000
12M 2015,13903396540.000000,-11034528360.000000,2868868180.000000,-79220161552.000000,,-13021249220.000000,-66198912332.000000,,,-79220161552.000000,-76351293372.000000,-264886296272.000000,3133237797.000000,-37319923625.000000,-19171160155.000000,58387632912.000000,-48982532167.000000,-220933551034.000000,-264886296272.000000,-341237589644.000000,31671626.000000,,,31671626.000000,-341205918018.000000,-38364088296.000000,-379570006314.000000,-341205918018.000000,-341026075717.000000,-179842301.000000,-341205918018.000000,-379570006314.000000,-379390189991.000000,-179816323.000000,-379570006314.000000
12M 2016,486325886446.000000,-354101885377.000000,132224001069.000000,-149904456380.000000,,-94370410138.000000,-55534046242.000000,,,-149904456380.000000,-17680455311.000000,-248466904835.000000,1270384643.000000,-57249999399.000000,-460632658.000000,1687495073.000000,-53447366817.000000,-140266785677.000000,-248466904835.000000,-266147360146.000000,900013595.000000,,,900013595.000000,-265247346551.000000,-64316468579.000000,-329563815130.000000,-265247346551.000000,-265043151631.000000,-204194920.000000,-265247346551.000000,-329563815130.000000,-329359652235.000000,-204162895.000000,-329563815130.000000
12M 2017,724494516292.000000,-428195226382.000000,296299289910.000000,-248976179121.000000,,-206935109526.000000,-42041069595.000000,,,-248976179121.000000,47323110789.000000,-495351412.000000,1179250944.000000,-58665762448.000000,-12288027939.000000,-13478282410.000000,218951774672.000000,-136194304231.000000,-495351412.000000,46827759377.000000,665585119.000000,,,665585119.000000,47493344496.000000,-95878463997.000000,-48385119501.000000,47493344496.000000,47682097348.000000,-188752852.000000,47493344496.000000,-48385119501.000000,-48196368748.000000,-188750753.000000,-48385119501.000000
12M 2018,2002672812898.000000,-1079034396494.000000,923638416404.000000,-604437899668.000000,,-543446758316.000000,-60991141352.000000,,,-604437899668.000000,319200516736.000000,405786664187.000000,4562476206.000000,-72527162193.000000,880911001.000000,-92744704354.000000,598167019058.000000,-32551875531.000000,405786664187.000000,724987180923.000000,-63663122428.000000,,,-63663122428.000000,661324058495.000000,-76123514826.000000,585200543669.000000,661324058495.000000,661281807412.000000,42251083.000000,661324058495.000000,585200543669.000000,585158316114.000000,42227555.000000,585200543669.000000
12M 2019,3894771060856.000000,-1936965558927.000000,1957805501929.000000,-1292800202595.000000,,-1181256333332.000000,-111543869263.000000,,,-1292800202595.000000,665005299334.000000,183251406342.000000,2871878013.000000,-63785917885.000000,-2648508624.000000,43411093836.000000,221519904339.000000,-18117043337.000000,183251406342.000000,848256705676.000000,-190537780439.000000,,,-190537780439.000000,657718925237.000000,-143229272944.000000,514489652293.000000,657718925237.000000,657788325709.000000,-69400472.000000,657718925237.000000,514489652293.000000,514559055681.000000,-69403388.000000,514489652293.000000
12M 2020,4344699474015.000000,-2167492856507.000000,2177206617508.000000,-1454188400513.000000,,-1344263598188.000000,-109924802325.000000,,,-1454188400513.000000,723018216995.000000,118863654421.000000,10286157777.000000,-17832546607.000000,181700000.000000,23344589326.000000,106055539066.000000,-3171785141.000000,118863654421.000000,841881871416.000000,-191960582706.000000,-189578307160.000000,-2382275546.000000,-191960582706.000000,649921288710.000000,-26138069603.000000,623783219107.000000,649921288710.000000,649938571941.000000,-17283231.000000,649921288710.000000,623783219107.000000,623800503601.000000,-17284494.000000,623783219107.000000
12M 2021,4578413666494.000000,-2575035981767.000000,2003377684727.000000,-1642264153689.000000,,-1535522211337.000000,-106741942352.000000,,,-1642264153689.000000,361113531038.000000,308198942061.000000,3018798426.000000,-4711941008.000000,28702893414.000000,633293154.000000,281230394091.000000,-674496016.000000,308198942061.000000,669312473099.000000,-100967322506.000000,-100880452640.000000,-86869866.000000,-100967322506.000000,568345150593.000000,8662733796.000000,577007884389.000000,568345150593.000000,568354232622.000000,-9082029.000000,568345150593.000000,577007884389.000000,577016966384.000000,-9081995.000000,577007884389.000000
12M 2022,5694017210214.000000,-3562813989784.000000,2131203220430.000000,-2041074001221.000000,,-1919703504385.000000,-121370496836.000000,,,-2041074001221.000000,90129219209.000000,744863662588.000000,6625520167.000000,-2809981788.000000,2281153120.000000,72219827249.000000,684294168623.000000,-17747024783.000000,744863662588.000000,834992881797.000000,-90171951011.000000,-89360689220.000000,-811261791.000000,-90171951011.000000,744820930786.000000,83587905953.000000,828408836739.000000,744820930786.000000,744840127164.000000,-19196378.000000,744820930786.000000,828408836739.000000,828428033373.000000,-19196634.000000,828408836739.000000
