Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Pihak Berelasi,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Piutang Pihak Berelasi,Tanah Untuk Dikembangkan,Investasi Pada Entitas Asosiasi,Properti Investasi,Properti Pertambangan,Aset Eksplorasi Dan Evaluasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Beban Akrual,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Pembelian Aset Tetap,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pajak,Liabilitas Keuangan Lainnya,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Pembelian Aset Tetap,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Keuangan Lainnya,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,997764792325.000000,,417278140878.000000,,,417278140878.000000,,9035816963.000000,687500000.000000,8348316963.000000,9035816963.000000,605686442891.000000,137025519970.000000,2166790713027.000000,,,,,,,,21969120787.000000,,217592820174.000000,8081541546.000000,1074041144676.000000,8849913318.000000,276280392805.000000,1606814933306.000000,3773605646333.000000,,,1134550637434.000000,438804000000.000000,,334164132371.000000,10084962396.000000,344249094767.000000,38270219.000000,55133383046.000000,,140291068214.000000,693347785.000000,1638428684.000000,142622844683.000000,153703044719.000000,,,1134550637434.000000,540779787648.000000,,,,,,480830202377.000000,345813996.000000,196649314.000000,481372665687.000000,,,59407121961.000000,540779787648.000000,1675330425082.000000,,337073490000.000000,57681167.000000,1266485436703.000000,24312261569.000000,1242173175134.000000,1266485436703.000000,128892810.000000,494529720571.000000,2098275221251.000000,3773605646333.000000,3370734900.000000
12M 2014,,,507657966989.000000,,,,,,,10040573744.000000,784375744.000000,9256198000.000000,10040573744.000000,566948567556.000000,45748835349.000000,1130395943638.000000,,,,,,,,492394070283.000000,,193973195146.000000,3605383832.000000,924153182639.000000,5754669563.000000,69135491117.000000,1689015992580.000000,2819411936218.000000,,,742973680223.000000,447840000000.000000,,13652056083.000000,254033634.000000,13906089717.000000,20073861.000000,11080940011.000000,,268364118598.000000,345813996.000000,200697790.000000,268910630384.000000,1215946250.000000,,,742973680223.000000,404830651563.000000,,,,,,357818824433.000000,,,357818824433.000000,,,47011827130.000000,404830651563.000000,1147804331786.000000,,337073490000.000000,57681167.000000,908880554356.000000,25312261569.000000,883568292787.000000,908880554356.000000,-123660465.000000,425719539374.000000,1671607604432.000000,2819411936218.000000,3370734900.000000
12M 2015,,,31324153161.000000,,13903396540.000000,,13903396540.000000,13903396540.000000,,14358778574.000000,6694302695.000000,7664475879.000000,14358778574.000000,595958753463.000000,54403576983.000000,709948658721.000000,,,,,,,,631811538116.000000,,173177566121.000000,5504793480.000000,788394621534.000000,4626838800.000000,482498322949.000000,2086013681000.000000,2795962339721.000000,,,941223580625.000000,496620000000.000000,,11885535078.000000,1025905314.000000,12911440392.000000,22054423.000000,4358151627.000000,,426731624356.000000,,,426731624356.000000,580309827.000000,,,941223580625.000000,562701160978.000000,,,,,,521861838140.000000,,,521861838140.000000,,,40839322838.000000,562701160978.000000,1503924741603.000000,,337073490000.000000,57681167.000000,571332959832.000000,25312261569.000000,546020698263.000000,571332959832.000000,-303476788.000000,383876943907.000000,1292037598118.000000,2795962339721.000000,3370734900.000000
12M 2016,,,66839628610.000000,,176458568159.000000,,,176458568159.000000,,7689065947.000000,661855331.000000,7027210616.000000,7689065947.000000,542491750998.000000,21148933815.000000,814627947529.000000,,,,,,,,945896742270.000000,,143771053694.000000,9932071734.000000,595703186622.000000,3991080089.000000,212291638916.000000,1911585773325.000000,2726213720854.000000,,,700905862097.000000,483696000000.000000,,42386321463.000000,23633127167.000000,66019448630.000000,24572550.000000,,,96616833378.000000,,,96616833378.000000,2220381527.000000,,52328626012.000000,700905862097.000000,1062478875769.000000,,,,,,1024495000000.000000,,,1024495000000.000000,,,37983875769.000000,1062478875769.000000,1763384737866.000000,,337073490000.000000,57681167.000000,310897093096.000000,25312261569.000000,285584831527.000000,310897093096.000000,-506862434.000000,315307581159.000000,962828982988.000000,2726213720854.000000,3370734900.000000
12M 2017,,,27786301821.000000,,235008689414.000000,115094554716.000000,119914134698.000000,235008689414.000000,,6762393561.000000,1713506752.000000,5048886809.000000,6762393561.000000,450360798540.000000,50242801491.000000,770160984827.000000,,,,,,,,1108984814777.000000,,120820974238.000000,11560805805.000000,437750434530.000000,4511322511.000000,224461375980.000000,1908089727841.000000,2678250712668.000000,,,1417754496899.000000,487728000000.000000,,28712826988.000000,63316628476.000000,92029455464.000000,25151978.000000,,,816267000000.000000,,,816267000000.000000,5472088966.000000,,16232800491.000000,1417754496899.000000,346001324102.000000,,,,,,311604000000.000000,,,311604000000.000000,,,34397324102.000000,346001324102.000000,1763755821001.000000,,337073490000.000000,135681167.000000,358802364348.000000,25312261569.000000,333490102779.000000,358802364348.000000,-697685206.000000,219181041358.000000,914494891667.000000,2678250712668.000000,3370734900.000000
12M 2018,,,37342200054.000000,,128119898283.000000,116919692521.000000,11200205762.000000,128119898283.000000,,28369576967.000000,12253087533.000000,16116489434.000000,28369576967.000000,404257133095.000000,40043807504.000000,638132615903.000000,,,,,,,,1639476561759.000000,,118990535824.000000,12886382262.000000,554690130117.000000,9490484230.000000,294901033427.000000,2630435127619.000000,3268567743522.000000,,,1369124187467.000000,499594500000.000000,,148128230408.000000,62474388128.000000,210602618536.000000,54766334.000000,41799312599.000000,,553898250000.000000,1433215367.000000,12818409243.000000,568149874610.000000,48923115388.000000,,,1369124187467.000000,399748120719.000000,,,,,,333063000000.000000,1195063140.000000,25855490622.000000,360113553762.000000,,,39634566957.000000,399748120719.000000,1768872308186.000000,,337073490000.000000,135681167.000000,1016239384502.000000,25312261569.000000,990927122933.000000,1016239384502.000000,-655457651.000000,146902337318.000000,1499695435336.000000,3268567743522.000000,3370734900.000000
12M 2019,,,124622002158.000000,,359882048180.000000,281756859266.000000,78125188914.000000,359882048180.000000,,847543287.000000,200000.000000,847343287.000000,847543287.000000,387631680147.000000,98424065441.000000,971407339213.000000,,17422171435.000000,687500000.000000,,17422171435.000000,,,1681522535628.000000,,150307196000.000000,,712247188821.000000,10462531920.000000,317251594114.000000,2889213217918.000000,3860620557131.000000,,,1430330374800.000000,479584500000.000000,,355025025211.000000,168522114444.000000,523547139655.000000,1264473053.000000,58054087490.000000,,264119000000.000000,33556697205.000000,13161202681.000000,310836899886.000000,57043274716.000000,,,1430330374800.000000,416792594702.000000,,,,,,319723000000.000000,35522307493.000000,11636944130.000000,366882251623.000000,,,49910343079.000000,416792594702.000000,1847122969502.000000,,337073490000.000000,135681167.000000,1671266460687.000000,25312261569.000000,1645954199118.000000,1671266460687.000000,-724861039.000000,6434316814.000000,2014185087629.000000,3861308057131.000000,3370734900.000000
12M 2020,,,193540574802.000000,,253472496233.000000,187945464594.000000,65527031639.000000,253472496233.000000,,17561500180.000000,11672860356.000000,5888639824.000000,17561500180.000000,750861551501.000000,33159953283.000000,1248596075999.000000,,19803456015.000000,6100000000.000000,13703456015.000000,19803456015.000000,,,1704886619809.000000,,160537881820.000000,,730502669034.000000,9448448702.000000,266247509071.000000,2891426584451.000000,4140022660450.000000,,,600627663847.000000,,,237117799003.000000,102288423967.000000,339406222970.000000,326505750.000000,160235201904.000000,,,32836546916.000000,11732694155.000000,44569241071.000000,56090492152.000000,,,600627663847.000000,85501082968.000000,,,,,,,3207057094.000000,,3207057094.000000,,,82294025874.000000,85501082968.000000,686128746815.000000,,396036125000.000000,1125412249316.000000,1946955605461.000000,26312261569.000000,1920643343892.000000,1946955605461.000000,-742145533.000000,-13767920609.000000,3453893913635.000000,4140022660450.000000,3960361250.000000
12M 2021,,,167437777525.000000,,438471983446.000000,206212882883.000000,232259100563.000000,438471983446.000000,,57033539900.000000,41121120287.000000,15912419613.000000,57033539900.000000,536923288720.000000,27748587308.000000,1227615176899.000000,,21303518501.000000,8172928900.000000,13130589601.000000,21303518501.000000,,,1917728523054.000000,,173280487363.000000,,693252912441.000000,8675290386.000000,263896481002.000000,3078137212747.000000,4305752389646.000000,,,555917657294.000000,,,220431650715.000000,160095954212.000000,380527604927.000000,983062777.000000,161018483234.000000,,,3244346240.000000,,3244346240.000000,10144160116.000000,,,555917657294.000000,79325808078.000000,,,,,,,,,,,,79325808078.000000,79325808078.000000,635243465372.000000,,396036125000.000000,1125412249316.000000,2157950098225.000000,27312261569.000000,2130637836656.000000,2157950098225.000000,-751227528.000000,-8138320739.000000,3670508924274.000000,4305752389646.000000,3960361250.000000
12M 2022,,,370723046513.000000,,357026943713.000000,35338907781.000000,321688035932.000000,357026943713.000000,,32828752330.000000,17064164785.000000,15764587545.000000,32828752330.000000,751892807374.000000,32850853703.000000,1545322403633.000000,,10796642456.000000,,10796642456.000000,10796642456.000000,,,2386590229050.000000,,191013222551.000000,,665151422865.000000,8141843312.000000,998938112631.000000,4260631472865.000000,5805953876498.000000,,,853986511798.000000,,,310412910973.000000,157241554414.000000,467654465387.000000,985974620.000000,235630182830.000000,,,,,,149715888961.000000,,,853986511798.000000,78730370398.000000,,,,,,,,,,,,78730370398.000000,78730370398.000000,932716882196.000000,,396036125000.000000,1125412249316.000000,3276963386205.000000,28312261569.000000,3248651124636.000000,3276963386205.000000,-770424162.000000,75595657943.000000,4873236994302.000000,5805953876498.000000,3960361250.000000
