Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Pihak Ketiga,Pembayaran Bunga,Pembayaran Beban Usaha,Pembayaran Kepada Karyawan,Penerimaan (Pembayaran) Pajak - Bersih,Penerimaan Pajak,Penghasilan Bunga,Penerimaan (Pengeluaran) Lainnya (Bersih),Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dividen,Penempatan Jaminan Reklamasi,Penjualan Aset Tetap,Uang Muka Penyertaan,Penambahan Aset Eksplorasi Dan Evaluasi,Penambahan Properti Pertambangan,Penambahan Uang Muka Pembelian Aset Tetap,Uang Muka Investasi Pada Entitas Asosiasi,Penambahan Uang Muka Penyertaan Saham,Penempatan Investasi Pada Entitas Asosiasi,Penyertaan Saham,Investasi Saham,Penambahan Entitas Anak,Pelepasan Investasi Entitas Asosiasi,Penambahan Uang Muka Setoran Modal,Penambahan Properti Investasi,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Aset Pengampunan Pajak,Kenaikan (Penurunan) Piutang Lain-Lain Pihak Berelasi,Pembelian Kepentingan Non Pengendali,Pembayaran Atas Sewa Pembiayaan,Penerimaan Dari Penerbitan Saham,Tambahan Modal Disetor,Pembayaran Utang Bank,Penerimaan Utang Bank,Pembayaran Dividen,Pembayaran Dividen Tunai Kepada Pemegang Saham Non Pengendali,Penurunan Utang Pembelian Aset Tetap,Kenaikan (Penurunan) Utang Bank,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2013,480150680355.000000,3842639173584.000000,-2116128131010.000000,-13660358675.000000,-1153873590625.000000,-57589342324.000000,-126727133841.000000,,,105490063246.000000,480150680355.000000,-384757884400.000000,,,35755103483.000000,,-861895502.000000,-43405516765.000000,,-235000000000.000000,,-20494000000.000000,,,,,,,-120751575616.000000,-384757884400.000000,598568087940.000000,,,-37893242047.000000,-1100136497.000000,,,,,,-28216000000.000000,-4428770264.000000,670206236748.000000,,598568087940.000000,693960883895.000000,305215395997.000000,-1411487567.000000,997764792325.000000
12M 2014,-211611664838.000000,585155291445.000000,-113951988737.000000,-42853532612.000000,-123216673880.000000,-51376725287.000000,-194916643531.000000,,,-270451392236.000000,-211611664838.000000,-269473308545.000000,,,3674899329.000000,,-2275912393.000000,-5736669087.000000,,,,-253300000000.000000,,,3200000.000000,,,,-11838826394.000000,-269473308545.000000,11673068751.000000,,-96875744.000000,,-1634380208.000000,,,,,,,-693347737.000000,14097672440.000000,,11673068751.000000,-469411904632.000000,997764792325.000000,-20694920704.000000,507657966989.000000
12M 2015,-239112726349.000000,,-51294792632.000000,-37319923625.000000,-37587618973.000000,-46836615655.000000,-649999745.000000,,,-65423775719.000000,-239112726349.000000,-597418163056.000000,,,26758706566.000000,,-1899409648.000000,-10519140614.000000,,,-413004843462.000000,-188400000000.000000,,,,,,,-10353475898.000000,-597418163056.000000,364734080728.000000,,-5909926951.000000,,-200697790.000000,,,,,,,-345813996.000000,371190519465.000000,,364734080728.000000,-471796808677.000000,507657966989.000000,-4537005151.000000,31324153161.000000
12M 2016,70868018277.000000,323770714827.000000,-67589535029.000000,-51195261444.000000,-62616725616.000000,-48647751769.000000,43812044622.000000,,,-66665467314.000000,70868018277.000000,-199423605901.000000,,,9080245423.000000,,-4427278254.000000,-4446908070.000000,,,-184239843462.000000,-11195156538.000000,,,,,,,-4194665000.000000,-199423605901.000000,165982018246.000000,355200000.000000,6032447364.000000,,,,,,,,,,159594370882.000000,,165982018246.000000,37426430622.000000,29828268340.000000,-415070352.000000,66839628610.000000
12M 2017,-42191262195.000000,665944395037.000000,-212872512235.000000,-55449211419.000000,-252350042587.000000,-39185380271.000000,-6718101426.000000,,,-141560409294.000000,-42191262195.000000,-7030003887.000000,,,3976292027.000000,,-255725950.000000,-3477801670.000000,,,,,,,,1274880000.000000,,,-8547648294.000000,-7030003887.000000,10120188924.000000,,-748977698.000000,,,,78000000.000000,,,,,,10791166622.000000,,10120188924.000000,-39101077158.000000,66839628610.000000,47750369.000000,27786301821.000000
12M 2018,489658247874.000000,2109561604029.000000,-729066699898.000000,-65898455617.000000,-533168162823.000000,-83001846466.000000,-32554527232.000000,,,-176213664119.000000,489658247874.000000,-168045942357.000000,,,1099090905.000000,,-527500000.000000,-2714205390.000000,,,,,,,,,,,-165903327872.000000,-168045942357.000000,-312131307232.000000,,-10842254504.000000,,-16822581235.000000,,,,,,,-1309221493.000000,-283157250000.000000,,-312131307232.000000,9480998285.000000,27786301821.000000,74899948.000000,37342200054.000000
12M 2019,521566365345.000000,3650869123602.000000,-1518115427648.000000,-57945735830.000000,-894599838220.000000,-156774296095.000000,-462981316253.000000,,,-38886144211.000000,521566365345.000000,-212444612817.000000,,,1851681818.000000,,-2490885903.000000,-7997356486.000000,,,,,,,,,,,-203808052246.000000,-212444612817.000000,-220701323569.000000,,11565387533.000000,,-13875753054.000000,,,-291722000000.000000,,,104940000000.000000,-31608958048.000000,,,-220701323569.000000,88420428959.000000,37342200054.000000,-1140626855.000000,124622002158.000000
12M 2020,427162792765.000000,4444920927182.000000,-2146531363275.000000,-16761793509.000000,-1085436469250.000000,-188242863589.000000,-604705676876.000000,,,23920032082.000000,427162792765.000000,-87859299585.000000,,,181700000.000000,,,-3651075541.000000,,,,,,,,,,,-84389924044.000000,-87859299585.000000,-316827940967.000000,,,,-13925498403.000000,1125276568149.000000,58962635000.000000,-1083543000000.000000,,,-368313596250.000000,-35285049463.000000,,,-316827940967.000000,22475552213.000000,124622002158.000000,46443020431.000000,193540574802.000000
12M 2021,449977281836.000000,4384176154688.000000,-1928315484277.000000,-1779208972.000000,-1134624020317.000000,-196311103117.000000,-694558653582.000000,,,21389597413.000000,449977281836.000000,-76913626202.000000,,,1927284500.000000,,,-9584325782.000000,,,,,,,,,,,-69256584920.000000,-76913626202.000000,-407926455237.000000,,,,-11902111348.000000,,,-145178000000.000000,142890000000.000000,,-360392873750.000000,-33343470139.000000,,,-407926455237.000000,-34862799603.000000,193540574802.000000,8760002326.000000,167437777525.000000
12M 2022,521538716056.000000,5896762057923.000000,-3006950927375.000000,-10277435.000000,-1547482812210.000000,-222255440001.000000,-642889283698.000000,,,44365398852.000000,521538716056.000000,-155607495087.000000,585768000000.000000,,14526977917.000000,,,-8389924313.000000,,,,,-701695734000.000000,,,,,,-45816814691.000000,-155607495087.000000,-221085502132.000000,,,,,,,,,,-217819868750.000000,-3265633382.000000,,,-221085502132.000000,144845718837.000000,167437777525.000000,58439550151.000000,370723046513.000000
