Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Untuk Aktivitas Operasi Lainnya,Pembayaran Pajak Penghasilan Badan,Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Hak Guna,Penjualan Aset Tetap,Penempatan Aset Keuangan Tersedia Untuk Dijual,Penempatan Aset Lain-Lain,Pendirian Entitas Anak,Akuisisi Entitas Anak,Pelepasan Entitas Anak,Investasi Saham,Penempatan Investasi Jangka Pendek,Uang Muka Investasi,Arus Kas Bersih Dari Pelepasan Entitas Anak Setelah Dikurangi Saldo Kas,Arus Kas Bersih Untuk Akuisisi Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Pembiayaan Konsumen,Perolehan Aset Hak Guna,Kenaikan Piutang Lain-Lain - Pihak Berelasi,Tambahan Modal Saham,Setoran Modal Dari Kepentingan Non Pengendali,Uang Muka Setoran Modal,Penambahan Modal Disetor Entitas Anak,Pembayaran Utang Bank Jangka Pendek,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Bank Pelepasan Entitas Anak,Kas Dan Setara Kas Akhir Periode
12M 2015,-1056096935.000000,620327096329.000000,-606072146159.000000,-6507426060.000000,-4688594525.000000,-934937418.000000,-3180089102.000000,-1056096935.000000,-58925000.000000,-73925000.000000,,,,,15000000.000000,,,,,,,,-58925000.000000,289022489.000000,-79633511.000000,,,20000000000.000000,,,17868656000.000000,-37500000000.000000,289022489.000000,-825999446.000000,3632381499.000000,,2806382053.000000
12M 2016,40946242628.000000,268349176488.000000,-206357448326.000000,-7890989613.000000,-11463477649.000000,-1642734582.000000,-48283690.000000,40946242628.000000,-20458761024.000000,-2008761024.000000,,,,,4900000000.000000,,,,,-23350000000.000000,,,-20458761024.000000,-11804852969.000000,-14852969.000000,,-4900000000.000000,485000000.000000,,,125000000.000000,-7500000000.000000,-11804852969.000000,8682628635.000000,2806382053.000000,,11489010688.000000
12M 2017,-76600302026.000000,6187396460113.000000,-6145449825921.000000,-47286627822.000000,-10995751932.000000,-55426252929.000000,-4838303535.000000,-76600302026.000000,-75803124722.000000,-3874339199.000000,,,-2470000000.000000,,,,,,-9000000000.000000,,-10812817669.000000,-49645967854.000000,-75803124722.000000,202898212650.000000,-1341960803.000000,,,30283333000.000000,,,,173956840453.000000,202898212650.000000,50494785902.000000,11489010688.000000,,61983796590.000000
12M 2018,-103819055265.000000,4656965343266.000000,-4639057822053.000000,-58861817613.000000,19001455984.000000,-69888568361.000000,-11977646488.000000,-103819055265.000000,31984337019.000000,-4734544992.000000,,606949257.000000,,,,,,,9000000000.000000,,27111932754.000000,,31984337019.000000,53452549441.000000,,,,,,,,53452549441.000000,53452549441.000000,-18382168805.000000,61983796590.000000,,43601627785.000000
12M 2019,-45295965621.000000,4134916433566.000000,-4103983216753.000000,-43887215190.000000,6614958401.000000,-29961240824.000000,-8995684821.000000,-45295965621.000000,397336725.000000,-1282500840.000000,,1184837565.000000,,,,,,,,,495000000.000000,,397336725.000000,31982490890.000000,,,,,,,,31982490890.000000,31982490890.000000,-12916138006.000000,43601627785.000000,-717470224.000000,29968019555.000000
12M 2020,-5794201928.000000,3439278446758.000000,-3394490079537.000000,-42594289837.000000,12817023222.000000,-13953923305.000000,-6851379229.000000,-5794201928.000000,-10573135515.000000,-1986288001.000000,-6101847514.000000,65000000.000000,,,,-18000000000.000000,,,,,15450000000.000000,,-10573135515.000000,11443131903.000000,,,,,8450000000.000000,25000000000.000000,,-22006868097.000000,11443131903.000000,-4924205540.000000,29968019555.000000,-9085719196.000000,15958094819.000000
12M 2021,23897073328.000000,2063911360061.000000,-1982586706356.000000,-36460745996.000000,-8923151676.000000,-7354110122.000000,-4689572583.000000,23897073328.000000,-670737430.000000,-741687430.000000,,70950000.000000,,,,,,,,,,,-670737430.000000,-15822816222.000000,,,,,7000000000.000000,,,-22822816222.000000,-15822816222.000000,7403519676.000000,15958094819.000000,,23361614495.000000
12M 2022,7015880868.000000,2077076085738.000000,-2021207819536.000000,-34239201326.000000,-2109619260.000000,-8386765570.000000,-4116799178.000000,7015880868.000000,6087580447.000000,-1675074793.000000,,112655240.000000,,,,,7650000000.000000,,,,,,6087580447.000000,-27157615672.000000,,-463333332.000000,,,,,,-26694282340.000000,-27157615672.000000,-14054154357.000000,23361614495.000000,-884286195.000000,8423173943.000000
