Period,Aset,Kas Dan Setara Kas,Deposito Berjangka,Others,Total Pihak Berelasi,Others,Total Pihak Ketiga,Properti Investasi,Piutang Premi,Pihak Berelasi,Pihak Ketiga,Total Piutang Premi,Piutang Reasuransi,Pihak Berelasi,Pihak Ketiga,Total Piutang Reasuransi,Piutang Lain-Lain,Aset Reasuransi,Piutang Pihak Berelasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Klaim,Pihak Berelasi,Pihak Ketiga,Total Utang Klaim,Liabilitas Kontrak Asuransi,Estimasi Liabilitas Klaim,Premi Yang Belum Merupakan Pendapatan,Total Liabilitas Kontrak Asuransi,Utang Reasuransi,Pihak Berelasi,Pihak Ketiga,Total Utang Reasuransi,Utang Pajak,Utang Lain-Lain,Liabilitas Pajak Tangguhan,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,11814802000.000000,177702844000.000000,,63571259000.000000,,6908931000.000000,26511000000.000000,,339047000.000000,56496866000.000000,56835913000.000000,,351833000.000000,3518289000.000000,3870122000.000000,3053694000.000000,,2586212000.000000,35782331000.000000,3109476000.000000,100037812000.000000,421304206000.000000,,,11368765000.000000,,,11368765000.000000,135536507000.000000,19897958000.000000,115638549000.000000,135536507000.000000,26350036000.000000,249511000.000000,26100525000.000000,26350036000.000000,1618221000.000000,6863426000.000000,,120757172000.000000,302494127000.000000,,89848944000.000000,5648615000.000000,47726772000.000000,3750000000.000000,43976772000.000000,47726772000.000000,,-24414252000.000000,118810079000.000000,421304206000.000000,275914080.000000
12M 2009,,20617998000.000000,232110000000.000000,,49263207000.000000,,9312534000.000000,27944000000.000000,,609569000.000000,98054477000.000000,98664046000.000000,,484397000.000000,12874593000.000000,13358990000.000000,2089105000.000000,,630163000.000000,33451767000.000000,247164000.000000,89154471000.000000,518267704000.000000,,,17529305000.000000,,,17529305000.000000,169168725000.000000,36117927000.000000,133050798000.000000,169168725000.000000,2398756000.000000,189305000.000000,2209451000.000000,2398756000.000000,2994375000.000000,6905004000.000000,,195268867000.000000,394265032000.000000,,89848944000.000000,5648615000.000000,68263651000.000000,4000000000.000000,64263651000.000000,68263651000.000000,,-39758538000.000000,124002672000.000000,518267704000.000000,275914080.000000
12M 2010,,12960636000.000000,455107575000.000000,,78889200000.000000,,89838639000.000000,32673000000.000000,,1196817000.000000,84544532000.000000,85741349000.000000,,414725000.000000,4488387000.000000,4903112000.000000,4936926000.000000,,585288000.000000,32118517000.000000,1933791000.000000,214818387000.000000,845778581000.000000,,,14389842000.000000,,,14389842000.000000,250629305000.000000,65957900000.000000,184671405000.000000,250629305000.000000,2650838000.000000,227129000.000000,2423709000.000000,2650838000.000000,6358066000.000000,1307167000.000000,,372984534000.000000,648319752000.000000,,89848944000.000000,5648615000.000000,106662376000.000000,4250000000.000000,102412376000.000000,106662376000.000000,,-4701106000.000000,197458829000.000000,845778581000.000000,275914080.000000
12M 2011,,27281307000.000000,616729600000.000000,,102475432000.000000,,190040414000.000000,21364000000.000000,,1229492000.000000,65804552000.000000,67034044000.000000,,119395000.000000,3895354000.000000,4014749000.000000,5724385000.000000,,636310000.000000,51665894000.000000,2728780000.000000,308975760000.000000,1106154829000.000000,,,16191771000.000000,,,16191771000.000000,317980121000.000000,93234017000.000000,224746104000.000000,317980121000.000000,5785090000.000000,205653000.000000,5579437000.000000,5785090000.000000,6393555000.000000,6234448000.000000,,348944144000.000000,701529129000.000000,,193316724000.000000,8109426000.000000,178764392000.000000,4500000000.000000,174264392000.000000,178764392000.000000,,24435158000.000000,404625700000.000000,1106154829000.000000,620806680.000000
12M 2012,,22689085000.000000,689101500000.000000,,232276113000.000000,,299151949000.000000,7429200000.000000,,1468158000.000000,96574770000.000000,98042928000.000000,,185105000.000000,4130147000.000000,4315252000.000000,40914545000.000000,311021490000.000000,698320000.000000,64226501000.000000,3556199000.000000,554434529000.000000,1796429549000.000000,,,17739519000.000000,,,17739519000.000000,1124952555000.000000,,,1124952555000.000000,4151599000.000000,66998000.000000,4084601000.000000,4151599000.000000,6515754000.000000,7984145000.000000,,13626738000.000000,1174970310000.000000,,193316724000.000000,8109426000.000000,278829390000.000000,4750000000.000000,274079390000.000000,278829390000.000000,,141203699000.000000,621459239000.000000,1796429549000.000000,620806680.000000
12M 2013,,798029879000.000000,50625250000.000000,,252889883000.000000,,523907876000.000000,19620880000.000000,,599337000.000000,145399201000.000000,145998538000.000000,,20662000.000000,4363292000.000000,4383954000.000000,4796999000.000000,249728709000.000000,1145861000.000000,72587715000.000000,4468770000.000000,801963504000.000000,2153350059000.000000,,,21920313000.000000,,,21920313000.000000,1248759386000.000000,,,1248759386000.000000,3240079000.000000,56245000.000000,3183834000.000000,3240079000.000000,9401371000.000000,32312127000.000000,,21403430000.000000,1337036706000.000000,,193316724000.000000,8109426000.000000,405472488000.000000,5000000000.000000,400472488000.000000,405472488000.000000,,209414715000.000000,816313353000.000000,2153350059000.000000,620806680.000000
12M 2014,,1034076731000.000000,46100000000.000000,492773835000.000000,492773835000.000000,456959083000.000000,456959083000.000000,175180000000.000000,,578809000.000000,218389277000.000000,218968086000.000000,,114719000.000000,6470366000.000000,6585085000.000000,5931519000.000000,116417283000.000000,,97679218000.000000,5651184000.000000,974448704000.000000,2681037810000.000000,,,23789577000.000000,,,23789577000.000000,1372577031000.000000,,,1372577031000.000000,5803736000.000000,303845000.000000,5499891000.000000,5803736000.000000,3978598000.000000,20356008000.000000,,34872609000.000000,1461377559000.000000,,193316724000.000000,8109426000.000000,531158707000.000000,5250000000.000000,525908707000.000000,531158707000.000000,45287000.000000,487030107000.000000,1219660251000.000000,2681037810000.000000,620806680.000000
12M 2015,,1071101499000.000000,146100000000.000000,79101981000.000000,79101981000.000000,828015257000.000000,828015257000.000000,180818000000.000000,,749140000.000000,356310111000.000000,357059251000.000000,,,5228432000.000000,5228432000.000000,11884236000.000000,38592896000.000000,,97524250000.000000,68729000.000000,938382466000.000000,2846759759000.000000,,,23706546000.000000,5675000.000000,23700871000.000000,23706546000.000000,1520769735000.000000,,,1520769735000.000000,5242493000.000000,,5242493000.000000,5242493000.000000,5215228000.000000,19312647000.000000,3173167000.000000,46939210000.000000,1624359026000.000000,,193316724000.000000,8109426000.000000,742817816000.000000,5500000000.000000,737317816000.000000,742817816000.000000,48143000.000000,278108624000.000000,1222400733000.000000,2846759759000.000000,620806680.000000
12M 2016,,862527281000.000000,28000000000.000000,52840123000.000000,52840123000.000000,1230523153000.000000,1230523153000.000000,189280211000.000000,,5386798000.000000,250613753000.000000,256000551000.000000,,,4211131000.000000,4211131000.000000,6625008000.000000,45030067000.000000,,93148671000.000000,87703000.000000,1328928324000.000000,2813838947000.000000,,,23456352000.000000,1975000.000000,23454377000.000000,23456352000.000000,1443888929000.000000,,,1443888929000.000000,5390575000.000000,,5390575000.000000,5390575000.000000,11289432000.000000,14384279000.000000,16496340000.000000,66736106000.000000,1581642013000.000000,,193316724000.000000,8109426000.000000,836422128000.000000,5750000000.000000,830672128000.000000,836422128000.000000,51516000.000000,194297140000.000000,1232196934000.000000,2813838947000.000000,620806680.000000
12M 2017,,505500828000.000000,85300000000.000000,33222832000.000000,33222832000.000000,1720684565000.000000,1720684565000.000000,186865600000.000000,,4941635000.000000,187962985000.000000,192904620000.000000,,1203000.000000,1401140000.000000,1402343000.000000,61578080000.000000,42571985000.000000,,93794209000.000000,783455000.000000,1795904758000.000000,2966605878000.000000,,,24471229000.000000,600000.000000,24470629000.000000,24471229000.000000,1467447840000.000000,,,1467447840000.000000,5392820000.000000,173765000.000000,5219055000.000000,5392820000.000000,26839777000.000000,20374018000.000000,,46727542000.000000,1591253226000.000000,,193316724000.000000,8109426000.000000,941658708000.000000,6000000000.000000,935658708000.000000,941658708000.000000,53468000.000000,232214326000.000000,1375352652000.000000,2966605878000.000000,620806680.000000
