Period,Total Pendapatan,Premi Bruto,Others,Total Premi Bruto,Premi Reasuransi,Others,Total Premi Reasuransi,Others,Total Pendapatan,Total Beban Usaha,Klaim Bruto,Others,Total Klaim Bruto,Klaim Reasuransi,Others,Total Klaim Reasuransi,Perubahan Bersih Estimasi Liabilitas Klaim,Beban Komisi,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Hasil Investasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,251869898000.000000,,334198048000.000000,334198048000.000000,,-17103905000.000000,-17103905000.000000,-65224245000.000000,251869898000.000000,-251367235000.000000,,-150643957000.000000,-150643957000.000000,,8803708000.000000,8803708000.000000,-4507535000.000000,-27997771000.000000,-64124921000.000000,-12896759000.000000,-251367235000.000000,502663000.000000,19496558000.000000,15376408000.000000,4120150000.000000,19496558000.000000,19999221000.000000,-5911772000.000000,14087449000.000000,,,,,14087449000.000000,14087449000.000000,,14087449000.000000,,,,
12M 2009,336274673000.000000,,438182286000.000000,438182286000.000000,,-84495364000.000000,-84495364000.000000,-17412249000.000000,336274673000.000000,-329934869000.000000,,-214817688000.000000,-214817688000.000000,,16575759000.000000,16575759000.000000,-16219969000.000000,-21059929000.000000,-63130356000.000000,-31282686000.000000,-329934869000.000000,6339804000.000000,24720936000.000000,21970623000.000000,2750313000.000000,24720936000.000000,31060740000.000000,-5005579000.000000,26055161000.000000,,,,,26055161000.000000,26055161000.000000,,26055161000.000000,,,,
12M 2010,425993155000.000000,,640876574000.000000,640876574000.000000,,-163262812000.000000,-163262812000.000000,-51620607000.000000,425993155000.000000,-412370195000.000000,,-315090186000.000000,-315090186000.000000,,41031626000.000000,41031626000.000000,-29839973000.000000,-15935250000.000000,-78990484000.000000,-13545928000.000000,-412370195000.000000,13622960000.000000,38150965000.000000,32516171000.000000,5634794000.000000,38150965000.000000,51773925000.000000,-6477348000.000000,45296577000.000000,,,,,45296577000.000000,45296577000.000000,,45296577000.000000,,,,
12M 2011,537425689000.000000,,772598591000.000000,772598591000.000000,,-195098203000.000000,-195098203000.000000,-40074699000.000000,537425689000.000000,-502438202000.000000,,-376814176000.000000,-376814176000.000000,,12521237000.000000,12521237000.000000,-27276117000.000000,-15635128000.000000,-91337812000.000000,-3896206000.000000,-502438202000.000000,34987487000.000000,63652301000.000000,54303626000.000000,9348675000.000000,63652301000.000000,98639788000.000000,-11017605000.000000,87622183000.000000,29136264000.000000,29136264000.000000,29136264000.000000,116758447000.000000,87622183000.000000,87622183000.000000,,87622183000.000000,116758447000.000000,116758447000.000000,,116758447000.000000
12M 2012,651926944000.000000,,924933158000.000000,924933158000.000000,,-228084019000.000000,-228084019000.000000,-44922195000.000000,651926944000.000000,-591282598000.000000,,-427645407000.000000,-427645407000.000000,,10881522000.000000,10881522000.000000,-44603342000.000000,-22678392000.000000,-104516246000.000000,-2720733000.000000,-591282598000.000000,60644346000.000000,75331838000.000000,69330590000.000000,6001248000.000000,75331838000.000000,135976184000.000000,-17286986000.000000,118689198000.000000,116768541000.000000,116768541000.000000,116768541000.000000,235457739000.000000,118689198000.000000,118689198000.000000,,118689198000.000000,235457739000.000000,235457739000.000000,,235457739000.000000
12M 2013,782341679000.000000,,1121248713000.000000,1121248713000.000000,,-165205201000.000000,-165205201000.000000,-173701833000.000000,782341679000.000000,-696538840000.000000,,-526319140000.000000,-526319140000.000000,,12794976000.000000,12794976000.000000,-15687156000.000000,-31066758000.000000,-131515133000.000000,-4745629000.000000,-696538840000.000000,85802839000.000000,90972090000.000000,83587377000.000000,7384713000.000000,90972090000.000000,176774929000.000000,-25296333000.000000,151478596000.000000,68211016000.000000,68211016000.000000,68211016000.000000,219689612000.000000,151478596000.000000,151478596000.000000,,151478596000.000000,219689612000.000000,219689612000.000000,,219689612000.000000
12M 2014,1027048299000.0,,1292992293000.0,1292992293000.0,,-177719030000.0,-177719030000.0,-88224964000.0,1027048299000.0,-992397234000.0,,-632416569000.0,-632416569000.0,,12759453000.0,12759453000.0,-27053728000.0,-198162898000.0,-145416745000.0,-2106747000.0,-992397234000.0,34651065000.0,154028004000.0,145618489000.0,8409515000.0,154028004000.0,188679069000.0,-16437063000.0,172242006000.0,277615392000.0,277615392000.0,277615392000.0,449857398000.0,172242006000.0,172246719000.0,-4713000.0,172242006000.0,449857398000.0,449862111000.0,-4713000.0,449857398000.0
12M 2015,1116186793000.0,,1376099266000.0,1376099266000.0,,-129554975000.0,-129554975000.0,-130357498000.0,1116186793000.0,-1099934421000.0,,-700598905000.0,-700598905000.0,,9211345000.0,9211345000.0,-16779965000.0,-214954100000.0,-175839332000.0,-973464000.0,-1099934421000.0,16252372000.0,262723622000.0,256557940000.0,6165682000.0,262723622000.0,278975994000.0,-10411290000.0,268564704000.0,-209874260000.0,-209874260000.0,-209874260000.0,58690444000.0,268564704000.0,268561868000.0,2836000.0,268564704000.0,58690444000.0,58687589000.0,2855000.0,58690444000.0
12M 2016,1201828061000.0,,1178111320000.0,1178111320000.0,,-44802460000.0,-44802460000.0,68519201000.0,1201828061000.0,-1120874553000.0,,-743908359000.0,-743908359000.0,,25522414000.0,25522414000.0,14126753000.0,-214666274000.0,-200516184000.0,-1432903000.0,-1120874553000.0,80953508000.0,116252630000.0,114544102000.0,1708528000.0,116252630000.0,197206138000.0,-23724488000.0,173481650000.0,-82980580000.0,-82980580000.0,-82980580000.0,90501070000.0,173481650000.0,173478266000.0,3384000.0,173481650000.0,90501070000.0,90497697000.0,3373000.0,90501070000.0
12M 2017,1114920773000.0,,1172444769000.0,1172444769000.0,,-44824656000.0,-44824656000.0,-12699340000.0,1114920773000.0,-1082241155000.0,,-668965048000.0,-668965048000.0,,7326703000.0,7326703000.0,-13820741000.0,-148320813000.0,-256836736000.0,-1624520000.0,-1082241155000.0,32679618000.0,132340091000.0,131466239000.0,873852000.0,132340091000.0,165019709000.0,-4197568000.0,160822141000.0,38206177000.0,38206177000.0,38206177000.0,199028318000.0,160822141000.0,160820176000.0,1965000.0,160822141000.0,199028318000.0,199026367000.0,1951000.0,199028318000.0
