Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Tagihan Pajak Penghasilan,Penghasilan Bunga,Pembayaran Kas Kepada:,Pemasok,Karyawan,Total Pembayaran Kas Kepada:,Pembayaran Beban Usaha Lainnya,Pembayaran Pajak Penghasilan,Pengembalian Pajak Penghasilan,Pembayaran Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Aset Tetap,Perolehan Aset Tetap,Perolehan Aset Hak-Guna,Uang Muka Pembelian Aset Tetap,Akuisisi Entitas Anak,Penambahan Aset Tidak Berwujud,Penerimaan (Pembayaran) Uang Jaminan,Penerimaan Deposito Yang Dibatasi Penggunaannya,Penambahan Investasi Pada Entitas Asosiasi,Penerimaan Deviden,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Perolehan Utang Bank Jangka Pendek,Perolehan Utang Bank Jangka Panjang,Penambahan Setoran Modal,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Pembayaran Dividen,Pembayaran Dividen Kas Oleh Entitas Anak Kepada Kepentingan Non-Pengendali,Pembayaran Dividen Entitas Anak,Pembayaran Utang Sewa,Setoran Modal Saham Dan Penawaran Umum Saham Perdana,Beban Emisi Saham,Penambahan Deposito Yang Dibatasi Penggunaannya,Pembayaran Pokok Atas Liabilitas Sewa,Penerimaan Utang Pembiayaan,Pembayaran Utang Pembiayaan,Utang Lain-Lain Pihak Berelasi,Piutang Pihak Berelasi,Penambahan Modal Disetor,Pembayaran Utang Pembelian Aset,Penerimaan Utang Pembelian Aset,Tambahan Modal Disetor Pengampunan Pajak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Bank,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2012,9704793434.000000,786223847543.000000,,84466740.000000,,-619137895819.000000,-88451279822.000000,-707589175641.000000,-46881559772.000000,-16890196684.000000,,-5242588752.000000,9704793434.000000,-22420706989.000000,1121842500.000000,-23542549489.000000,,,,,,,,,-22420706989.000000,10914117648.000000,111500000000.000000,,,-80585882352.000000,,-20000000000.000000,,,,,,,,,,,,,,,,10914117648.000000,-1801795907.000000,,6632416203.000000,4830620296.000000
12M 2013,50153563638.000000,864031735883.000000,,72786457.000000,,-535330550853.000000,-125704667403.000000,-661035218256.000000,-136819332168.000000,-11229234106.000000,,-4867174172.000000,50153563638.000000,-34605967986.000000,2409100048.000000,-34642243034.000000,,,,,,,-2372825000.000000,,-34605967986.000000,1686736985.000000,81000000000.000000,,,-78825246396.000000,,,,,-488016619.000000,,,,,,,,,,,,,1686736985.000000,17234332637.000000,,4830620296.000000,22064952933.000000
12M 2014,-114961772554.000000,956145169134.000000,16204931396.000000,137944354.000000,,-913065781020.000000,-139997750352.000000,-1053063531372.000000,-18795745639.000000,-8284121241.000000,,-7306419186.000000,-114961772554.000000,50294212560.000000,73943143733.000000,-20326976173.000000,,,,,,,-3321955000.000000,,50294212560.000000,53785872818.000000,251403884474.000000,,150000000000.000000,-344652233407.000000,,-2500000000.000000,,,-465778249.000000,,,,,,,,,,,,,53785872818.000000,-10881687176.000000,,22064952933.000000,11183265757.000000
12M 2015,-62480105460.000000,884056661527.000000,11745987778.000000,500319083.000000,,-752039825420.000000,-114775483044.000000,-866815308464.000000,-39427579342.000000,-44649086122.000000,,-7891099920.000000,-62480105460.000000,-20610849973.000000,2043049001.000000,-22653898974.000000,,,,,,,,,-20610849973.000000,150985458849.000000,394000000000.000000,,,-362723921572.000000,,-130000000000.000000,,,-112205132.000000,257812500000.000000,-3527094963.000000,,,,,,-4463819484.000000,,,,,150985458849.000000,67894503416.000000,,11183265757.000000,79077769173.000000
12M 2016,147030558657.000000,877955664058.000000,,3388062409.000000,,-488894649015.000000,-178021377289.000000,-666916026304.000000,-21361841971.000000,-44249742720.000000,,-1785556815.000000,147030558657.000000,-24506383503.000000,360454548.000000,-24866838051.000000,,,,,,,,,-24506383503.000000,-119658249097.000000,95000000000.000000,,,-155000000000.000000,,-58608186463.000000,,,,,,-1043713229.000000,,,,,-6349405.000000,,,,,-119658249097.000000,2865926057.000000,,79077769173.000000,81943695230.000000
12M 2017,98702358157.000000,1055926002733.000000,,2988631134.000000,,-657322945984.000000,-211092725447.000000,-868415671431.000000,-19702481384.000000,-48771806905.000000,,-23322315990.000000,98702358157.000000,-272543784844.000000,825000000.000000,-22190360779.000000,,,-279000000000.000000,,27821575935.000000,,,,-272543784844.000000,112768094045.000000,206000000000.000000,189300000000.000000,,-195500000000.000000,-16640000000.000000,-65090049592.000000,,-1720000000.000000,,,,,,,-303447840.000000,,-3278408523.000000,,,,,112768094045.000000,-61073332642.000000,,98728760869.000000,37655428227.000000
12M 2018,58409108583.000000,1169898776932.000000,,933184611.000000,,-794517561070.000000,-208717771791.000000,-1003235332861.000000,-28749403315.000000,-48999358747.000000,,-31438758037.000000,58409108583.000000,-44965796592.000000,158000000.000000,-36585180328.000000,,,,-8377735800.000000,-160880464.000000,,,,-44965796592.000000,-37250987803.000000,286000000000.000000,5339306000.000000,,-204500000000.000000,-41275666664.000000,-75000000000.000000,,,,,,,,,-763819139.000000,,,,-7050808000.000000,,,-37250987803.000000,-23807675812.000000,,37655428227.000000,13847752415.000000
12M 2019,93837385857.000000,1201825510073.000000,4062885323.000000,504866867.000000,,-791396175783.000000,-223929141136.000000,-1015325316919.000000,-30221099027.000000,-36233546462.000000,,-30775913998.000000,93837385857.000000,-6415368885.000000,7309029728.000000,-21970455763.000000,,,,-707982850.000000,8954040000.000000,,,,-6415368885.000000,-94735964198.000000,388705874999.000000,20892760000.000000,,-388705874999.000000,-45906000000.000000,-28125000000.000000,,,,,,,,,-1258622887.000000,,,,-40339101311.000000,,,-94735964198.000000,-7313947226.000000,,13847752415.000000,6533805189.000000
12M 2020,86739328026.000000,840838931306.000000,15889126114.000000,446770495.000000,,-501160243350.000000,-186001861426.000000,-687162104776.000000,-44780469830.000000,-13811742365.000000,,-24681182918.000000,86739328026.000000,-15209203746.000000,1336537350.000000,-11750592948.000000,,,,-4795148148.000000,,,,,-15209203746.000000,-105157745706.000000,-286500000000.000000,,,322500000000.000000,-140502000000.000000,,,,,,,,,,-655745706.000000,,,,,,,-105157745706.000000,-33627621426.000000,,6533805189.000000,-27093816237.000000
12M 2021,34346451383.000000,1107314291107.000000,7461155524.000000,178052983.000000,,-794987089894.000000,-216551481136.000000,-1011538571030.000000,-38124071871.000000,-5672636604.000000,,-25271768726.000000,34346451383.000000,-34646172541.000000,515245455.000000,-31313661955.000000,,,,-3847756041.000000,,,,,-34646172541.000000,1177611978.000000,-278500000000.000000,,,308500000000.000000,-7255000000.000000,,,,,,,,-6315881615.000000,,-251506407.000000,,,,-15000000000.000000,,,1177611978.000000,877890820.000000,,-27093816237.000000,-26215925417.000000
12M 2022,34831381733.000000,1526828479201.000000,12361007488.000000,54644306.000000,,-1164071050905.000000,-239378187402.000000,-1403449238307.000000,-46243935846.000000,-26035958069.000000,,-28683617040.000000,34831381733.000000,-12235227912.000000,86500000.000000,-13856883003.000000,,,,-2574670861.000000,,,-1121424048.000000,5231250000.000000,-12235227912.000000,3521343926.000000,-293360066000.000000,,,348000000000.000000,2000000000.000000,-23437500000.000000,,,,,,,,,-190095000.000000,,,,-29490995074.000000,,,3521343926.000000,26117497747.000000,,-26215925417.000000,-98427670.000000
12M 2023,207113514676.000000,1740915334492.000000,1098724091.000000,85997923.000000,,-1106800903353.000000,-265983654615.000000,-1372784557968.000000,-117298104350.000000,-22498476900.000000,,-22405402612.000000,207113514676.000000,-59003078976.000000,1532500000.000000,-17276040746.000000,,,,-1490788230.000000,,,-47000000000.000000,5231250000.000000,-59003078976.000000,-137279552998.000000,-579439363265.000000,,,523500000000.000000,,-65981360705.000000,,,,,,,-1704876800.000000,,-3459965010.000000,,,,-10193987218.000000,,,-137279552998.000000,10830882702.000000,,31532271799.000000,42363154501.000000
12M 2024,163762425816.000000,1437496830353.000000,3014216574.000000,102390031.000000,,-967974657462.000000,-196492156322.000000,-1164466813784.000000,-50634003141.000000,-41195425132.000000,,-20554769085.000000,163762425816.000000,-36779316976.000000,2147500000.000000,-20833416215.000000,-11958892760.000000,-5114151001.000000,,-1020357000.000000,,,,,-36779316976.000000,-21025133129.000000,928500000000.000000,,,-856655000000.000000,,-82031250000.000000,-2117504348.000000,,,,,,,,-4825013730.000000,,,,-3896365051.000000,,,-21025133129.000000,105957975711.000000,-71456858.000000,7275010315.000000,113161529168.000000
