Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Bunga,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,793644106422.000000,-761707342797.000000,31936763625.000000,-70957708021.000000,-16477347344.000000,-54480360677.000000,-70957708021.000000,-39020944396.000000,-9007850261.000000,740617666.000000,-5242588752.000000,-506076883.000000,,-25829911443.000000,84466740.000000,21745642411.000000,-9007850261.000000,-48028794657.000000,10633484962.000000,,,10633484962.000000,-37395309695.000000,,-37395309695.000000,,,,-37395309695.000000,-37395309695.000000,-37395309695.000000,,-37395309695.000000,-37395309695.000000,-37395309695.000000,,-37395309695.000000
12M 2013,889747147249.000000,-729400507494.000000,160346639755.000000,-64163874150.000000,-4622344194.000000,-59541529956.000000,-64163874150.000000,96182765605.000000,-121436158226.000000,1375777287.000000,-4867174172.000000,-471518038.000000,,-124959452135.000000,72786457.000000,7413422375.000000,-121436158226.000000,-25253392621.000000,5439291565.000000,,,5439291565.000000,-19814101056.000000,,-19814101056.000000,,,,-19814101056.000000,-19814101056.000000,-19814101056.000000,,-19814101056.000000,-19814101056.000000,-19814101056.000000,,-19814101056.000000
12M 2014,961863464869.000000,-707541930142.000000,254321534727.000000,-74154231621.000000,-7486365289.000000,-66667866332.000000,-74154231621.000000,180167303106.000000,-20414889116.000000,-16333873532.000000,-7306419186.000000,-759644336.000000,-709500145.000000,1494212778.000000,137944354.000000,3062390951.000000,-20414889116.000000,159752413990.000000,-45380269749.000000,,,-45380269749.000000,114372144241.000000,,114372144241.000000,192284732900.000000,192284732900.000000,192284732900.000000,306656877141.000000,114372144241.000000,114372144241.000000,,114372144241.000000,306656877141.000000,306656877141.000000,,306656877141.000000
12M 2015,858650225152.000000,-618993532233.000000,239656692919.000000,-82196994611.000000,-7762442999.000000,-74434551612.000000,-82196994611.000000,157459698308.000000,-24528662449.000000,328118623.000000,-7918664554.000000,-634659486.000000,-1835624216.000000,-18808011927.000000,500319083.000000,3839860028.000000,-24528662449.000000,132931035859.000000,-35250725087.000000,,,-35250725087.000000,97680310772.000000,,97680310772.000000,15649773500.000000,15649773500.000000,15649773500.000000,113330084272.000000,97680310772.000000,97680310772.000000,,97680310772.000000,113330084272.000000,113330084272.000000,,113330084272.000000
12M 2016,888942483043.000000,-656787227560.000000,232155255483.000000,-95955859264.000000,-10191557349.000000,-85764301915.000000,-95955859264.000000,136199396219.000000,10637291081.000000,352388687.000000,-1466035983.000000,-153407607.000000,-1173961334.000000,-607979373.000000,3388062409.000000,10298224282.000000,10637291081.000000,146836687300.000000,-38353271313.000000,,,-38353271313.000000,108483415987.000000,,108483415987.000000,3920551750.000000,3920551750.000000,3920551750.000000,112403967737.000000,108483415987.000000,108483415987.000000,,108483415987.000000,112403967737.000000,112403967737.000000,,112403967737.000000
12M 2017,1047701082078.000000,-783061390941.000000,264639691137.000000,-109507953807.000000,-8755388806.000000,-100752565001.000000,-109507953807.000000,155131737330.000000,-23161382261.000000,366355905.000000,-1394599230.000000,-25098279325.000000,-1911057519.000000,-2910459403.000000,2988631134.000000,4798026177.000000,-23161382261.000000,131970355069.000000,-34699400993.000000,,,-34699400993.000000,97270954076.000000,-4045700320.000000,93225253756.000000,7567102500.000000,,7567102500.000000,100792356256.000000,93225253756.000000,92813299214.000000,411954542.000000,93225253756.000000,100792356256.000000,98810204165.000000,1982152091.000000,100792356256.000000
12M 2018,1187195058022.000000,-947281865541.000000,239913192481.000000,-106759876468.000000,-9045483106.000000,-97714393362.000000,-106759876468.000000,133153316013.000000,-30312548502.000000,148326764.000000,-1241925522.000000,-31533959147.000000,,-6556442956.000000,933184611.000000,7938267748.000000,-30312548502.000000,102840767511.000000,-27102667897.000000,,,-27102667897.000000,75738099614.000000,,75738099614.000000,16620681000.000000,,16620681000.000000,92358780614.000000,75738099614.000000,75121050183.000000,617049431.000000,75738099614.000000,92358780614.000000,90445779889.000000,1913000725.000000,92358780614.000000
12M 2019,1206818443326.000000,-996098454419.000000,210719988907.000000,-119091593663.000000,-9120050224.000000,-109971543439.000000,-119091593663.000000,91628395244.000000,-22364561347.000000,424923613.000000,-32572743862.000000,-1182365324.000000,,3260626866.000000,504866867.000000,7200130493.000000,-22364561347.000000,69263833897.000000,-17771228372.000000,,,-17771228372.000000,51492605525.000000,,51492605525.000000,-375255000.000000,,-375255000.000000,51117350525.000000,51492605525.000000,49841177514.000000,1651428011.000000,51492605525.000000,51117350525.000000,49101681861.000000,2015668664.000000,51117350525.000000
12M 2020,788873091221.000000,-696902028465.000000,91971062756.000000,-112396699257.000000,-7533918595.000000,-104862780662.000000,-112396699257.000000,-20425636501.000000,-43226551937.000000,259209276.000000,-25674819186.000000,-2387353927.000000,151209117.000000,-844351085.000000,446770495.000000,-15177216627.000000,-43226551937.000000,-63652188438.000000,6263896193.000000,,,6263896193.000000,-57388292245.000000,,-57388292245.000000,-3605441100.000000,,-3605441100.000000,-60993733345.000000,-57388292245.000000,-55898166249.000000,-1490125996.000000,-57388292245.000000,-60993733345.000000,-59998358032.000000,-995375313.000000,-60993733345.000000
12M 2021,1181849268110.000000,-963909237990.000000,217940030120.000000,-115578931323.000000,-15639500885.000000,-99939430438.000000,-115578931323.000000,102361098797.000000,3339000012.000000,350974626.000000,-24323751100.000000,-1115271631.000000,1176260888.000000,-1397944910.000000,178052983.000000,28470679156.000000,3339000012.000000,105700098809.000000,-22950997906.000000,,,-22950997906.000000,82749100903.000000,,82749100903.000000,34824453308.000000,,34824453308.000000,117573554211.000000,82749100903.000000,67298552479.000000,15450548424.000000,82749100903.000000,117573554211.000000,101002623038.000000,16570931173.000000,117573554211.000000
