Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Piutang Pihak Berelasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembelian Aset Tetap,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembelian Aset Tetap,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,,6632416203.000000,116353406834.000000,112369998355.000000,3983408479.000000,116353406834.000000,5593294731.000000,3368530000.000000,2224764731.000000,5593294731.000000,215577874368.000000,25134803446.000000,369291795582.000000,,342014558363.000000,,,1553084126.000000,,1600226280.000000,345167868769.000000,714459664351.000000,,,540857210716.000000,89181341802.000000,,440227476183.000000,5058019822.000000,445285496005.000000,,1636815082.000000,,1636815082.000000,2605888514.000000,2147669313.000000,,,,,,,,540857210716.000000,6212336506.000000,,,,,,,,,,,6212336506.000000,6212336506.000000,547069547222.000000,,15000000000.000000,,152390117129.000000,,,152390117129.000000,,,167390117129.000000,714459664351.000000,30000.000000
12M 2012,,,4830620296.000000,123773665713.000000,121748197998.000000,2025467715.000000,123773665713.000000,9071355327.000000,4505047000.000000,4566308327.000000,9071355327.000000,197480497754.000000,27916288501.000000,363072427591.000000,,309106312317.000000,,,13934944588.000000,,18525035435.000000,341566292340.000000,704638719931.000000,,,586864087595.000000,116554756002.000000,,447994344185.000000,15283045911.000000,463277390096.000000,,348379979.000000,,348379979.000000,2986787433.000000,3696774085.000000,,,,,,,,586864087595.000000,7779824902.000000,,,,,,,,,,,7779824902.000000,7779824902.000000,594643912497.000000,,15000000000.000000,,94994807434.000000,,,94994807434.000000,,,109994807434.000000,704638719931.000000,30000.000000
12M 2013,,,22064952933.000000,149489077080.000000,147350607941.000000,2138469139.000000,149489077080.000000,9494896000.000000,4151561210.000000,5343334790.000000,9494896000.000000,246536587191.000000,43114806239.000000,470700319443.000000,,290814364735.000000,,2372825000.000000,19374236153.000000,,30304517652.000000,342865943540.000000,813566262983.000000,,,711342620424.000000,121972270505.000000,,567371402101.000000,13436003185.000000,580807405286.000000,,554651526.000000,,554651526.000000,2924831711.000000,4654683196.000000,,,428778200.000000,,,428778200.000000,,711342620424.000000,12042936181.000000,,,,,,,149205181.000000,,,149205181.000000,11893731000.000000,12042936181.000000,723385556605.000000,,15000000000.000000,,75180706378.000000,,,75180706378.000000,,,90180706378.000000,813566262983.000000,30000.000000
12M 2014,,,11183265757.000000,155207372816.000000,152335740998.000000,2871631818.000000,155207372816.000000,6867043399.000000,3177511200.000000,3689532199.000000,6867043399.000000,277036263109.000000,22939721798.000000,473233666879.000000,,411139069488.000000,,4985279855.000000,,,16594638658.000000,432718988001.000000,905952654880.000000,,,341138663265.000000,28723921572.000000,,273826975574.000000,10052701149.000000,283879676723.000000,,1385910566.000000,,1385910566.000000,5493567647.000000,21543381625.000000,,,112205132.000000,,,112205132.000000,,341138663265.000000,20476408096.000000,835374096.000000,,,,,,,,,,19641034000.000000,20476408096.000000,361615071361.000000,,187500000000.000000,,164552850619.000000,,,164552850619.000000,,192284732900.000000,544337583519.000000,905952654880.000000,375000.000000
12M 2015,,,79077769173.000000,129800936440.000000,127329270177.000000,2471666263.000000,129800936440.000000,2643738128.000000,2574580303.000000,69157825.000000,2643738128.000000,257245352175.000000,18086983985.000000,486854779901.000000,,420117559089.000000,,3149655639.000000,936935067.000000,4463819484.000000,3094604090.000000,431762573369.000000,918617353270.000000,,,110875174192.000000,60000000000.000000,,20779042242.000000,16091379916.000000,36870422158.000000,,1283012880.000000,,1283012880.000000,3816098200.000000,8905640954.000000,,,,,,,,110875174192.000000,47212980000.000000,,,,,,,,,,,47212980000.000000,47212980000.000000,158088154192.000000,,234375000000.000000,205467605037.000000,116540381141.000000,,,116540381141.000000,,204146212900.000000,760529199078.000000,918617353270.000000,2343750000.000000
12M 2016,,,81943695230.000000,140787755425.000000,139040692828.000000,1747062597.000000,140787755425.000000,3861256134.000000,3787920863.000000,73335271.000000,3861256134.000000,257876714813.000000,10589773195.000000,495059194797.000000,,426541826616.000000,,1975694305.000000,5329659254.000000,4470168889.000000,4765143501.000000,443082492565.000000,938141687362.000000,,,64455224010.000000,,,37261706918.000000,16569683842.000000,53831390760.000000,,1582312893.000000,,1582312893.000000,3466328934.000000,5575191423.000000,,,,,,,,64455224010.000000,59361483000.000000,,,,,,,,,,,59361483000.000000,59361483000.000000,123816707010.000000,,234375000000.000000,205467605037.000000,164379622415.000000,4884015539.000000,159495606876.000000,164379622415.000000,,210102752900.000000,814324980352.000000,938141687362.000000,2343750000.000000
12M 2017,,,37655428227.000000,163059402738.000000,157304897045.000000,5754505693.000000,163059402738.000000,5923714005.000000,5850687813.000000,73026192.000000,5923714005.000000,307146034639.000000,26468423450.000000,540253003059.000000,,612269752830.000000,,,15890166011.000000,3088078283.000000,17297795179.000000,648545792303.000000,1188798795362.000000,,,172769473994.000000,58500000000.000000,,47359002038.000000,8644014735.000000,56003016773.000000,,1227906772.000000,,1227906772.000000,4914932535.000000,4180688031.000000,,39076666664.000000,138194139.000000,8652619200.000000,,47867480003.000000,75449880.000000,172769473994.000000,295352627800.000000,,,,,,178650000000.000000,,27890668800.000000,,206540668800.000000,88811959000.000000,295352627800.000000,468122101794.000000,,234375000000.000000,12037418112.000000,187308227193.000000,10308186526.000000,177000040667.000000,187308227193.000000,66061745568.000000,220894302695.000000,720676693568.000000,1188798795362.000000,2343750000.000000
12M 2018,,,13847752415.000000,181656120527.000000,175998883921.000000,5657236606.000000,181656120527.000000,6107145013.000000,6076493948.000000,30651065.000000,6107145013.000000,401013894606.000000,30825514922.000000,633450427483.000000,,620925458436.000000,8377735800.000000,,16591641364.000000,,33031736037.000000,678926571637.000000,1312376999120.000000,,,352222592938.000000,140000000000.000000,,102339212981.000000,13802016830.000000,116141229811.000000,,2027963590.000000,,2027963590.000000,5013873091.000000,5630579354.000000,,40250306000.000000,871750000.000000,40911004512.000000,,82033060512.000000,1375886580.000000,352222592938.000000,222118932000.000000,,,,,,141540000000.000000,,,,141540000000.000000,80578932000.000000,222118932000.000000,574341524938.000000,,234375000000.000000,12037418112.000000,201024502184.000000,14948851487.000000,186075650697.000000,201024502184.000000,67974746293.000000,222623807593.000000,738035474182.000000,1312376999120.000000,2343750000.000000
12M 2019,,,9061249785.000000,186724518095.000000,181414330021.000000,5310188074.000000,186724518095.000000,2197814639.000000,2197814639.000000,,2197814639.000000,377983071715.000000,12397358802.000000,588364013036.000000,,598613587657.000000,9049905640.000000,,21831619742.000000,8482051140.000000,39571153410.000000,677548317589.000000,1265912330625.000000,,,293371404511.000000,142527444596.000000,,83880131084.000000,10425384618.000000,94305515702.000000,,1547012602.000000,,1547012602.000000,5136004497.000000,5562783928.000000,,41856000000.000000,655745706.000000,,,42511745706.000000,1780897480.000000,293371404511.000000,211513101407.000000,,,,,,114921066000.000000,251506407.000000,,,115172572407.000000,96340529000.000000,211513101407.000000,504884505918.000000,,234375000000.000000,12037418112.000000,220884339147.000000,18704903996.000000,202179435151.000000,220884339147.000000,69990414957.000000,223740652491.000000,761027824707.000000,1265912330625.000000,2343750000.000000
12M 2020,,,6385676630.000000,133349315210.000000,127673733554.000000,5675581656.000000,133349315210.000000,2064001174.000000,2064001174.000000,,2064001174.000000,312720158801.000000,14124755137.000000,468643906952.000000,,572881367391.000000,4912786747.000000,151209117.000000,28644613835.000000,7607811391.000000,36235174992.000000,650432963473.000000,1119076870425.000000,,,291939087063.000000,209479492867.000000,,63626676016.000000,3000681946.000000,66627357962.000000,,374505905.000000,,374505905.000000,3856645117.000000,3723044125.000000,,7255000000.000000,251506407.000000,,,7506506407.000000,371534680.000000,291939087063.000000,127103692000.000000,,,,,,9020066000.000000,,,,9020066000.000000,118083626000.000000,127103692000.000000,419042779063.000000,,234375000000.000000,12037418112.000000,157278901115.000000,21196962872.000000,136081938243.000000,157278901115.000000,68995039644.000000,227347732491.000000,700034091362.000000,1119076870425.000000,2343750000.000000
12M 2021,,,7857725879.000000,210521928081.000000,198484872355.000000,12037055726.000000,210521928081.000000,2151927721.000000,2151927721.000000,,2151927721.000000,403776234530.000000,19583250126.000000,643891066337.000000,,630320826138.000000,8659406026.000000,1327470005.000000,15676024309.000000,,68536304668.000000,724520031146.000000,1368411097483.000000,,,419979414846.000000,240073651296.000000,,114592166090.000000,7394678718.000000,121986844808.000000,,688839319.000000,,688839319.000000,5007111118.000000,8739727419.000000,,9020066000.000000,,29674621220.000000,1779383116.000000,40474070336.000000,3009170550.000000,419979414846.000000,130824037064.000000,,,,,,,,18287270000.000000,40718741064.000000,59006011064.000000,71818026000.000000,130824037064.000000,550803451910.000000,,234375000000.000000,12037418112.000000,250619206225.000000,21196962872.000000,229422243353.000000,250619206225.000000,85565970817.000000,235010050419.000000,817607645573.000000,1368411097483.000000,2343750000.000000
12M 2022,,,31460705440.000000,258798821519.000000,241898994306.000000,16899827213.000000,258798821519.000000,2737651977.000000,2737651977.000000,,2737651977.000000,407738426841.000000,18943410793.000000,719679016570.000000,,605332720525.000000,10776335119.000000,4461902202.000000,15341258674.000000,,49688454893.000000,685600671413.000000,1405279687983.000000,,,438159156686.000000,286928641307.000000,,104281186566.000000,10853284261.000000,115134470827.000000,,4193634560.000000,,4193634560.000000,6656502355.000000,4798851751.000000,,7369508197.000000,674425772.000000,6791948464.000000,3815446138.000000,18651328571.000000,1795727315.000000,438159156686.000000,118376242169.000000,,,,,,8920983606.000000,1208792976.000000,14013496453.000000,34401325134.000000,58544598169.000000,59831644000.000000,118376242169.000000,556535398855.000000,,234375000000.000000,12037418112.000000,301637362063.000000,24561890496.000000,277075471567.000000,301637362063.000000,62677257034.000000,238017251919.000000,848744289128.000000,1405279687983.000000,2343750000.000000
12M 2023,,,36132276175.000000,209637695436.000000,194702589089.000000,14935106347.000000,209637695436.000000,2706430897.000000,2706430897.000000,,2706430897.000000,433234190690.000000,16442509301.000000,698153102499.000000,,587089980740.000000,11898681778.000000,4800978777.000000,18349258106.000000,,23947542539.000000,646086441940.000000,1344239544439.000000,,,359749773762.000000,228857265860.000000,,89344494229.000000,4606038592.000000,93950532821.000000,,1612633892.000000,,1612633892.000000,5943471922.000000,15422130572.000000,,875000000.000000,4632030376.000000,2609916320.000000,3715982276.000000,11832928972.000000,2130809723.000000,359749773762.000000,112796761391.000000,,,,,,18380000000.000000,1403680885.000000,12471851223.000000,4189542283.000000,36445074391.000000,76351687000.000000,112796761391.000000,472546535153.000000,,234375000000.000000,-19353518497.000000,359070492814.000000,28535913092.000000,330534579722.000000,359070492814.000000,65195997901.000000,232405037068.000000,871693009286.000000,1344239544439.000000,2343750000.000000
12M 2024,,,113161529168.000000,246574983881.000000,228996677674.000000,17578306207.000000,246574983881.000000,3487716901.000000,3487716901.000000,,3487716901.000000,382081334498.000000,15720620250.000000,761026184698.000000,,577280031526.000000,12814305022.000000,6445018252.000000,19129397297.000000,,27419437977.000000,643088190074.000000,1404114374772.000000,,,404944617902.000000,278000000000.000000,,87431252090.000000,2356501523.000000,89787753613.000000,,1440415059.000000,1715000000.000000,3155415059.000000,6778850812.000000,3544301251.000000,,5280000000.000000,1609240506.000000,3523840589.000000,11967480656.000000,22380561751.000000,1297735416.000000,404944617902.000000,111232315541.000000,,,,,,7820000000.000000,321382025.000000,15876193603.000000,2316402081.000000,26333977709.000000,84898337832.000000,111232315541.000000,516176933443.000000,,234375000000.000000,-19353518497.000000,371672403089.000000,34101231974.000000,337571171115.000000,371672403089.000000,68776737154.000000,232466819583.000000,887937441329.000000,1404114374772.000000,2343750000.000000
