Period,Total Pendapatan,Total Beban Pokok Penjualan,Beban Program Dan Penyiaran,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2014,95051801555.000000,-586888057.000000,-586888057.000000,-586888057.000000,94464913498.000000,-54827697568.000000,-54827697568.000000,-54827697568.000000,39637215930.000000,-380872876.000000,16630394.000000,,9286409972.000000,-8995756099.000000,-688157143.000000,-380872876.000000,39256343054.000000,-9913212776.000000,29343130278.000000,-13101687693.000000,16241442585.000000,-123450725.000000,-123450725.000000,-123450725.000000,16117991860.000000,16241442585.000000,16241442585.000000,,16241442585.000000,16117991860.000000,16117991860.000000,,16117991860.000000
12M 2015,101990274152.000000,-427488381.000000,-427488381.000000,-427488381.000000,101562785771.000000,-54240982601.000000,-54240982601.000000,-54240982601.000000,47321803170.000000,3413505663.000000,60714581.000000,,7221148298.000000,-6972771179.000000,3104413963.000000,3413505663.000000,50735308833.000000,-11255768822.000000,39479540011.000000,-7265879553.000000,32213660458.000000,-71904889.000000,-71904889.000000,-71904889.000000,32141755569.000000,32213660458.000000,32213660458.000000,,32213660458.000000,32141755569.000000,32141755569.000000,,32141755569.000000
12M 2016,111646695355.000000,-438345120.000000,-438345120.000000,-438345120.000000,111208350235.000000,-54315677810.000000,-54315677810.000000,-54315677810.000000,56892672425.000000,736204777.000000,-20989628.000000,,4998276211.000000,-2949643293.000000,-1291438513.000000,736204777.000000,57628877202.000000,-15031675035.000000,42597202167.000000,,42597202167.000000,78469881.000000,78469881.000000,78469881.000000,42675672048.000000,42597202167.000000,42597202167.000000,,42597202167.000000,42675672048.000000,42675672048.000000,,42675672048.000000
12M 2017,130036881486.000000,-326813977.000000,-326813977.000000,-326813977.000000,129710067509.000000,-82299112208.000000,-82299112208.000000,-82299112208.000000,47410955301.000000,-1547352114.000000,-1094564.000000,743632270.000000,1295957282.000000,-4104665247.000000,518818145.000000,-1547352114.000000,45863603187.000000,-13320465139.000000,32543138048.000000,,32543138048.000000,-1973537596.000000,,-1973537596.000000,30569600452.000000,32543138048.000000,31455611483.000000,1087526565.000000,32543138048.000000,30569600452.000000,29482073887.000000,1087526565.000000,30569600452.000000
12M 2018,29745555159.000000,-308644716.000000,-308644716.000000,-308644716.000000,29436910443.000000,-19763351674.000000,-19763351674.000000,-19763351674.000000,9673558769.000000,-1358380343.000000,-8086820.000000,,159241174.000000,-1518046485.000000,8511788.000000,-1358380343.000000,8315178426.000000,-3214170423.000000,5101008003.000000,,5101008003.000000,,,,5101008003.000000,5101008003.000000,5659481724.000000,-558473721.000000,5101008003.000000,5101008003.000000,5659481724.000000,-558473721.000000,5101008003.000000
12M 2019,149902778389.000000,-4357854462.000000,-4357854462.000000,-4357854462.000000,145544923927.000000,-96910615157.000000,-96910615157.000000,-96910615157.000000,48634308770.000000,-2237281125.000000,-1257452.000000,1275069522.000000,505497202.000000,-5728520532.000000,1711930135.000000,-2237281125.000000,46397027645.000000,-14370822120.000000,32026205525.000000,,32026205525.000000,-986737805.000000,,-986737805.000000,31039467720.000000,32026205525.000000,34095359286.000000,-2069153761.000000,32026205525.000000,31039467720.000000,33127346866.000000,-2087879146.000000,31039467720.000000
12M 2020,72881606727.000000,-8157714475.000000,-8157714475.000000,-8157714475.000000,64723892252.000000,-86282763301.000000,-86282763301.000000,-86282763301.000000,-21558871049.000000,-21971598574.000000,-34693304.000000,-5636147778.000000,291921062.000000,-4524759630.000000,-12067918924.000000,-21971598574.000000,-43530469623.000000,-6057187330.000000,-49587656953.000000,,-49587656953.000000,385086062.000000,,385086062.000000,-49202570891.000000,-49587656953.000000,-44920240881.000000,-4667416072.000000,-49587656953.000000,-49202570891.000000,-44541906151.000000,-4660664740.000000,-49202570891.000000
12M 2021,69662826371.000000,-1477159386.000000,-1477159386.000000,-1477159386.000000,68185666985.000000,-91292325307.000000,-91292325307.000000,-91292325307.000000,-23106658322.000000,-1112198634.000000,-1574479747.000000,-524208230.000000,990774149.000000,-2251231904.000000,2246947098.000000,-1112198634.000000,-24218856956.000000,-2789290943.000000,-27008147899.000000,,-27008147899.000000,259970657.000000,,259970657.000000,-26748177242.000000,-27008147899.000000,-19741684150.000000,-7266463749.000000,-27008147899.000000,-26748177242.000000,-19551657843.000000,-7196519399.000000,-26748177242.000000
12M 2022,68505823794.000000,-17008254001.000000,-17008254001.000000,-17008254001.000000,51497569793.000000,-146047364170.000000,-146047364170.000000,-146047364170.000000,-94549794377.000000,-3437303887.000000,301629300.000000,-1261316489.000000,334224838.000000,-2558205945.000000,-253635591.000000,-3437303887.000000,-97987098264.000000,-1597717332.000000,-99584815596.000000,,-99584815596.000000,-5445407483.000000,,-5445407483.000000,-105030223079.000000,-99584815596.000000,-41529047165.000000,-58055768431.000000,-99584815596.000000,-105030223079.000000,-45614404195.000000,-59415818884.000000,-105030223079.000000
12M 2023,86235643107.000000,-33859867718.000000,-33859867718.000000,-33859867718.000000,52375775389.000000,-146493729798.000000,-146493729798.000000,-146493729798.000000,-94117954409.000000,-6824244895.000000,-1445172374.000000,-1239881317.000000,366830515.000000,-2328832771.000000,-2177188948.000000,-6824244895.000000,-100942199304.000000,-1868185202.000000,-102810384506.000000,,-102810384506.000000,-484748343.000000,,-484748343.000000,-103295132849.000000,-102810384506.000000,-47308056234.000000,-55502328272.000000,-102810384506.000000,-103295132849.000000,-47387617151.000000,-55907515698.000000,-103295132849.000000
