Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Penerimaan Pendapatan Keuangan,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Pajak Penghasilan,Penerimaan (Pembayaran) Untuk Kegiatan Operasional Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Arus Kas Masuk Dari Restrukturisasi,Penerimaan Dividen Dari Entitas Asosiasi,Penambahan Uang Muka Investasi,Akuisisi Entitas Anak Setelah Dikurangi Kas Yang Diperoleh,Pembayaran Dari Kegiatan Investasi Lainnya,Uang Muka Untuk Perolehan Aset Tetap,Pembelian Aset Tak Berwujud,(Perolehan) Pelepasan Aset Hak Guna,Penjualan Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Penambahan) Dari Piutang Pihak Berelasi,Penerimaan (Pembayaran) Dari Utang Pihak Berelasi,Penerimaan Obligasi Konversi,Setoran Modal Dari Kepentingan Nonpengendali,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Penerimaan Utang Bank,Pembayaran Liabilitas Sewa,Tambahan Modal Melalui Penawaran Umum Perdana,Pembayaran Dari Kegiatan Investasi Lainnya,Pembayaran Dividen Entitas Anak,Pembayaran Dividen,Pembayaran Biaya Emisi Saham,Penerimaan Dan Pengeluaran Kas Lainnya Dari Aktivitas Pendanaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Pada Awal Tahun,Dampak Selisih Kurs Terhadap Kas Dan Setara Kas,Kas Dan Setara Kas Pada Akhir Tahun
12M 2014,-7973738013.000000,52690301514.000000,-41357188397.000000,,6291897230.000000,-6184248567.000000,-16498210419.000000,-2916289374.000000,-7973738013.000000,-865394159.000000,,,,,,,,,,-865394159.000000,-865394159.000000,5596212225.000000,52401561011.000000,499143806.000000,,,-16000000000.000000,,,,,,-31304492592.000000,,,,5596212225.000000,-3242919947.000000,19437308705.000000,,16194388758.000000
12M 2015,25407187214.000000,105655213235.000000,-60008992452.000000,,7221148298.000000,-6972771179.000000,-9230288650.000000,-11257122038.000000,25407187214.000000,-1282743575.000000,33650000.000000,,,,,,,,,-1316393575.000000,-1282743575.000000,-21668995299.000000,4893292953.000000,-10562288252.000000,,,-16000000000.000000,,,,,,,,,,-21668995299.000000,2455448340.000000,16194388758.000000,,18649837098.000000
12M 2016,53987101263.000000,123560336296.000000,-49727300010.000000,,4998276211.000000,-2886439931.000000,-11635891943.000000,-10321879360.000000,53987101263.000000,-21810844966.000000,,,-20334000000.000000,,,,,,,-1476844966.000000,-21810844966.000000,-480187484.000000,-12028916512.000000,,,,-31050000000.000000,,,,51213300000.000000,,-4551223206.000000,-2678848440.000000,-1384499326.000000,,-480187484.000000,31696068813.000000,18649837098.000000,,50345905911.000000
12M 2017,12934539172.000000,111192514157.000000,-74987627829.000000,,1295957282.000000,-4104665247.000000,-20852309548.000000,390670357.000000,12934539172.000000,-80382110320.000000,,,,-74474581526.000000,,-1528603254.000000,,,,-4378925540.000000,-80382110320.000000,22113025792.000000,6324569454.000000,1603208542.000000,,,-8950000000.000000,-3328911804.000000,48000000000.000000,,,,,-21535840400.000000,,,22113025792.000000,-45334545356.000000,50345905911.000000,,5011360555.000000
12M 2018,10395539449.000000,35628337691.000000,-19854315573.000000,,159241174.000000,-1518046485.000000,-2991618257.000000,-1028059101.000000,10395539449.000000,-60134314.000000,,,,,-26.000000,,,,,-60134288.000000,-60134314.000000,-1995598834.000000,104401167.000000,,,,,,-2100000001.000000,,,,,,,,-1995598834.000000,8339806301.000000,16315706074.000000,,24655512375.000000
12M 2019,17655184068.000000,128280953480.000000,-90574424562.000000,,505497202.000000,-5728520532.000000,-16231281488.000000,1402959968.000000,17655184068.000000,-3999997758.000000,,748687478.000000,,,,-116000000.000000,-1176325000.000000,,,-3456360236.000000,-3999997758.000000,-19191697099.000000,-2644833884.000000,,,200000000.000000,,-9600000000.000000,,,,,-55793815.000000,-7091069400.000000,,,-19191697099.000000,-5536510789.000000,16315706074.000000,,10779195285.000000
12M 2020,18011389640.000000,114780833649.000000,-82123701713.000000,,291921062.000000,-4524759630.000000,-5801904866.000000,-4610998862.000000,18011389640.000000,-1799140251.000000,,,,,,-133077491.000000,-914956038.000000,,,-751106722.000000,-1799140251.000000,7050394670.000000,7685938214.000000,-18664569304.000000,25513352815.000000,,,-3990000000.000000,,-3494327055.000000,,,,,,,7050394670.000000,23262644059.000000,10779195285.000000,,34041839344.000000
12M 2021,-56847072178.000000,72637632632.000000,-120172826237.000000,,990774149.000000,-2806754056.000000,-6171136488.000000,-1324762178.000000,-56847072178.000000,-5562124879.000000,,,,,,-423264128.000000,-8375925283.000000,,,3237064532.000000,-5562124879.000000,60069982278.000000,-2947718948.000000,-1066407498.000000,,70000000000.000000,,-5300000001.000000,,-615891275.000000,,,,,,,60069982278.000000,-2339214779.000000,34041839344.000000,,31702624565.000000
12M 2022,-128479433277.000000,72546858594.000000,-185787595936.000000,,333536468.000000,-2558205945.000000,-12670341236.000000,-343685222.000000,-128479433277.000000,-49556063846.000000,,,,,,-3170636460.000000,-35989293283.000000,,,-10396134103.000000,-49556063846.000000,333149814213.000000,-30116226479.000000,-257224743.000000,338216500000.000000,35010000000.000000,,-4200000000.000000,,-5503234565.000000,,,,,,,333149814213.000000,155114317090.000000,31702624564.000000,,186816941654.000000
12M 2023,-96051119946.000000,80213673249.000000,-161958095167.000000,,366830515.000000,-2328832771.000000,-7086594645.000000,-5258101127.000000,-96051119946.000000,-34617093774.000000,,,,,,-12051525611.000000,-17043572409.000000,-5059040726.000000,,-462955028.000000,-34617093774.000000,2986519949.000000,15215216127.000000,-274728657.000000,,,,-6750000000.000000,,-5203967521.000000,,,,,,,2986519949.000000,-127681693771.000000,186816941654.000000,,59135247883.000000
