Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Piutang Pihak Berelasi,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Tetap,Aset Pajak Tangguhan,Goodwill,Investasi Pada Entitas Asosiasi,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Liabilitas Keuangan Lainnya,Beban Akrual,Utang Pajak,Utang Pihak Berelasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Obligasi Konversi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,19437308705.000000,64038357515.000000,10666515436.000000,53371842079.000000,64038357515.000000,,,84995755555.000000,3092682065.000000,171564103840.000000,,9050296440.000000,4862293189.000000,843533726.000000,,,,104409000.000000,14860532355.000000,186424636195.000000,,,110195219657.000000,72000000000.000000,,1948446856.000000,1371661977.000000,33424456783.000000,,,,,,1450654041.000000,110195219657.000000,12612642696.000000,10062841446.000000,,,,,,,2549801250.000000,12612642696.000000,122807862353.000000,,9139600000.000000,-12762183333.000000,39620225090.000000,,39620225090.000000,39620225090.000000,,27619132085.000000,63616773842.000000,186424636195.000000,9139600.000000
12M 2014,,,16194388758.000000,64339499279.000000,15062055402.000000,49277443877.000000,64339499279.000000,,,49562008891.000000,10545745748.000000,140641642676.000000,,13010595940.000000,3806669247.000000,871887035.000000,,,,7330764000.000000,25019916222.000000,165661558898.000000,,,97905884847.000000,56000000000.000000,1382247900.000000,1907080069.000000,975747756.000000,19737804816.000000,,,,,,17903004306.000000,97905884847.000000,14049836388.000000,10562288252.000000,,,,,,,3487548136.000000,14049836388.000000,111955721235.000000,,9139600000.000000,-12762183333.000000,34225918631.000000,,34225918631.000000,34225918631.000000,,23102502365.000000,53705837663.000000,165661558898.000000,9139600.000000
12M 2015,,,18649837098.000000,60674638221.000000,13097899268.000000,47576738953.000000,60674638221.000000,,,46151554195.000000,4010256371.000000,129486285885.000000,,11527757683.000000,3465170179.000000,1223024968.000000,,,,10562820156.000000,26778772986.000000,156265058871.000000,,,63107717278.000000,40000000000.000000,,1934390041.000000,617616237.000000,13968646136.000000,,,,,,6587064864.000000,63107717278.000000,4892099868.000000,,,,,,,,4892099868.000000,4892099868.000000,67999817146.000000,,45698000000.000000,-20067184351.000000,52930517255.000000,,52930517255.000000,52930517255.000000,3000000.000000,9700908821.000000,88265241725.000000,156265058871.000000,456980000.000000
12M 2016,,,50345905911.000000,51310271973.000000,11689608495.000000,39620663478.000000,51310271973.000000,,,49110244126.000000,5012738974.000000,155779160984.000000,,28847984264.000000,3476634226.000000,2285335646.000000,,,,20470468000.000000,55080422136.000000,210859583120.000000,,,29482324890.000000,8950000000.000000,,2602133526.000000,3315631561.000000,9220746464.000000,,,,,,5393813339.000000,29482324890.000000,6140437579.000000,,,,,,,,6140437579.000000,6140437579.000000,35622762469.000000,,52526440000.000000,20079130967.000000,92927340863.000000,,92927340863.000000,92927340863.000000,3000000.000000,9700908821.000000,175236820651.000000,210859583120.000000,525264400.000000
12M 2017,,,5011360555.000000,70196799696.000000,16258870326.000000,53937929370.000000,70196799696.000000,,,42595393530.000000,4414258607.000000,122217812388.000000,,30278783313.000000,6134632843.000000,4719200648.000000,49650572365.000000,33600814527.000000,68713472797.000000,2394911754.000000,195492388247.000000,317710200635.000000,,,29674134616.000000,,,2476862540.000000,10860136353.000000,3870996292.000000,,,7484839734.000000,,7484839734.000000,4981299697.000000,29674134616.000000,92781421400.000000,27729226449.000000,,,37186248462.000000,,37186248462.000000,17178368199.000000,10687578290.000000,92781421400.000000,122455556016.000000,,52526440000.000000,20079130967.000000,100873574350.000000,,100873574350.000000,100873574350.000000,12074590481.000000,9700908821.000000,195254644619.000000,317710200635.000000,525264400.000000
12M 2018,,,24655512375.000000,75450879235.000000,20180214421.000000,55270664814.000000,75450879235.000000,,,36120193530.000000,4980569148.000000,141207154288.000000,,29975381915.000000,9760121535.000000,3917207714.000000,49650572365.000000,34528178819.000000,68713472797.000000,1240895500.000000,197785830645.000000,338992984933.000000,,,25640736384.000000,,,2156355583.000000,3377568124.000000,4410058349.000000,,,9600000000.000000,,9600000000.000000,6096754328.000000,25640736384.000000,85060293716.000000,21728626449.000000,,,36426765741.000000,,36426765741.000000,15927821059.000000,10977080467.000000,85060293716.000000,110701030100.000000,,52526440000.000000,20079130967.000000,136528608207.000000,,136528608207.000000,136528608207.000000,9456866838.000000,9700908821.000000,228291954833.000000,338992984933.000000,5252644000.000000
12M 2019,,,10779195285.000000,98842669026.000000,23815821671.000000,75026847355.000000,98842669026.000000,,334197898.000000,36120193526.000000,3892767295.000000,149969023030.000000,,32724616969.000000,10393228347.000000,6680997581.000000,49650572365.000000,34895068790.000000,69840957215.000000,981182500.000000,205166623767.000000,355135646797.000000,,,48097802015.000000,,,5008750745.000000,5962140640.000000,5486336950.000000,18799400000.000000,,10800000000.000000,,10800000000.000000,2041173680.000000,48097802015.000000,59754293447.000000,2929226449.000000,,,27726765742.000000,,27726765742.000000,15728086756.000000,13370214500.000000,59754293447.000000,107852095462.000000,,52526440000.000000,20079130967.000000,156905403949.000000,,156905403949.000000,156905403949.000000,8071667598.000000,9700908821.000000,247283551335.000000,355135646797.000000,5252644000.000000
12M 2020,,,34041839344.000000,54971182899.000000,15967286377.000000,39003896522.000000,54971182899.000000,,603151714.000000,51396833388.000000,2485810426.000000,143498817771.000000,,2574096859.000000,7101337301.000000,3020967535.000000,44534564119.000000,28950429462.000000,70555787617.000000,16888238189.000000,173625421082.000000,317124238853.000000,,,23239716501.000000,,,1899374974.000000,6832084165.000000,2704600816.000000,,,6600000000.000000,2617396107.000000,9217396107.000000,2586260439.000000,23239716501.000000,97277873583.000000,3064057145.000000,25389000000.000000,,27936765742.000000,10105987501.000000,38042753243.000000,14361583222.000000,16420479973.000000,97277873583.000000,120517590084.000000,,52526440000.000000,20079130967.000000,111056973156.000000,,111056973156.000000,111056973156.000000,4080031363.000000,8864073283.000000,196606648769.000000,317124238853.000000,5252644000.000000
12M 2021,,,31702624564.000000,53035631439.000000,18810352609.000000,34225278830.000000,53035631439.000000,,5516066758.000000,51058593686.000000,8047167337.000000,149360083784.000000,,3016989277.000000,4900117110.000000,2852523261.000000,44534564118.000000,28417215726.000000,78940718407.000000,17208844586.000000,179870972485.000000,329231056269.000000,,,21524477733.000000,,,387048466.000000,8468834171.000000,4068373146.000000,,,4200000000.000000,3617772942.000000,7817772942.000000,782449008.000000,21524477733.000000,62888534255.000000,2007587277.000000,,,25036765741.000000,8489719391.000000,33526485132.000000,14193509217.000000,13160952629.000000,62888534255.000000,84413011988.000000,,52526440000.000000,25038703722.000000,91505315313.000000,,91505315313.000000,91505315313.000000,66883511964.000000,8864073283.000000,244818044282.000000,329231056270.000000,5252644000.000000
12M 2022,,,186816941654.000000,48033756812.000000,14564131185.000000,33469625627.000000,48033756812.000000,,7875000.000000,76906275490.000000,27514207570.000000,339279056526.000000,,4449164804.000000,12136108918.000000,4096182222.000000,44534564118.000000,27155899238.000000,134321765781.000000,26467025318.000000,253160710399.000000,592439766925.000000,,,29346473122.000000,,1232290067.000000,170978951.000000,14030853995.000000,2322950750.000000,,,6750000000.000000,4042080624.000000,10792080624.000000,797318735.000000,29346473122.000000,394651472600.000000,2293558132.000000,338216500000.000000,,18286765741.000000,9062308521.000000,27349074262.000000,14700481764.000000,12091858442.000000,394651472600.000000,423997945722.000000,,52526440000.000000,25038703722.000000,45890911118.000000,,45890911118.000000,45890911118.000000,36121693080.000000,8864073283.000000,168441821203.000000,592439766925.000000,5252644000.000000
