Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Tanah Untuk Dikembangkan,Aset Tetap,Properti Investasi,Aset Pajak Tangguhan,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Pihak Ketiga,Pihak Berelasi,Total Utang Bank Jangka Pendek,Utang Bank,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Beban Akrual,Utang Pembelian Aset Tetap,Pihak Ketiga,Total Utang Pembelian Aset Tetap,Utang Pajak,Utang Pembiayaan Konsumen,Pihak Ketiga,Pihak Berelasi,Total Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Pihak Ketiga,Pihak Berelasi,Total Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Utang Lain-Lain,Liabilitas Pajak Tangguhan,Surat Berharga Jangka Menengah,Utang Jangka Panjang Dari Pihak Berelasi,Adjustment,Others,Total Liabilitas Jangka Panjang,Adjustment,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Adjustment,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,102951135533.000000,,166594662954.000000,,,166594662954.000000,2306683280.000000,930792934878.000000,44521799334.000000,1247167215979.000000,,22966095252.000000,5662888552.000000,6290719050.000000,111337815278.000000,,954452420.000000,,14718488376.000000,161930458928.000000,1409097674907.000000,,,672449708831.000000,,203724225916.000000,2000000000.000000,205724225916.000000,,18107359285.000000,,,18107359285.000000,40697295919.000000,215258719225.000000,,,,9580452043.000000,,1698323262.000000,24857193.000000,1723180455.000000,181358475988.000000,672449708831.000000,195039184050.000000,,,,,,,,,192081098327.000000,,2958085723.000000,195039184050.000000,,867488892881.000000,,320748987000.000000,186614300000.000000,23353043933.000000,1754267040.000000,21598776893.000000,23353043933.000000,11602565510.000000,-710114417.000000,541608782026.000000,,1409097674907.000000,3207489870.000000
12M 2009,,,21100413897.000000,,218443031488.000000,,,218443031488.000000,1217734994.000000,860787685255.000000,29393068577.000000,1130941934211.000000,,5353650909.000000,5687038705.000000,7224720600.000000,160311149978.000000,,,,13669405568.000000,192245965760.000000,1323187899971.000000,,,571432364644.000000,,142054720458.000000,3831046000.000000,145885766458.000000,,10505039321.000000,,,10505039321.000000,49126558340.000000,170579137994.000000,,,,8528107577.000000,,160077689.000000,,160077689.000000,186647677265.000000,571432364644.000000,176206047165.000000,,,,,,,,,172253493049.000000,,3952554116.000000,176206047165.000000,,747638411809.000000,,320748987000.000000,186614300000.000000,54649416987.000000,4028302082.000000,50621114905.000000,54649416987.000000,14246898592.000000,-710114417.000000,575549488162.000000,,1323187899971.000000,3207489870.000000
12M 2010,,,21814837307.000000,,88845632389.000000,,,88845632389.000000,9431073780.000000,878946473560.000000,6415474122.000000,1005453491158.000000,,11727928070.000000,5492642064.000000,8816113607.000000,9910409289.000000,136434738422.000000,,,6850617957.000000,179232449409.000000,1184685940567.000000,,,481945778588.000000,,78364688230.000000,3033069342.000000,81397757572.000000,,38206459406.000000,,,38206459406.000000,54637003152.000000,136139829434.000000,,,,6774693588.000000,,907167337.000000,,907167337.000000,163882868099.000000,481945778588.000000,93527390243.000000,,,,,,,,,88709140498.000000,,4818249745.000000,93527390243.000000,,575473168831.000000,,320749150200.000000,186614691680.000000,86614571443.000000,5593120735.000000,81021450708.000000,86614571443.000000,15944472830.000000,-710114417.000000,609212771736.000000,,1184685940567.000000,3207489870.000000
12M 2011,,,47321406983.000000,,145124946853.000000,,,145124946853.000000,1363347721.000000,860096832227.000000,10621582226.000000,1064528116010.000000,,21265212718.000000,5519266371.000000,,9661748437.000000,129467040029.000000,,,5814383403.000000,171727650958.000000,1236255766968.000000,,,373898573010.000000,,6894112039.000000,,6894112039.000000,,,51242188318.000000,6566321860.000000,57808510178.000000,49650903916.000000,187839970284.000000,,387472759.000000,387472759.000000,11183110394.000000,,,,,60134493440.000000,373898573010.000000,210784261540.000000,,112529536541.000000,,112529536541.000000,920077559.000000,,,,85524753017.000000,,11809894423.000000,210784261540.000000,,584682834550.000000,,320749150200.000000,186614691680.000000,120684011160.000000,5593120735.000000,115090890425.000000,120684011160.000000,24235193795.000000,-710114417.000000,651572932418.000000,,1236255766968.000000,3207491502.000000
12M 2012,,,45960939519.000000,,174645892912.000000,,,174645892912.000000,1080681475.000000,848866211145.000000,21203346621.000000,1091757071672.000000,,27492455628.000000,6160662347.000000,46622436192.000000,10537436122.000000,122789227700.000000,,,4892004343.000000,218494222332.000000,1310251294004.000000,,,395876621344.000000,,57487663992.000000,,57487663992.000000,,,38040721761.000000,8919394.000000,38049641155.000000,46348002602.000000,143384167616.000000,,1436752790.000000,1436752790.000000,15234482359.000000,,,,,93935910830.000000,395876621344.000000,211331474271.000000,,124227157966.000000,,124227157966.000000,,,,,79899160018.000000,,7205156287.000000,211331474271.000000,,607208095615.000000,,427665533600.000000,79698308280.000000,169861085598.000000,7835853972.000000,162025231626.000000,169861085598.000000,26528385328.000000,-710114417.000000,703043198389.000000,,1310251294004.000000,4276655336.000000
12M 2013,,,44513544956.000000,,169900545974.000000,,,169900545974.000000,232320089.000000,886863680796.000000,9101778611.000000,1110611870426.000000,,53958453951.000000,3800123468.000000,,16737477653.000000,116460635544.000000,,,31077977367.000000,222034667983.000000,1332646538409.000000,,,285478749502.000000,,55339999992.000000,,55339999992.000000,,,42836951857.000000,,42836951857.000000,38086267629.000000,71865463448.000000,,1525491996.000000,1525491996.000000,15383268608.000000,,,,,60441305972.000000,285478749502.000000,246249950982.000000,,210635000013.000000,,210635000013.000000,1704870089.000000,,,,24761023275.000000,,9149057605.000000,246249950982.000000,,531728700484.000000,,427665533600.000000,78988193863.000000,260038550853.000000,10649929133.000000,249388621720.000000,260038550853.000000,34829074740.000000,-603515131.000000,800917837925.000000,,1332646538409.000000,4276655336.000000
12M 2014,,,69582674841.000000,,199168786733.000000,,,199168786733.000000,6254426975.000000,820796712694.000000,19119149051.000000,1114921750294.000000,,86772103170.000000,100000001.000000,151476510980.000000,17227075837.000000,114947344963.000000,,,32131559643.000000,402654594594.000000,1517576344888.000000,,,374499937424.000000,,46581666655.000000,,46581666655.000000,,,147765792285.000000,,147765792285.000000,35297354945.000000,43457659609.000000,,1878344230.000000,1878344230.000000,30210260486.000000,,,,,69308859214.000000,374499937424.000000,253110808063.000000,,210071341812.000000,,210071341812.000000,350198400.000000,,,,29791646208.000000,,12897621643.000000,253110808063.000000,,627610745487.000000,,427665533600.000000,78988193863.000000,340976464202.000000,15975502400.000000,325000961802.000000,340976464202.000000,42938922867.000000,-603515131.000000,889965599401.000000,,1517576344888.000000,4276655336.000000
12M 2015,,,73517689222.000000,,182478512143.000000,,,182478512143.000000,11452145385.000000,1060032312701.000000,33133983485.000000,1360614642936.000000,,47794774784.000000,1285583428.000000,,46836969981.000000,109247991266.000000,,,8394609769.000000,213559929228.000000,1574174572164.000000,,,435263158794.000000,25000000000.000000,,,25000000000.000000,151420265973.000000,70129849817.000000,,,70129849817.000000,32769421629.000000,12636706179.000000,700605540.000000,,700605540.000000,28480527271.000000,,,,,114125782385.000000,435263158794.000000,191680645856.000000,95565936836.000000,,,95565936836.000000,180854141.000000,,,,72984216389.000000,,22949638490.000000,191680645856.000000,,626943804650.000000,,427665533600.000000,78988193863.000000,414657313618.000000,20555556007.000000,394101757611.000000,414657313618.000000,26523241564.000000,-603515131.000000,947230767514.000000,,1574174572164.000000,4276655336.000000
12M 2016,,,116582193078.000000,,181733668442.000000,,,181733668442.000000,9141766928.000000,1066031523356.000000,23579836860.000000,1397068988664.000000,,15802211171.000000,3021734942.000000,,41472617337.000000,102894222606.000000,,,9059256158.000000,172250042214.000000,1569319030878.000000,,,331170103999.000000,,,,,109615866667.000000,61595764146.000000,,,61595764146.000000,24578503313.000000,12209145728.000000,83474800.000000,,83474800.000000,28286712443.000000,,,,,94800636902.000000,331170103999.000000,227969211184.000000,200372523777.000000,,,200372523777.000000,79880000.000000,,,,9940000000.000000,,17576807407.000000,227969211184.000000,,559139315183.000000,,427665533600.000000,69355604481.000000,443793361121.000000,22013422490.000000,421779938631.000000,443793361121.000000,69968731624.000000,-603515131.000000,1010179715695.000000,,1569319030878.000000,4276655336.000000
12M 2017,,,54153060411.000000,,164987104171.000000,,,164987104171.000000,13729324700.000000,998447496322.000000,19983702113.000000,1251300687717.000000,,31409719166.000000,96383699.000000,,65183156420.000000,143976983770.000000,,,7495097439.000000,248161340494.000000,1499462028211.000000,,,272405382675.000000,,,,,102370994628.000000,30167579518.000000,,,30167579518.000000,34566774461.000000,8171478213.000000,116334576.000000,,116334576.000000,14940886552.000000,,,,,82071334727.000000,272405382675.000000,193744973339.000000,141567862466.000000,,,141567862466.000000,555451354.000000,,,,31759717135.000000,,19861942384.000000,193744973339.000000,,466150356014.000000,,427665533600.000000,69605604481.000000,461077720148.000000,22953422490.000000,438124297658.000000,461077720148.000000,75566329099.000000,-603515131.000000,1033311672197.000000,,1499462028211.000000,4276655336.000000
