Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Adjustment,Others,Total Beban Usaha,Adjustment,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Bagian Atas Hasil Bersih Entitas Asosiasi,Final,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Adjustment,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,305945500397.000000,-173044652310.000000,132900848087.000000,-75428674187.000000,-20677339008.000000,-54751335179.000000,,,-75428674187.000000,,57472173900.000000,-25269366993.000000,7341552124.000000,-36971897620.000000,,,,,4360978503.000000,-25269366993.000000,,32202806907.000000,-20890020644.000000,11312786263.000000,57388949.000000,11370175212.000000,,,11370175212.000000,11312786263.000000,57388949.000000,11370175212.000000,,,,
12M 2009,305373225589.000000,-159417593498.000000,145955632091.000000,-88031855410.000000,-18997402016.000000,-69034453394.000000,,,-88031855410.000000,,57923776681.000000,-23945587115.000000,5655989374.000000,-34151808523.000000,,,,,4550232034.000000,-23945587115.000000,,33978189566.000000,-4037483892.000000,29940705674.000000,1355667380.000000,31296373054.000000,,,31296373054.000000,29940705674.000000,1355667380.000000,31296373054.000000,,,,
12M 2010,309333090543.000000,-169442875147.000000,139890215396.000000,-84494105616.000000,-17909193590.000000,-66584912026.000000,,,-84494105616.000000,,55396109780.000000,-15557129374.000000,1131685651.000000,-23194554991.000000,268032500.000000,,,,6237707466.000000,-15557129374.000000,,39838980406.000000,-6944289246.000000,32894691160.000000,2277953265.000000,35172644425.000000,,,35172644425.000000,32894691160.000000,2277953265.000000,35172644425.000000,,,,
12M 2011,389474167604.000000,-208793412855.000000,180680754749.000000,-102009389393.000000,-16415765858.000000,-85593623535.000000,,,-102009389393.000000,,78671365356.000000,-22274695841.000000,1942314669.000000,-16053804238.000000,,,,,-8163206272.000000,-22274695841.000000,,56396669515.000000,-11542004782.000000,44854664733.000000,,44854664733.000000,,44854664733.000000,44854664733.000000,36563943768.000000,8290720965.000000,44854664733.000000,44854664733.000000,36563943768.000000,8290720965.000000,44854664733.000000
12M 2012,356609763330.000000,-163575066324.000000,193034697006.000000,-92655348944.000000,-23098788730.000000,-69556560214.000000,,,-92655348944.000000,,100379348062.000000,-22644803413.000000,2890729281.000000,-15440433281.000000,,,,,-10095099413.000000,-22644803413.000000,,77734544649.000000,-21453041425.000000,56281503224.000000,,56281503224.000000,,56281503224.000000,56281503224.000000,53988311691.000000,2293191533.000000,56281503224.000000,56281503224.000000,53988311691.000000,2293191533.000000,56281503224.000000
12M 2013,518770543344.000000,-216711374233.000000,302059169111.000000,-137743661608.000000,-28688104343.000000,-109055557265.000000,,,-137743661608.000000,,164315507503.000000,-33798311406.000000,3820352498.000000,-27979839912.000000,,-1560538879.000000,,,-8078285113.000000,-33798311406.000000,,130517196097.000000,-24005730756.000000,106511465341.000000,,106511465341.000000,,106511465341.000000,106511465341.000000,98710775929.000000,7800689412.000000,106511465341.000000,106511465341.000000,98710775929.000000,7800689412.000000,106511465341.000000
12M 2014,565400437108.000000,-282834237097.000000,282566200011.000000,-139603368848.000000,-23922129472.000000,-115681239376.000000,,,-139603368848.000000,,142962831163.000000,-14739725240.000000,3418662302.000000,-32806505512.000000,,-2345382563.000000,,,16993500533.000000,-14739725240.000000,,128223105923.000000,-36622033775.000000,91601072148.000000,,91601072148.000000,,91601072148.000000,91601072148.000000,89491224021.000000,2109848127.000000,91601072148.000000,91601072148.000000,89491224021.000000,2109848127.000000,91601072148.000000
12M 2015,416124379635.000000,-182844123923.000000,233280255712.000000,-143996053491.000000,-24951975368.000000,-119044078123.000000,,,-143996053491.000000,,89284202221.000000,-15453088811.000000,5854671221.000000,-32505051528.000000,,1185583428.000000,,,10011708068.000000,-15453088811.000000,,73831113410.000000,-937789243.000000,72893324167.000000,,72893324167.000000,3129765651.000000,76023089818.000000,72893324167.000000,90214393303.000000,-17321069136.000000,72893324167.000000,76023089818.000000,93484471094.000000,-17461381276.000000,76023089818.000000
12M 2016,429022624427.000000,-209339886668.000000,219682737759.000000,-154466251095.000000,-26207058566.000000,-128259192529.000000,,,-154466251095.000000,,65216486664.000000,-17885284141.000000,4669083667.000000,-37368113589.000000,,3336151514.000000,,,11477594267.000000,-17885284141.000000,,47331202523.000000,-335432750.000000,46995769773.000000,,46995769773.000000,6741455088.000000,53737224861.000000,46995769773.000000,43508864295.000000,3486905478.000000,46995769773.000000,53737224861.000000,50519324183.000000,3217900678.000000,53737224861.000000
12M 2017,366751537542.000000,-169752030281.000000,196999507261.000000,-148311521594.000000,-29202987691.000000,-119108533903.000000,,,-148311521594.000000,,48687985667.000000,-10727724908.000000,2934237206.000000,-34611583768.000000,,-25351243.000000,,,20974972897.000000,-10727724908.000000,,37960260759.000000,-644174321.000000,37316086438.000000,,37316086438.000000,-1614813926.000000,35701272512.000000,37316086438.000000,31854411214.000000,5461675224.000000,37316086438.000000,35701272512.000000,30103675037.000000,5597597475.000000,35701272512.000000
