Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada:,Pemasok,Karyawan,Total Pembayaran Kas Kepada:,Penghasilan Bunga,Beban Bunga Dan Keuangan,Beban Pajak,Kegiatan Operasional Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Akuisisi Tambahan Kepemilikan Pada Entitas Anak,Penjualan (Perolehan) Aset Tetap :,Perolehan Aset Tetap,Penjualan Aset Tetap,Total Penjualan (Perolehan) Aset Tetap :,Penambahan (Pembayaran) Utang Pembiayaan Konsumen,Penambahan Investasi Pada Entitas Asosiasi,Penurunan Investasi Efek,Pelepasan Investasi Efek,Uang Muka Investasi Pada Entitas Asosiasi,Pembayaran Tambang Pada Tahap Produksi,Penambahan Properti Investasi,Penjualan Properti Investasi,Penjualan Investasi Jangka Pendek,Perolehan Investasi Pada Entitas Anak,Penerimaan Dividen,Pembayaran Untuk Uang Muka Tanah,Penambahan Tanah Untuk Dikembangkan,Penurunan Aset-Aset Lain,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pelunasan) Pinjaman Dari Pihak Berelasi,Penerimaan (Pelunasan) Pinjaman Kepada Pihak Berelasi,Penerimaan (Pelunasan) Surat Berharga,Kenaikan (Penurunan) Piutang Pihak Berelasi,Penerimaan (Pembayaran) Utang Bank,Pembayaran,Penerimaan,Total Penerimaan (Pembayaran) Utang Bank,Setoran Modal,Pembayaran Dividen,Penambahan Hak Minoritas,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Kepada Pihak Ketiga,Penerimaan Utang Pembelian Aset Tetap,Pembayaran Utang Pembelian Aset Tetap,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Pendanaan,Setoran Modal Entitas Anak Oleh Kepentingan Non Pengendali,Perolehan Saham Treasuri,Konversi Waran Menjadi Saham,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Penambahan Setara Kas Yang Dibatasi Penggunaannya,Kas Dan Setara Kas Bersih Dari Entitas Anak Yang Baru Dikendalikan Pada Tahun Berjalan,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,8475993708.000000,367746221487.000000,,-285806219300.000000,-24390177830.000000,-310196397130.000000,7362200608.000000,-37411449773.000000,-23289353331.000000,4264771847.000000,,8475993708.000000,-181364268342.000000,,,-7107332124.000000,,-7107332124.000000,,-173691520000.000000,-565416218.000000,,,,,,,,,,,,,-181364268342.000000,121296496191.000000,174354410506.000000,,,,,-48845838252.000000,,-48845838252.000000,,,,-4212076063.000000,,,,,,,,,121296496191.000000,,-51591778443.000000,,,,154542913976.000000,102951135533.000000
12M 2009,-10623700937.000000,299273342315.000000,,-247316271673.000000,-27017835035.000000,-274334106708.000000,5655989374.000000,-32046894736.000000,-12458599775.000000,3286568593.000000,,-10623700937.000000,-7610297540.000000,,,-1810797540.000000,200500000.000000,-1610297540.000000,,-16000000000.000000,,10000000000.000000,,,,,,,,,,,,-7610297540.000000,-63616723159.000000,17612444343.000000,-19827605278.000000,,,,-61669505458.000000,1831046000.000000,-59838459458.000000,,,,-1563102766.000000,,,,,,,,,-63616723159.000000,,-81850721636.000000,,,,102951135533.000000,21100413897.000000
12M 2010,118639720766.000000,416280680212.000000,,-212288268863.000000,-35804926774.000000,-248093195637.000000,1131685651.000000,-26272348409.000000,-11299333410.000000,-13107767641.000000,,118639720766.000000,38615502669.000000,,,-3528108598.000000,517656250.000000,-3010452348.000000,,,,25000000000.000000,,,,10779538623.000000,,,,,-1591393007.000000,7437809401.000000,,38615502669.000000,-156513800025.000000,-6374277161.000000,-81315271386.000000,,,,-65521078228.000000,,-65521078228.000000,,-3207489870.000000,,-96238260.000000,,,,,,,554880.000000,,-156513800025.000000,-27000000.000000,714423410.000000,,,,21100413897.000000,21814837307.000000
12M 2011,9319357493.000000,276423411122.000000,,-196617834881.000000,-31984327879.000000,-228602162760.000000,1900677382.000000,-16053804238.000000,-14481927917.000000,-9866836096.000000,,9319357493.000000,-5939193102.000000,,,-3756748958.000000,829082414.000000,-2927666544.000000,,,,,,,-6192634193.000000,3056275438.000000,1928595097.000000,,,,-1803762900.000000,,,-5939193102.000000,22126405284.000000,,-3184387482.000000,,-9537284649.000000,38025891918.000000,,,38025891918.000000,,-2494504051.000000,,,,,-683310452.000000,,,,,,22126405284.000000,,25506569675.000000,,,,21814837307.000000,47321406982.000000
12M 2012,-40794147555.000000,376278414437.000000,,-216462964378.000000,-26603097714.000000,-243066062092.000000,747407331.000000,-9194232735.000000,-19691078965.000000,-145868595531.000000,,-40794147555.000000,-13930852079.000000,,,-3700305304.000000,769880212.000000,-2930425092.000000,,,,,-10002047725.000000,,-998379262.000000,,,,,,,,,-13930852079.000000,53364532170.000000,25830286592.000000,,,-29727975721.000000,,-35708826623.000000,98000000000.000000,62291173377.000000,,-4811237253.000000,,,,,-217714825.000000,,,,,,53364532170.000000,,-1360467464.000000,,,,47321406983.000000,45960939519.000000
12M 2013,21605667371.000000,475351837305.000000,,-226952981582.000000,-55080390200.000000,-282033371782.000000,1943107224.000000,-23826690240.000000,-19638353963.000000,-130190861173.000000,,21605667371.000000,-7564604403.000000,,,-6172213763.000000,26800000.000000,-6145413763.000000,,,,,,,-1419190640.000000,,,,,,,,,-7564604403.000000,-15488457531.000000,-55138136744.000000,,,-33208050596.000000,,-45739821952.000000,130000000000.000000,84260178048.000000,,-8533310674.000000,,,,,-2265622434.000000,,,-603515131.000000,,,-15488457531.000000,,-1447394563.000000,,,,45960939519.000000,44513544956.000000
12M 2014,75002346091.000000,521260202937.000000,,-221451285508.000000,-32527013649.000000,-253978299157.000000,3418662302.000000,-29721798927.000000,-29672424255.000000,-136303996809.000000,,75002346091.000000,-35114123416.000000,,,-5040276551.000000,,-5040276551.000000,,,,,,,-6562872643.000000,,,,,,-23510974222.000000,,,-35114123416.000000,-14819092790.000000,-52953520224.000000,,,57011549100.000000,,-59321991538.000000,50000000000.000000,-9321991538.000000,,-8553310673.000000,,,,,-1001819455.000000,,,,,,-14819092790.000000,,25069129885.000000,,,,44513544956.000000,69582674841.000000
12M 2015,-35390247927.000000,437152512984.000000,,-326375064141.000000,-42295390261.000000,-368670454402.000000,5854671221.000000,-33916495318.000000,-29686308683.000000,-46124173729.000000,,-35390247927.000000,-37484417292.000000,,,-34966315400.000000,,-34966315400.000000,,,,,,,-2518101892.000000,,,,,,,,,-37484417292.000000,58227793006.000000,37161499680.000000,,,17771820346.000000,,-40226805654.000000,55560000000.000000,15333194346.000000,,-10691638417.000000,,,,,-1347082949.000000,,,,,,58227793006.000000,,-14646872213.000000,,,18581886594.000000,69582674841.000000,73517689222.000000
12M 2016,29372761909.000000,410442323096.000000,,-218569074345.000000,-53156637700.000000,-271725712045.000000,4669083667.000000,-37549143000.000000,-16071200084.000000,-60392589725.000000,,29372761909.000000,-23252411351.000000,,,-1940396101.000000,513038305.000000,-1427357796.000000,,-21500000000.000000,,,,,-1925053555.000000,,,,1600000000.000000,,,,,-23252411351.000000,36944153298.000000,-63044216389.000000,,,,,-208397812365.000000,246400000000.000000,38002187635.000000,,-21383276680.000000,,,,,,83369458732.000000,,,,,36944153298.000000,,43064503856.000000,,,,73517689222.000000,116582193078.000000
12M 2017,9839392831.000000,374566378428.000000,,-208559381448.000000,-54020835094.000000,-262580216542.000000,5369522905.000000,-34611583768.000000,-24387828028.000000,-48516880164.000000,,9839392831.000000,656683614.000000,,,-2442605054.000000,204121212.000000,-2238483842.000000,,,,,,,-3884832544.000000,3880000000.000000,,,2900000000.000000,,,,,656683614.000000,-72925209098.000000,21819717124.000000,,,-15607507995.000000,,-107649533350.000000,41600000000.000000,-66049533350.000000,250000000.000000,-12819316007.000000,,,,,-518568870.000000,,,,,,-72925209098.000000,,-62429132653.000000,,,,116582193078.000000,54153060425.000000
