Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Pembiayaan,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Piutang Pihak Berelasi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pembiayaan,Aset Tetap,Aset Pajak Tangguhan,Properti Investasi,Piutang Pihak Berelasi,Goodwill,Investasi Pada Entitas Asosiasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Dari Pihak Berelasi,Liabilitas Derivatif,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Obligasi,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Utang Lain Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Obligasi,Utang Pembiayaan Konsumen,Utang Lain Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Jangka Panjang Dari Pihak Berelasi,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,366512671725.000000,135142750000.000000,515928206996.000000,94915297725.000000,421012909271.000000,515928206996.000000,1173504158643.000000,118690530396.000000,,,118690530396.000000,,698784951817.000000,105385274798.000000,3113948544375.000000,,841296166055.000000,548751406843.000000,119493847796.000000,131586206429.000000,42878855001.000000,,,780559439214.000000,2464565921338.000000,5578514465713.000000,,,3424554071574.000000,1134253084570.000000,,198811804606.000000,463913503709.000000,662725308315.000000,112662807634.000000,,,112662807634.000000,62738366648.000000,101403818494.000000,,,,830485712689.000000,,857216794.000000,58574744702.000000,357604927642.000000,,1247522601827.000000,103248084086.000000,3424554071574.000000,1673943261468.000000,,529396743587.000000,,762082290.000000,642842945493.000000,699831924.000000,1173701603294.000000,29493029.000000,457304012657.000000,,,,,42908152488.000000,1673943261468.000000,5098497333042.000000,,498251340000.000000,136827729800.000000,-373305583053.000000,,,-373305583053.000000,193204631362.000000,25039014562.000000,480017132671.000000,5578514465713.000000,996502680.000000
12M 2009,,,434291054860.000000,,411529814750.000000,50561404990.000000,360968409760.000000,411529814750.000000,965152218179.000000,138267769934.000000,,,138267769934.000000,,766017302117.000000,145394659113.000000,2860652818953.000000,,556932183906.000000,598164887528.000000,129402922253.000000,128202399984.000000,44965686053.000000,,,774827376424.000000,2232495456148.000000,5093148275101.000000,,,3062845925684.000000,1103097498991.000000,,89747695718.000000,750793958655.000000,840541654373.000000,91704542297.000000,,,91704542297.000000,40507336598.000000,100080368821.000000,,,,448329280224.000000,124542141093.000000,502528146.000000,28761460281.000000,208077036666.000000,,810212446410.000000,76702078194.000000,3062845925684.000000,1379468288005.000000,,204105533630.000000,373191948007.000000,199982320.000000,379431892377.000000,325647748.000000,957255004082.000000,6625146350.000000,364790651377.000000,,,,,50797486196.000000,1379468288005.000000,4442314213689.000000,,498251340000.000000,136827729800.000000,-255712131590.000000,,,-255712131590.000000,213502378569.000000,57964744633.000000,650834061412.000000,5093148275101.000000,996502680.000000
12M 2010,,,489799095280.000000,,894986768624.000000,63758365066.000000,831228403558.000000,894986768624.000000,1214662323798.000000,201885973357.000000,108318721029.000000,93567252328.000000,201885973357.000000,,1516370549596.000000,165196847574.000000,4482901558229.000000,,1113224678215.000000,883313745624.000000,27719190497.000000,,,,,1452430957355.000000,3476688571691.000000,7959590129920.000000,,,4216550490159.000000,1666397779889.000000,,162925913049.000000,1240090079947.000000,1403015992996.000000,,206976125000.000000,62954269037.000000,269930394037.000000,53853706880.000000,127767465059.000000,,238892309.000000,,399707977728.000000,169502735558.000000,130536357.000000,199982320.000000,,,569541231963.000000,125805027026.000000,4216550490159.000000,2160459398054.000000,,647587196490.000000,203403282670.000000,,1240442689438.000000,,2091433168598.000000,79209091.000000,,,,,,68947020365.000000,2160459398054.000000,6377009888213.000000,,518489702500.000000,585834052957.000000,228174324527.000000,,228174324527.000000,228174324527.000000,323482872167.000000,-73400710444.000000,1582580241707.000000,7959590129920.000000,1036979405.000000
12M 2011,,,1609296007519.000000,,1222619247190.000000,100355141260.000000,1122264105930.000000,1222619247190.000000,1689940734206.000000,164095577746.000000,21946549007.000000,142149028739.000000,164095577746.000000,,2427737241367.000000,291949793680.000000,7405638601708.000000,,1529632964330.000000,1876846372611.000000,152824855825.000000,153639334579.000000,13348000.000000,,,1795346168989.000000,5508303044334.000000,12913941646042.000000,,,5414351268862.000000,1142251099183.000000,,433422707368.000000,1656976058361.000000,2090398765729.000000,,215180831413.000000,185597701692.000000,400778533105.000000,110003863721.000000,140302696154.000000,,977653774.000000,,705038582552.000000,277222784330.000000,53994236928.000000,,219006380656.000000,,1255261984466.000000,274376672730.000000,5414351268862.000000,2415408901282.000000,,1117251076115.000000,922785976699.000000,68830218749.000000,,206252705920.000000,2315119977483.000000,460904121.000000,,,,,,99828019678.000000,2415408901282.000000,7829760170144.000000,,691319603000.000000,2993689010600.000000,1041141899688.000000,,,1041141899688.000000,406468417215.000000,-48437454605.000000,5084181475898.000000,12913941646042.000000,1382639206.000000
12M 2012,,,1135008227858.000000,,1960213721672.000000,167874262904.000000,1792339458768.000000,1960213721672.000000,2111287195239.000000,307028538572.000000,15139366612.000000,291889171960.000000,307028538572.000000,,3888214740154.000000,411406532559.000000,9813158956054.000000,,2020014846947.000000,2951053796147.000000,144383306047.000000,,,,,2649053119166.000000,7764505068307.000000,17577664024361.000000,,,7963486975807.000000,3291596221061.000000,,349934860318.000000,1775577988194.000000,2125512848512.000000,,226950859103.000000,7496107712.000000,234446966815.000000,56930448228.000000,223844594337.000000,,,,772702217431.000000,585128255515.000000,124376674064.000000,,89426030599.000000,,1571633177609.000000,459522719245.000000,7963486975807.000000,3905731976049.000000,,1481595202850.000000,2228932433950.000000,34730817476.000000,35969969988.000000,,3781228424264.000000,12493193902.000000,,,,,,112010357883.000000,3905731976049.000000,11869218951856.000000,,691319603000.000000,2833859218587.000000,1679720574979.000000,5000000000.000000,1674720574979.000000,1679720574979.000000,522086921099.000000,-18541245160.000000,5708445072505.000000,17577664024361.000000,2765278412.000000
12M 2013,,,1121533488722.000000,,2050538969868.000000,228584517795.000000,1821954452073.000000,2050538969868.000000,2948765799305.000000,406395469970.000000,290006135925.000000,116389334045.000000,406395469970.000000,,4498533194624.000000,609188247768.000000,11634955170257.000000,,3335999491650.000000,3774428445529.000000,312052859740.000000,,,,,3257586540454.000000,10680067337373.000000,22315022507630.000000,,,10717554588021.000000,5616357913846.000000,,603566864007.000000,1264422112187.000000,1867988976194.000000,,468201702796.000000,42903050000.000000,511104752796.000000,109630742153.000000,284750271468.000000,,,,1525702030888.000000,557063263295.000000,36571359112.000000,,31036906816.000000,,2150373560111.000000,177348371453.000000,10717554588021.000000,4937597808912.000000,,2276270502654.000000,2490780432896.000000,7120306093.000000,10963060070.000000,,4785134301713.000000,26904647876.000000,,,,,,125558859323.000000,4937597808912.000000,15655152396933.000000,,691319603000.000000,2834026020058.000000,2131983908013.000000,10000000000.000000,2121983908013.000000,2131983908013.000000,806007508534.000000,196533071092.000000,6659870110697.000000,22315022507630.000000,2765278412.000000
12M 2014,,,1134230117524.000000,,2444314502605.000000,177163358489.000000,2267151144116.000000,2444314502605.000000,3849632375296.000000,567435556971.000000,430861022051.000000,136574534920.000000,567435556971.000000,,3366038875959.000000,496521575147.000000,11858173003502.000000,,3368495691001.000000,4629105006400.000000,345644142628.000000,,,,,3250678847819.000000,11593923687848.000000,23452096691350.000000,,,11473246168436.000000,4715514438020.000000,,596141791305.000000,1241344914933.000000,1837486706238.000000,,467947783977.000000,15000000000.000000,482947783977.000000,125397847773.000000,366459774013.000000,,,,2280958867724.000000,1334113954031.000000,31962515981.000000,21066900779.000000,32138761916.000000,,3700241000431.000000,245198617984.000000,11473246168436.000000,5271119667308.000000,,3412950062489.000000,1620950367168.000000,,873209393.000000,45595949221.000000,5080369588271.000000,44150737201.000000,,,,,,146599341836.000000,5271119667308.000000,16744365835744.000000,,691319603000.000000,2838923006243.000000,1931950743645.000000,15000000000.000000,1916950743645.000000,1931950743645.000000,997484438645.000000,248053064072.000000,6707730855605.000000,23452096691349.000000,2765278412.000000
12M 2015,,,1322870114218.000000,,2192410040464.000000,203310491428.000000,1989099549036.000000,2192410040464.000000,4125562162676.000000,1059788443391.000000,929112777908.000000,130675665483.000000,1059788443391.000000,,2818952958749.000000,672690893822.000000,12192274613320.000000,,3744342375685.000000,4593403877461.000000,314717259328.000000,909423469685.000000,,,,3106796244018.000000,12668683226177.000000,24860957839497.000000,,,13035531353729.000000,5766504435415.000000,,567389485018.000000,1119974632886.000000,1687364117904.000000,,415159549963.000000,236940400009.000000,652099949972.000000,106557682533.000000,258181529562.000000,,,,3239824535090.000000,1092273330348.000000,,31213888285.000000,,,4363311753723.000000,201511884620.000000,13035531353729.000000,5128334628663.000000,,3182290142314.000000,1667030229095.000000,,,45160273236.000000,4894480644645.000000,54940254030.000000,,,,,,178913729988.000000,5128334628663.000000,18163865982392.000000,,691319603000.000000,2838919022904.000000,1877974192981.000000,16000000000.000000,1861974192981.000000,1877974192981.000000,1074447916216.000000,214431122004.000000,6697091857105.000000,24860957839497.000000,2765278412.000000
12M 2016,,,1568759194124.000000,,1779122161241.000000,291098274614.000000,1488023886627.000000,1779122161241.000000,4157910648352.000000,1716588062184.000000,1496352805455.000000,220235256729.000000,1716588062184.000000,,1932266351053.000000,485051407796.000000,11639697824750.000000,,4745787923596.000000,3864989875127.000000,333749221753.000000,1779342038288.000000,,,,3269775375165.000000,13993644433929.000000,25633342258679.000000,,,12594693691894.000000,6613884950331.000000,,294737303063.000000,772058915477.000000,1066796218540.000000,,288158383300.000000,235000000000.000000,523158383300.000000,58171569942.000000,268036796585.000000,,2319855965.000000,,2601338049112.000000,1294985748926.000000,,974748039.000000,,11715352604.000000,3909013898681.000000,153312018550.000000,12594693691894.000000,6328830213832.000000,,4343119188030.000000,1682936632550.000000,,,1091244874.000000,6027147065454.000000,74736847925.000000,,,,,10413932691.000000,216532367762.000000,6328830213832.000000,18923523905726.000000,,691319603000.000000,2906848734417.000000,1560901491123.000000,17000000000.000000,1543901491123.000000,1560901491123.000000,1076251704095.000000,474496820318.000000,6709818352953.000000,25633342258679.000000,2765278412.000000
12M 2017,,,1306867872575.000000,,2140571365746.000000,412315971455.000000,1728255394291.000000,2140571365746.000000,4593368135295.000000,2148259247463.000000,1934987703688.000000,213271543775.000000,2148259247463.000000,,2557401477374.000000,533104543937.000000,13279572642390.000000,,5427964533531.000000,4648517797939.000000,318363664846.000000,5223695248113.000000,,,,2536490664877.000000,18155031909306.000000,31434604551696.000000,,,15768166454304.000000,7314853679719.000000,,725121916919.000000,1325651193405.000000,2050773110324.000000,,308966354079.000000,28500000000.000000,337466354079.000000,74530526045.000000,299253363538.000000,,15609497166.000000,,4599135126283.000000,867273903150.000000,,1074132459.000000,,8086983054.000000,5475570144946.000000,200109778487.000000,15768166454304.000000,6355731548161.000000,,4258769216240.000000,1723888799249.000000,,1214513230.000000,17112415.000000,5983889641134.000000,78109076960.000000,,,,,6394912741.000000,287337917326.000000,6355731548161.000000,22123898002465.000000,,691319603000.000000,2901136325036.000000,1456123604786.000000,17000000000.000000,1439123604786.000000,1456123604786.000000,1072372081194.000000,3189754935215.000000,9310706549231.000000,31434604551696.000000,2765278412.000000
