Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Beban Usaha,Pembayaran Beban Gaji,Pembayaran Beban Bunga Dan Beban Keuangan Lainnya,Pembayaran Pajak,Penerimaan Lain-Lain - Neto,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Bunga Yang Diterima Dan Penerimaan Dari Pencairan / (Penempatan) Kas Di Bank Dan Deposito Berjangka Yang Dibatasi Penggunaannya,Penerimaan Penambahan Modal Saham Dari Kepentingan Nonpengendali,Penerimaan Dari Penjualan Aset Tetap,Penerimaan Dari Pembagian Hasil Likuidasi Perusahaan Asosiasi,Penerimaan Dari Penjualan Saham Yang Diperoleh Kembali,Penerimaan Dari Divestasi Penyertaan Saham,Perolehan Aset Tetap,Pembayaran Dividen,Pembayaran Uang Muka Pembelian Tanah,Penambahan Penyertaan Saham,Penjualan Penyertaan Saham,Penambahan Aset Investasi,Penerimaan Dividen Dari Entitas Asosiasi,Penempatan Dana Untuk Investasi Jangka Pendek,Penambahan Dari Investasi Jangka Pendek,Bunga Yang Diterima Dari Aktivitas Investasi Lainnya,Pembayaran Untuk Penempatan Jangka Pendek Dan Kas Di Bank Dan Deposito Berjangka Yang Dibatasi Penggunaannya,Penambahan Uang Muka Penyertaan Saham,Kas Yang Diperoleh Dari Entitas Anak,Pembelian Aktiva Belum Digunakan Dalam Usaha,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Jangka Panjang,Penerimaan Dari Utang Jangka Pendek,Pembayaran Utang Jangka Pendek,Pembayaran Utang Jangka Panjang,Pembayaran Untuk Sumber Pendanaan Lainnya,Penerimaan Dari Sumber Pendanaan Lainnya,Pembayaran Pokok Obligasi,Penerimaan Dan Penerbitan Obligasi,Pembayaran Untuk Penebusan Obligasi,Pembayaran Biaya Emisi Saham,Penerimaan Dari Penerbitan Saham,Penerimaan Dari Penawaran Umum Terbatas Ii,Penerimaan Penambahan Modal Saham Dari Kepentingan Non Pengendali,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Pendanaan,Pembayaran Dividen,Pembayaran Beban Bunga Dan Beban Keuangan Lainnya,Pembayaran Utang Sewa Hak Guna,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,-210257695104.000000,7903372360950.000000,-7178309334067.000000,-785170168060.000000,,-140922499727.000000,-69961126807.000000,60733072607.000000,,-210257695104.000000,-186626552267.000000,14164335012.000000,7105000000.000000,68532618796.000000,,,9324310900.000000,-151212103906.000000,-9012000000.000000,-7561823529.000000,-2556615600.000000,,,14524743301.000000,-134689317642.000000,,4754300401.000000,,,,,-186626552267.000000,531295059896.000000,1887650946523.000000,1025493466639.000000,-848712827336.000000,-1195490344110.000000,-254268436765.000000,266622254945.000000,,,-350000000000.000000,,,,,,,,,,531295059896.000000,134410812525.000000,232101859200.000000,,366512671725.000000
12M 2009,772183790258.000000,7552880552671.000000,-5914212411135.000000,-758922921155.000000,,-179370408499.000000,-110859288583.000000,182668266959.000000,,772183790258.000000,42360216466.000000,52690979763.000000,2840000000.000000,17261133570.000000,,1212500000.000000,4983697750.000000,-112227324477.000000,-23390350000.000000,-5141587375.000000,-20357500000.000000,,-1282521829.000000,7750238249.000000,-250000000000.000000,368020950815.000000,,,,,,42360216466.000000,-746765623589.000000,487586891237.000000,851172435075.000000,-948338443777.000000,-1640548277861.000000,-391742446671.000000,398915033790.000000,,500000000000.000000,,-3810815382.000000,,,,,,,,,-746765623589.000000,67778383135.000000,366512671725.000000,,434291054860.000000
12M 2010,-1196410760088.000000,9676160200638.000000,-9729803184997.000000,-968020412988.000000,,-181054279317.000000,-138543342483.000000,144850259059.000000,,-1196410760088.000000,-485909252798.000000,675572406.000000,,28542876319.000000,4387237882.000000,,,-226036231115.000000,,-38093912625.000000,-297188078883.000000,,-8839872415.000000,50643155633.000000,,,,,,,,-485909252798.000000,1737828053306.000000,313850483228.000000,4459287359827.000000,-3681237866664.000000,-134113495445.000000,-670859713529.000000,1576901285889.000000,-126000000000.000000,,,,,,,,,,,,1737828053306.000000,55508040420.000000,434291054860.000000,,489799095280.000000
12M 2011,-1215207280462.000000,17512418736312.000000,-16782212690108.000000,-1201728202430.000000,,-562642403869.000000,-580858564350.000000,399815843983.000000,,-1215207280462.000000,-773296974650.000000,5796336085.000000,,15047765121.000000,,,4860811600.000000,-441879286402.000000,-32150000000.000000,,-422394509000.000000,,,97421907946.000000,,,,,,,,-773296974650.000000,3108060748933.000000,4315858162330.000000,4439619205986.000000,-6427172812098.000000,-2049936204478.000000,-746782422636.000000,886545268179.000000,,,,-75348856350.000000,,2765278408000.000000,,,,,,,3108060748933.000000,1119556493821.000000,489799095280.000000,-59581582.000000,1609296007519.000000
12M 2012,-2876087842113.000000,18146810989969.000000,-18807738137876.000000,-1125749718118.000000,-576970773713.000000,-592426201263.000000,-268329452316.000000,348315451204.000000,,-2876087842113.000000,-1903289833184.000000,15699978277.000000,,58486992681.000000,,,4849951901.000000,-1314817569941.000000,-173471426308.000000,,-573123595328.000000,,,79085835534.000000,,,,,,,,-1903289833184.000000,4299021343405.000000,4448603815722.000000,10904230633324.000000,-8135290272790.000000,-2908105898115.000000,-312671992024.000000,302255057288.000000,,,,,,,,,,,,,4299021343405.000000,-480356331892.000000,1609296007519.000000,6068552231.000000,1135008227858.000000
12M 2013,-2354544752211.000000,25344936624508.000000,-24653065372051.000000,-1560321212472.000000,-604473686966.000000,-759386634112.000000,-612245315959.000000,490010844841.000000,,-2354544752211.000000,-1022757003440.000000,9533483019.000000,32641960000.000000,269712672753.000000,,,,-1140565162509.000000,,,-279072800000.000000,,,84992843297.000000,,,,,,,,-1022757003440.000000,3336825945320.000000,6258552981831.000000,7345744131855.000000,-5896135498826.000000,-4577210640575.000000,-208568140539.000000,41754828287.000000,,1047000000000.000000,-590000000000.000000,,,,,,-84311716713.000000,,,,3336825945320.000000,-40475810331.000000,1135008227858.000000,27001071195.000000,1121533488722.000000
12M 2014,525682412925.000000,23594047847635.000000,-19734206757396.000000,-1580352119553.000000,-672411697675.000000,-1135691143563.000000,-700008535164.000000,754304818641.000000,,525682412925.000000,-610696553455.000000,-160566087041.000000,135952988163.000000,418496975934.000000,,,,-796289136077.000000,,,-274547085775.000000,,,66255791341.000000,,,,,,,,-610696553455.000000,85845588179.000000,7864557907534.000000,7867702145774.000000,-8778898789823.000000,-6351281798789.000000,-558140238123.000000,225277305903.000000,,438404426320.000000,-560000000000.000000,,,,,,-61775370617.000000,,,,85845588179.000000,831447649.000000,1121533488722.000000,11865181153.000000,1134230117524.000000
12M 2015,793372435545.000000,23389402495441.000000,-18985607584452.000000,-1511440023216.000000,-1048741680266.000000,-1206549179201.000000,-664780085295.000000,821088492534.000000,,793372435545.000000,-973621537088.000000,-269252989101.000000,,81621054132.000000,,,,-873805816300.000000,,,-155154320000.000000,214383060000.000000,,28587474181.000000,,,,,,,,-973621537088.000000,369090147645.000000,13421868736810.000000,8924734920518.000000,-9215758829791.000000,-12131815064605.000000,-447312204433.000000,44512549048.000000,,1090000000000.000000,-1286000000000.000000,,,,12253165197.000000,,-43393125099.000000,,,,369090147645.000000,188841046102.000000,1134230117524.000000,-201049408.000000,1322870114218.000000
12M 2016,118811023397.000000,20966689160904.000000,-17082082749618.000000,-1272945452160.000000,-935804571770.000000,-1465911676544.000000,-643295723870.000000,552162036455.000000,,118811023397.000000,-1379845454194.000000,-36196468050.000000,,44175484558.000000,,,,-830640317073.000000,,,-577441041113.000000,17960387.000000,,20238927097.000000,,,,,,,,-1379845454194.000000,1522893727994.000000,9994892307819.000000,9320382604306.000000,-9017531206426.000000,-8877011563672.000000,-457050405585.000000,338488764400.000000,,1500000000000.000000,-1284500000000.000000,,,,61600695000.000000,,-56377467848.000000,,,,1522893727994.000000,261859297197.000000,1322870114218.000000,-15970217291.000000,1568759194124.000000
12M 2017,-567303672539.000000,21191966473915.000000,-17691515706157.000000,-1365108970206.000000,-951334174841.000000,-1613691791325.000000,-604328928082.000000,466709424157.000000,,-567303672539.000000,-1005992874331.000000,66528325125.000000,,126959962499.000000,,,,-1267010142122.000000,,,-69600000000.000000,75000000000.000000,,62128980167.000000,,,,,,,,-1005992874331.000000,1318942120838.000000,14937814552565.000000,6231743065595.000000,-6625811270207.000000,-14144211494170.000000,-1440190697568.000000,1282921014950.000000,,2482398873429.000000,-1298000000000.000000,,,,14402095000.000000,,-122124018756.000000,,,,1318942120838.000000,-254354426032.000000,1568759194124.000000,-7536895517.000000,1306867872575.000000
