Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Pra Akuisisi,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Laba Pra Akuisisi,Others,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Others,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,8197135054996.000000,-7115658497969.000000,1081476557027.000000,-825265706269.000000,-353916161698.000000,-471349544571.000000,,-825265706269.000000,256210850758.000000,-87770013422.000000,43391368977.000000,22886431878.000000,-147952475606.000000,50237961937.000000,-139991088050.000000,83657787442.000000,-87770013422.000000,168440837336.000000,-99879796943.000000,-90309323167.000000,-9570473776.000000,,-99879796943.000000,68561040393.000000,-37093270093.000000,-8420840353.000000,23046929947.000000,,,23046929947.000000,68561040393.000000,-37093270093.000000,-8420840353.000000,,23046929947.000000,,,,,
12M 2009,6939569696730.000000,-6029288081286.000000,910281615444.000000,-779963381134.000000,-344548229393.000000,-435415151741.000000,,-779963381134.000000,130318234310.000000,100658841831.000000,77689568103.000000,55448762634.000000,81592758073.000000,7062736679.000000,-194862617863.000000,73727634205.000000,100658841831.000000,230977076141.000000,-76811479583.000000,-80124900719.000000,3313421136.000000,,-76811479583.000000,154165596558.000000,-36572145395.000000,,117593451163.000000,,,117593451163.000000,154165596558.000000,-36572145395.000000,,,117593451163.000000,,,,,
12M 2010,10935334616535.000000,-9530324580348.000000,1405010036187.000000,-1076013511384.000000,-493260861675.000000,-582752649709.000000,,-1076013511384.000000,328996524803.000000,316901594102.000000,270796844667.000000,32795206665.000000,6805832271.000000,5479041458.000000,-184877377196.000000,185902046237.000000,316901594102.000000,645898118905.000000,-99259968768.000000,-125768716271.000000,26508747503.000000,,-99259968768.000000,546638150137.000000,-59351025854.000000,-38615960699.000000,448671163584.000000,,,448671163584.000000,546638150137.000000,-59351025854.000000,-38615960699.000000,,448671163584.000000,,,,,
12M 2011,15776580286659.000000,-13787256396060.000000,1989323890599.000000,-963667720097.000000,-777336127208.000000,-606774473692.000000,420442880803.000000,-963667720097.000000,1025656170502.000000,162705537589.000000,314886694444.000000,58151070841.000000,,,-210332227696.000000,,162705537589.000000,1188361708091.000000,-217470376348.000000,,,,-217470376348.000000,970891331743.000000,,,970891331743.000000,95368730469.000000,1066260062212.000000,970891331743.000000,812967575161.000000,157923756582.000000,,,970891331743.000000,1066260062212.000000,905929120569.000000,160330941643.000000,,1066260062212.000000
12M 2012,19780838058900.000000,-17328884481456.000000,2451953577444.000000,-1402708517053.000000,-991521374760.000000,-798656232072.000000,387469089779.000000,-1402708517053.000000,1049245060391.000000,23826302830.000000,270676285974.000000,80400988572.000000,,,-327250971716.000000,,23826302830.000000,1073071363221.000000,-173980477691.000000,,,,-173980477691.000000,899090885530.000000,,,899090885530.000000,-14109187838.000000,884981697692.000000,899090885530.000000,801730101599.000000,97360783931.000000,,,899090885530.000000,884981697692.000000,763209772382.000000,121771925310.000000,,884981697692.000000
12M 2013,20094736395135.000000,-17604481004011.000000,2490255391124.000000,-1539255111398.000000,-1142929011799.000000,-978449712383.000000,582123612784.000000,-1539255111398.000000,951000279726.000000,-355478050977.000000,123237733281.000000,38710184439.000000,,,-517425968697.000000,,-355478050977.000000,595522228749.000000,25617533080.000000,,,,25617533080.000000,621139761829.000000,,,621139761829.000000,184340456056.000000,805480217885.000000,621139761829.000000,532456406907.000000,88683354922.000000,,,621139761829.000000,805480217885.000000,649984923398.000000,155495294487.000000,,805480217885.000000
12M 2014,19458165173088.000000,-16822193875496.000000,2635971297592.000000,-1626212049657.000000,-1332600918933.000000,-1079510544900.000000,785899414176.000000,-1626212049657.000000,1009759247935.000000,-990870487123.000000,-287166245478.000000,49277475288.000000,,,-752981716933.000000,,-990870487123.000000,18888760812.000000,-105283252282.000000,,,,-105283252282.000000,-86394491470.000000,,,-86394491470.000000,60959376876.000000,-25435114594.000000,-86394491470.000000,-147492874540.000000,61098383070.000000,,,-86394491470.000000,-25435114594.000000,-95972881560.000000,70537766966.000000,,-25435114594.000000
12M 2015,18099979783215.000000,-15352337918614.000000,2747641864601.000000,-1710380118993.000000,-1427503024219.000000,-1221838876911.000000,938961782137.000000,-1710380118993.000000,1037261745608.000000,-834219593068.000000,-178126758008.000000,107783526736.000000,,,-763876361796.000000,,-834219593068.000000,203042152540.000000,-225531583071.000000,-205796287059.000000,,-19735296012.000000,-225531583071.000000,-22489430531.000000,,,-22489430531.000000,13916112417.000000,-8573318114.000000,-22489430531.000000,-45726385458.000000,23236954927.000000,,,-22489430531.000000,-8573318114.000000,-67004331425.000000,58431013311.000000,,-8573318114.000000
12M 2016,15049532331662.000000,-12383420122230.000000,2666112209432.000000,-2093225270259.000000,-1280694184761.000000,-1280235501703.000000,467704416205.000000,-2093225270259.000000,572886939173.000000,-799654238795.000000,-134629743284.000000,142197671928.000000,,,-807222167439.000000,,-799654238795.000000,-226767299622.000000,-86113706162.000000,-65146241841.000000,,-20967464321.000000,-86113706162.000000,-312881005784.000000,,,-312881005784.000000,311960356932.000000,-920648852.000000,-312881005784.000000,-289419917738.000000,-23461088046.000000,,,-312881005784.000000,-920648852.000000,23775076640.000000,-24695725492.000000,,-920648852.000000
12M 2017,15417736108122.000000,-12347991428514.000000,3069744679608.000000,-1660065411533.000000,-1254711943369.000000,-1407879980935.000000,1002526512771.000000,-1660065411533.000000,1409679268075.000000,-1243297950412.000000,-544892719444.000000,191081272370.000000,,,-889486503338.000000,,-1243297950412.000000,166381317663.000000,-209846549419.000000,-179415915813.000000,,-30430633606.000000,-209846549419.000000,-43465231756.000000,,,-43465231756.000000,2692697408463.000000,2649232176707.000000,-43465231758.000000,-90951494277.000000,47486262519.000000,,,-43465231758.000000,2649232176705.000000,2610149072830.000000,39083103875.000000,,2649232176705.000000
