Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,4.01,287.82,4.01,287.82,"2,382 B","1,631 B","4,013 B",508 B,(311 B)
12M 2009,1.88,438.87,1.88,438.87,"1,913 B","1,322 B","3,235 B","2,801 B",(202 B)
12M 2010,6.02,1214.20,6.02,1214.20,"2,236 B","2,091 B","4,328 B","3,838 B",266 B
12M 2011,3.66,3383.18,3.66,3383.18,"2,398 B","2,315 B","4,714 B","3,104 B","1,991 B"
12M 2012,2.74,1875.53,2.74,1875.53,"4,863 B","3,781 B","8,644 B","7,509 B","1,850 B"
12M 2013,2.24,2116.92,2.24,2116.92,"7,767 B","4,785 B","12,552 B","11,430 B",917 B
12M 2014,1.88,2064.98,1.88,2064.98,"8,416 B","5,080 B","13,496 B","12,362 B",385 B
12M 2015,1.13,2033.30,1.13,2033.30,"10,130 B","4,894 B","15,024 B","13,701 B",(843 B)
12M 2016,0.62,2037.25,0.62,2037.25,"10,514 B","6,027 B","16,541 B","14,972 B",(955 B)
12M 2017,0.27,2979.21,0.27,2979.21,"12,798 B","5,984 B","18,782 B","17,475 B","(2,489 B)"
12M 2018,0.63,3295.07,0.63,3295.07,"16,343 B","8,923 B","25,266 B","24,111 B","(4,957 B)"
12M 2019,0.38,2930.80,0.38,2930.80,"16,890 B","13,118 B","30,009 B","28,619 B","(4,797 B)"
12M 2020,0.56,2711.90,0.56,2711.90,"20,232 B","10,398 B","30,630 B","27,733 B","(5,851 B)"
12M 2021,0.32,2758.49,0.32,2758.49,"20,950 B","10,741 B","31,691 B","28,748 B","(7,554 B)"
12M 2022,0.29,2966.36,0.29,2966.36,"23,816 B","12,026 B","35,842 B","31,289 B","(7,529 B)"
12M 2023,0.42,3285.37,0.42,3285.37,"21,673 B","17,977 B","39,650 B","36,100 B","(3,787 B)"
12M 2024,0.27,3356.85,0.27,3356.85,"20,619 B","23,385 B","44,004 B","40,829 B",(132 B)
