Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,13516460453.000000,-14541732117.000000,-1025271664.000000,-2392051094.000000,-2392051094.000000,-2392051094.000000,-3417322758.000000,462056239.000000,,,,,,462056239.000000,-2955266519.000000,829037440.000000,-2126229079.000000,,,-2126229079.000000,-2126229079.000000,,-2126229079.000000,,,,
12M 2009,8016382183.000000,-9795479077.000000,-1779096894.000000,-2707980318.000000,-2707980318.000000,-2707980318.000000,-4487077212.000000,5422842872.000000,,,,,,5422842872.000000,935765660.000000,1201746433.000000,2137512093.000000,,,2137512093.000000,2137512093.000000,,2137512093.000000,,,,
12M 2010,,,,-3103615070.000000,-3103615070.000000,-3103615070.000000,-3103615070.000000,-482319596.000000,,,,,,-482319596.000000,-3585934666.000000,,-3585934666.000000,,,-3585934666.000000,-3585934666.000000,,-3585934666.000000,,,,
12M 2011,677375000.000000,,677375000.000000,-3293781249.000000,-3293781249.000000,-3293781249.000000,-2616406249.000000,170916210.000000,,,10668500.000000,-3551061.000000,163798771.000000,170916210.000000,-2445490039.000000,526691307.000000,-1918798732.000000,,-1918798732.000000,-1918798732.000000,-1918798732.000000,,-1918798732.000000,-1918798732.000000,-1918798732.000000,,-1918798732.000000
12M 2012,2190816.000000,,2190816.000000,-1092353.000000,-1092353.000000,-1092353.000000,1098463.000000,14780594.000000,15717.000000,14751008.000000,-16560.000000,-702.000000,31131.000000,14780594.000000,15879057.000000,-757593.000000,15121464.000000,18401940.000000,33523404.000000,15121464.000000,15121464.000000,,15121464.000000,33523404.000000,33523404.000000,,33523404.000000
12M 2013,402700.000000,,402700.000000,-576159.000000,-576159.000000,-576159.000000,-173459.000000,26299385.000000,40264.000000,1812955.000000,-128030.000000,-232.000000,24574428.000000,26299385.000000,26125926.000000,-17575.000000,26108351.000000,,26108351.000000,26108351.000000,26108351.000000,,26108351.000000,26108351.000000,26108351.000000,,26108351.000000
12M 2014,367000.000000,,367000.000000,-503087.000000,-503087.000000,-503087.000000,-136087.000000,31583539.000000,86389.000000,,-106708.000000,-255.000000,31604113.000000,31583539.000000,31447452.000000,-1325.000000,31446127.000000,,31446127.000000,31446127.000000,31446127.000000,,31446127.000000,31446127.000000,31446127.000000,,31446127.000000
12M 2015,133509.000000,,133509.000000,-333706.000000,-333706.000000,-333706.000000,-200197.000000,24474529.000000,71909.000000,,-9960.000000,-120.000000,24412700.000000,24474529.000000,24274332.000000,,24274332.000000,4951.000000,24279283.000000,24274332.000000,24274332.000000,,24274332.000000,24279283.000000,24279283.000000,,24279283.000000
12M 2016,135162.000000,,135162.000000,-256240.000000,-256240.000000,-256240.000000,-121078.000000,41127253.000000,53526.000000,41101123.000000,-3938.000000,-95.000000,-23363.000000,41127253.000000,41006175.000000,1355.000000,41007530.000000,323.000000,41007853.000000,41007530.000000,41007530.000000,,41007530.000000,41007853.000000,41007853.000000,,41007853.000000
12M 2017,106687.000000,,106687.000000,-244072.000000,-244072.000000,-244072.000000,-137385.000000,13949693.000000,35025.000000,13917670.000000,-8661.000000,-118.000000,5777.000000,13949693.000000,13812308.000000,-827.000000,13811481.000000,-8801.000000,13802680.000000,13811481.000000,13811481.000000,,13811481.000000,13802680.000000,13802680.000000,,13802680.000000
12M 2018,24213.000000,,24213.000000,-240746.000000,-240746.000000,-240746.000000,-216533.000000,11131961.000000,18565.000000,11114791.000000,-13623.000000,-99.000000,12327.000000,11131961.000000,10915428.000000,,10915428.000000,-3669.000000,10911759.000000,10915428.000000,10915428.000000,,10915428.000000,10911759.000000,10911759.000000,,10911759.000000
12M 2019,12000.000000,,12000.000000,-179874.000000,-179874.000000,-179874.000000,-167874.000000,11979004.000000,11207.000000,11946769.000000,-1406.000000,-86.000000,22520.000000,11979004.000000,11811130.000000,,11811130.000000,-814.000000,11810316.000000,11811130.000000,11811130.000000,,11811130.000000,11810316.000000,11810316.000000,,11810316.000000
12M 2021,204458.000000,,204458.000000,-130788.000000,-130788.000000,-130788.000000,73670.000000,12182338.000000,3724.000000,12183281.000000,580.000000,-1028.000000,-4219.000000,12182338.000000,12256008.000000,,12256008.000000,17352.000000,12273360.000000,12256008.000000,12258909.000000,-2901.000000,12256008.000000,12273360.000000,12276261.000000,-2901.000000,12273360.000000
