Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Beban Pegawai,Pembayaran Aktivitas Operasional Lainnya – Bersih,Pembayaran Lain-Lain,Penerimaan (Pembayaran) Pajak Penghasilan,Pembayaran Beban Keuangan,Penerimaan Dari:,Lain-Lain,Piutang Lain-Lain,Pendapatan Bunga,Total Penerimaan Dari:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Penempatan Aset Dalam Pengerjaa,Hasil Penjualan Aset Tidak Lancar,Perolehan Atas Entitas Asosiasi,Pemberian Piutang Kepada Kepentingan Non-Pengendali,Penambahan Investasi Pada Entitas Asosiasi,Penempatan Deposito Berjangka,Penarikan Deposito Berjangka,Uang Muka Investasi,Uang Muka Penjualan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Dari Pihak Berelasi,Penerimaan Piutang Jangka Panjang Lainnya,Pembayaran Liabilitas Sewa,Kas Yang Dibatasi Penggunaannya,Pembayaran Beban Tangguhan,Pembayaran Aset Tidak Lancar Lainnya,Penerimaan Piutang Non Usaha Pihak Ketiga,Penerimaan Utang Non Usaha Pihak Berelasi,Pembayaran Kepada Pinjaman Pihak Ketiga,Penerimaan Dari Pinjaman Dari Pihak Ketiga,Penempatan Kas Yang Dibatasi Penggunaannya,Penerimaan Utang Bank,Pembayaran Utang Bank,Pengaruh Perubahan Kurs Mata Uang Pada Kas Dan Bank,Pembayaran Dividen,Tambahan Modal Disetor,Utang Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode Enam Bulan,Pengaruh Penjabaran Laporan Keuangan,Kas Dari Konsolidasian Entitas Anak,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Selisih Arus Kas Akibat Beda Periode Pelaporan,"Kas Dan Setara Kas, Akhir Periode"
12M 2008,-3174097934.000000,13516460453.000000,-10713637750.000000,-3995617653.000000,-1976173898.000000,-40246348.000000,,,,33646142.000000,,1471120.000000,35117262.000000,-3174097934.000000,480270000.000000,-15480000.000000,495750000.000000,,,,,,,,,,480270000.000000,2613344379.000000,,,,,,,,,,,,,,,,,2613344379.000000,2613344379.000000,,-80483555.000000,,,,,252021398.000000,,171537843.000000
12M 2009,10446942575.000000,8016382183.000000,-7620963402.000000,-1169487950.000000,5798168872.000000,-316461505.000000,,,,5738222011.000000,,1082366.000000,5739304377.000000,10446942575.000000,-13199200.000000,-13199200.000000,,,,,,,,,,,-13199200.000000,-10509514386.000000,-8600989525.000000,,,,,,,,,,,,,,,,-1908524861.000000,-10509514386.000000,,-75771011.000000,,,,,171537843.000000,,95766832.000000
12M 2010,-1276702162.000000,,-2466200.000000,,-2019762388.000000,-479151974.000000,-33066697.000000,-19708370.000000,,1276532533.000000,,920934.000000,1277453467.000000,-1276702162.000000,-19264230.000000,-19264230.000000,,,,,,,,,,,-19264230.000000,1307770465.000000,1307770465.000000,,,,,,,,,,,,,,,,,1307770465.000000,,11804073.000000,,,,,95766832.000000,,107570905.000000
12M 2011,-1366093041.000000,7475000.000000,,,-1390176628.000000,,20159649.000000,-3551062.000000,,,,,,-1366093041.000000,,,,,,,,,,,,,,1441190135.000000,1441190135.000000,,,,,,,,,,,,,,,,,1441190135.000000,,75097094.000000,,,,,22618325.000000,,97715419.000000
12M 2012,1299833.000000,2468316.000000,,,-1131289.000000,,-36492.000000,-702.000000,,,,,,1299833.000000,-24997.000000,-24996.000000,,,,-1.000000,,,,,,,-24997.000000,-390863.000000,-390863.000000,,,,,,,,,,,,,,,,,-390863.000000,,883973.000000,,23531.000000,,,10644.000000,,918148.000000
12M 2013,-1244643.000000,338900.000000,-250000.000000,,-1307471.000000,,-25840.000000,-232.000000,,,,,,-1244643.000000,2273716.000000,-9071.000000,,,2282787.000000,,,,,,,,2273716.000000,,,,,,,,,,,,,,,,,,,,,1029073.000000,,,,,918148.000000,,1947221.000000
12M 2014,-161833.000000,422412.000000,,,-575613.000000,,-8377.000000,-255.000000,,,,,,-161833.000000,-612394.000000,-960.000000,,,,,,,-611434.000000,,,,-612394.000000,,,,,,,,,,,,,,,,,,,,,-774227.000000,,,,,1947221.000000,,1172994.000000
12M 2015,-116175.000000,132883.000000,,,-170809.000000,,-78129.000000,-120.000000,,,,,,-116175.000000,8843.000000,,,,,,,,-1602566.000000,1611409.000000,,,8843.000000,,,,,,,,,,,,,,,,,,,,,-107332.000000,,,,,173019.000000,,65687.000000
12M 2016,-59013.000000,134719.000000,,,-174616.000000,,-19021.000000,-95.000000,,,,,,-59013.000000,39448.000000,-122.000000,,,,,,,-1562996.000000,1602566.000000,,,39448.000000,,,,,,,,,,,,,,,,,,,,,-19565.000000,,,,,65687.000000,,46122.000000
12M 2017,-128389.000000,107664.000000,,,-235108.000000,,-827.000000,-118.000000,,,,,,-128389.000000,1126823.000000,,,,,,,,-436173.000000,1562996.000000,,,1126823.000000,-985310.000000,,,,,,,,,,,,,,,-985310.000000,,,-985310.000000,,13124.000000,,,,,46122.000000,,59246.000000
