Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,3.23,173.17,3.23,173.17,,9 B,9 B,9 B,(6 B)
12M 2009,3.91,255.54,3.91,255.54,,1 B,1 B,1 B,(3 B)
12M 2010,3.08,124.96,3.08,124.96,,1 B,1 B,1 B,(6 B)
12M 2011,4.51,99.76,4.51,99.76,,,,(0 B),(8 B)
12M 2012,0.16,9621.25,0.16,9621.25,,,,(9 B),2 B
12M 2013,0.65,21503.26,0.65,21503.26,,,,(24 B),24 B
12M 2014,0.42,33438.14,0.42,33438.14,,,,(15 B),23 B
12M 2015,0.30,46928.30,0.30,46928.30,,,,(1 B),24 B
12M 2016,0.64,2614.78,0.64,2614.78,,,,(1 B),18 B
12M 2017,0.32,2464.17,0.32,2464.17,,,,(1 B),3 B
12M 2018,0.29,2857.77,0.29,2857.77,,,,(1 B),1 B
12M 2019,0.23,2356.91,0.23,2356.91,,,,(1 B),(0 B)
12M 2020,0.20,2591.35,0.20,2591.35,,,,(3 B),0 B
12M 2021,0.27,2824.45,0.27,2824.45,6 B,144 B,150 B,147 B,(9 B)
12M 2022,0.25,3272.07,0.25,3272.07,14 B,126 B,140 B,136 B,(20 B)
12M 2023,0.21,3273.63,0.21,3273.63,17 B,215 B,232 B,228 B,(10 B)
12M 2024,0.21,3452.74,0.21,3452.74,25 B,548 B,573 B,556 B,(17 B)
