Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Deposito Berjangka,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Others,Total Aset Tetap,Investasi Pada Entitas Asosiasi,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Pinjaman Jangka Panjang Lainnya,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Beban Akrual,Utang Pembelian Aset Tetap,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Utang Dari Pihak Ketiga,Utang Pembelian Aset Tetap,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Pinjaman Jangka Panjang Lainnya,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,171537843.000000,,,,,,,,,,867205067.000000,,1038742910.000000,,9297298936.000000,9297298936.000000,9297298936.000000,,,3271022691.000000,8991945000.000000,21560266627.000000,22599009537.000000,,,6746993438.000000,422614567.000000,,,422614567.000000,1241627.000000,,,,,231090624.000000,,5976430824.000000,,,5976430824.000000,115615796.000000,6746993438.000000,9964245345.000000,8600989525.000000,,894484079.000000,,,,,468771741.000000,9964245345.000000,16711238783.000000,,34000000000.000000,6800000000.000000,-34912229246.000000,,,-34912229246.000000,,,5887770754.000000,22599009537.000000,34000000.000000
12M 2009,,,95766833.000000,,,,,,,,,,791802508.000000,88911555.000000,976480896.000000,,7867364074.000000,7867364074.000000,7867364074.000000,,,4351873496.000000,598200000.000000,12817437570.000000,13793918466.000000,,,4205841811.000000,2466200.000000,,,2466200.000000,,,,,,135469648.000000,,4067905963.000000,,,4067905963.000000,,4205841811.000000,899565914.000000,,,894484079.000000,,,,,5081835.000000,899565914.000000,5105407725.000000,,34000000000.000000,6800000000.000000,-32111489259.000000,,,-32111489259.000000,,,8688510741.000000,13793918466.000000,34000000.000000
12M 2010,,,107570904.000000,,,,,,,,,,791802508.000000,121978252.000000,1021351664.000000,,6442383257.000000,,6442383257.000000,,,4351873496.000000,598200000.000000,11392456753.000000,12413808417.000000,,,7265765121.000000,,1307770465.000000,,1307770465.000000,,,,,,1890088693.000000,,4067905963.000000,,,4067905963.000000,,7265765121.000000,899565914.000000,,,894484079.000000,,,,,5081835.000000,899565914.000000,8165331035.000000,,34000000000.000000,6800000000.000000,-36551522618.000000,,,-36551522618.000000,,,4248477382.000000,12413808417.000000,34000000.000000
12M 2011,,,97715419.000000,504900000.000000,,,504900000.000000,,165000000.000000,165000000.000000,,165000000.000000,,137719257.000000,905334676.000000,,4946534207.000000,,4946534207.000000,,,6029170117.000000,,10975704324.000000,11881039000.000000,,,8489355561.000000,,,,,6073185.000000,,,,,77000000.000000,,,4818158893.000000,3588123483.000000,8406282376.000000,,8489355561.000000,,,,,,,,,,,8489355561.000000,,34000000000.000000,6800000000.000000,-37408316561.000000,,,-37408316561.000000,,,3391683439.000000,11881039000.000000,34000000.000000
12M 2012,,,918148.000000,27500.000000,,,27500.000000,,50931.000000,50931.000000,,50931.000000,,53122.000000,1049701.000000,,22910.000000,,22910.000000,33077953.000000,,,478894.000000,33579757.000000,34629458.000000,,,800875.000000,,250000.000000,,250000.000000,32600.000000,,,,,22529.000000,,,495746.000000,,495746.000000,,800875.000000,,,,,,,,,,,800875.000000,,3388142.000000,677628.000000,11360873.000000,,,11360873.000000,,18401940.000000,33828583.000000,34629458.000000,34000000.000000
12M 2013,,,1947221.000000,91300.000000,,,91300.000000,,3235.000000,,3235.000000,3235.000000,,31449.000000,2073205.000000,,25245.000000,,25245.000000,57951356.000000,,,9751.000000,57986352.000000,60059557.000000,,,122623.000000,,,,,1921.000000,,,,,120702.000000,,,,,,,122623.000000,,,,,,,,,,,122623.000000,,3388142.000000,677628.000000,37469224.000000,,,37469224.000000,,18401940.000000,59936934.000000,60059557.000000,34000000.000000
12M 2014,,,1172994.000000,35887.000000,,,35887.000000,611434.000000,1907.000000,,1907.000000,1907.000000,,39142.000000,1861364.000000,,17199.000000,,17199.000000,89522208.000000,,,9751.000000,89549158.000000,91410522.000000,,,27461.000000,,,,,2816.000000,,,,,24645.000000,,,,,,,27461.000000,,,,,,,,,,,27461.000000,,3388142.000000,677628.000000,68915351.000000,,,68915351.000000,,18401940.000000,91383061.000000,91410522.000000,34000000.000000
12M 2015,,,65687.000000,36513.000000,,,36513.000000,1602566.000000,,,,,,37245.000000,1742011.000000,,8694.000000,,8694.000000,113930726.000000,,,8912.000000,113948332.000000,115690343.000000,,,27999.000000,,,,,936.000000,,,,,27063.000000,,,,,,,27999.000000,,,,,,,,,,,27999.000000,,3388142.000000,677628.000000,93189683.000000,,,93189683.000000,,18406891.000000,115662344.000000,115690343.000000,34000000.000000
12M 2016,,,46122.000000,36958.000000,,,36958.000000,1562996.000000,,,,,,7322.000000,1653398.000000,,2729.000000,,2729.000000,130990396.000000,,,8912.000000,131002037.000000,132655435.000000,,,320822.000000,,,,,1729.000000,,,,,26322.000000,,,,,,292771.000000,320822.000000,,,,,,,,,,,320822.000000,,3388142.000000,677988.000000,109861269.000000,,,109861269.000000,,18407214.000000,132334613.000000,132655435.000000,680000000.000000
12M 2017,,,59246.000000,35981.000000,,,35981.000000,436173.000000,,,,,,8951.000000,540351.000000,,526.000000,,526.000000,123443515.000000,,,8912.000000,123452953.000000,123993304.000000,,,311761.000000,,,,,1198.000000,,,,,12360.000000,,,,,,298203.000000,311761.000000,,,,,,,,,,,311761.000000,,3388142.000000,677988.000000,101217000.000000,,,101217000.000000,,18398413.000000,123681543.000000,123993304.000000,680000000.000000
12M 2018,,,63454.000000,6600.000000,,,6600.000000,259056.000000,5097.000000,,5097.000000,5097.000000,,13091.000000,347298.000000,,708.000000,,708.000000,134156924.000000,,,,134157632.000000,134504930.000000,,,309341.000000,,,,,829.000000,,,,,11680.000000,,,,,,296832.000000,309341.000000,,,,,,,,,,,309341.000000,,3388142.000000,677988.000000,111734715.000000,,,111734715.000000,,18394744.000000,134195589.000000,134504930.000000,680000000.000000
12M 2019,,,88944.000000,,,,,133805.000000,6000.000000,6000.000000,,6000.000000,,12688.000000,241437.000000,,412.000000,,412.000000,137596813.000000,,,10050000.000000,147647225.000000,147888662.000000,,,261398.000000,,,,,160.000000,,,,,10608.000000,,,238284.000000,,238284.000000,12346.000000,261398.000000,,,,,,,,,,,261398.000000,,4063367.000000,10131133.000000,133365778.000000,,,133365778.000000,,66986.000000,147627264.000000,147888662.000000,870701000.000000
12M 2020,,,231200.000000,,,,,,161.000000,,,161.000000,,5266.000000,236627.000000,,56480.000000,,56480.000000,149873880.000000,,,10050000.000000,159980360.000000,160216987.000000,,,224837.000000,,,,,333.000000,,,,,5280.000000,,,177242.000000,,177242.000000,41982.000000,224837.000000,27968.000000,,,,,,,,27968.000000,27968.000000,252805.000000,,4063367.000000,10131133.000000,145766603.000000,,,145766603.000000,,3079.000000,159964182.000000,160216987.000000,870701000.000000
12M 2021,,,175872.000000,,,,,,10924.000000,62.000000,10862.000000,10924.000000,,105239.000000,292035.000000,,30680.000000,,30680.000000,162074513.000000,,,20797467.000000,182902660.000000,183194695.000000,,,863739.000000,,,,,3903.000000,,438012.000000,,438012.000000,33948.000000,,,,345964.000000,345964.000000,41912.000000,863739.000000,10052367.000000,,,,,10052367.000000,,10052367.000000,,10052367.000000,10916106.000000,,4063367.000000,10131133.000000,158025512.000000,35000.000000,157990512.000000,158025512.000000,7933.000000,20509.000000,172248454.000000,183164560.000000,870701000.000000
12M 2022,,,217902.000000,,,,,,9853.000000,,9853.000000,9853.000000,,98531.000000,326286.000000,,393.000000,,393.000000,193268144.000000,,,25585154.000000,218853691.000000,219179977.000000,,,1601434.000000,,,,,1439.000000,,911962.000000,,911962.000000,24779.000000,,,,650408.000000,650408.000000,12846.000000,1601434.000000,8054262.000000,,,,,8054262.000000,,8054262.000000,,8054262.000000,9655696.000000,,4481502.000000,16403169.000000,188715729.000000,45000.000000,188670729.000000,188715729.000000,-132490.000000,56371.000000,209524281.000000,219179977.000000,999053167.000000
12M 2023,,,270630.000000,,,,,,10171.000000,441.000000,9730.000000,10171.000000,,216464.000000,497265.000000,,165.000000,,165.000000,195809103.000000,,,30389388.000000,226198656.000000,226695921.000000,,,1167535.000000,,,,,3714.000000,,1103683.000000,,1103683.000000,47030.000000,,,,,,13108.000000,1167535.000000,13923854.000000,,6808699.000000,,,7115155.000000,,7115155.000000,,13923854.000000,15091389.000000,,4481502.000000,16403169.000000,190901483.000000,55000.000000,190846483.000000,190901483.000000,-231145.000000,49523.000000,211604532.000000,226695921.000000,999053167.000000
12M 2024,,,1090349.000000,,,,,,149078.000000,144437.000000,4641.000000,149078.000000,,581579.000000,1821006.000000,,18289280.000000,,18289280.000000,197431486.000000,,,33441124.000000,249161890.000000,250982896.000000,,,2886432.000000,,,144190.000000,144190.000000,12811.000000,,1577775.000000,,1577775.000000,289010.000000,,,850143.000000,,850143.000000,12503.000000,2886432.000000,33913644.000000,,20489827.000000,,,13423817.000000,,13423817.000000,,33913644.000000,36800076.000000,,4481502.000000,16403169.000000,192656146.000000,65000.000000,192591146.000000,192656146.000000,685918.000000,-43915.000000,214182820.000000,250982896.000000,999053167.000000
