Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Others,Total Pinjaman Yang Diberikan,Aset Tetap,Others,Total Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Adjustment,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Deposito Berjangka,Pihak Berelasi,Pihak Ketiga,Total Deposito Berjangka,Others,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Liabilitas Derivatif,Liabilitas Akseptasi,Utang Pajak,Surat Berharga Yang Diterbitkan,Pinjaman Yang Diterima,Liabilitas Pajak Tangguhan,Obligasi Subordinasi,Adjustment,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Others,Total Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Others,Total Belum Ditentukan Penggunaannya,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,12311757000.000000,111045903000.000000,,,445762000.000000,2042630231000.000000,-78715234000.000000,1964360759000.000000,,12868199000.000000,12868199000.000000,4260066000.000000,,,473592747000.000000,2578442408000.000000,,,7049610000.000000,2163331617000.000000,,74427394000.000000,1649409123000.000000,1723836517000.000000,439495100000.000000,2163331617000.000000,5209485000.000000,,,1319526000.000000,,128431188000.000000,,7038000000.000000,,34421229000.000000,2346800655000.000000,,234906116000.000000,695242000.000000,-3962582000.000000,,1165633000.000000,1165633000.000000,,-5128215000.000000,-5128215000.000000,,231638776000.000000,2578439431000.000000,2349061156.000000
12M 2009,,18889239000.000000,136349275000.000000,,,332024000.000000,1993297840000.000000,-88685294000.000000,1904944570000.000000,,9417559000.000000,9417559000.000000,5805131000.000000,,,906290234000.000000,2981698985000.000000,,,13848885000.000000,2454297263000.000000,,230248087000.000000,1640842114000.000000,1871090201000.000000,583207062000.000000,2454297263000.000000,16427342000.000000,,,3250821000.000000,,87251978000.000000,,3780000000.000000,,54945218000.000000,2633801507000.000000,,341820533000.000000,8000110000.000000,-1763642000.000000,,1165633000.000000,1165633000.000000,,-2929275000.000000,-2929275000.000000,-162500000.000000,347894501000.000000,2981696008000.000000,3418205328.000000
12M 2010,,22379090000.000000,211138077000.000000,597817361000.000000,,1528970000.000000,1857852761000.000000,,1859381731000.000000,12016738000.000000,,12016738000.000000,6503372000.000000,,,344856358000.000000,3054092727000.000000,,,13368138000.000000,2386868473000.000000,,189281513000.000000,1580930577000.000000,1770212090000.000000,616656383000.000000,2386868473000.000000,35940356000.000000,,66618095000.000000,8876141000.000000,,243012454000.000000,,,,21123013000.000000,2775806670000.000000,,343063401000.000000,7946744000.000000,-81097527000.000000,,1165633000.000000,1165633000.000000,,-82263160000.000000,-82263160000.000000,8373439000.000000,278286057000.000000,3054092727000.000000,3430634012.000000
12M 2011,,20906438000.000000,193385982000.000000,1170853680000.000000,,,1823057271000.000000,-82994756000.000000,1740062515000.000000,,11409838000.000000,11409838000.000000,,,,344536887000.000000,3481155340000.000000,,,7291848000.000000,2766325916000.000000,1911796850000.000000,,,1911796850000.000000,854529066000.000000,2766325916000.000000,35713048000.000000,,34815573000.000000,9593789000.000000,,241458205000.000000,612100000.000000,,,37728698000.000000,3133539177000.000000,,361809558000.000000,13389364000.000000,-48241146000.000000,,1165633000.000000,1165633000.000000,,-49406779000.000000,-49406779000.000000,20658387000.000000,347616163000.000000,3481155340000.000000,3618095578.000000
12M 2012,,28747621000.000000,215667266000.000000,1060855810000.000000,,,2531073097000.000000,-93295384000.000000,2437777713000.000000,,10476995000.000000,10476995000.000000,10320380000.000000,,,276294450000.000000,4040140235000.000000,,,12694598000.000000,3054289337000.000000,2564894408000.000000,,,2564894408000.000000,489394929000.000000,3054289337000.000000,341945942000.000000,,18166283000.000000,19412826000.000000,,176220087000.000000,,,,45486606000.000000,3668215679000.000000,,361809558000.000000,13389364000.000000,-15214568000.000000,,1165633000.000000,1165633000.000000,,-16380201000.000000,-16380201000.000000,11940202000.000000,371924556000.000000,4040140235000.000000,3618095578.000000
12M 2013,,22755920000.000000,287028218000.000000,411992495000.000000,,,3698592953000.000000,-99337241000.000000,3599255712000.000000,,28864691000.000000,28864691000.000000,22265560000.000000,,,751907419000.000000,5124070015000.000000,,,11168578000.000000,4120253833000.000000,3239768390000.000000,,,3239768390000.000000,880485443000.000000,4120253833000.000000,94029996000.000000,,,10466964000.000000,,,,,,51244131000.000000,4287163502000.000000,,745078118000.000000,77116982000.000000,37225140000.000000,,1165633000.000000,1165633000.000000,,36059507000.000000,36059507000.000000,-22513727000.000000,836906513000.000000,5124070015000.000000,7450781177.000000
12M 2014,,40106030000.000000,374577940000.000000,571720981000.000000,,,4694580210000.000000,-100904246000.000000,4593675964000.000000,,49832968000.000000,49832968000.000000,14936430000.000000,,,740341171000.000000,6385191484000.000000,,,14334620000.000000,5206253466000.000000,4542474337000.000000,,,4542474337000.000000,663779129000.000000,5206253466000.000000,164579782000.000000,,22419241000.000000,9524682000.000000,,,,,,64058100000.000000,5481169891000.000000,,745078118000.000000,77116982000.000000,88948065000.000000,,2214427000.000000,2214427000.000000,,86733638000.000000,86733638000.000000,-7121572000.000000,904021593000.000000,6385191484000.000000,7450781177.000000
12M 2015,,21344659000.000000,591846039000.000000,459951160000.000000,,,6044521633000.000000,-131831158000.000000,5912690475000.000000,,237038335000.000000,237038335000.000000,22257562000.000000,,,1119374333000.000000,8364502563000.000000,,,19362789000.000000,6862051180000.000000,5953876062000.000000,,,5953876062000.000000,908175118000.000000,6862051180000.000000,3889698000.000000,,27533167000.000000,10426550000.000000,,,,,,88826754000.000000,7012090138000.000000,,1147971570000.000000,75915828000.000000,152038232000.000000,,3454449000.000000,3454449000.000000,,148583783000.000000,148583783000.000000,-23513205000.000000,1352412425000.000000,8364502563000.000000,11479715698.000000
12M 2016,,28654362000.000000,1036528822000.000000,1116916250000.000000,,,8179753799000.000000,-239924900000.000000,7939828899000.000000,,241947944000.000000,241947944000.000000,20445671000.000000,,,993638773000.000000,11377960721000.000000,,,10404947000.000000,9223778503000.000000,8082808516000.000000,,,8082808516000.000000,1140969987000.000000,9223778503000.000000,3714202000.000000,,89739471000.000000,8084117000.000000,,,,,,105987941000.000000,9441709181000.000000,,1532571182000.000000,190128032000.000000,239425962000.000000,,5869206000.000000,5869206000.000000,,233556756000.000000,233556756000.000000,-25873636000.000000,1936251540000.000000,11377960721000.000000,15325711820.000000
12M 2017,,12105697000.000000,759829715000.000000,1439860041000.000000,,,10981623081000.000000,-361117960000.000000,10620505121000.000000,,264127377000.000000,264127377000.000000,34099887000.000000,,,3192065534000.000000,16322593372000.000000,,,12165613000.000000,12419278868000.000000,10592020992000.000000,,,10592020992000.000000,1827257876000.000000,12419278868000.000000,31045711000.000000,,55591193000.000000,58583362000.000000,497964691000.000000,,,,,136679057000.000000,13211308495000.000000,,1791253796000.000000,945203438000.000000,360350900000.000000,,11019363000.000000,11019363000.000000,,349331537000.000000,349331537000.000000,14476743000.000000,3111284877000.000000,16322593372000.000000,17912537958.000000
