Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,29.21,,0.13,,,0.0
12M 2009,,,,,,,,,31.84,35.73,0.13,0.13,,,0.0
12M 2010,,,,,,,,,34.26,35.6,0.12,0.12,,,0.0
12M 2011,,,,,,,,,29.63,32.27,0.11,0.1,,,0.0
12M 2012,,,,,,,,,28.92,31.0,0.08,0.09,,,0.0
12M 2013,,,,,,,,,21.38,19.74,0.09,0.09,,,0.0
12M 2014,,,,,,,,,15.21,14.15,0.1,0.1,,,0.0
12M 2015,,,,,,,,,5.48,3.4,0.11,0.1,,,0.0
12M 2016,,,,,,,,,4.03,3.98,0.1,0.09,,,0.0
12M 2017,,,,,,,,,4.95,4.77,0.09,0.08,,,0.0
12M 2018,,,,,,,,,6.36,6.4,0.08,0.08,,,0.0
12M 2019,,,,,,,,,7.88,7.88,0.08,0.08,,,0.0
12M 2020,,,,,,,,,7.16,6.96,0.07,0.07,,,0.0
12M 2021,,,,,,,,,5.86,5.86,0.07,0.09,,,0.0
12M 2022,,,,,,,,,2.78,2.64,0.07,0.08,,,0.0
12M 2023,,,,,,,,,2.12,2.28,0.07,0.07,,,0.0
12M 2024,,,,,,,,,2.82,2.9,0.08,0.08,,,0.0
