Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.98,21009.10,0.98,21009.10,,,,(5 B),128 B
12M 2009,1.55,23180.30,1.55,23180.30,21 B,,21 B,11 B,139 B
12M 2010,2.65,25500.69,2.65,25500.69,18 B,,18 B,13 B,154 B
12M 2011,2.02,27267.70,2.02,27267.70,,,,(12 B),168 B
12M 2012,2.01,29806.81,2.01,29806.81,17 B,,17 B,8 B,189 B
12M 2013,3.47,305.27,3.47,305.27,31 B,,31 B,28 B,178 B
12M 2014,3.35,330.09,3.35,330.09,50 B,,50 B,45 B,175 B
12M 2015,2.14,420.91,2.14,420.91,12 B,,12 B,(21 B),310 B
12M 2016,1.84,428.58,1.84,428.58,8 B,,8 B,3 B,326 B
12M 2017,1.28,445.62,1.28,445.62,5 B,,5 B,(1 B),337 B
12M 2018,1.22,489.85,1.22,489.85,20 B,,20 B,15 B,375 B
12M 2019,1.31,502.50,1.31,502.50,28 B,,28 B,20 B,380 B
12M 2020,1.73,367.65,1.73,367.65,,,,(59 B),95 B
12M 2021,1.50,328.40,1.56,315.37,12 B,,12 B,9 B,101 B
12M 2022,2.11,246.13,2.28,228.57,62 B,,62 B,60 B,11 B
12M 2023,1.39,101.41,1.60,87.93,129 B,,129 B,122 B,(43 B)
