Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Beban Akrual,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Adjustment,Others,Total Liabilitas Jangka Panjang,Adjustment,Total Liabilitas,Ekuitas,Modal Saham,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,5218940000.000000,13752316000.000000,10563715000.000000,3188601000.000000,13752316000.000000,2697340000.000000,,,2697340000.000000,164290195000.000000,52825357000.000000,238784148000.000000,,144055362000.000000,,,19061069000.000000,163116431000.000000,401900579000.000000,,,110428767000.000000,,,36337557000.000000,7308737000.000000,43646294000.000000,29837530000.000000,14851210000.000000,,22093733000.000000,110428767000.000000,18353572000.000000,,,,7231150000.000000,,11122422000.000000,18353572000.000000,,128782339000.000000,,13000000000.000000,260118240000.000000,1000000.000000,260117240000.000000,260118240000.000000,,,273118240000.000000,401900579000.000000,13000000.000000
12M 2009,,,9789354000.000000,14722762000.000000,11386075000.000000,3336687000.000000,14722762000.000000,7210808000.000000,,,7210808000.000000,153761143000.000000,56818700000.000000,242302767000.000000,,155768155000.000000,,,18608225000.000000,174376380000.000000,416679147000.000000,,,103018589000.000000,21000000000.000000,,28918904000.000000,12426957000.000000,41345861000.000000,2987935000.000000,12657162000.000000,,25027631000.000000,103018589000.000000,12316663000.000000,,,,8149928000.000000,,4166735000.000000,12316663000.000000,,115335252000.000000,,13000000000.000000,288343895000.000000,2000000.000000,288341895000.000000,288343895000.000000,,,301343895000.000000,416679147000.000000,13000000.000000
12M 2010,,,4659400000.000000,20460201000.000000,16006330000.000000,4453871000.000000,20460201000.000000,1197773000.000000,,,1197773000.000000,191217901000.000000,77961073000.000000,295496348000.000000,,167843434000.000000,,,20912773000.000000,188756207000.000000,484252555000.000000,,,141748440000.000000,17500000000.000000,,54838587000.000000,26475302000.000000,81313889000.000000,3982144000.000000,13705212000.000000,,25247195000.000000,141748440000.000000,10995150000.000000,,,,10995150000.000000,,,10995150000.000000,,152743590000.000000,,13000000000.000000,318508965000.000000,3000000.000000,318505965000.000000,318508965000.000000,,,331508965000.000000,484252555000.000000,13000000.000000
12M 2011,,,11628489000.000000,27259670000.000000,21937564000.000000,5322106000.000000,27259670000.000000,576432000.000000,,,576432000.000000,193997433000.000000,83181553000.000000,316643577000.000000,,169554791000.000000,,,30450937000.000000,200005728000.000000,516649305000.000000,,,148822766000.000000,,,59800019000.000000,42204541000.000000,102004560000.000000,3728558000.000000,15202930000.000000,,27886718000.000000,148822766000.000000,13346451000.000000,,,,12826373000.000000,,520078000.000000,13346451000.000000,,162169217000.000000,,13000000000.000000,341480088000.000000,4000000.000000,341476088000.000000,341480088000.000000,,,354480088000.000000,516649305000.000000,13000000.000000
12M 2012,,,9444567000.000000,31449167000.000000,24087292000.000000,7361875000.000000,31449167000.000000,1797341000.000000,,,1797341000.000000,221854075000.000000,92828544000.000000,357373694000.000000,,187892640000.000000,,,28841660000.000000,216734300000.000000,574107994000.000000,,,168267966000.000000,17000000000.000000,,73934129000.000000,23647293000.000000,97581422000.000000,8023739000.000000,8226910000.000000,,37435895000.000000,168267966000.000000,18351542000.000000,,,,15270373000.000000,,3081169000.000000,18351542000.000000,,186619508000.000000,,13000000000.000000,374488486000.000000,5000000.000000,374483486000.000000,374488486000.000000,,,387488486000.000000,574107994000.000000,13000000.000000
12M 2013,,,3287272000.000000,39678137000.000000,31583112000.000000,8095025000.000000,39678137000.000000,2145385000.000000,,,2145385000.000000,281405718000.000000,109062242000.000000,435578754000.000000,,210124423000.000000,,,34981883000.000000,245106306000.000000,680685060000.000000,,,257337714000.000000,31000000000.000000,,123201904000.000000,46521701000.000000,169723605000.000000,4237459000.000000,9728414000.000000,,42648236000.000000,257337714000.000000,26494181000.000000,,,,19389048000.000000,,7105133000.000000,26494181000.000000,,283831895000.000000,,13000000000.000000,383853165000.000000,6000000.000000,383847165000.000000,383853165000.000000,,,396853165000.000000,680685060000.000000,1300000000.000000
12M 2014,,,4035526000.000000,33623825000.000000,22014249000.000000,11609576000.000000,33623825000.000000,5801521000.000000,,,5801521000.000000,314628156000.000000,132786860000.000000,490875888000.000000,,245225987000.000000,,,38789212000.000000,284015199000.000000,774891087000.000000,,,316233635000.000000,49500000000.000000,,138891923000.000000,66577683000.000000,205469606000.000000,6782530000.000000,6125916000.000000,,48355583000.000000,316233635000.000000,29541847000.000000,,,,20876868000.000000,,8664979000.000000,29541847000.000000,,345775482000.000000,,13000000000.000000,416115605000.000000,16000000.000000,416099605000.000000,416115605000.000000,,,429115605000.000000,774891087000.000000,1300000000.000000
12M 2015,,,32366700000.000000,31536622000.000000,27067308000.000000,4469314000.000000,31536622000.000000,6597713000.000000,,,6597713000.000000,282546591000.000000,168163255000.000000,521210881000.000000,,234746191000.000000,,,39300902000.000000,274047093000.000000,795257974000.000000,,,210931517000.000000,11500000000.000000,,111174587000.000000,25544204000.000000,136718791000.000000,2326665000.000000,11421751000.000000,,48964310000.000000,210931517000.000000,37139249000.000000,,,,19480882000.000000,,17658367000.000000,37139249000.000000,,248070766000.000000,,13000000000.000000,538794040000.000000,26000000.000000,538768040000.000000,538794040000.000000,,-4606832000.000000,547187208000.000000,795257974000.000000,1300000000.000000
12M 2016,,,5738209000.000000,33855149000.000000,31799752000.000000,2055397000.000000,33855149000.000000,7070761000.000000,,,7070761000.000000,324917517000.000000,162318497000.000000,533900133000.000000,,219554437000.000000,,,51288347000.000000,270842784000.000000,804742917000.000000,,,207734690000.000000,8390000000.000000,,94621974000.000000,29003136000.000000,123625110000.000000,4224019000.000000,14804208000.000000,,56691353000.000000,207734690000.000000,39852948000.000000,,,,18460532000.000000,,21392416000.000000,39852948000.000000,,247587638000.000000,,13000000000.000000,548954703000.000000,76000000.000000,548878703000.000000,548954703000.000000,,-4799424000.000000,557155279000.000000,804742917000.000000,1300000000.000000
12M 2017,,,6391491000.000000,34332957000.000000,30811387000.000000,3521570000.000000,34332957000.000000,1698753000.000000,,,1698753000.000000,383148815000.000000,142382399000.000000,567954415000.000000,,218946522000.000000,,,68790294000.000000,287736816000.000000,855691231000.000000,,,230497528000.000000,5000000000.000000,,101394259000.000000,42794193000.000000,144188452000.000000,8590470000.000000,17241069000.000000,,55477537000.000000,230497528000.000000,45884975000.000000,,,,14622176000.000000,,31262799000.000000,45884975000.000000,,276382503000.000000,,13000000000.000000,574997079000.000000,126000000.000000,574871079000.000000,574997079000.000000,,-8688351000.000000,579308728000.000000,855691231000.000000,1300000000.000000
