Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Beban Operasi,Pembayaran Imbalan Jasa Teknik Dan Konsultasi,Pembayaran Imbalan Lisensi Merek Dagang,Pembayaran Pajak,Penerimaan Bunga,Pembayaran Bunga,Penerimaan Dari Klaim Asuransi,Penerimaan Dari Tagihan Pajak,Pembayaran Sewa Jangka Pendek,Pembayaran Sewa Variable,Pembayaran Sewa,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penambahan Aset Tidak Berwujud,Penjualan Aset Tidak Lancar Yang Dimiliki Untuk Dijual,Pembayaran Sewa,Pembayaran Jaminan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Jangka Pendek,Pembayaran Pinjaman Jangka Pendek,Pembayaran Liabilitas Sewa,Pembatalan Pembayaran Dividen/ (Pembayaran Dividen),Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Perubahan Selisih Kurs Valuta Asing,Total Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-36673025000.000000,584024200000.000000,-449926347000.000000,,,-11581809000.000000,,-163924625000.000000,3582924000.000000,-80890000.000000,1233522000.000000,,,,,-36673025000.000000,55364265000.000000,-92663201000.000000,216159168000.000000,,,-68131702000.000000,,55364265000.000000,-63712160000.000000,59000000000.000000,-59000000000.000000,,-63712160000.000000,,-63712160000.000000,-45020920000.000000,50239860000.000000,,50239860000.000000,5218940000.000000
12M 2009,80886504000.000000,653316218000.000000,-412596327000.000000,,,-14340512000.000000,,-142911753000.000000,182811000.000000,-3136853000.000000,372920000.000000,,,,,80886504000.000000,-75478521000.000000,-21903373000.000000,322822000.000000,,,-53897970000.000000,,-75478521000.000000,-837569000.000000,127150000000.000000,-106150000000.000000,,-21837569000.000000,,-837569000.000000,4570414000.000000,5218940000.000000,,5218940000.000000,9789354000.000000
12M 2010,106334186000.000000,697410923000.000000,-434126245000.000000,,,-17469886000.000000,,-138603258000.000000,140192000.000000,-2095767000.000000,1078227000.000000,,,,,106334186000.000000,-79822979000.000000,-17429439000.000000,830025000.000000,,,-63223565000.000000,,-79822979000.000000,-31641161000.000000,75325000000.000000,-78825000000.000000,,-28141161000.000000,,-31641161000.000000,-5129954000.000000,9789354000.000000,,9789354000.000000,4659400000.000000
12M 2011,70623707000.000000,735119038000.000000,-421857790000.000000,,,-10033298000.000000,-12499805000.000000,-138296988000.000000,153030000.000000,-2301253000.000000,2369475000.000000,,,,-82028702000.000000,70623707000.000000,-15449210000.000000,-16514707000.000000,1065497000.000000,,,,,-15449210000.000000,-48205408000.000000,21000000000.000000,-38500000000.000000,,-30705408000.000000,,-48205408000.000000,6969089000.000000,4659400000.000000,,4659400000.000000,11628489000.000000
12M 2012,46373022000.000000,805616324000.000000,-507624066000.000000,,,-11211729000.000000,-16229307000.000000,-144748899000.000000,124100000.000000,-1140594000.000000,922079000.000000,,,,-79334886000.000000,46373022000.000000,-32944870000.000000,-33279996000.000000,335126000.000000,,,,,-32944870000.000000,-15612074000.000000,78000000000.000000,-61000000000.000000,,-32612074000.000000,,-15612074000.000000,-2183922000.000000,11628489000.000000,,11628489000.000000,9444567000.000000
12M 2013,44680921000.000000,948998895000.000000,-607228739000.000000,,,-14797098000.000000,-18800282000.000000,-172064035000.000000,122976000.000000,-1676037000.000000,949848000.000000,,,,-90824607000.000000,44680921000.000000,-33944191000.000000,-34419621000.000000,475430000.000000,,,,,-33944191000.000000,-16894025000.000000,117500000000.000000,-103500000000.000000,,-30894025000.000000,,-16894025000.000000,-6157295000.000000,9444567000.000000,,9444567000.000000,3287272000.000000
12M 2014,62179864000.000000,1096996074000.000000,-858014469000.000000,,,-6727476000.000000,-16636948000.000000,-34602558000.000000,87086000.000000,-4220808000.000000,2348760000.000000,,,,-117049797000.000000,62179864000.000000,-41069493000.000000,-41706885000.000000,637392000.000000,,,,,-41069493000.000000,-20362117000.000000,102700000000.000000,-84200000000.000000,,-38862117000.000000,,-20362117000.000000,748254000.000000,3287272000.000000,,3287272000.000000,4035526000.000000
12M 2015,-19631483000.000000,1094924108000.000000,-895966894000.000000,,,-30187294000.000000,-26372409000.000000,-38360968000.000000,115692000.000000,-6607237000.000000,3157599000.000000,,,,-120334080000.000000,-19631483000.000000,92609212000.000000,-25442402000.000000,118051614000.000000,,,,,92609212000.000000,-44646555000.000000,99000000000.000000,-137000000000.000000,,-6646555000.000000,,-44646555000.000000,28331174000.000000,4035526000.000000,,4035526000.000000,32366700000.000000
12M 2016,19176233000.000000,1078888528000.000000,-873344131000.000000,,,-15066219000.000000,-19511612000.000000,-27566960000.000000,230377000.000000,-861378000.000000,5130344000.000000,,,,-128722716000.000000,19176233000.000000,-13774840000.000000,-14021403000.000000,246563000.000000,,,,,-13774840000.000000,-32029884000.000000,57000000000.000000,-60110000000.000000,,-28919884000.000000,,-32029884000.000000,-26628491000.000000,32366700000.000000,,32366700000.000000,5738209000.000000
12M 2017,47680636000.000000,1049785680000.000000,-795694566000.000000,,,-17206283000.000000,-21379318000.000000,-22005123000.000000,380710000.000000,-1474197000.000000,5302398000.000000,,,,-150028665000.000000,47680636000.000000,-18771441000.000000,-20052297000.000000,1280856000.000000,,,,,-18771441000.000000,-28255913000.000000,53000000000.000000,-56390000000.000000,,-24865913000.000000,,-28255913000.000000,653282000.000000,5738209000.000000,,5738209000.000000,6391491000.000000
