Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,539762355000.000000,-301240031000.000000,238522324000.000000,-181491415000.000000,-119086592000.000000,-63332990000.000000,928167000.000000,-181491415000.000000,57030909000.000000,171722877000.000000,3674751000.000000,-1213804000.000000,207172286000.000000,965298000.000000,-38875654000.000000,171722877000.000000,228753786000.000000,-71191118000.000000,157562668000.000000,,,,,157562668000.000000,157562668000.000000,,157562668000.000000,,,,
12M 2009,598466433000.000000,-322782390000.000000,275684043000.000000,-200268403000.000000,-124410828000.000000,-76315288000.000000,457713000.000000,-200268403000.000000,75415640000.000000,-3737659000.000000,182810000.000000,-4980268000.000000,192146000.000000,867653000.000000,,-3737659000.000000,71677981000.000000,-18697335000.000000,52980646000.000000,,,,,52980646000.000000,52980646000.000000,,52980646000.000000,,,,
12M 2010,644189190000.000000,-337998532000.000000,306190658000.000000,-218501244000.000000,-140069418000.000000,-78990390000.000000,558564000.000000,-218501244000.000000,87689414000.000000,-3122051000.000000,140192000.000000,-4390307000.000000,572791000.000000,555273000.000000,,-3122051000.000000,84567363000.000000,-23592293000.000000,60975070000.000000,,,,,60975070000.000000,60975070000.000000,,60975070000.000000,,,,
12M 2011,678591535000.000000,-369611149000.000000,308980386000.000000,-229335482000.000000,-149219413000.000000,-78633256000.000000,-1482813000.000000,-229335482000.000000,79644904000.000000,-1014027000.000000,153030000.000000,-2554959000.000000,409220000.000000,978682000.000000,,-1014027000.000000,78630877000.000000,-22015754000.000000,56615123000.000000,,,,56615123000.000000,56615123000.000000,56615123000.000000,,56615123000.000000,56615123000.000000,56615123000.000000,,56615123000.000000
12M 2012,751449338000.000000,-400963064000.000000,350486274000.000000,-250322395000.000000,-168890413000.000000,-81910713000.000000,478731000.000000,-250322395000.000000,100163879000.000000,-1016494000.000000,124100000.000000,-1140594000.000000,,,,-1016494000.000000,99147385000.000000,-29803987000.000000,69343398000.000000,,,,69343398000.000000,69343398000.000000,69343398000.000000,,69343398000.000000,69343398000.000000,69343398000.000000,,69343398000.000000
12M 2013,902459209000.000000,-539446848000.000000,363012361000.000000,-297620518000.000000,-196761398000.000000,-100178715000.000000,-680405000.000000,-297620518000.000000,65391843000.000000,-1633348000.000000,122976000.000000,-1756324000.000000,,,,-1633348000.000000,63758495000.000000,-19384816000.000000,44373679000.000000,,,,44373679000.000000,44373679000.000000,44373679000.000000,,44373679000.000000,44373679000.000000,44373679000.000000,,44373679000.000000
12M 2014,1008727515000.000000,-558227929000.000000,450499586000.000000,-347286362000.000000,-235948633000.000000,-110968797000.000000,-368932000.000000,-347286362000.000000,103213224000.000000,-4287318000.000000,87086000.000000,-4374404000.000000,,,,-4287318000.000000,98925906000.000000,-28144466000.000000,70781440000.000000,,,,70781440000.000000,70781440000.000000,70781440000.000000,,70781440000.000000,70781440000.000000,70781440000.000000,,70781440000.000000
12M 2015,1028850578000.000000,-622099195000.000000,406751383000.000000,-372883524000.000000,-250450762000.000000,-119760966000.000000,-2671796000.000000,-372883524000.000000,33867859000.000000,114935759000.000000,115692000.000000,-6207256000.000000,121027323000.000000,,,114935759000.000000,148803618000.000000,-19284172000.000000,129519446000.000000,-623834000.000000,,-623834000.000000,128895612000.000000,129519446000.000000,129519446000.000000,,129519446000.000000,128895612000.000000,128895612000.000000,,128895612000.000000
12M 2016,999802379000.000000,-568351159000.000000,431451220000.000000,-364745650000.000000,-254691210000.000000,-111929306000.000000,1874866000.000000,-364745650000.000000,66705570000.000000,-1403548000.000000,230377000.000000,-981399000.000000,-652526000.000000,,,-1403548000.000000,65302022000.000000,-23070359000.000000,42231663000.000000,-192592000.000000,,-192592000.000000,42039071000.000000,42231663000.000000,42231663000.000000,,42231663000.000000,42039071000.000000,42039071000.000000,,42039071000.000000
12M 2017,974536083000.000000,-526713772000.000000,447822311000.000000,-367621820000.000000,-257327795000.000000,-109121956000.000000,-1172069000.000000,-367621820000.000000,80200491000.000000,-676312000.000000,380710000.000000,-1360440000.000000,303418000.000000,,,-676312000.000000,79524179000.000000,-25869803000.000000,53654376000.000000,-3888927000.000000,,-3888927000.000000,49765449000.000000,53654376000.000000,53654376000.000000,,53654376000.000000,49765449000.000000,49765449000.000000,,49765449000.000000
