Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Pendapatan Bersih Ventura Bersama,Laba Kotor Setelah Ventura Bersama,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,,-6610972812647.000000,663193825153.000000,,687395329370.000000,-238296140112.000000,-13140159281.000000,-225155980831.000000,-238296140112.000000,449099189258.000000,-117272257809.000000,28348543593.000000,-4091098088.000000,128164999.000000,-153789010055.000000,582478081.000000,,11548663661.000000,-117272257809.000000,331826931449.000000,-159837737328.000000,,,-159837737328.000000,171989194121.000000,467611156.000000,467611156.000000,467611156.000000,172456805277.000000,171989194121.000000,171989194121.000000,,171989194121.000000,172456805277.000000,172456805277.000000,,172456805277.000000
12M 2012,,-8076157819190.000000,732257929503.000000,,824834819201.000000,-284720190484.000000,-18617699303.000000,-266102491181.000000,-284720190484.000000,540114628717.000000,-80201250590.000000,31885098337.000000,2112666181.000000,81358081.000000,-169585561829.000000,970623987.000000,,54334564653.000000,-80201250590.000000,459913378127.000000,-205882086548.000000,,,-205882086548.000000,254031291579.000000,331809441.000000,331809441.000000,331809441.000000,254363101020.000000,254031291579.000000,254031291579.000000,,254031291579.000000,254363101020.000000,254363101020.000000,,254363101020.000000
12M 2013,9686610301864.000000,-8775913964997.000000,910696336867.000000,101674838947.000000,1012371175814.000000,-340184653362.000000,-23894204238.000000,-316290449124.000000,-340184653362.000000,672186522452.000000,-60985887584.000000,27154660984.000000,20507937029.000000,231278047.000000,-96850836990.000000,1153156256.000000,,-13182082910.000000,-60985887584.000000,611200634868.000000,-243230405572.000000,,,-243230405572.000000,367970229296.000000,-1340788306.000000,-1340788306.000000,-1340788306.000000,366629440990.000000,367970229295.000000,368059982496.000000,-89753201.000000,367970229295.000000,366629440989.000000,366719194190.000000,-89753201.000000,366629440989.000000
12M 2014,10286813284004.000000,-9177916819076.000000,1108896464928.000000,197115673963.000000,1306012138891.000000,-430558648659.000000,-25515527498.000000,-405043121161.000000,-430558648659.000000,875453490232.000000,-119851530522.000000,43440081356.000000,-3454169963.000000,,-183596366642.000000,-185095601.000000,,23944020328.000000,-119851530522.000000,755601959710.000000,-254389167647.000000,,,-254389167647.000000,501212792063.000000,-4155180744.000000,-4155180744.000000,-4155180744.000000,497057611319.000000,501212792063.000000,501530512401.000000,-317720338.000000,501212792063.000000,497057611319.000000,497375331657.000000,-317720338.000000,497057611319.000000
12M 2015,14152752847612.000000,-12231514814135.000000,1921238033477.000000,11599215444.000000,1932837248921.000000,-517844197853.000000,-37410897783.000000,-480433300070.000000,-517844197853.000000,1414993051068.000000,-16988927264.000000,72801139476.000000,13191493550.000000,539455112.000000,-340008402044.000000,-1487457144.000000,,237974843786.000000,-16988927264.000000,1398004123804.000000,-350413451030.000000,-365747796160.000000,15334345130.000000,-350413451030.000000,1047590672774.000000,435675741453.000000,435675741453.000000,435675741453.000000,1483266414227.000000,1047590672774.000000,1047738098920.000000,-147426146.000000,1047590672774.000000,1483266414227.000000,1483413840373.000000,-147426146.000000,1483266414227.000000
12M 2016,23788322626347.000000,-19820484367904.000000,3967838258443.000000,,3967838258443.000000,-788282594058.000000,-33152971997.000000,-755129622061.000000,-788282594058.000000,3179555664385.000000,-1023966590967.000000,187483177298.000000,-732320345.000000,,-982835623286.000000,-7356804963.000000,-324304470013.000000,103779450342.000000,-1023966590967.000000,2155589073418.000000,-342520456635.000000,,,-342520456635.000000,1813068616783.000000,-3885140528.000000,-3885140528.000000,-3885140528.000000,1809183476255.000000,1813068616784.000000,1713260616725.000000,99808000059.000000,1813068616784.000000,1809183476256.000000,1709375476197.000000,99808000059.000000,1809183476256.000000
12M 2017,45212897632604.000000,-35749365206806.000000,9463532425798.000000,,9463532425798.000000,-2103899171263.000000,-37297688405.000000,-2066601482858.000000,-2103899171263.000000,7359633254535.000000,-2738987099830.000000,333912591702.000000,290067259.000000,,-1932084162136.000000,26129192027.000000,-1434640880420.000000,267406091738.000000,-2738987099830.000000,4620646154705.000000,-419073663951.000000,,,-419073663951.000000,4201572490754.000000,-24790004652.000000,-24790004652.000000,-24790004652.000000,4176782486102.000000,4201572490754.000000,3881711917338.000000,319860573416.000000,4201572490754.000000,4176782486102.000000,3856921912686.000000,319860573416.000000,4176782486102.000000
12M 2018,48788950838822.000000,-39926332089924.000000,8862618748898.000000,,8862618748898.000000,-1667745969535.000000,-51205890476.000000,-1616540079059.000000,-1667745969535.000000,7194872779363.000000,-1658430275355.000000,648047194568.000000,11863388237.000000,,-2459241670378.000000,28782401204.000000,-1489515370042.000000,1601633781056.000000,-1658430275355.000000,5536442504008.000000,-916874798455.000000,,,-916874798455.000000,4619567705553.000000,289488287504.000000,289488287504.000000,289488287504.000000,4909055993057.000000,4619567705553.000000,3962838031865.000000,656729673688.000000,4619567705553.000000,4909055993057.000000,4252326319369.000000,656729673688.000000,4909055993057.000000
12M 2019,31387389629869.000000,-25782746866464.000000,5604642763405.000000,,5604642763405.000000,-1371547283663.000000,-51589935546.000000,-1319957348117.000000,-1371547283663.000000,4233095479742.000000,-2904445517903.000000,957884130420.000000,-12551246681.000000,,-3620533969507.000000,-290287684339.000000,-706417381314.000000,767460633518.000000,-2904445517903.000000,1328649961839.000000,-299751593948.000000,,,-299751593948.000000,1028898367891.000000,-66140930727.000000,-66140930727.000000,-66140930727.000000,962757437164.000000,1028898367891.000000,938142364887.000000,90756003004.000000,1028898367891.000000,962757437164.000000,872001434160.000000,90756003004.000000,962757437164.000000
12M 2020,16190456515103.000000,-18168339421735.000000,-1977882906632.000000,,-1977882906632.000000,-1702237711803.000000,-45904808574.000000,-1656332903229.000000,-1702237711803.000000,-3680120618435.000000,-6049301311418.000000,750125330133.000000,-2604955797.000000,,-4741217297950.000000,-648845699537.000000,-357036198688.000000,-1049722489579.000000,-6049301311418.000000,-9729421929853.000000,233695783307.000000,,,233695783307.000000,-9495726146546.000000,94494141541.000000,94494141541.000000,94494141541.000000,-9401232005005.000000,-9495726146546.000000,-7378553582119.000000,-2117172564427.000000,-9495726146546.000000,-9401232005005.000000,-7284059440578.000000,-2117172564427.000000,-9401232005005.000000
12M 2021,12224128315553.000000,-10325642190087.000000,1898486125466.000000,,1898486125466.000000,-2305100736693.000000,-46484305094.000000,-2258616431599.000000,-2305100736693.000000,-406614611227.000000,-679626122572.000000,985757639509.000000,662025553.000000,,-4840185769843.000000,-321624042892.000000,-240314834015.000000,3736078859116.000000,-679626122572.000000,-1086240733799.000000,-752492708176.000000,,,-752492708176.000000,-1838733441975.000000,120583298912.000000,120583298912.000000,120583298912.000000,-1718150143063.000000,-1838733441975.000000,-1096212049912.000000,-742521392063.000000,-1838733441975.000000,-1718150143063.000000,-975628751000.000000,-742521392063.000000,-1718150143063.000000
12M 2022,15302872338467.000000,-13853534333619.000000,1449338004848.000000,,1449338004848.000000,-1919064637306.000000,-153754997136.000000,-1765309640170.000000,-1919064637306.000000,-469726632458.000000,-771048095115.000000,1154814435650.000000,2725349759.000000,,-4286996169770.000000,1077847931007.000000,-312796176715.000000,1593356534954.000000,-771048095115.000000,-1240774727573.000000,-431959079487.000000,,,-431959079487.000000,-1672733807060.000000,-36089047985.000000,-36089047985.000000,-36089047985.000000,-1708822855045.000000,-1672733807060.000000,-1899817183583.000000,227083376523.000000,-1672733807060.000000,-1708822855045.000000,-1935906231568.000000,227083376523.000000,-1708822855045.000000
12M 2023,10954693035464.000000,-10340800123733.000000,613892911731.000000,,613892911731.000000,-1855388667136.000000,-128089156461.000000,-1727299510675.000000,-1855388667136.000000,-1241495755405.000000,-2535363641195.000000,963453525396.000000,4145770269.000000,,-4419902764987.000000,-280250727461.000000,-187481325101.000000,1384671880689.000000,-2535363641195.000000,-3776859396600.000000,-241405614103.000000,,,-241405614103.000000,-4018265010703.000000,-47226973483.000000,-47226973483.000000,-47226973483.000000,-4065491984186.000000,-4018265010703.000000,-3770396430342.000000,-247868580361.000000,-4018265010703.000000,-4065491984186.000000,-3817520796974.000000,-247971187212.000000,-4065491984186.000000
