Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Retensi,Pihak Berelasi,Pihak Ketiga,Total Piutang Retensi,Persediaan,Piutang Pada Ventura Bersama,Investasi Pada Entitas Asosiasi Dan Entitas Pengendalian Bersama,Tagihan Bruto Kepada Pemberi Kerja,Pihak Berelasi,Pihak Ketiga,Total Tagihan Bruto Kepada Pemberi Kerja,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Piutang Pihak Berelasi,Piutang Usaha,Piutang Retensi,Properti Investasi,Aset Tetap,Goodwill,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Pihak Berelasi,Pihak Ketiga,Total Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Kewajiban Lembaga Keuangan Non Bank,Utang Lain-Lain,Liabilitas Pajak Tangguhan,Utang Obligasi,Beban Akrual,Utang Pajak,Surat Berharga Jangka Menengah,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Pihak Berelasi,Pihak Ketiga,Total Utang Bank Jangka Panjang,Utang Lain Jangka Panjang,Pihak Berelasi,Pihak Ketiga,Total Utang Lain Jangka Panjang,Utang Pihak Berelasi,Utang Pajak,Liabilitas Pajak Tangguhan,Utang Obligasi,Utang Bunga Dan Denda,Surat Hutang,Utang Pembelian Aset Tetap,Sukuk Mudharabah,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654992100000.000000,,-31978187864.000000,192279960913.000000,-224258148777.000000,-31978187864.000000,,-2791551243.000000,620222360893.000000,620222360893.000000,18000000.000000
12M 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963223600000.000000,831137834545.000000,215173535951.000000,192279960913.000000,22893575038.000000,215173535951.000000,,-2459741802.000000,2007075228694.000000,2007075228694.000000,9632326000.000000
12M 2013,,,1119694010726.000000,24276133745.000000,1710373345558.000000,901253562349.000000,809119783209.000000,1710373345558.000000,605778272759.000000,169351405807.000000,436426866952.000000,605778272759.000000,292226654318.000000,,,3312275814495.000000,1098989672974.000000,2213286141521.000000,3312275814495.000000,716788882433.000000,7781413114034.000000,,8391719214.000000,,,,15107359107.000000,415439953161.000000,,,,567951092104.000000,1006890123586.000000,8788303237620.000000,,,5427139408859.000000,,775057780977.000000,99750000000.000000,874807780977.000000,,65118372950.000000,2226149143612.000000,2291267516562.000000,,,,,22720456222.000000,97227415293.000000,,,,,,,2141116239805.000000,5427139408859.000000,977726766881.000000,,,,,,,,,,,,748044637281.000000,,,,,229682129600.000000,977726766881.000000,6404866175740.000000,,963223600000.000000,831137834545.000000,562911015121.000000,194820273829.000000,368090741292.000000,562911015121.000000,1035246799.000000,25129365415.000000,2383437061880.000000,8788303237620.000000,9632326000.000000
12M 2014,,,1675283272031.000000,24276133745.000000,2306758397689.000000,832159176754.000000,1474599220935.000000,2306758397689.000000,619017530435.000000,221781483775.000000,397236046660.000000,619017530435.000000,604279265976.000000,,,4270519511684.000000,1525225402563.000000,2745294109121.000000,4270519511684.000000,1024033793758.000000,10524167905318.000000,,7314904399.000000,,,,,621791835556.000000,,,,1388766699575.000000,2017873439530.000000,12542041344848.000000,,,7728153555877.000000,,1442610372843.000000,474519121449.000000,1917129494292.000000,,87468737059.000000,2484326706871.000000,2571795443930.000000,,,,,98727643520.000000,104179351411.000000,,,,,,,3036321622724.000000,7728153555877.000000,1965057910356.000000,,,,,,,,,3652128645.000000,,,1245656603967.000000,,,,,715749177744.000000,1965057910356.000000,9693211466233.000000,,972750420500.000000,880789372316.000000,954023532773.000000,268432270328.000000,685591262445.000000,954023532773.000000,5859526461.000000,35407026566.000000,2848829878616.000000,12542041344849.000000,9727504265.000000
12M 2015,,,5511188078778.000000,10663933745.000000,4653596851448.000000,1082777494682.000000,3570819356766.000000,4653596851448.000000,731619042743.000000,259039506370.000000,472579536373.000000,731619042743.000000,826384135639.000000,,,4579714985618.000000,2489076603668.000000,2090638381950.000000,4579714985618.000000,1761683914776.000000,18074850942747.000000,,421812733291.000000,,,,259970000000.000000,1923143995454.000000,1390680768376.000000,5580331981281.000000,,2658320756318.000000,12234260234720.000000,30309111177467.000000,,,13664811609274.000000,,2518601553926.000000,675303787903.000000,3193905341829.000000,5472021465464.000000,,,5472021465464.000000,,289295363429.000000,,,116289393949.000000,439395881176.000000,,,,5000000000.000000,,5000000000.000000,4148904163427.000000,13664811609274.000000,6940092700531.000000,,1684237750617.000000,191636337983.000000,1875874088600.000000,,41406913603.000000,745445185584.000000,786852099187.000000,,,,2670634541106.000000,262552936305.000000,,143649189.000000,,1344035386144.000000,6940092700531.000000,20604904309805.000000,,1357249331000.000000,5881546426030.000000,1933161116585.000000,368738372808.000000,1564422743777.000000,1933161116585.000000,157111725765.000000,375138268284.000000,9704206867664.000000,30309111177469.000000,13572249330.000000
12M 2016,,,10653780768186.000000,10663933745.000000,2238507135808.000000,1356258910298.000000,882248225510.000000,2238507135808.000000,966697328380.000000,376206099216.000000,590491229164.000000,966697328380.000000,2556731823542.000000,,,10971802597848.000000,5485979232464.000000,5485823365384.000000,10971802597848.000000,9484273905249.000000,36882457492758.000000,,2070700688368.000000,,138109649163.000000,,53410531080.000000,3275335187968.000000,1710769397469.000000,11153743927058.000000,187307694607.000000,5953347153559.000000,24542724229272.000000,61425181722030.000000,,,31461535721602.000000,,6799481486230.000000,5263565665599.000000,12063047151829.000000,,3183978598849.000000,4177716473050.000000,7361695071899.000000,,3281288365177.000000,780510744.000000,,339496785106.000000,409814781584.000000,,,,5392000000.000000,224284004.000000,5616284004.000000,7999796771259.000000,31461535721602.000000,13190427443480.000000,,4002281339698.000000,145607418903.000000,4147888758601.000000,,853981129.000000,1953199902151.000000,1954053883280.000000,,,,5567525204668.000000,,,305251684.000000,,1520654345247.000000,13190427443480.000000,44651963165082.000000,,1357365455000.000000,5882676892384.000000,3334161614252.000000,578285992592.000000,2755875621660.000000,3334161614252.000000,5703665307835.000000,495349287477.000000,16773218556948.000000,61425181722030.000000,13572249330.000000
12M 2017,,,6088962586747.000000,8448200000.000000,1871068344684.000000,1166833178001.000000,704235166683.000000,1871068344684.000000,1050932276366.000000,510270123331.000000,540662153035.000000,1050932276366.000000,3235500802811.000000,1011053119340.000000,,25020661157688.000000,17413947120590.000000,7606714037098.000000,25020661157688.000000,14140390871984.000000,52427017359620.000000,,3449338384504.000000,,,,66546252874.000000,4742288130361.000000,2235779910646.000000,33932684241654.000000,43924035581.000000,998182523385.000000,45468743479005.000000,97895760838625.000000,,,52309197858063.000000,,16641611667703.000000,7649864172600.000000,24291475840303.000000,,938630279641.000000,13159552139682.000000,14098182419323.000000,,1588724501944.000000,,,513240180918.000000,227789793954.000000,,,,5392000000.000000,237492556.000000,5629492556.000000,11584155629065.000000,52309197858063.000000,22831738171066.000000,,5454775185496.000000,3210730749243.000000,8665505934739.000000,,584561070969.000000,1754631834940.000000,2339192905909.000000,,1067591732142.000000,43053575114.000000,9045261188524.000000,,,240830945.000000,,1670892003693.000000,22831738171066.000000,75140936029129.000000,,1357390259999.000000,5467018482083.000000,6681081107614.000000,920938115937.000000,5760142991677.000000,6681081107614.000000,8748386520139.000000,500948439660.000000,22754824809495.000000,97895760838624.000000,13573902600.000000
12M 2018,,,10845678217201.000000,8448200000.000000,3768188689654.000000,2242057577361.000000,1526131112293.000000,3768188689654.000000,1333867085150.000000,954996413765.000000,378870671385.000000,1333867085150.000000,5089231071244.000000,659662426115.000000,,32350733163102.000000,24937285230226.000000,7413447932876.000000,32350733163102.000000,12933320969725.000000,66989129822191.000000,,6651472170541.000000,,,,126279404689.000000,7091121159643.000000,1995908825753.000000,40233245160591.000000,1557248071.000000,1302867832157.000000,57402451801445.000000,124391581623636.000000,,,56799725099343.000000,,15838981106761.000000,12120266171454.000000,27959247278215.000000,,162642716514.000000,14743190282452.000000,14905832998966.000000,,392616610781.000000,,,695785978311.000000,2028608632641.000000,,,,416500000000.000000,198479272.000000,416698479272.000000,10400935121157.000000,56799725099343.000000,38704737773426.000000,,15157592571768.000000,5594661305370.000000,20752253877138.000000,,,1549134705578.000000,1549134705578.000000,,805408693733.000000,54362636473.000000,11849363801404.000000,,300000000000.000000,6226563.000000,,3394207832537.000000,38704737773426.000000,95504462872769.000000,,1357390259999.000000,5552026262437.000000,10347404260305.000000,1583494837349.000000,8763909422956.000000,10347404260305.000000,10886002685490.000000,744295282636.000000,28887118750867.000000,124391581623636.000000,13573902600.000000
12M 2019,,,9258310028392.000000,8448200000.000000,3555894482727.000000,1085899931009.000000,2469994551718.000000,3555894482727.000000,1783127156677.000000,1461470561988.000000,321656594689.000000,1783127156677.000000,4470845549423.000000,3302632305354.000000,,14171175559016.000000,11475684609873.000000,2695490949143.000000,14171175559016.000000,12487409604531.000000,49037842886120.000000,,5384494191741.000000,,,,310146389684.000000,8663216063821.000000,1995908825753.000000,55378833829251.000000,1542424572.000000,1817274739629.000000,73551416464451.000000,122589259350571.000000,,,45023495139583.000000,,10548870504263.000000,11613492688617.000000,22162363192880.000000,,202384052499.000000,12178793774334.000000,12381177826833.000000,,,,3264993640444.000000,720628410360.000000,1381844607528.000000,732996527781.000000,,,833000000000.000000,8710487.000000,833008710487.000000,3546482223270.000000,45023495139583.000000,48447295021989.000000,,14972616592642.000000,14352533774287.000000,29325150366929.000000,,,1876410844810.000000,1876410844810.000000,,193161337709.000000,28635109703.000000,12422420279553.000000,,300000000000.000000,,,4301517083285.000000,48447295021989.000000,93470790161572.000000,,1357390259999.000000,5552026262437.000000,10233409821327.000000,1672393928212.000000,8561015893115.000000,10233409821327.000000,11236061197428.000000,739581647808.000000,29118469188999.000000,122589259350571.000000,13573902600.000000
12M 2020,,,1213437371866.000000,239008625391.000000,4424284473160.000000,3724756277603.000000,699528195557.000000,4424284473160.000000,1805569460457.000000,1586862073398.000000,218707387059.000000,1805569460457.000000,4208986491544.000000,128304009090.000000,,11022447219064.000000,7855667665668.000000,3166779553396.000000,11022447219064.000000,9496724942674.000000,32538762593246.000000,,6866921939346.000000,,,,310146389684.000000,7819654831137.000000,1995908825753.000000,53871281594680.000000,520766892152.000000,1665516994007.000000,73050197466759.000000,105588960060005.000000,,,48237835913277.000000,,17256241501487.000000,7614348526567.000000,24870590028054.000000,,98615367174.000000,12995965300730.000000,13094580667904.000000,,,,2835442315500.000000,1502672828666.000000,1127698388169.000000,300000000000.000000,,30379472255.000000,1220249261405.000000,,1250628733660.000000,3256222951324.000000,48237835913277.000000,40773569381438.000000,,9123406994528.000000,13962933179961.000000,23086340174489.000000,,,2025478455188.000000,2025478455188.000000,,725300038436.000000,7288529672.000000,9728155364379.000000,,,,,5201006819274.000000,40773569381438.000000,89011405294715.000000,,1357395099999.000000,5849531302847.000000,-440120243584.000000,1732101397272.000000,-2172221640856.000000,-440120243584.000000,9045313162237.000000,765435443791.000000,16577554765290.000000,105588960060005.000000,13573902600.000000
