Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2007,2.50,356.53,2.50,355.94,57 B,40 B,97 B,58 B,10 B
12M 2008,0.97,129.10,0.97,128.97,87 B,51 B,137 B,76 B,35 B
12M 2009,1.50,133.46,1.50,133.31,87 B,56 B,143 B,70 B,35 B
12M 2010,1.23,138.11,1.23,138.05,101 B,112 B,213 B,146 B,18 B
12M 2011,1.04,149.81,1.04,149.75,196 B,104 B,300 B,185 B,(10 B)
12M 2012,1.19,165.75,1.19,165.68,136 B,333 B,469 B,353 B,96 B
12M 2013,2.02,193.06,2.02,193.00,135 B,456 B,591 B,425 B,85 B
12M 2014,2.17,222.37,2.34,206.76,254 B,445 B,699 B,559 B,22 B
12M 2015,2.84,158.25,3.16,142.63,222 B,651 B,873 B,772 B,(20 B)
12M 2016,1.59,392.29,1.66,375.57,273 B,764 B,"1,037 B",748 B,157 B
12M 2017,0.99,557.43,1.02,540.70,230 B,570 B,800 B,350 B,439 B
12M 2018,0.68,543.42,0.68,542.30,200 B,473 B,673 B,600 B,104 B
12M 2019,0.54,623.12,0.54,622.00,151 B,625 B,776 B,524 B,237 B
12M 2020,0.33,466.41,0.33,465.29,278 B,531 B,809 B,591 B,(43 B)
12M 2021,0.59,357.94,0.59,356.83,194 B,554 B,748 B,714 B,(103 B)
12M 2022,1.48,355.52,1.48,354.40,172 B,500 B,672 B,576 B,(21 B)
12M 2023,1.51,429.51,1.52,428.39,104 B,434 B,538 B,403 B,106 B
12M 2024,0.91,662.24,0.91,661.28,141 B,365 B,507 B,224 B,548 B
