Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Kepada Pemasok,Penerimaan Pengembalian Pajak,Pembayaran Bunga Dan Beban Keuangan,Pembayaran Pajak Penghasilan Badan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penyertaan Investasi Saham,Pelepasan Investasi Saham,Penempatan (Pencairan) Uang Jaminan,Kenaikan Piutang Pihak Berelasi,Penurunan Piutang Pihak Berelasi,Penerimaan (Pembayaran) Piutang-Hutang Kepada Pihak Yang Mempunyai Hubungan Istimewa,Pembayaran Piutang-Hutang Pada Pihak Ketiga,Penerimaan Dari Penjualan Investasi Saham Pada Anak Perusahaan,Penempatan Investasi Sementara,Pencairan Investasi Sementara,Penambahan Investasi Pada Perusahaan Asosiasi,Uang Muka Investasi,Pembayaran Uang Muka Investasi,Pengembalian Uang Muka,Penurunan Deposito Berjangka Yang Dibatasi Penggunaannya,Peningkatan Deposito Berjangka Yang Dibatasi Penggunaannya,Penerimaan Bunga,Penerimaan Klaim Asuransi,Pembayaran Uang Muka Aset Lain-Lain,Arus Kas Masuk Bersih Dari Akuisisi Entitas Anak,Uang Muka Untuk Perolehan Aset Tetap,Penjualan Aktiva Tetap,Penambahan Properti Investasi,Perolehan Aset Tetap,Penambahan Aset Takberwujud,Penerimaan Dividen Tunai Dari Asosiasi,Perolehan Proyek Dalam Penyelesaian,Pembayaran Dividen,Penerimaan Penawaran Umum Terbatas Saham Biasa-Neto Anak Perusahaan,Penerimaan Dari Pelepasan Kepemilikan Di Entitas Anak Yang Mengakibatkan Kehilangan Pengendalian,Penerimaan Dari Pelepasan Kepemilikan Di Entitas Asosiasi,Penerimaan Penjualan Investasi Saham-Bersih,Perolehan Anak Perusahaan-Dikurangi Saldo Kas Anak Perusahaan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Hutang Kepada Pihak Berelasi,Penerimaan (Pembayaran) Utang Lain-Lain,Pencairan ( Penempatan ) Uang Jaminan,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Dividen Tunai Oleh Entitas Anak Kepada Non-Pengendali,Penerimaan Dari Pmhmetd I Setelah Dikurangi Biaya Emisi Saham,Pembayaran Utang Bank Jangka Panjang,Pembayaran Liabilitas Sewa,Pembayaran Liabilitas Lainnya,Penerimaan Utang Bank,Penurunan Utang Pihak Berelasi,Kenaikan Utang Pihak Berelasi,Pelunasan Utang Bank,Penurunan (Kenaikan) Deposito Berjangka Yang Dibatasi Pencairannya,Penerimaan Dari Penerbitan Saham Biasa,Penerimaan Utang Pembelian Aset Tetap,Pelunasan Utang Pembelian Aset Tetap,Pembayaran Utang Sewa Guna Usaha,Pembayaran Utang Sewa Pembiayaan,"Penerimaan Hutang Bank, Pembelian Aktiva Tetap Dan Sewa Guna Usaha","Pembayaran Hutang Bank, Pembelian Aktiva Tetap Dan Sewa Guna Usaha",Penambahan Modal Melalui Penawaran Umum Saham Anak Perusahaan,Hasil Penerbitan Saham Oleh Anak Perusahaan Kepada Pihak Non Pengendali,Pembayaran Dividen Tunai Kepada Pemegang Saham,Pembayaran Dividen Tunai Kepada Pihak Non Pengendali,Penambahan Modal Dari Kepentingan Non-Pengendali Pada Entitas Anak,Penerimaan Dari Penerbitan Surat Utang Jangka Menengah,Pembayaran Surat Utang Jangka Menengah,Penerimaan Dari Penerbitan Surat Utang Obligasi,Pembayaran Obligasi,Penerimaan Dari Penjualan Kepemilikan Pada Entitas Anak Yang Tidak Mengakibatkan Kehilangan Pengendalian,Konversi Warrant-Anak Perusahaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2007,4959216000.000000,1170504327000.000000,,-1151849211000.000000,,-11840106000.000000,-1855794000.000000,,4959216000.000000,-17267601000.000000,,,,,,-815814000.000000,,,,2697997000.000000,-500000000.000000,,,,,,2526015000.000000,,,,-14516635000.000000,3919762000.000000,,-10578926000.000000,,,,,,,,,,-17267601000.000000,14523665000.000000,-3078518000.000000,,,,,,,,,,,14219965000.000000,,,,,,,859011000.000000,,-67307000.000000,,,,2200000000.000000,390514000.000000,,,,,,,,,14523665000.000000,2215280000.000000,36283869000.000000,1020480000.000000,39519629000.000000
12M 2008,20781161000.000000,1603559400000.000000,,-1561487631000.000000,,-15132971000.000000,-6157637000.000000,,20781161000.000000,-61516697000.000000,,,,,,4681035000.000000,,3469000000.000000,-15655170000.000000,,-625000000.000000,,-10934689000.000000,,,,1105055000.000000,145700000.000000,,,-23011249000.000000,1256815000.000000,,-21930694000.000000,,,-17500000.000000,,,,,,,-61516697000.000000,62195977000.000000,-266787000.000000,,,,,,,,,,,26581963000.000000,,,,,,,-2978878000.000000,,-11217000.000000,,,,40559094000.000000,-1416000000.000000,-272198000.000000,,,,,,,,62195977000.000000,21460441000.000000,39519629000.000000,138775000.000000,61118845000.000000
12M 2009,45400808000.000000,1553083797000.000000,,-1488303642000.000000,,-15785349000.000000,-3593998000.000000,,45400808000.000000,-9041105000.000000,,,,,,951591000.000000,,,,,,8500000000.000000,-2049058000.000000,,7163511000.000000,,1469459000.000000,,,,-5952546000.000000,3493250000.000000,,-21461302000.000000,,,-698756000.000000,,,,,,-457254000.000000,-9041105000.000000,-20193256000.000000,263394000.000000,,,,,,,,,,,7487466000.000000,,,-20263993000.000000,,,,-6735810000.000000,,,,,,,-504000000.000000,-440313000.000000,,,,,,,,-20193256000.000000,16166447000.000000,60947941000.000000,-3841085000.000000,73273303000.000000
12M 2010,58709911000.000000,1783275803000.000000,,-1701036744000.000000,,-20533624000.000000,-2995524000.000000,,58709911000.000000,-60376789000.000000,,,,,,1737706000.000000,,,,,,,,,4042785000.000000,,977533000.000000,,,,-21324056000.000000,1477948000.000000,,-47288705000.000000,,,,,,,,,,-60376789000.000000,-7171177000.000000,98106000.000000,,,,,,,,,,,24247334000.000000,,,-16797849000.000000,,,,-14484768000.000000,,,,,,630000000.000000,-864000000.000000,,,,,,,,,-7171177000.000000,-8838055000.000000,73490850000.000000,2661557000.000000,67314352000.000000
12M 2011,42268787000.000000,2090598391000.000000,,-2021472705000.000000,,-25599595000.000000,-1257304000.000000,,42268787000.000000,-29694206000.000000,,,,,,-7712659000.000000,,,,,-1250000000.000000,,,,3763043000.000000,,575853000.000000,,,,-19337743000.000000,4576507000.000000,,-9568854000.000000,,,-740353000.000000,,,,,,,-29694206000.000000,34829139000.000000,3890379000.000000,,,,,25000000000.000000,,,,,,62526390000.000000,,,-22828241000.000000,,,2576611000.000000,-35005762000.000000,,,,,,5000000.000000,-1335238000.000000,,,,,,,,,34829139000.000000,47403720000.000000,67314352000.000000,5929000.000000,114724001000.000000
12M 2012,82269191000.000000,2498609179000.000000,,-2377158219000.000000,,-35250818000.000000,-3930951000.000000,,82269191000.000000,-125088974000.000000,,,,,,-3161055000.000000,,,,,-1800000000.000000,,,,-13251655000.000000,,1295164000.000000,,,,-77191386000.000000,3204953000.000000,,-32913795000.000000,,,-1271200000.000000,,,,,,,-125088974000.000000,44254869000.000000,-1158768000.000000,,,,,,,,-96998903000.000000,,,,,,-32209595000.000000,,,,-21297781000.000000,,,,,,4364360000.000000,-4560000000.000000,,,,,196115556000.000000,,,,44254869000.000000,1435086000.000000,114744330000.000000,3282000.000000,116182698000.000000
12M 2013,163632530000.000000,2526714216000.000000,,-2303165043000.000000,,-55566547000.000000,-4350096000.000000,,163632530000.000000,-195897528000.000000,,,,,,-8112676000.000000,,,,,-2922000000.000000,,,,18714689000.000000,-14178946000.000000,2444141000.000000,,,,-115043832000.000000,1152652000.000000,,-77951556000.000000,,,,,,,,,,-195897528000.000000,81327977000.000000,2152483000.000000,,,,,,,,-20161057000.000000,,,,,,-22689253000.000000,,,,-13272966000.000000,,,,,,45879797000.000000,-7596000000.000000,,,,,97014973000.000000,,,,81327977000.000000,49062979000.000000,116182698000.000000,732201000.000000,165977878000.000000
12M 2014,52669233000.000000,2730647411000.000000,,-2593895279000.000000,,-73481913000.000000,-10600986000.000000,,52669233000.000000,-108965739000.000000,,,,,,11676597000.000000,,,,,,,,,,-24744417000.000000,2746627000.000000,,,,-134619516000.000000,26573395000.000000,,-11106236000.000000,,,,,,,,,20507811000.000000,-108965739000.000000,29961008000.000000,1545357000.000000,,,,,,,,-59903362000.000000,,,,,,104876077000.000000,,,,-7593421000.000000,,,,,,852357000.000000,-9816000000.000000,,,,,,,,,29961008000.000000,-26335498000.000000,165977878000.000000,691923000.000000,140334303000.000000
12M 2015,-9075376000.000000,3577579127000.000000,,-3508483594000.000000,,-67870722000.000000,-10300187000.000000,,-9075376000.000000,-216159483000.000000,,,,,,919899000.000000,,,,,,,,,,19216245000.000000,2636763000.000000,,,,-155516382000.000000,5385763000.000000,,-94111187000.000000,,,,,,11616428000.000000,,,-6307012000.000000,-216159483000.000000,182177276000.000000,-9562955000.000000,,,,,,,,-77153641000.000000,,,,,,22063712000.000000,,,,-32980088000.000000,,,,,,,-7284000000.000000,,,,-50000000000.000000,337094248000.000000,,,,182177276000.000000,-43057583000.000000,140334303000.000000,4056410000.000000,101333130000.000000
12M 2016,120490534000.000000,4548569018000.000000,,-4315830150000.000000,,-104873630000.000000,-7374704000.000000,,120490534000.000000,106655867000.000000,,,,,,468330000.000000,,,,,,,,,,-2984633000.000000,2173011000.000000,,,,-33131838000.000000,12071665000.000000,,-28960325000.000000,,,,-4896000000.000000,,155713744000.000000,,,6201913000.000000,106655867000.000000,-33415931000.000000,19534574000.000000,,,,,,,,-18920667000.000000,,,,,,-18828272000.000000,,,,-15201566000.000000,,,,,,,,,,,,,,,,-33415931000.000000,193730470000.000000,101333130000.000000,-6201913000.000000,288861687000.000000
12M 2017,90906960000.000000,5289788778000.000000,,-5088995811000.000000,,-87242711000.000000,-22643296000.000000,,90906960000.000000,-150866482000.000000,,,,,,-19534084000.000000,,,,,,,,,,-151895106000.000000,21508843000.000000,,,,14726799000.000000,4187087000.000000,,-19860021000.000000,,,,,,,,,,-150866482000.000000,220112378000.000000,-54632972000.000000,,,,,,,,-184121689000.000000,,,,,,16003864000.000000,,,,-23015687000.000000,,,,,,219444775000.000000,,-12048465000.000000,,,,,,258482552000.000000,,220112378000.000000,160152856000.000000,288861687000.000000,967035000.000000,449981578000.000000
12M 2018,-463032218000.000000,3904700066000.000000,,-4264219799000.000000,,-69871741000.000000,-33640744000.000000,,-463032218000.000000,117520806000.000000,,,,,,-10796743000.000000,,,,,,,,,,-110898000.000000,6205192000.000000,,,,-10302549000.000000,630031000.000000,,-21979320000.000000,,,,1086813000.000000,,148527042000.000000,5716387000.000000,,-1455149000.000000,117520806000.000000,-31614140000.000000,20297792000.000000,,,,,50000000000.000000,,,-22672060000.000000,,,,,,74685865000.000000,,,,-12675737000.000000,,,,,,,,-1250000000.000000,,300000000000.000000,,,-440000000000.000000,,,-31614140000.000000,-377125552000.000000,449981578000.000000,691114000.000000,73547140000.000000
12M 2019,97352443000.000000,4240215688000.000000,,-4049052491000.000000,,-69720783000.000000,-24089971000.000000,,97352443000.000000,-23609743000.000000,,,,,,-26648872000.000000,,,,,,,,,,-113872000.000000,3496740000.000000,,,,-3363852000.000000,8498169000.000000,,-5478056000.000000,,,,,,,,,,-23609743000.000000,104671331000.000000,24072050000.000000,,,,,425000000000.000000,,,-89282800000.000000,,,,,,-41411102000.000000,,,,-12084603000.000000,,,,,,867243000.000000,,-2489457000.000000,,,-200000000000.000000,,,,,104671331000.000000,178414031000.000000,73547140000.000000,-396972000.000000,251564199000.000000
12M 2020,-75086571000.000000,1298316743000.000000,,-1294489172000.000000,,-69040359000.000000,-9873783000.000000,,-75086571000.000000,40782577000.000000,,,,,,15395788000.000000,,,,,,,,,,,11453179000.000000,,,858732000.000000,-384623000.000000,14694517000.000000,-81530000.000000,-1153486000.000000,,,,,,,,,,40782577000.000000,444819000.000000,105529000.000000,,,,,,,,-4658200000.000000,-5824964000.000000,,,,,32345726000.000000,-646796000.000000,,,-5170851000.000000,,,,,,,,-15705625000.000000,,,,,,,,444819000.000000,-33859175000.000000,251564199000.000000,297862000.000000,218002886000.000000
12M 2021,-122633861000.000000,336559727000.000000,,-441887270000.000000,419123000.000000,-17413254000.000000,-312187000.000000,,-122633861000.000000,45768424000.000000,,,,,,31614845000.000000,,,,,,,,,,,3723048000.000000,,,,,10205821000.000000,,-1050290000.000000,,,,,,1275000000.000000,,,,45768424000.000000,-109465814000.000000,-23103583000.000000,,,,,,,,,-1941882000.000000,,,,,15811829000.000000,463885000.000000,,,-696063000.000000,,,,,,,,,,,-100000000000.000000,,,,,-109465814000.000000,-186331251000.000000,218002886000.000000,-170749000.000000,31500886000.000000
12M 2022,153577102000.000000,1811654608000.000000,,-1615611483000.000000,306652000.000000,-42772675000.000000,,,153577102000.000000,-58001561000.000000,,,,,,-1958837000.000000,,,,,,,,,,,2192413000.000000,,,,,1500000000.000000,,-9735137000.000000,,,,,,-50000000000.000000,,,,-58001561000.000000,-32420592000.000000,-2790354000.000000,,,,,-550000000.000000,,,,-3673411000.000000,,,,,-25111960000.000000,,,,-294867000.000000,,,,,,,,,,,,,,,,-32420592000.000000,63154949000.000000,31500886000.000000,1822010000.000000,96477845000.000000
12M 2023,143432541000.000000,3140591373000.000000,-95473668000.000000,-2842205545000.000000,-7528527000.000000,-51951092000.000000,,,143432541000.000000,10846505000.000000,,,,-3685110000.000000,11328854000.000000,,,,,,,,,,,,6007587000.000000,,,,,8673187000.000000,,-11478013000.000000,,,,,,,,,,10846505000.000000,-119847062000.000000,,,,4260540119000.000000,-4340035931000.000000,-132081402000.000000,,,104735682000.000000,-4773480000.000000,,,-2019815000.000000,85964000.000000,,-47452000.000000,,,-383961000.000000,,,,,,,,-6366786000.000000,500000000.000000,,,,,,,-119847062000.000000,-168480176000.000000,96477845000.000000,4752808000.000000,-67249523000.000000
12M 2024,123421567000.000000,3499675577000.000000,-114195895000.000000,-3177909909000.000000,-42908986000.000000,-41239220000.000000,,,123421567000.000000,-1100498000.000000,,198875000.000000,,-1911447000.000000,,,,,,,,,,,,,4211720000.000000,,,,,1132525000.000000,,-6627182000.000000,-251284000.000000,2146295000.000000,,,,,,,,-1100498000.000000,-98990028000.000000,,,,3664492630000.000000,-3654503692000.000000,-30975000000.000000,,-40300000000.000000,,-2611710000.000000,-40300000000.000000,,-1306280000.000000,,,-62148000.000000,,,-1230230000.000000,,,,,,,,-32693598000.000000,40500000000.000000,,,,,,,-98990028000.000000,-184238732000.000000,135662637000.000000,10064272000.000000,-38511823000.000000
