Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Piutang Pihak Berelasi,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Dalam Pelaksanaan,Properti Investasi,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Pihak Berelasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Surat Berharga Jangka Menengah,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Obligasi,Surat Berharga Jangka Menengah,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2007,,,39519629000.000000,,1000000000.000000,79362931000.000000,2702574000.000000,76660357000.000000,79362931000.000000,10745270000.000000,302834000.000000,,62207765000.000000,193138429000.000000,,10812359000.000000,972744000.000000,236342000.000000,143408066000.000000,15974826000.000000,1338404000.000000,238800000.000000,37177834000.000000,210159375000.000000,403297804000.000000,,,183572248000.000000,49943900000.000000,,2011880000.000000,68214335000.000000,70226215000.000000,12709771000.000000,7292843000.000000,8325650000.000000,,,6283775000.000000,1018612000.000000,11217000.000000,,7313604000.000000,,27760265000.000000,183572248000.000000,49985243000.000000,535287000.000000,5640460000.000000,,27014688000.000000,1098405000.000000,,28113093000.000000,,,11170896000.000000,4525507000.000000,49985243000.000000,233557491000.000000,,60000000000.000000,38013055000.000000,33369924000.000000,27126879000.000000,11230455000.000000,169740313000.000000,403297804000.000000,400000000.000000
12M 2008,,,61118845000.000000,,16655170000.000000,132934994000.000000,3156444000.000000,129778550000.000000,132934994000.000000,8881693000.000000,453694000.000000,,62037626000.000000,282082022000.000000,,6131324000.000000,1587231000.000000,800406000.000000,181707619000.000000,14598017000.000000,1268433000.000000,159200000.000000,43806938000.000000,250059168000.000000,532141190000.000000,,,246774253000.000000,71919492000.000000,,2726302000.000000,95254642000.000000,97980944000.000000,9897372000.000000,6144707000.000000,8442667000.000000,,,9007587000.000000,5631814000.000000,,,14639401000.000000,,37749670000.000000,246774253000.000000,62408211000.000000,268500000.000000,6023576000.000000,,32337660000.000000,11699454000.000000,,44037114000.000000,,,6416895000.000000,5662126000.000000,62408211000.000000,309182464000.000000,,60000000000.000000,38013055000.000000,37014878000.000000,68039926000.000000,19890867000.000000,222958726000.000000,532141190000.000000,1200000000.000000
12M 2009,,,73273303000.000000,,9845865000.000000,76507891000.000000,1052799000.000000,75455092000.000000,76507891000.000000,7370699000.000000,733643000.000000,,50676655000.000000,218408056000.000000,,5563273000.000000,1240508000.000000,808934000.000000,207146567000.000000,17050190000.000000,1198462000.000000,175581000.000000,34322565000.000000,267506080000.000000,485914136000.000000,,,183683722000.000000,68400974000.000000,,269483000.000000,68103701000.000000,68373184000.000000,9092594000.000000,3802623000.000000,6137009000.000000,,,10087303000.000000,8350808000.000000,,,18438111000.000000,,9439227000.000000,183683722000.000000,71158307000.000000,531894000.000000,7681390000.000000,,44063538000.000000,8095221000.000000,,52158759000.000000,,,3379204000.000000,7407060000.000000,71158307000.000000,254842029000.000000,,60000000000.000000,38013055000.000000,42249474000.000000,70918711000.000000,19890867000.000000,231072107000.000000,485914136000.000000,1200000000.000000
12M 2010,,,67314352000.000000,,,103338802000.000000,1206921000.000000,102131881000.000000,103338802000.000000,12775231000.000000,996273000.000000,3825567000.000000,74601772000.000000,262851997000.000000,,,3109542000.000000,12041000.000000,303679796000.000000,15774639000.000000,1128491000.000000,75775000.000000,31865252000.000000,355645536000.000000,618497533000.000000,,,245282813000.000000,60716683000.000000,,1445450000.000000,95999951000.000000,97445401000.000000,12834693000.000000,5165531000.000000,8285692000.000000,630000000.000000,,22577536000.000000,18117207000.000000,,,40694743000.000000,,19510070000.000000,245282813000.000000,133590746000.000000,,11805703000.000000,,80599731000.000000,27627133000.000000,,108226864000.000000,,,3686052000.000000,9872127000.000000,133590746000.000000,378873559000.000000,,60000000000.000000,38013055000.000000,48054857000.000000,73889842000.000000,19666220000.000000,239623974000.000000,618497533000.000000,1200000000.000000
12M 2011,,,114724001000.000000,,,156746642000.000000,1939817000.000000,154806825000.000000,156746642000.000000,11450000000.000000,4329586000.000000,,67565915000.000000,354816144000.000000,,11538226000.000000,3073094000.000000,1146594000.000000,329804422000.000000,14990730000.000000,1058522000.000000,75775000.000000,46094094000.000000,407781457000.000000,762597601000.000000,,,365065659000.000000,123049030000.000000,,3054873000.000000,112395066000.000000,115449939000.000000,12542656000.000000,9305868000.000000,14154592000.000000,,,57859133000.000000,15010328000.000000,,,72869461000.000000,,17694113000.000000,365065659000.000000,136768641000.000000,4520379000.000000,20080867000.000000,,81899524000.000000,17398183000.000000,,99297707000.000000,,,,12869688000.000000,136768641000.000000,501834300000.000000,,60000000000.000000,38013055000.000000,62094200000.000000,80989826000.000000,19666220000.000000,260763301000.000000,762597601000.000000,1200000000.000000
12M 2012,,,116182698000.000000,,,228139306000.000000,8426653000.000000,219712653000.000000,228139306000.000000,18795961000.000000,5635534000.000000,,81639029000.000000,450392528000.000000,,14699281000.000000,3901465000.000000,2460326000.000000,433585324000.000000,14423362000.000000,988552000.000000,75775000.000000,101189742000.000000,571323827000.000000,1021716355000.000000,,,354788455000.000000,90839435000.000000,,6600840000.000000,135395847000.000000,141996687000.000000,16373555000.000000,12236774000.000000,15104104000.000000,,,31373951000.000000,13966486000.000000,,,45340437000.000000,,32897463000.000000,354788455000.000000,376675068000.000000,359654000.000000,26415754000.000000,,114153157000.000000,12903580000.000000,,127056737000.000000,146966250000.000000,49149305000.000000,9080860000.000000,17646508000.000000,376675068000.000000,731463523000.000000,,60000000000.000000,38013109000.000000,82911351000.000000,91357767000.000000,17970605000.000000,290252832000.000000,1021716355000.000000,1200000000.000000
12M 2013,,,165977878000.000000,,,204724335000.000000,27502178000.000000,177222157000.000000,204724335000.000000,19551398000.000000,2911020000.000000,,98017438000.000000,491182069000.000000,,22811957000.000000,4430975000.000000,3844485000.000000,573121266000.000000,,918582000.000000,75775000.000000,185669501000.000000,790872541000.000000,1282054610000.000000,,,406624374000.000000,68132541000.000000,,13345093000.000000,164173791000.000000,177518884000.000000,28290392000.000000,17464123000.000000,16020533000.000000,,,50008964000.000000,16504494000.000000,,,66513458000.000000,,32684443000.000000,406624374000.000000,508336827000.000000,2512137000.000000,32868421000.000000,,142157325000.000000,15600984000.000000,,157758309000.000000,245656226000.000000,49405948000.000000,705000000.000000,19430786000.000000,508336827000.000000,914961201000.000000,,60000000000.000000,37251227000.000000,114583316000.000000,135421521000.000000,19837345000.000000,367093409000.000000,1282054610000.000000,1200000000.000000
12M 2014,,,140334303000.000000,,,304759426000.000000,20612889000.000000,284146537000.000000,304759426000.000000,35598293000.000000,3681862000.000000,,254432782000.000000,738806666000.000000,,25021880000.000000,6752398000.000000,2922000000.000000,531171425000.000000,,848612000.000000,18734533000.000000,345479184000.000000,930930032000.000000,1669736698000.000000,,,716797226000.000000,173008618000.000000,,534956000.000000,314973867000.000000,315508823000.000000,21644509000.000000,22319662000.000000,25456452000.000000,,,61074553000.000000,19732472000.000000,,,80807025000.000000,,78052137000.000000,716797226000.000000,505879922000.000000,4057494000.000000,34560882000.000000,,118917223000.000000,24360394000.000000,,143277617000.000000,247390521000.000000,49197917000.000000,1395642000.000000,25999849000.000000,505879922000.000000,1222677148000.000000,,60000000000.000000,37251227000.000000,150294942000.000000,180218754000.000000,19294627000.000000,447059550000.000000,1669736698000.000000,1200000000.000000
12M 2015,,,101333130000.000000,,,302947533000.000000,11310743000.000000,291636790000.000000,302947533000.000000,37124062000.000000,2670982000.000000,,175161603000.000000,619237310000.000000,,15927662000.000000,12228173000.000000,67428740000.000000,811410362000.000000,,778641000.000000,18734533000.000000,200235796000.000000,1126743907000.000000,1745981217000.000000,,,639117952000.000000,196361814000.000000,,3056281000.000000,227202093000.000000,230258374000.000000,15790915000.000000,27784855000.000000,26307312000.000000,,,13687511000.000000,12293591000.000000,,,25981102000.000000,,116633580000.000000,639117952000.000000,693614723000.000000,37142912000.000000,19344117000.000000,,167699189000.000000,9844259000.000000,,177543448000.000000,435123648000.000000,,931572000.000000,23529026000.000000,693614723000.000000,1332732675000.000000,,60000000000.000000,37251227000.000000,178379073000.000000,223354018000.000000,-85735776000.000000,413248542000.000000,1745981217000.000000,1200000000.000000
12M 2016,,,288861687000.000000,,,392756755000.000000,1321166000.000000,391435589000.000000,392756755000.000000,31961086000.000000,4865960000.000000,,150152984000.000000,868598472000.000000,,15459332000.000000,21087696000.000000,55620452000.000000,1075159353000.000000,,708670000.000000,20072425000.000000,222697446000.000000,1410805374000.000000,2279403846000.000000,,,711710348000.000000,177533543000.000000,,1581629000.000000,305454584000.000000,307036213000.000000,16270114000.000000,19332483000.000000,29501615000.000000,,,76121689000.000000,19666918000.000000,,,95788607000.000000,,66247773000.000000,711710348000.000000,813345435000.000000,56677486000.000000,23397735000.000000,,240737660000.000000,27507445000.000000,,268245105000.000000,436978230000.000000,,2075360000.000000,25971519000.000000,813345435000.000000,1525055783000.000000,,60000000000.000000,37251227000.000000,158308298000.000000,283597039000.000000,215191498000.000000,754348062000.000000,2279403845000.000000,1200000000.000000
