Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Keuntungan Atas Penjualan Entitas Anak,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Pra Akuisisi,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2007,1190628581000.000000,-1082604321000.000000,108024260000.000000,-83299187000.000000,-21360564000.000000,,-61938623000.000000,-83299187000.000000,24725073000.000000,-7213342000.000000,2526015000.000000,708285000.000000,831044000.000000,-11840106000.000000,-263658000.000000,,825078000.000000,-7213342000.000000,17511731000.000000,-8207726000.000000,-5410314000.000000,-2797412000.000000,,-8207726000.000000,9304005000.000000,-2210281000.000000,,7093724000.000000,,7093724000.000000,7093724000.000000,7093724000.000000,,,7093724000.000000,7093724000.000000,7093724000.000000,,7093724000.000000
12M 2008,1647142058000.000000,-1518831194000.000000,128310864000.000000,-108926184000.000000,-40185607000.000000,,-68740577000.000000,-108926184000.000000,19384680000.000000,-6564410000.000000,757375000.000000,218313000.000000,3520965000.000000,-15259357000.000000,-60936000.000000,,4259230000.000000,-6564410000.000000,12820270000.000000,-4129413000.000000,-4360784000.000000,231371000.000000,,-4129413000.000000,8690857000.000000,-3629903000.000000,,5060954000.000000,,5060954000.000000,5060954000.000000,5060954000.000000,,,5060954000.000000,5060954000.000000,5060954000.000000,,5060954000.000000
12M 2009,1524933789000.000000,-1380141538000.000000,144792251000.000000,-116095820000.000000,-36333708000.000000,,-79762112000.000000,-116095820000.000000,28696431000.000000,-14742157000.000000,1243982000.000000,664957000.000000,209697000.000000,-15785349000.000000,8528000.000000,,-1083972000.000000,-14742157000.000000,13954274000.000000,-5059836000.000000,-2997473000.000000,-2062363000.000000,,-5059836000.000000,8894438000.000000,-3155842000.000000,,5738596000.000000,,5738596000.000000,5738596000.000000,5738596000.000000,,,5738596000.000000,5738596000.000000,5738596000.000000,,5738596000.000000
12M 2010,1858710676000.000000,-1689985822000.000000,168724854000.000000,-140842352000.000000,-33163090000.000000,,-107679262000.000000,-140842352000.000000,27882502000.000000,-13740497000.000000,734760000.000000,576589000.000000,3238534000.000000,-20689124000.000000,5922000.000000,,2392822000.000000,-13740497000.000000,14142005000.000000,-5345420000.000000,-3200136000.000000,-2145284000.000000,,-5345420000.000000,8796585000.000000,-2383741000.000000,,6412844000.000000,,6412844000.000000,6412844000.000000,6412844000.000000,,,6412844000.000000,6412844000.000000,6412844000.000000,,6412844000.000000
12M 2011,2008340130000.000000,-1786186595000.000000,222153535000.000000,-171602959000.000000,-34521693000.000000,,-137081266000.000000,-171602959000.000000,50550576000.000000,-13479174000.000000,1077016000.000000,1114013000.000000,5177838000.000000,-26179413000.000000,-103405000.000000,,5434777000.000000,-13479174000.000000,37071402000.000000,-14648075000.000000,-6336464000.000000,-8311611000.000000,,-14648075000.000000,22423327000.000000,,,22423327000.000000,,22423327000.000000,22423327000.000000,15323343000.000000,7099984000.000000,,22423327000.000000,22423327000.000000,15323343000.000000,7099984000.000000,22423327000.000000
12M 2012,2554433336000.000000,-2280809656000.000000,273623680000.000000,-199905310000.000000,-37425664000.000000,,-162479646000.000000,-199905310000.000000,73718370000.000000,-25034634000.000000,1295164000.000000,-709040000.000000,15652156000.000000,-38698224000.000000,-486268000.000000,,-2088422000.000000,-25034634000.000000,48683736000.000000,-15762825000.000000,-10256309000.000000,-5506516000.000000,,-15762825000.000000,32920911000.000000,,258820000.000000,33179731000.000000,,33179731000.000000,33179731000.000000,25377151000.000000,7802580000.000000,,33179731000.000000,33179731000.000000,25377151000.000000,7802580000.000000,33179731000.000000
12M 2013,1693742523000.000000,-1369529079000.000000,324213444000.000000,-221824782000.000000,-54635574000.000000,,-167189208000.000000,-221824782000.000000,102388662000.000000,-32670947000.000000,2444141000.000000,214418000.000000,33121079000.000000,-55206427000.000000,-5821667000.000000,-2567686000.000000,-4854805000.000000,-32670947000.000000,69717715000.000000,-22124822000.000000,-16418844000.000000,-5705978000.000000,,-22124822000.000000,47592893000.000000,,,47592893000.000000,,47592893000.000000,47592893000.000000,39267965000.000000,8324928000.000000,,47592893000.000000,47592893000.000000,39267965000.000000,8324928000.000000,47592893000.000000
12M 2014,1956049378000.000000,-1567456673000.000000,388592705000.000000,-267925768000.000000,-59633812000.000000,,-208291956000.000000,-267925768000.000000,120666937000.000000,-40038208000.000000,2746627000.000000,19575139000.000000,2488610000.000000,-72330071000.000000,-1243411000.000000,,8724898000.000000,-40038208000.000000,80628729000.000000,-21243039000.000000,-21286427000.000000,43388000.000000,,-21243039000.000000,59385690000.000000,,,59385690000.000000,,59385690000.000000,59385690000.000000,45527626000.000000,13858064000.000000,,59385690000.000000,59282259000.000000,45456088000.000000,13826171000.000000,59282259000.000000
12M 2015,1923138719000.000000,-1523586245000.000000,399552474000.000000,-290344220000.000000,-59257358000.000000,,-231086862000.000000,-290344220000.000000,109208254000.000000,-41151923000.000000,2636763000.000000,-244568000.000000,-3865178000.000000,-71128202000.000000,-3400489000.000000,2260292000.000000,32589459000.000000,-41151923000.000000,68056331000.000000,-17410394000.000000,-18594402000.000000,2034011000.000000,-850003000.000000,-17410394000.000000,50645937000.000000,,,50645937000.000000,2892348000.000000,53538285000.000000,50645937000.000000,49008339000.000000,1637598000.000000,,50645937000.000000,53538285000.000000,51323388000.000000,2214897000.000000,53538285000.000000
12M 2016,2133213970000.000000,-1691788479000.000000,441425491000.000000,-337934060000.000000,-36752830000.000000,,-301181230000.000000,-337934060000.000000,103491431000.000000,-83058061000.000000,2173011000.000000,6258987000.000000,5772988000.000000,-104873630000.000000,-12232077000.000000,,19842660000.000000,-83058061000.000000,20433370000.000000,-17527428000.000000,-22271757000.000000,5626497000.000000,-882168000.000000,-17527428000.000000,2905942000.000000,,,2905942000.000000,195040832000.000000,197946774000.000000,2905942000.000000,-16660966000.000000,19566908000.000000,,2905942000.000000,197946774000.000000,148795913000.000000,49150861000.000000,197946774000.000000
