Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Untuk Beban Operasi,Penerimaan Kas Pendapatan Bunga,Pembayaran Bunga,Pembayaran Pajak,(Pembayaran) Penerimaan Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Penerimaan Dari Piutang Plasma,Penambahan Piutang Perkebunan Plasma,Penambahan Tanaman Belum Menghasilkan,Penambahan Tanaman Produktif,Penambahan Bibitan Dan Persiapan Lahan,Penambahan Investasi Jangka Pendek,Penerimaan Piutang Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Liabilitas Sewa,Penambahan Modal Dari Ipo,Penerimaan Dari Konversi Waran,Penambahan Waran Seri I,Pembayaran Biaya Emisi Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,5464000000.000000,561750000000.000000,-300418000000.000000,-61356000000.000000,-25136000000.000000,709000000.000000,-171554000000.000000,,1469000000.000000,5464000000.000000,-125804000000.000000,327000000.000000,-22143000000.000000,17000000000.000000,-4499000000.000000,,-103650000000.000000,-12839000000.000000,,,-125804000000.000000,78782000000.000000,146834000000.000000,-59962000000.000000,,-8090000000.000000,,,,,78782000000.000000,-41558000000.000000,-26000000.000000,87344000000.000000,45760000000.000000
12M 2020,71131000000.000000,725534000000.000000,-372028000000.000000,-63032000000.000000,-32514000000.000000,545000000.000000,-188275000000.000000,,901000000.000000,71131000000.000000,-54136000000.000000,629000000.000000,-6660000000.000000,1598000000.000000,-3921000000.000000,,-33841000000.000000,-11945000000.000000,,4000000.000000,-54136000000.000000,-21220000000.000000,29807000000.000000,-43872000000.000000,,-7155000000.000000,,,,,-21220000000.000000,-4225000000.000000,1000000.000000,45760000000.000000,41536000000.000000
12M 2021,317756000000.000000,1140087000000.000000,-505034000000.000000,-67957000000.000000,-40235000000.000000,1479000000.000000,-205370000000.000000,-304000000.000000,-4910000000.000000,317756000000.000000,-81743000000.000000,1709000000.000000,-34958000000.000000,6518000000.000000,-16426000000.000000,,-32709000000.000000,-5932000000.000000,,55000000.000000,-81743000000.000000,-86321000000.000000,,-81392000000.000000,,-4929000000.000000,,,,,-86321000000.000000,149692000000.000000,1000000.000000,41536000000.000000,191229000000.000000
12M 2022,47041123941.000000,1140315129932.000000,-588391067048.000000,-78932271696.000000,-54228068569.000000,2934166612.000000,-205192655534.000000,-83900625965.000000,-85563483791.000000,47041123941.000000,-137198915805.000000,1599773027.000000,-107418349566.000000,56836787741.000000,-65844775851.000000,,-17629938681.000000,-4742412475.000000,,,-137198915805.000000,-60633197542.000000,2181835000000.000000,-2237546513642.000000,-3366483900.000000,-1555200000.000000,,,,,-60633197542.000000,-150790989406.000000,14809255.000000,191228806057.000000,40452625906.000000
12M 2023,130865441621.000000,1177498174958.000000,-637090108422.000000,-101709778209.000000,-60503665714.000000,2390603468.000000,-171927992477.000000,-54849263786.000000,-22942528197.000000,130865441621.000000,-324323076385.000000,1327663065.000000,-253750600229.000000,5242322367.000000,-27220320277.000000,-39207842172.000000,,-10714299139.000000,,,-324323076385.000000,395445395749.000000,84865000000.000000,-105585500000.000000,-13480511540.000000,-987600000.000000,430513772637.000000,120234652.000000,,,395445395749.000000,201987760985.000000,453662413.000000,40452625906.000000,242894049304.000000
12M 2024,438100637739.000000,1493314313514.000000,-768547942595.000000,-113424148489.000000,-24138701828.000000,4787150567.000000,-173113327545.000000,-29691248144.000000,48914542259.000000,438100637739.000000,-174773480963.000000,1377792794.000000,-69430472239.000000,13155122480.000000,-73292382663.000000,-5349979434.000000,,-41233561901.000000,,,-174773480963.000000,-119829410461.000000,360832292380.000000,-463212792380.000000,-18306811351.000000,-1555200000.000000,,2413100890.000000,,,-119829410461.000000,143497746315.000000,4705677.000000,242894049304.000000,386396501296.000000
