Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Tanaman Perkebunan,Tanaman Telah Menghasilkan,Tanaman Belum Menghasilkan,Total Tanaman Perkebunan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,45760000000.000000,,6062000000.000000,6062000000.000000,,6062000000.000000,1647000000.000000,1647000000.000000,,1647000000.000000,56172000000.000000,37851000000.000000,147492000000.000000,,869000000.000000,12312000000.000000,1953332000000.000000,1369288000000.000000,584044000000.000000,1953332000000.000000,559281000000.000000,87727000000.000000,2613521000000.000000,2761013000000.000000,,,385810000000.000000,99999000000.000000,,147657000000.000000,,147657000000.000000,,46108000000.000000,,46108000000.000000,8207000000.000000,3026000000.000000,,54527000000.000000,4525000000.000000,,59052000000.000000,21761000000.000000,385810000000.000000,2088805000000.000000,,2050934000000.000000,1469000000.000000,2052403000000.000000,5802000000.000000,30600000000.000000,2088805000000.000000,2474615000000.000000,,1011000000000.000000,1496000000.000000,-726104000000.000000,,,-726104000000.000000,6000000.000000,286398000000.000000,2761013000000.000000,1011000.000000
12M 2020,,,41536000000.000000,,14365000000.000000,14365000000.000000,,14365000000.000000,1072000000.000000,1072000000.000000,,1072000000.000000,39047000000.000000,47199000000.000000,143219000000.000000,,865000000.000000,49434000000.000000,1949268000000.000000,1658970000000.000000,290298000000.000000,1949268000000.000000,536331000000.000000,76031000000.000000,2611929000000.000000,2755148000000.000000,,,353459000000.000000,99977000000.000000,,119598000000.000000,,119598000000.000000,,44578000000.000000,,44578000000.000000,9444000000.000000,6183000000.000000,,61022000000.000000,2694000000.000000,,63716000000.000000,9963000000.000000,353459000000.000000,2088289000000.000000,,2061786000000.000000,526000000.000000,2062312000000.000000,1275000000.000000,24702000000.000000,2088289000000.000000,2441748000000.000000,,1011000000000.000000,1496000000.000000,-699102000000.000000,,,-699102000000.000000,6000000.000000,313400000000.000000,2755148000000.000000,1011000.000000
12M 2021,,,191229000000.000000,,21545000000.000000,21545000000.000000,,21545000000.000000,2072000000.000000,2072000000.000000,,2072000000.000000,89640000000.000000,92914000000.000000,397400000000.000000,,,34323000000.000000,1914906000000.000000,1724898000000.000000,190008000000.000000,1914906000000.000000,541799000000.000000,86572000000.000000,2577600000000.000000,2975000000000.000000,,,362905000000.000000,,,105189000000.000000,,105189000000.000000,,34836000000.000000,,34836000000.000000,8652000000.000000,38233000000.000000,,164386000000.000000,1366000000.000000,,165752000000.000000,10243000000.000000,362905000000.000000,2052843000000.000000,,1988861000000.000000,1220000000.000000,1990081000000.000000,40724000000.000000,22038000000.000000,2052843000000.000000,2415748000000.000000,,1011000000000.000000,1496000000.000000,-453250000000.000000,,,-453250000000.000000,6000000.000000,559252000000.000000,2975000000000.000000,20220000000.000000
12M 2022,,,40452625906.000000,,30250061280.000000,30250061280.000000,,30250061280.000000,3206587651.000000,3206587651.000000,,3206587651.000000,159866081242.000000,96921493452.000000,330696849531.000000,,,39871150273.000000,1846231031852.000000,1777767468333.000000,68463563519.000000,1846231031852.000000,623421012902.000000,195064589004.000000,2704587784031.000000,3035284633562.000000,,,337096783702.000000,,,124439255068.000000,,124439255068.000000,,54013197300.000000,,54013197300.000000,6695115124.000000,6178986097.000000,,104298767281.000000,4697983997.000000,,108996751278.000000,36773478835.000000,337096783702.000000,2068064493086.000000,,1988186299109.000000,7418573741.000000,1995604872850.000000,48603175236.000000,23856445000.000000,2068064493086.000000,2405161276788.000000,,1011000000000.000000,1496230311.000000,-382378937064.000000,,,-382378937064.000000,6063527.000000,630123356774.000000,3035284633562.000000,23788235300.000000
12M 2023,,,242894049304.000000,,33487001736.000000,33487001736.000000,,33487001736.000000,3559394442.000000,3559394442.000000,,3559394442.000000,250228818418.000000,105595292833.000000,635764556733.000000,,,24831506530.000000,1814305898945.000000,1712501235878.000000,101804663067.000000,1814305898945.000000,903860796108.000000,293573366992.000000,3036571568575.000000,3672336125308.000000,,,678326799086.000000,,,254324678256.000000,,254324678256.000000,,120799680908.000000,,120799680908.000000,5164957417.000000,10157189974.000000,,242787142281.000000,14806467249.000000,762571553.000000,258356181083.000000,29524111448.000000,678326799086.000000,1932818524292.000000,,1829607906832.000000,17769240072.000000,1847377146904.000000,56189203388.000000,29252174000.000000,1932818524292.000000,2611145323378.000000,,1189443405700.000000,253686831900.000000,-381945769757.000000,,,-381945769757.000000,6334087.000000,1061190801930.000000,3672336125308.000000,23788868114.000000
12M 2024,,,386396501296.000000,,49823726645.000000,49823726645.000000,,49823726645.000000,2176013625.000000,2176013625.000000,,2176013625.000000,138904754647.000000,142280106127.000000,719581102340.000000,,,3769310894.000000,1755200834891.000000,1673556700314.000000,81644134577.000000,1755200834891.000000,920199010960.000000,328994926135.000000,3008164082880.000000,3727745185220.000000,,,627231264124.000000,60400000000.000000,,93732198263.000000,,93732198263.000000,,46210227275.000000,,46210227275.000000,5764864134.000000,36317255128.000000,,308000267281.000000,16842223604.000000,,324842490885.000000,59964228439.000000,627231264124.000000,1735454734031.000000,,1602869972908.000000,9680293850.000000,1612550266758.000000,85349068273.000000,37555399000.000000,1735454734031.000000,2362685998155.000000,,1190078432250.000000,255464906240.000000,-80494985824.000000,,,-80494985824.000000,10834399.000000,1365059187065.000000,3727745185220.000000,23801568645.000000
