Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2022,0.32 B,276.34,0.00,0.00,106.79 B,7.90%,9.56%,9.58%,5.95
12M 2023,6.19 B,16.63,34.58,8.92,159.09 B,7.21%,8.40%,13.37%,10.06
12M 2024,6.81 B,-26.24,-11.81,9.21,97.35 B,-10.42%,-13.44%,-1.50%,-1.13
