Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjusment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2022,321849469846.000000,-157853365990.000000,163996103856.000000,-72916318688.000000,-72916318688.000000,-72916318688.000000,91079785168.000000,15784847164.000000,163158422.000000,-15311484014.000000,30933172756.000000,15784847164.000000,106864632332.000000,-19568382013.000000,,,-19568382013.000000,87296250319.000000,1801221064.000000,1801221064.000000,1801221064.000000,89097471383.000000,87296250321.000000,87294820736.000000,1429585.000000,87296250321.000000,89097471383.000000,1801201500.000000,19564.000000,87296250319.000000,89097471383.000000
12M 2023,399266687835.000000,-161089351996.000000,238177335839.000000,-89427766035.000000,-89427766035.000000,-89427766035.000000,148749569804.000000,-14846115531.000000,3339619129.000000,-14779995884.000000,-3405738776.000000,-14846115531.000000,133903454273.000000,-30922364564.000000,,,-30922364564.000000,102981089709.000000,-1140911095.000000,-1140911095.000000,-1140911095.000000,101840178614.000000,102981089486.000000,102983931557.000000,-2842071.000000,102981089486.000000,101840178614.000000,-1140911665.000000,793.000000,102981089486.000000,101840178614.000000
12M 2024,229340286787.000000,-148964659245.000000,80375627542.000000,-100360897980.000000,-100360897980.000000,-100360897980.000000,-19985270438.000000,-207760568802.000000,3253780875.000000,-17749335602.000000,-193265014075.000000,-207760568802.000000,-227745839240.000000,48978045810.000000,,,48978045810.000000,-178767793430.000000,-321709838.000000,-321709838.000000,-321709838.000000,-179089503268.000000,-178767793430.000000,-178766486801.000000,-1306629.000000,-178767793430.000000,-179089503268.000000,-321709600.000000,-237.000000,-178767793431.000000,-179089503268.000000
