Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Untuk Operasional,Pembayaran Kas Kepada Karyawan,Penerimaan Untuk Deposit,Pembayaran Untuk Deposit,Pembayaran Untuk Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Akuisisi Aset Tetap,Penerimaan Dari Investasi Jangka Panjang,Penerimaan Uang Muka Pengurangan Investasi,Akuisisi Investasi Jangka Panjang,Penerimaan Dari Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Liabilitas Sewa,Pinjaman Yang Diberikan Kepada Pihak Berelasi,Jasa Giro/Pendapatan Bunga,Bunga Dibayar,Pembayaran Pinjaman Kepada Pihak Berelasi,Pembayaran Dividen,Pinjaman Diperoleh Dari Pihak Berelasi,Penerbitan Saham Baru,Kenaikan Pinjaman Bank/Sewa,Pembayaran Pinjaman Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2022,8158387027.000000,249808033563.000000,-151676011854.000000,-35467939698.000000,-31642324558.000000,1250000.000000,-31625000.000000,-22832995426.000000,8158387027.000000,115022382649.000000,-8886488791.000000,125908871440.000000,,-2000000000.000000,,115022382649.000000,-113533041682.000000,-4514652021.000000,-1172419021.000000,,,-30093081371.000000,,9782308029.000000,,28536606991.000000,-116071804289.000000,-113533041682.000000,9647727994.000000,8777603137.000000,18425331131.000000
12M 2023,-46008490423.000000,232244474936.000000,-181059064985.000000,-30853785696.000000,-41085644409.000000,,,-25254470269.000000,-46008490423.000000,-33100187617.000000,-25422710140.000000,,,-8000000000.000000,322522523.000000,-33100187617.000000,175094677949.000000,-1208886419.000000,-12350000000.000000,,,-1036046548.000000,,,211867991564.000000,27535183619.000000,-49713564267.000000,175094677949.000000,95985999909.000000,18425331000.000000,114411330909.000000
12M 2024,-50179065723.000000,244986391629.000000,-177576900514.000000,-30867489184.000000,-47918823455.000000,,,-38802244199.000000,-50179065723.000000,-454564366743.000000,-28542866743.000000,35000000000.000000,,-461021500000.000000,,-454564366743.000000,436350183758.000000,-2708974520.000000,-19325000000.000000,,,-970000000.000000,-24776800000.000000,36701602375.000000,309710000000.000000,250968126194.000000,-113248770291.000000,436350183758.000000,-68393248708.000000,114411330909.000000,46018082201.000000
