Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,3920915391726.000000,-2588439615557.000000,1332475776169.000000,-342568531493.000000,-342568531493.000000,-342568531493.000000,989907244676.000000,-33874398352.000000,147763314389.000000,14886383179.000000,-189285997714.000000,-66159489598.000000,58921391392.000000,-33874398352.000000,956032846324.000000,-242830730313.000000,-152486412373.000000,-90344317940.000000,-242830730313.000000,713202116011.000000,,713202116011.000000,713202116011.000000,707532584694.000000,5669531317.000000,713202116011.000000,713202116011.000000,707532584694.000000,5669531317.000000,713202116011.000000
12M 2014,4758962686585.000000,-3305519148770.000000,1453443537815.000000,-400257356522.000000,-400257356522.000000,-400257356522.000000,1053186181293.000000,-66658155362.000000,124157521374.000000,19737878448.000000,-282722387284.000000,-5273386115.000000,77442218215.000000,-66658155362.000000,986528025931.000000,-246706335267.000000,-174853347924.000000,-71852987343.000000,-246706335267.000000,739821690664.000000,,739821690664.000000,739821690664.000000,735112442055.000000,4709248609.000000,739821690664.000000,739821690664.000000,735112442055.000000,4709248609.000000,739821690664.000000
12M 2015,5472328000000.0,-3800588000000.0,1671740000000.0,-498441000000.0,-498441000000.0,-498441000000.0,1173299000000.0,-68407000000.0,76138000000.0,26902000000.0,-220380000000.0,-24964000000.0,73897000000.0,-68407000000.0,1104892000000.0,-275944000000.0,-215626000000.0,-60318000000.0,-275944000000.0,828948000000.0,-2834000000.0,826114000000.0,828948000000.0,824026000000.0,4922000000.0,828948000000.0,826114000000.0,821216000000.0,4898000000.0,826114000000.0
12M 2016,4796096000000.0,-3426203000000.0,1369893000000.0,-562622000000.0,-562622000000.0,-562622000000.0,807271000000.0,-115460000000.0,31626000000.0,9670000000.0,-213158000000.0,-738000000.0,57140000000.0,-115460000000.0,691811000000.0,-181608000000.0,-142701000000.0,-38907000000.0,-181608000000.0,510203000000.0,-9332000000.0,500871000000.0,510203000000.0,507281000000.0,2922000000.0,510203000000.0,500871000000.0,497997000000.0,2874000000.0,500871000000.0
12M 2017,4203846000000.0,-3066011000000.0,1137835000000.0,-570236000000.0,-570236000000.0,-570236000000.0,567599000000.0,-5422000000.0,46537000000.0,21918000000.0,-132731000000.0,394000000.0,58460000000.0,-5422000000.0,562177000000.0,-134682000000.0,-120597000000.0,-14085000000.0,-134682000000.0,427495000000.0,-5760000000.0,421735000000.0,427495000000.0,424864000000.0,2631000000.0,427495000000.0,421735000000.0,419104000000.0,2631000000.0,421735000000.0
12M 2018,4218702000000.0,-3039153000000.0,1179549000000.0,-621300000000.0,-621300000000.0,-621300000000.0,558249000000.0,47926000000.0,-2236000000.0,22476000000.0,-65483000000.0,2690000000.0,90479000000.0,47926000000.0,606175000000.0,-145902000000.0,-150769000000.0,4867000000.0,-145902000000.0,460273000000.0,2271000000.0,462544000000.0,460273000000.0,457302000000.0,2971000000.0,460273000000.0,462544000000.0,459562000000.0,2982000000.0,462544000000.0
12M 2019,4047691000000.0,-2952227000000.0,1095464000000.0,-723515000000.0,-723515000000.0,-723515000000.0,371949000000.0,42013000000.0,-4869000000.0,22273000000.0,-80696000000.0,-1998000000.0,107303000000.0,42013000000.0,413962000000.0,-98340000000.0,-142730000000.0,44390000000.0,-98340000000.0,315622000000.0,-10160000000.0,305462000000.0,315622000000.0,314565000000.0,1057000000.0,315622000000.0,305462000000.0,304448000000.0,1014000000.0,305462000000.0
12M 2020,2046660000000.0,-1712149000000.0,334511000000.0,-561547000000.0,-561547000000.0,-561547000000.0,-227036000000.0,-63462000000.0,-34825000000.0,22624000000.0,-104667000000.0,5745000000.0,47661000000.0,-63462000000.0,-290498000000.0,127315000000.0,-26897000000.0,154212000000.0,127315000000.0,-163183000000.0,-9396000000.0,-172579000000.0,-163183000000.0,-161353000000.0,-1830000000.0,-163183000000.0,-172579000000.0,-170741000000.0,-1838000000.0,-172579000000.0
12M 2021,2220841000000.0,-1726874000000.0,493967000000.0,-510115000000.0,-510115000000.0,-510115000000.0,-16148000000.0,41802000000.0,-6499000000.0,20464000000.0,-76632000000.0,295000000.0,104174000000.0,41802000000.0,25654000000.0,-16934000000.0,-63791000000.0,46857000000.0,-16934000000.0,8720000000.0,-6095000000.0,2625000000.0,8720000000.0,7714000000.0,1006000000.0,8720000000.0,2625000000.0,1666000000.0,959000000.0,2625000000.0
12M 2022,3590100000000.0,-2517671000000.0,1072429000000.0,-652517000000.0,-652517000000.0,-652517000000.0,419912000000.0,64527000000.0,-4838000000.0,20181000000.0,-47441000000.0,2757000000.0,93868000000.0,64527000000.0,484439000000.0,-120412000000.0,-75588000000.0,-44824000000.0,-120412000000.0,364027000000.0,-10066000000.0,353961000000.0,364027000000.0,358354000000.0,5673000000.0,364027000000.0,353961000000.0,348293000000.0,5668000000.0,353961000000.0
