Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Kas Dari Pengemudi,Pembayaran Kas Kepada Pemasok Dan Lainnya,Pembayaran Kas Kepada Karyawan,Pembayaran Pajak Penghasilan,Pembayaran Beban Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tidak Lancar Yang Dikuasai Untuk Dijual,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Akuisisi Bisnis Oleh Entitas Anak,Investasi Pada Obligasi Pemerintah,Penyertaan Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Modal Saham Dan Penawaran Umum Saham Perdana,Penerimaan Penyetoran Modal Di Entitas Anak,Pembayaran Beban Bunga,Penerimaan Utang Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Dari Utang Jangka Panjang,Pembayaran Utang Jangka Panjang,Pembayaran Liabilitas Sewa,Pembayaran Dividen Kas Kepada Pemilik Modal Entitas Induk,Pembayaran Dividen,Pembayaran Dividen Entitas Anak,Pembayaran Dividen Kas Kepada Kepentingan Non-Pengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2013,1024254142687.000000,3886111578758.000000,11167734247.000000,-2344836542287.000000,-280932855736.000000,-69397692373.000000,-177858079922.000000,1024254142687.000000,-1682823928119.000000,,165855916203.000000,-1848679844322.000000,,,,-1682823928119.000000,335420074795.000000,,,,,,1265456104907.000000,-642537102778.000000,,-35496000000.000000,,-252002927334.000000,,335420074795.000000,-323149710637.000000,590225550501.000000,,267075839864.000000
12M 2014,1146941919665.000000,4823258966227.000000,10126753209.000000,-2945513794319.000000,-242958563515.000000,-221209639080.000000,-276761802857.000000,1146941919665.000000,-1898941877925.000000,,382832208705.000000,-2281774086630.000000,,,,-1898941877925.000000,1435865414673.000000,2447250000000.000000,,,,,1211181272610.000000,-1877320977644.000000,,-298001811310.000000,,-44939534516.000000,-2303534467.000000,1435865414673.000000,683865456413.000000,267075839864.000000,,950941296277.000000
12M 2015,1475591000000.000000,5507043000000.000000,9529000000.000000,-3293638000000.000000,-272764000000.000000,-235776000000.000000,-238803000000.000000,1475591000000.000000,-1376689000000.000000,,352670000000.000000,-1729359000000.000000,,,,-1376689000000.000000,-778447000000.000000,,,,700000000000.000000,-500000000000.000000,452540000000.000000,-755478000000.000000,,-671180000000.000000,,,-4329000000.000000,-778447000000.000000,-679545000000.000000,950941000000.000000,,271396000000.000000
12M 2016,1154565000000.000000,4855976000000.000000,7464000000.000000,-2974824000000.000000,-319582000000.000000,-201581000000.000000,-212888000000.000000,1154565000000.000000,-537068000000.000000,,363855000000.000000,-900923000000.000000,,,,-537068000000.000000,-297007000000.000000,,,,,-200000000000.000000,562430000000.000000,-488022000000.000000,,-165139000000.000000,,-5098000000.000000,-1178000000.000000,-297007000000.000000,320490000000.000000,271396000000.000000,,591886000000.000000
12M 2017,1034051000000.000000,4262588000000.000000,4268000000.000000,-2644585000000.000000,-319205000000.000000,-132444000000.000000,-136571000000.000000,1034051000000.000000,81632000000.000000,,380137000000.000000,-298505000000.000000,,,,81632000000.000000,-1233280000000.000000,,,,,,,-1079789000000.000000,,-152628000000.000000,,,-863000000.000000,-1233280000000.000000,-117597000000.000000,591886000000.000000,,474289000000.000000
12M 2018,1068859000000.000000,4220404000000.000000,42236000000.000000,-2702983000000.000000,-325152000000.000000,-99886000000.000000,-65760000000.000000,1068859000000.000000,-784822000000.000000,,240850000000.000000,-1025672000000.000000,,,,-784822000000.000000,-182426000000.000000,,,,,,297150000000.000000,-351268000000.000000,,-127607000000.000000,,,-701000000.000000,-182426000000.000000,101611000000.000000,474289000000.000000,,575900000000.000000
12M 2019,739004000000.000000,4130735000000.000000,8965000000.000000,-2761927000000.000000,-374180000000.000000,-184602000000.000000,-79987000000.000000,739004000000.000000,-1049157000000.000000,,418708000000.000000,-1355565000000.000000,-106300000000.000000,,-6000000000.000000,-1049157000000.000000,197200000000.000000,,21270000000.000000,,,,734309000000.000000,-374588000000.000000,,-182653000000.000000,,,-1138000000.000000,197200000000.000000,-112953000000.000000,575900000000.000000,,462947000000.000000
12M 2020,230337000000.000000,2195781000000.000000,-3070000000.000000,-1481232000000.000000,-306343000000.000000,-70694000000.000000,-104105000000.000000,230337000000.000000,-51380000000.000000,514354000000.000000,485000000.000000,-566219000000.000000,,,,-51380000000.000000,156946000000.000000,,,,,,325802000000.000000,-165984000000.000000,-2872000000.000000,,,,,156946000000.000000,335903000000.000000,462947000000.000000,,798850000000.000000
12M 2021,304499000000.000000,2214707000000.000000,5422000000.000000,-1506253000000.000000,-282887000000.000000,-48914000000.000000,-77576000000.000000,304499000000.000000,344959000000.000000,594137000000.000000,3345000000.000000,-252523000000.000000,,,,344959000000.000000,-502671000000.000000,,,,,-2395000000.000000,,-408166000000.000000,-1541000000.000000,-90076000000.000000,,,-493000000.000000,-502671000000.000000,146787000000.000000,798850000000.000000,,945637000000.000000
12M 2022,909128000000.000000,3616729000000.000000,-1116000000.000000,-2288093000000.000000,-338284000000.000000,-32360000000.000000,-47748000000.000000,909128000000.000000,-648911000000.000000,310702000000.000000,6000000.000000,-939569000000.000000,,-20050000000.000000,,-648911000000.000000,-314879000000.000000,,,,,-2000000000.000000,177274000000.000000,-336330000000.000000,-2974000000.000000,-150126000000.000000,,,-723000000.000000,-314879000000.000000,-54662000000.000000,945637000000.000000,,890975000000.000000
