Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Pinjaman Jangka Panjang Lainnya,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,267075839864.000000,164727363513.000000,158887821867.000000,5839541646.000000,164727363513.000000,92339077631.000000,75032171513.000000,17306906118.000000,92339077631.000000,7115669927.000000,25765848322.000000,557023799257.000000,,4341551105189.000000,,,113339732115.000000,4454890837304.000000,5011914636561.000000,,,1655175218726.000000,,127321263099.000000,29705523778.000000,157026786877.000000,,1019643552.000000,19867442146.000000,20887085698.000000,156163780038.000000,,,984847003853.000000,984847003853.000000,336250562260.000000,1655175218726.000000,2151481315417.000000,346112877321.000000,,1428222440229.000000,296829636195.000000,1725052076424.000000,80316361672.000000,2151481315417.000000,3806656534143.000000,,212560000000.000000,242416001721.000000,682872913330.000000,,682872913330.000000,682872913330.000000,67409187367.000000,1205258102418.000000,5011914636561.000000,2125600000.000000
12M 2014,,,950941296277.000000,178395096816.000000,169880132783.000000,8514964033.000000,178395096816.000000,48783939013.000000,48783939013.000000,,48783939013.000000,12413701179.000000,30935796513.000000,1221469829798.000000,,5563152793359.000000,,,386888427109.000000,5950041220468.000000,7171511050266.000000,,,1440545319461.000000,,220679296286.000000,10806851989.000000,231486148275.000000,,25608676281.000000,421414959.000000,26030091240.000000,137777955132.000000,,,432479709576.000000,432479709576.000000,612771415238.000000,1440545319461.000000,2127877972310.000000,417965864664.000000,,1314450029472.000000,302942046104.000000,1617392075576.000000,92520032070.000000,2127877972310.000000,3568423291771.000000,,250210000000.000000,2512773967134.000000,772339563859.000000,,772339563859.000000,772339563859.000000,67764227502.000000,3603087758495.000000,7171511050266.000000,2502100000.000000
12M 2015,,,271396000000.000000,211376000000.000000,204334000000.000000,7042000000.000000,211376000000.000000,51569000000.000000,50491000000.000000,1078000000.000000,51569000000.000000,12421000000.000000,19397000000.000000,566159000000.000000,,6196076000000.000000,,,390820000000.000000,6586896000000.000000,7153055000000.000000,,,964508000000.000000,,94066000000.000000,9959000000.000000,104025000000.000000,,3490000000.000000,18781000000.000000,22271000000.000000,81759000000.000000,200000000000.000000,,488022000000.000000,488022000000.000000,68431000000.000000,964508000000.000000,1860428000000.000000,479618000000.000000,,1281139000000.000000,,1281139000000.000000,99671000000.000000,1860428000000.000000,2824936000000.000000,,250210000000.000000,2512774000000.000000,1493121000000.000000,10000000000.000000,1483121000000.000000,1493121000000.000000,72014000000.000000,4328119000000.000000,7153055000000.000000,2502100000.000000
12M 2016,,,591886000000.000000,185189000000.000000,176704000000.000000,8485000000.000000,185189000000.000000,77079000000.000000,76177000000.000000,902000000.000000,77079000000.000000,12276000000.000000,15874000000.000000,882304000000.000000,,6185247000000.000000,,,233061000000.000000,6418308000000.000000,7300612000000.000000,,,814103000000.000000,,53354000000.000000,7992000000.000000,61346000000.000000,,2986000000.000000,5459000000.000000,8445000000.000000,27751000000.000000,,,657846000000.000000,657846000000.000000,58715000000.000000,814103000000.000000,1823829000000.000000,515415000000.000000,,1185723000000.000000,,1185723000000.000000,122691000000.000000,1823829000000.000000,2637932000000.000000,,250210000000.000000,2512774000000.000000,1825979000000.000000,20000000000.000000,1805979000000.000000,1825979000000.000000,73717000000.000000,4662680000000.000000,7300612000000.000000,2502100000.000000
12M 2017,,,474289000000.000000,178365000000.000000,175602000000.000000,2763000000.000000,178365000000.000000,78103000000.000000,76111000000.000000,1992000000.000000,78103000000.000000,11817000000.000000,28648000000.000000,771222000000.000000,,5605524000000.000000,,,139741000000.000000,5745265000000.000000,6516487000000.000000,,,435947000000.000000,,51914000000.000000,7344000000.000000,59258000000.000000,,6691000000.000000,2510000000.000000,9201000000.000000,35127000000.000000,,,269117000000.000000,269117000000.000000,63244000000.000000,435947000000.000000,1149615000000.000000,527580000000.000000,,494664000000.000000,,494664000000.000000,127371000000.000000,1149615000000.000000,1585562000000.000000,,250210000000.000000,2512774000000.000000,2092455000000.000000,30000000000.000000,2062455000000.000000,2092455000000.000000,75486000000.000000,4930925000000.000000,6516487000000.000000,2502100000.000000
12M 2018,,,575900000000.000000,199807000000.000000,193533000000.000000,6274000000.000000,199807000000.000000,99253000000.000000,96996000000.000000,2257000000.000000,99253000000.000000,16273000000.000000,180540000000.000000,1071773000000.000000,,5724503000000.000000,,,158881000000.000000,5883384000000.000000,6955157000000.000000,,,614987000000.000000,,150268000000.000000,12430000000.000000,162698000000.000000,,4508000000.000000,3633000000.000000,8141000000.000000,74197000000.000000,,,291187000000.000000,291187000000.000000,78764000000.000000,614987000000.000000,1075009000000.000000,523470000000.000000,,418476000000.000000,,418476000000.000000,133063000000.000000,1075009000000.000000,1689996000000.000000,,250210000000.000000,2512774000000.000000,2424410000000.000000,40000000000.000000,2384410000000.000000,2424410000000.000000,77767000000.000000,5265161000000.000000,6955157000000.000000,2502100000.000000
12M 2019,,,462947000000.000000,187205000000.000000,179927000000.000000,7278000000.000000,187205000000.000000,119609000000.000000,114385000000.000000,5224000000.000000,119609000000.000000,16714000000.000000,152310000000.000000,938785000000.000000,,6183774000000.000000,,61036000000.000000,240709000000.000000,6485519000000.000000,7424304000000.000000,,,753515000000.000000,,134959000000.000000,9394000000.000000,144353000000.000000,,7273000000.000000,5146000000.000000,12419000000.000000,53036000000.000000,,,441074000000.000000,441074000000.000000,102633000000.000000,753515000000.000000,1262687000000.000000,475693000000.000000,,649191000000.000000,,649191000000.000000,137803000000.000000,1262687000000.000000,2016202000000.000000,,250210000000.000000,2512774000000.000000,2546205000000.000000,50000000000.000000,2496205000000.000000,2546205000000.000000,98913000000.000000,5408102000000.000000,7424304000000.000000,2502100000.000000
12M 2020,,,798850000000.000000,123691000000.000000,117918000000.000000,5773000000.000000,123691000000.000000,127366000000.000000,112036000000.000000,15330000000.000000,127366000000.000000,10401000000.000000,181296000000.000000,1241604000000.000000,,5668030000000.000000,3416000000.000000,61036000000.000000,279028000000.000000,6011510000000.000000,7253114000000.000000,,,639864000000.000000,,150844000000.000000,4123000000.000000,154967000000.000000,,7268000000.000000,3137000000.000000,10405000000.000000,47593000000.000000,,,325788000000.000000,325788000000.000000,101111000000.000000,639864000000.000000,1377727000000.000000,323868000000.000000,,924295000000.000000,,924295000000.000000,129564000000.000000,1377727000000.000000,2017591000000.000000,,250210000000.000000,2512774000000.000000,2375464000000.000000,52000000000.000000,2323464000000.000000,2375464000000.000000,97075000000.000000,5235523000000.000000,7253114000000.000000,2502100000.000000
12M 2021,,,945637000000.000000,193011000000.000000,185096000000.000000,7915000000.000000,193011000000.000000,114892000000.000000,111461000000.000000,3431000000.000000,114892000000.000000,11369000000.000000,101596000000.000000,1366505000000.000000,,4938177000000.000000,3117000000.000000,61036000000.000000,229302000000.000000,5231632000000.000000,6598137000000.000000,,,565041000000.000000,,36865000000.000000,1544000000.000000,38409000000.000000,,4491000000.000000,6882000000.000000,11373000000.000000,57627000000.000000,2000000000.000000,,343473000000.000000,343473000000.000000,112159000000.000000,565041000000.000000,885517000000.000000,274174000000.000000,,494049000000.000000,,494049000000.000000,117294000000.000000,885517000000.000000,1450558000000.000000,,250210000000.000000,2512774000000.000000,2287054000000.000000,52000000000.000000,2235054000000.000000,2287054000000.000000,97541000000.000000,5147579000000.000000,6598137000000.000000,2502100000.000000
12M 2022,,,890975000000.000000,281886000000.000000,271699000000.000000,10187000000.000000,281886000000.000000,111180000000.000000,102393000000.000000,8787000000.000000,111180000000.000000,13732000000.000000,82176000000.000000,1379949000000.000000,,5280909000000.000000,371000000.000000,61036000000.000000,170895000000.000000,5513211000000.000000,6893160000000.000000,,,908381000000.000000,,150800000000.000000,7315000000.000000,158115000000.000000,,7668000000.000000,3670000000.000000,11338000000.000000,63554000000.000000,,,489753000000.000000,489753000000.000000,185621000000.000000,908381000000.000000,634088000000.000000,315105000000.000000,,188713000000.000000,6079000000.000000,194792000000.000000,124191000000.000000,634088000000.000000,1542469000000.000000,,250210000000.000000,2512774000000.000000,2485221000000.000000,53000000000.000000,2432221000000.000000,2485221000000.000000,102486000000.000000,5350691000000.000000,6893160000000.000000,2502100000.000000
12M 2023,,,983434000000.000000,243824000000.000000,234489000000.000000,9335000000.000000,243824000000.000000,92952000000.000000,88951000000.000000,4001000000.000000,92952000000.000000,21476000000.000000,155351000000.000000,1497037000000.000000,,5855410000000.000000,436000000.000000,61036000000.000000,166305000000.000000,6083187000000.000000,7580224000000.000000,,,875701000000.000000,,151708000000.000000,12885000000.000000,164593000000.000000,,12608000000.000000,8708000000.000000,21316000000.000000,48267000000.000000,,,415745000000.000000,415745000000.000000,225780000000.000000,875701000000.000000,1073085000000.000000,334002000000.000000,,600675000000.000000,5422000000.000000,606097000000.000000,132986000000.000000,1073085000000.000000,1948786000000.000000,,250210000000.000000,2512774000000.000000,2757234000000.000000,54000000000.000000,2703234000000.000000,2757234000000.000000,111220000000.000000,5631438000000.000000,7580224000000.000000,2502100000.000000
12M 2024,,,1161954000000.000000,235938000000.000000,223756000000.000000,12182000000.000000,235938000000.000000,104341000000.000000,97898000000.000000,6443000000.000000,104341000000.000000,23182000000.000000,266590000000.000000,1792005000000.000000,,6442289000000.000000,982000000.000000,61036000000.000000,144643000000.000000,6648950000000.000000,8440955000000.000000,,,1086281000000.000000,,292525000000.000000,2764000000.000000,295289000000.000000,,12564000000.000000,5547000000.000000,18111000000.000000,85218000000.000000,,,445720000000.000000,445720000000.000000,241943000000.000000,1086281000000.000000,1359686000000.000000,304549000000.000000,,914679000000.000000,4765000000.000000,919444000000.000000,135693000000.000000,1359686000000.000000,2445967000000.000000,,250210000000.000000,2512774000000.000000,3117743000000.000000,54000000000.000000,3063743000000.000000,3117743000000.000000,114261000000.000000,5994988000000.000000,8440955000000.000000,2502100000.000000
