Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,46923233000.000000,64495761000.000000,26973049000.000000,37522712000.000000,64495761000.000000,12385852000.000000,10983639000.000000,1402213000.000000,12385852000.000000,3444531000.000000,5234497000.000000,132483874000.000000,,,,,,1998656000.000000,756644642000.000000,1370245000.000000,760013543000.000000,892497417000.000000,,,194724784000.000000,,,7111772000.000000,20197143000.000000,27308915000.000000,,1782035000.000000,7500000000.000000,9282035000.000000,26353223000.000000,14342949000.000000,,97874917000.000000,15275345000.000000,113150262000.000000,4287400000.000000,194724784000.000000,116394675000.000000,,98511756000.000000,5469448000.000000,12413471000.000000,116394675000.000000,116394675000.000000,311119459000.000000,,100000000000.000000,,202588891000.000000,,202588891000.000000,202588891000.000000,4789067000.000000,274000000000.000000,581377958000.000000,892497417000.000000,1000000000.000000
12M 2019,,,40352281000.000000,60870323000.000000,32093754000.000000,28776569000.000000,60870323000.000000,1630036000.000000,828076000.000000,801960000.000000,1630036000.000000,3611412000.000000,55088141000.000000,161552193000.000000,,,,,,2788858000.000000,714312453000.000000,20260386000.000000,737361697000.000000,898913890000.000000,,,120301292000.000000,,,12289472000.000000,10736232000.000000,23025704000.000000,,1705478000.000000,91631000.000000,1797109000.000000,15521875000.000000,6819971000.000000,,64373092000.000000,3351042000.000000,67724134000.000000,5412499000.000000,120301292000.000000,119034164000.000000,,100600000000.000000,1649860000.000000,16784304000.000000,119034164000.000000,119034164000.000000,239335456000.000000,,100000000000.000000,,247926296000.000000,110000000.000000,247816296000.000000,247926296000.000000,5184234000.000000,306467904000.000000,659578434000.000000,898913890000.000000,1000000000.000000
12M 2020,,,45361957000.000000,32650180000.000000,17956076000.000000,14694104000.000000,32650180000.000000,611728000.000000,8125000.000000,603603000.000000,611728000.000000,3593709000.000000,705616000.000000,82923190000.000000,,,,,,3822494000.000000,710388981000.000000,36904250000.000000,751115725000.000000,834038915000.000000,,,78671662000.000000,,,3499483000.000000,5182730000.000000,8682213000.000000,,7500000000.000000,1760700000.000000,9260700000.000000,9367006000.000000,5228712000.000000,,38197407000.000000,371054000.000000,38568461000.000000,7564570000.000000,78671662000.000000,99988283000.000000,,87150000000.000000,,12838283000.000000,99988283000.000000,99988283000.000000,178659945000.000000,,128500000000.000000,277967904000.000000,243793102000.000000,110000000.000000,243683102000.000000,243793102000.000000,5117964000.000000,,655378970000.000000,834038915000.000000,1285000000.000000
12M 2021,,,251984806000.000000,25726691000.000000,19533648000.000000,6193043000.000000,25726691000.000000,937025000.000000,105915000.000000,831110000.000000,937025000.000000,4962981000.000000,7670549000.000000,291282052000.000000,,187120000.000000,187120000.000000,,187120000.000000,14851435000.000000,663913777000.000000,18826530000.000000,697778862000.000000,989060914000.000000,,,116195378000.000000,,,3815027000.000000,13274597000.000000,17089624000.000000,,,71435000.000000,71435000.000000,39133402000.000000,4320262000.000000,,42600000000.000000,,42600000000.000000,12980655000.000000,116195378000.000000,59001142000.000000,,44550000000.000000,,14451142000.000000,59001142000.000000,59001142000.000000,175196520000.000000,,128500000000.000000,277967904000.000000,401060411000.000000,110000000.000000,400950411000.000000,401060411000.000000,6209540000.000000,126539000.000000,813864394000.000000,989060914000.000000,1285000000.000000
12M 2022,,,409185230000.000000,34761114000.000000,26865797000.000000,7895317000.000000,34761114000.000000,1324597000.000000,,1324597000.000000,1324597000.000000,6924796000.000000,2223966000.000000,454419703000.000000,,258197000.000000,258197000.000000,,258197000.000000,15679215000.000000,729157314000.000000,102990958000.000000,848085684000.000000,1302505387000.000000,,,235004803000.000000,90000000000.000000,,4586833000.000000,19324681000.000000,23911514000.000000,,124000.000000,76373000.000000,76497000.000000,61010484000.000000,6551878000.000000,,44550000000.000000,,44550000000.000000,8904430000.000000,235004803000.000000,13188467000.000000,,,,13188467000.000000,13188467000.000000,13188467000.000000,248193270000.000000,,128500000000.000000,277967904000.000000,639881785000.000000,110000000.000000,639771785000.000000,639881785000.000000,7835889000.000000,126539000.000000,1054312117000.000000,1302505387000.000000,1285000000.000000
12M 2023,,,403394691000.000000,32652043000.000000,24334049000.000000,8317994000.000000,32652043000.000000,889778000.000000,46415000.000000,843363000.000000,889778000.000000,9462091000.000000,3579055000.000000,449977658000.000000,,277603000.000000,277603000.000000,,277603000.000000,7417834000.000000,675509740000.000000,17717819000.000000,700922996000.000000,1150900654000.000000,,,47641053000.000000,,,9071245000.000000,11900376000.000000,20971621000.000000,,,77209000.000000,77209000.000000,7279610000.000000,5704060000.000000,,,,,13608553000.000000,47641053000.000000,16170040000.000000,,,,16170040000.000000,16170040000.000000,16170040000.000000,63811093000.000000,,128500000000.000000,277967904000.000000,672633024000.000000,110000000.000000,672523024000.000000,672633024000.000000,7862094000.000000,126539000.000000,1087089561000.000000,1150900654000.000000,1285000000.000000
12M 2024,,,452463562000.000000,24051131000.000000,12903062000.000000,11148069000.000000,24051131000.000000,1138370000.000000,51336000.000000,1087034000.000000,1138370000.000000,9058119000.000000,4258346000.000000,490969528000.000000,,296999000.000000,296999000.000000,,296999000.000000,9954825000.000000,611761573000.000000,48351696000.000000,670365093000.000000,1161334621000.000000,,,51269874000.000000,,,6670820000.000000,18589598000.000000,25260418000.000000,,43324000.000000,83594000.000000,126918000.000000,12047144000.000000,7889119000.000000,,,,,5946275000.000000,51269874000.000000,18367221000.000000,,,,18367221000.000000,18367221000.000000,18367221000.000000,69637095000.000000,,128500000000.000000,277967904000.000000,677672860000.000000,110000000.000000,677562860000.000000,677672860000.000000,7430223000.000000,126539000.000000,1091697526000.000000,1161334621000.000000,1285000000.000000
