Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Pajak Penghasilan,Penerimaan Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Penurunan (Kenaikan) Piutang Lain-Lain Pihak Berelasi,Penambahan Uang Muka,Pemberian Piutang Pihak Berelasi Non-Usaha,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Kenaikan Aset Lain-Lain,Arus Kas Keluar Bersih Pada Tanggal Akuisisi Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penurunan Piutang Lain-Lain Pihak Berelasi,Kenaikan Piutang Lain-Lain Pihak Berelasi,Kenaikan Utang Lain-Lain Pihak Berelasi,Penurunan Utang Lain-Lain Pihak Berelasi,Pembayaran Liabilitas Pembelian Kendaraan,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Liabilitas Sewa Pembiayaan Jangka Panjang,Penerimaan Uang Muka Seotran Modal,Pengembalian Dividen,Pembayaran Dividen,Penerimaan Dari Penerbitan Modal Saham,Penerimaan Penerbitan Pinjaman Wajib Konversi,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Pendanaan,Penerimaan Dari Peningkatan Modal Saham Entitas Anak Yang Menjadi Bagian Kepentingan Nonpengendali,Pembayaran Bunga Dan Beban Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Perubahan Pada Dana Kas Yang Dibatasi Penggunaannya,Kas Dan Setara Kas Akhir Periode
12M 2018,142002749000.000000,238546312000.000000,-91430100000.000000,-3707694000.000000,-1405769000.000000,,142002749000.000000,-403728549000.000000,17791738000.000000,,-4229336000.000000,,-92682656000.000000,22983548000.000000,-1370245000.000000,-346221598000.000000,-403728549000.000000,305937411000.000000,,-10981639000.000000,1782035000.000000,-4893230000.000000,,,,228185000000.000000,-250645997000.000000,-9010373000.000000,,,,92000000000.000000,274000000000.000000,,4272908000.000000,-18771293000.000000,305937411000.000000,44211611000.000000,2711622000.000000,,46923233000.000000
12M 2019,84576972000.000000,384654659000.000000,-272668540000.000000,-14134825000.000000,-13274322000.000000,,84576972000.000000,-62717083000.000000,2280739000.000000,,-49677722000.000000,,-14453131000.000000,8273000.000000,-875242000.000000,,-62717083000.000000,-28430841000.000000,10883639000.000000,-728076000.000000,415255000.000000,-491812000.000000,,,,110000000000.000000,-141413581000.000000,-15743891000.000000,32467904000.000000,259683000.000000,,,,,,-24079962000.000000,-28430841000.000000,-6570952000.000000,46923233000.000000,,40352281000.000000
12M 2020,67033007000.000000,228311671000.000000,-120010438000.000000,-15101150000.000000,-26167076000.000000,,67033007000.000000,-1496607000.000000,138635000.000000,819951000.000000,-41970000.000000,,-2158737000.000000,,-254486000.000000,,-1496607000.000000,-60526724000.000000,,5794522000.000000,,,-142370000.000000,,,,-39625685000.000000,-4629848000.000000,,,-5140000000.000000,,,,,-16783343000.000000,-60526724000.000000,5009676000.000000,40352281000.000000,,45361957000.000000
12M 2021,281080742000.000000,460719545000.000000,-143083391000.000000,-17194662000.000000,-20805281000.000000,1444531000.000000,281080742000.000000,-9373654000.000000,2615134000.000000,-97790000.000000,-6658530000.000000,-186270000.000000,-5046198000.000000,,,,-9373654000.000000,-65084239000.000000,,-7500000000.000000,,,-13420000.000000,,,,-38197407000.000000,-371054000.000000,,,-6425000000.000000,,,,,-12577358000.000000,-65084239000.000000,206622849000.000000,45361957000.000000,,251984806000.000000
12M 2022,410703546000.000000,768069352000.000000,-259676135000.000000,-35300290000.000000,-77240460000.000000,14851079000.000000,410703546000.000000,-102049482000.000000,9343923000.000000,105915000.000000,,-54469000.000000,-111473659000.000000,83808000.000000,-55000000.000000,,-102049482000.000000,-50947334000.000000,,124000.000000,,,,90000000000.000000,,,-42600000000.000000,,,,-90711375000.000000,,,,,-7636083000.000000,-50947334000.000000,257706730000.000000,251984806000.000000,-100506306000.000000,409185230000.000000
12M 2023,214813512000.000000,638494489000.000000,-252938490000.000000,-33914837000.000000,-136827650000.000000,,214813512000.000000,7459516000.000000,13298117000.000000,-46415000.000000,-312500000.000000,,-5704911000.000000,225225000.000000,,,7459516000.000000,-328569873000.000000,,-124000.000000,,,-133461000.000000,-90000000000.000000,,,-44550000000.000000,,,,-189163205000.000000,,,,,-4723083000.000000,-328569873000.000000,-106296845000.000000,409185230000.000000,100506306000.000000,403394691000.000000
12M 2024,163358963000.000000,566853337000.000000,-256099754000.000000,-79650320000.000000,-67744300000.000000,,163358963000.000000,15875857000.000000,11832707000.000000,-4921000.000000,,-19580000.000000,-9732349000.000000,13800000000.000000,,,15875857000.000000,-130165949000.000000,,43324000.000000,,,-271230000.000000,,,,,,,,-129931385000.000000,,,,,-6658000.000000,-130165949000.000000,49068871000.000000,403394691000.000000,,452463562000.000000
