Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Adjustment,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Pra Akuisisi,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Laba Pra Akuisisi,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,16101565153940.000000,-12338648957962.000000,3762916195978.000000,-1622405128273.000000,-1364233297240.000000,-258171831033.000000,-1622405128273.000000,2140511067705.000000,-661582639675.000000,35008211149.000000,-2212479691.000000,-456142843067.000000,-258953429682.000000,20717901616.000000,-661582639675.000000,1478928428030.000000,-423728811688.000000,-401775463436.000000,-21953348252.000000,,,-423728811688.000000,1055199616342.000000,-609670247.000000,-8200678948.000000,1046389267147.000000,,,1046389267147.000000,1055199616342.000000,-609670247.000000,-8200678948.000000,1046389267147.000000,,,,
12M 2009,14201230455621.000000,-12484605802578.000000,1716624653043.000000,-606419064404.000000,-441796379324.000000,-164622685080.000000,-606419064404.000000,1110205588639.000000,-117483847399.000000,41461987029.000000,-6044564980.000000,215872005026.000000,-327497223171.000000,-41276051303.000000,-117483847399.000000,992721741240.000000,-244930015432.000000,-270245201344.000000,25315185912.000000,,,-244930015432.000000,747791725808.000000,703374321.000000,,748495100129.000000,,,748495100129.000000,747791725808.000000,703374321.000000,,748495100129.000000,,,,
12M 2010,20265425000000.000000,-17127929000000.000000,3137496000000.000000,-1470045000000.000000,-1098220000000.000000,-371825000000.000000,-1470045000000.000000,1667451000000.000000,-12503000000.000000,16656000000.000000,-5362000000.000000,122090000000.000000,-268828000000.000000,122941000000.000000,-12503000000.000000,1654948000000.000000,-394453000000.000000,-373550000000.000000,-20903000000.000000,,,-394453000000.000000,1260495000000.000000,18000000.000000,,1260513000000.000000,,,1260513000000.000000,1260495000000.000000,18000000.000000,,1260513000000.000000,,,,
12M 2011,31676219000000.000000,-24154526000000.000000,7521693000000.000000,-5050133000000.000000,-4700253000000.000000,-349880000000.000000,-5050133000000.000000,2471560000000.000000,-84725000000.000000,28855000000.000000,1099000000.000000,37849000000.000000,-293647000000.000000,141119000000.000000,-84725000000.000000,2386835000000.000000,-601098000000.000000,-564549000000.000000,-36549000000.000000,,,-601098000000.000000,1785737000000.000000,,,1785737000000.000000,4998000000.000000,1790735000000.000000,1785737000000.000000,1784724000000.000000,1013000000.000000,,1785737000000.000000,1790735000000.000000,1789672000000.000000,1063000000.000000,1790735000000.000000
12M 2012,27526306000000.000000,-21001275000000.000000,6525031000000.000000,-3263376000000.000000,-2462115000000.000000,-801261000000.000000,-3263376000000.000000,3261655000000.000000,-378821000000.000000,14907000000.000000,-1327000000.000000,-80716000000.000000,-267569000000.000000,-44116000000.000000,-378821000000.000000,2882834000000.000000,-730525000000.000000,-668865000000.000000,-61660000000.000000,,,-730525000000.000000,2152309000000.000000,,,2152309000000.000000,26396000000.000000,2178705000000.000000,2152309000000.000000,2151528000000.000000,781000000.000000,,2152309000000.000000,2178705000000.000000,2177658000000.000000,1047000000.000000,2178705000000.000000
12M 2013,23935214000000.000000,-19813935000000.000000,4121279000000.000000,-2173364000000.000000,-1195853000000.000000,-977511000000.000000,-2173364000000.000000,1947915000000.000000,-743719000000.000000,11343000000.000000,-1527000000.000000,-483568000000.000000,-265313000000.000000,-4654000000.000000,-743719000000.000000,1204196000000.000000,-311424000000.000000,-287673000000.000000,-23751000000.000000,,,-311424000000.000000,892772000000.000000,,,892772000000.000000,100207000000.000000,992979000000.000000,892772000000.000000,892505000000.000000,267000000.000000,,892772000000.000000,992979000000.000000,991710000000.000000,1269000000.000000,992979000000.000000
12M 2014,32340665000000.000000,-27648684000000.000000,4691981000000.000000,-2560651000000.000000,-1463641000000.000000,-1097010000000.000000,-2560651000000.000000,2131330000000.000000,-169254000000.000000,21067000000.000000,2997000000.000000,-36070000000.000000,-311773000000.000000,154525000000.000000,-169254000000.000000,1962076000000.000000,-487421000000.000000,-460255000000.000000,-27166000000.000000,,,-487421000000.000000,1474655000000.000000,,,1474655000000.000000,1057000000.000000,1475712000000.000000,1474655000000.000000,1474527000000.000000,128000000.000000,,1474655000000.000000,1475712000000.000000,1475573000000.000000,139000000.000000,1475712000000.000000
12M 2015,36230113000000.000000,-32291081000000.000000,3939032000000.000000,-2922013000000.000000,-1619335000000.000000,-1302678000000.000000,-2922013000000.000000,1017019000000.000000,-1223669000000.000000,18611000000.000000,-15510000000.000000,-997486000000.000000,-411306000000.000000,182022000000.000000,-1223669000000.000000,-206650000000.000000,-178859000000.000000,-183590000000.000000,4731000000.000000,,,-178859000000.000000,-385509000000.000000,,,-385509000000.000000,105512000000.000000,-279997000000.000000,-385509000000.000000,-386175000000.000000,666000000.000000,,-385509000000.000000,-279997000000.000000,-281073000000.000000,1076000000.000000,-279997000000.000000
12M 2016,29752126000000.000000,-25516008000000.000000,4236118000000.000000,-2790670000000.000000,-1548624000000.000000,-1242046000000.000000,-2790670000000.000000,1445448000000.000000,-14646000000.000000,163445000000.000000,-5479000000.000000,346617000000.000000,-482014000000.000000,-37215000000.000000,-14646000000.000000,1430802000000.000000,1168737000000.000000,-214394000000.000000,1598219000000.000000,-215088000000.000000,,1168737000000.000000,2599539000000.000000,,,2599539000000.000000,-22874000000.000000,2576665000000.000000,2599539000000.000000,2600909000000.000000,-1370000000.000000,,2599539000000.000000,2576665000000.000000,2578172000000.000000,-1507000000.000000,2576665000000.000000
12M 2017,35318102000000.000000,-30993225000000.000000,4324877000000.000000,-2757609000000.000000,-1511525000000.000000,-1246084000000.000000,-2757609000000.000000,1567268000000.000000,-368874000000.000000,96580000000.000000,7406000000.000000,-98389000000.000000,-479717000000.000000,105246000000.000000,-368874000000.000000,1198394000000.000000,-21023000000.000000,-182842000000.000000,161819000000.000000,,,-21023000000.000000,1177371000000.000000,,,1177371000000.000000,-5012000000.000000,1172359000000.000000,1177371000000.000000,1176800000000.000000,571000000.000000,,1177371000000.000000,1172359000000.000000,1171732000000.000000,627000000.000000,1172359000000.000000
