Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Untuk Pemasok,Penerimaan Tagihan Pajak,Pendapatan Bunga,Pembayaran Untuk Aktivitas Operasional Lainnya - Bersih,Pembayaran Pajak Ekspor,Pembayaran Beban Bunga,Pembayaran Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penurunan Bersih Investasi Jangka Pendek,Peningkatan Investasi Pada Perusahaan Asosiasi,Penerimaan Sisa Kekayaan Atas Likuidasi Entitas Asosiasi,Investasi Jangka Pendek,Pencairan,Penambahan,Total Investasi Jangka Pendek,Aset Tetap,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Total Aset Tetap,Bibitan,Perolehan Pembibitan,Penjualan Pembibitan,Total Bibitan,Perolehan Hak Atas Tanah,Penambahan Tanaman Perkebunan,Pengurangan (Penambahan) Bersih Investasi Proyek Perkebunan Plasma,Pembayaran Uang Muka Proyek,Uang Muka Perkebunan Plasma,Uang Muka Penambahan Plasma,Pengembalian Uang Muka Plasma,Total Uang Muka Perkebunan Plasma,Penambahan Biaya Pembukaan Lahan,Penambahan Biaya Pengembangan Piranti Lunak,Hasil Penjualan Piutang Jangka Panjang,Penjualan Atas Bagian Entitas Anak Untuk Kepentingan Nonpengendali,Pembayaran Untuk Akuisisi Anak Perusahaan,Penambahan Investasi Saham,Penambahan Aset Lain-Lain,Penambahan Uang Muka Investasi,Penerimaan Dividen,Pengembalian Uang Muka Investasi Dalam Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Utang Bank Jangka Pendek,Penerimaan,Pembayaran,Total Utang Bank Jangka Pendek,Utang Bank Jangka Panjang,Penerimaan,Pembayaran,Total Utang Bank Jangka Panjang,Penerimaan Utang Lain - Lain Pihak Ketiga,Pembayaran Utang Lain - Lain Pihak Ketiga,Penerimaan (Penambahan) Piutang Pihak Berelasi,Utang Kepada Pihak Berelasi Non-Usaha,Penambahan,Pembayaran,Total Utang Kepada Pihak Berelasi Non-Usaha,Penerimaan Dan Penerbitan Obligasi,Pembayaran Utang Obligasi,Penerimaan Utang Kepada Pemegang Saham,Pembayaran Utang Kepada Pemegang Saham,Setoran Modal Saham Entitas Anak Dari Kepentingan Non Pengendali,Pembayaran Dividen Kepada :,Pemilik Entitas Induk,Kepentingan Nonpengendali,Total Pembayaran Dividen Kepada :,Pembayaran Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Tidak Dikonsolidasikannya Laporan Keuangan Entitas Anak,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,2182654656597.000000,16109138117582.000000,-12059258309714.000000,303563811106.000000,33216854216.000000,-1571149030418.000000,,-265518086955.000000,-367338699220.000000,2182654656597.000000,-2080763334125.000000,-950008170165.000000,-18151196350.000000,,,,,,,-944890483053.000000,24731365757.000000,-920159117296.000000,,-2631664841.000000,,-2631664841.000000,-3625037005.000000,,,-60405581695.000000,,-41313806887.000000,,-41313806887.000000,-39534982721.000000,,,,-44933777165.000000,,,,,,-2080763334125.000000,48762937316.000000,,1766354779157.000000,-1430481772511.000000,335873006646.000000,,110359200000.000000,-33908542731.000000,76450657269.000000,,,,,96322920000.000000,-445528030000.000000,-349205110000.000000,,,,,,,,-14355616599.000000,-14355616599.000000,,48762937316.000000,150654259788.000000,,329623024370.000000,,480277284158.000000
12M 2009,125471359040.000000,13981479528771.000000,-11941698363322.000000,232610483949.000000,45355042830.000000,-1506846173260.000000,,-359653019192.000000,-325776140736.000000,125471359040.000000,491772525393.000000,1409013402500.000000,-6603465400.000000,,,,,,,-883178811856.000000,25651019570.000000,-857527792286.000000,,-4503929352.000000,,-4503929352.000000,-3859100656.000000,,,-7980539483.000000,,-21867577561.000000,,-21867577561.000000,-14898472369.000000,,,,,,,,,,491772525393.000000,-599943686575.000000,,3028016158408.000000,-3502815212608.000000,-474799054200.000000,,952643437070.000000,-92177007570.000000,860466429500.000000,,,,,2193811675000.000000,-2662624274500.000000,-468812599500.000000,,,,,,,,-516798462375.000000,-516798462375.000000,,-599943686575.000000,17300197858.000000,,480277284158.000000,,497577482016.000000
12M 2010,-230001000000.000000,19363084000000.000000,-16767174000000.000000,132114000000.000000,16968000000.000000,-2387392000000.000000,,-293496000000.000000,-294105000000.000000,-230001000000.000000,-870535000000.000000,48726000000.000000,,,,,,,,-852746000000.000000,40570000000.000000,-812176000000.000000,,-7377000000.000000,,-7377000000.000000,-13752000000.000000,,-59554000000.000000,-2059000000.000000,,,,,-24344000000.000000,,,1000000.000000,,,,,,,-870535000000.000000,895930000000.000000,,4997606000000.000000,-3683128000000.000000,1314478000000.000000,,110215000000.000000,-534986000000.000000,-424771000000.000000,,,,,1676914000000.000000,-1455340000000.000000,221574000000.000000,,,,,,,,-215351000000.000000,-215351000000.000000,,895930000000.000000,-204606000000.000000,,497577000000.000000,,292971000000.000000
12M 2011,1109407000000.000000,30351340000000.000000,-22307397000000.000000,342081000000.000000,28888000000.000000,-2383729000000.000000,-4161499000000.000000,-275993000000.000000,-484284000000.000000,1109407000000.000000,-905640000000.000000,18777000000.000000,,,,,,,,-917450000000.000000,12351000000.000000,-905099000000.000000,,-12321000000.000000,,-12321000000.000000,-3536000000.000000,,26642000000.000000,-11961000000.000000,,,,,-18142000000.000000,,,,,,,,,,-905640000000.000000,-11553000000.000000,,7220987000000.000000,-7467563000000.000000,-246576000000.000000,,73803000000.000000,-118466000000.000000,-44663000000.000000,,,,,3329345000000.000000,-2618952000000.000000,710393000000.000000,,,,,,,,-430707000000.000000,-430707000000.000000,,-11553000000.000000,192214000000.000000,,292971000000.000000,1040000000.000000,486225000000.000000
12M 2012,3405968000000.000000,28175987000000.000000,-18771828000000.000000,465891000000.000000,14952000000.000000,-3757360000000.000000,-1673592000000.000000,-282029000000.000000,-766053000000.000000,3405968000000.000000,-1687779000000.000000,,,,,,,,,-1371341000000.000000,92426000000.000000,-1278915000000.000000,,-10951000000.000000,4074000000.000000,-6877000000.000000,-3902000000.000000,-41927000000.000000,,-410961000000.000000,,-149562000000.000000,196523000000.000000,46961000000.000000,-14731000000.000000,,22571000000.000000,2000000.000000,,,,,,,-1687779000000.000000,-1038298000000.000000,,8109279000000.000000,-8942554000000.000000,-833275000000.000000,,44830000000.000000,-192871000000.000000,-148041000000.000000,,,,,3417600000000.000000,-3894882000000.000000,-477282000000.000000,995000000000.000000,,,,,,-574277000000.000000,-423000000.000000,-574700000000.000000,,-1038298000000.000000,679891000000.000000,,486225000000.000000,17366000000.000000,1183482000000.000000
12M 2013,2164992000000.000000,24874349000000.000000,-18372939000000.000000,-3487486000000.000000,47363000000.000000,-296370000000.000000,651589000000.000000,-466633000000.000000,-784881000000.000000,2164992000000.000000,-2298119000000.000000,,,,,,,,,-1541699000000.000000,20624000000.000000,-1521075000000.000000,,-8562000000.000000,5701000000.000000,-2861000000.000000,-25000000.000000,-29230000000.000000,,-731585000000.000000,,-184864000000.000000,216862000000.000000,31998000000.000000,-10459000000.000000,,,,,-34882000000.000000,,,,,-2298119000000.000000,-674047000000.000000,,13965773000000.000000,-11084693000000.000000,2881080000000.000000,,,-159267000000.000000,-159267000000.000000,,,,,4998274000000.000000,-4947631000000.000000,50643000000.000000,,,,,,,-3445662000000.000000,-841000000.000000,-3446503000000.000000,,-674047000000.000000,-807174000000.000000,,1183482000000.000000,33180000000.000000,409488000000.000000
12M 2014,1569191000000.000000,32637360000000.000000,-26138952000000.000000,-3947813000000.000000,57096000000.000000,-362828000000.000000,346302000000.000000,-492968000000.000000,-529006000000.000000,1569191000000.000000,-1565348000000.000000,,,,,,,,,-1124305000000.000000,24387000000.000000,-1099918000000.000000,,-15349000000.000000,3976000000.000000,-11373000000.000000,-561000000.000000,-22475000000.000000,,-425266000000.000000,,-197403000000.000000,202237000000.000000,4834000000.000000,-10589000000.000000,,,,,,,,,,-1565348000000.000000,1200866000000.000000,,18796314000000.000000,-17135113000000.000000,1661201000000.000000,,,-224452000000.000000,-224452000000.000000,,,,,3247466000000.000000,-3468882000000.000000,-221416000000.000000,,,,,,,-14357000000.000000,-110000000.000000,-14467000000.000000,,1200866000000.000000,1204709000000.000000,,409488000000.000000,3306000000.000000,1617503000000.000000
12M 2015,489083000000.000000,35907012000000.000000,-29573952000000.000000,-4836147000000.000000,54629000000.000000,-501046000000.000000,620638000000.000000,-641186000000.000000,-540865000000.000000,489083000000.000000,-2232052000000.000000,,,104000000.000000,,,,,,-1797842000000.000000,14744000000.000000,-1783098000000.000000,,-13658000000.000000,14680000000.000000,1022000000.000000,,-17404000000.000000,,-431515000000.000000,,-37140000000.000000,51779000000.000000,14639000000.000000,-10025000000.000000,,,,,,,-5775000000.000000,,,-2232052000000.000000,1551237000000.000000,,21327076000000.000000,-20597041000000.000000,730035000000.000000,,2056950000000.000000,-493370000000.000000,1563580000000.000000,,,,,9479398000000.000000,-10193062000000.000000,-713664000000.000000,,,,,,,-28714000000.000000,,-28714000000.000000,,1551237000000.000000,-191732000000.000000,,1617503000000.000000,123510000000.000000,1549281000000.000000
12M 2016,-1312751000000.000000,28472547000000.000000,-25541571000000.000000,171537000000.000000,190250000000.000000,-3079762000000.000000,-650684000000.000000,-506030000000.000000,-369038000000.000000,-1312751000000.000000,-1172977000000.000000,,,,,,,,,-1102585000000.000000,19651000000.000000,-1082934000000.000000,,-4252000000.000000,1316000000.000000,-2936000000.000000,-1156000000.000000,-14148000000.000000,,-7967000000.000000,,-18662000000.000000,42225000000.000000,23563000000.000000,-1444000000.000000,-81545000000.000000,,,,,,-4410000000.000000,,,-1172977000000.000000,1290227000000.000000,,23497788000000.000000,-26664288000000.000000,-3166500000000.000000,,4829480000000.000000,-145015000000.000000,4684465000000.000000,662509000000.000000,,,,367967000000.000000,-1258214000000.000000,-890247000000.000000,,,,,,,,,,,1290227000000.000000,-1195501000000.000000,,1549281000000.000000,-3313000000.000000,350467000000.000000
12M 2017,2346175000000.000000,34708829000000.000000,-28147269000000.000000,844287000000.000000,116159000000.000000,-3865742000000.000000,-556571000000.000000,-478036000000.000000,-275482000000.000000,2346175000000.000000,-1295064000000.000000,,,,,,,,,-967957000000.000000,55720000000.000000,-912237000000.000000,,-10261000000.000000,3460000000.000000,-6801000000.000000,-810000000.000000,-15905000000.000000,,-251084000000.000000,,-20841000000.000000,21740000000.000000,899000000.000000,-13167000000.000000,-88206000000.000000,,,,,,-7753000000.000000,,,-1295064000000.000000,-786687000000.000000,,24506332000000.000000,-23279141000000.000000,1227191000000.000000,,,,,,-665751000000.000000,,,3195429000000.000000,-3571771000000.000000,-376342000000.000000,,-900000000000.000000,,,,-71785000000.000000,,,-71785000000.000000,,-786687000000.000000,264424000000.000000,,350467000000.000000,1033000000.000000,615924000000.000000
