Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Tanaman Perkebunan,Tanaman Telah Menghasilkan,Tanaman Belum Menghasilkan,Total Tanaman Perkebunan,Aset Tetap,Aset Tak Berwujud,Goodwill,Others,Total Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Obligasi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Bank Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Utang Obligasi,Utang Pemegang Saham,Liabilitas Derivatif,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,480277284158.000000,1514989600000.000000,820388736109.000000,566139813812.000000,254248922297.000000,820388736109.000000,32386882960.000000,,32386882960.000000,32386882960.000000,1340573695347.000000,520845865975.000000,4709462064549.000000,,142231427805.000000,215087039.000000,1355919403642.000000,979432934316.000000,376486469326.000000,1355919403642.000000,2862570888195.000000,35127061971.000000,30548311971.000000,4578750000.000000,35127061971.000000,920389986886.000000,5316453855538.000000,10025915920087.000000,,,2734319617733.000000,1703090201750.000000,,286811317996.000000,223655077464.000000,510466395460.000000,,38936886.000000,162379388433.000000,162418325319.000000,145181703116.000000,110596911082.000000,,51698224050.000000,,,51698224050.000000,50867856956.000000,2734319617733.000000,2671914611131.000000,285312987605.000000,432822719550.000000,1690291517462.000000,,,,263487386514.000000,2671914611131.000000,5406234228864.000000,,574438673200.000000,1662472039200.000000,2120706592470.000000,,,2120706592470.000000,4477457030.000000,257586929323.000000,4619681691223.000000,10025915920087.000000,2872193366.000000
12M 2009,,,497577482016.000000,75200000000.000000,1065314736449.000000,750850380791.000000,314464355658.000000,1065314736449.000000,55641048788.000000,,55641048788.000000,55641048788.000000,2139125052972.000000,518446561209.000000,4351304881434.000000,,240891634210.000000,1340148955.000000,1429361550646.000000,1145571302307.000000,283790248339.000000,1429361550646.000000,3389877289601.000000,31259183346.000000,27443558346.000000,3815625000.000000,31259183346.000000,766560221761.000000,5859290028519.000000,10210594909953.000000,,,2754439338105.000000,976800000000.000000,,896511945571.000000,276134225939.000000,1172646171510.000000,,2167951234.000000,80857120597.000000,83025071831.000000,114808000980.000000,116945840338.000000,,214171323000.000000,,,214171323000.000000,76042930446.000000,2754439338105.000000,2656249810958.000000,258073619023.000000,1160358232600.000000,959463775485.000000,,,,278354183850.000000,2656249810958.000000,5410689149063.000000,,574438673200.000000,1662472039200.000000,2352206886719.000000,,,2352206886719.000000,3774082709.000000,207014079062.000000,4799905760890.000000,10210594909953.000000,2872193366.000000
12M 2010,,,292971000000.000000,22478000000.000000,1915243000000.000000,1385957000000.000000,529286000000.000000,1915243000000.000000,83149000000.000000,20463000000.000000,62686000000.000000,83149000000.000000,2702534000000.000000,1251236000000.000000,6267611000000.000000,,,4000000.000000,1440800000000.000000,1249846000000.000000,190954000000.000000,1440800000000.000000,3924066000000.000000,25285000000.000000,22232000000.000000,3053000000.000000,25285000000.000000,817876000000.000000,6208031000000.000000,12475642000000.000000,,,4105059000000.000000,2266341000000.000000,,833019000000.000000,343462000000.000000,1176481000000.000000,,76565000000.000000,156192000000.000000,232757000000.000000,118665000000.000000,196751000000.000000,,91157000000.000000,,,91157000000.000000,22907000000.000000,4105059000000.000000,2536114000000.000000,277055000000.000000,826077000000.000000,1128281000000.000000,,,,304701000000.000000,2536114000000.000000,6641173000000.000000,,574439000000.000000,1662472000000.000000,3397305000000.000000,114888000000.000000,3282417000000.000000,3397305000000.000000,3620000000.000000,196633000000.000000,5834469000000.000000,12475642000000.000000,2872193366.000000
12M 2011,,,486225000000.000000,,3259146000000.000000,2840747000000.000000,418399000000.000000,3259146000000.000000,88332000000.000000,18995000000.000000,69337000000.000000,88332000000.000000,2839141000000.000000,1289695000000.000000,7962539000000.000000,,,,1437169000000.000000,1237830000000.000000,199339000000.000000,1437169000000.000000,4541653000000.000000,24521000000.000000,22232000000.000000,2289000000.000000,24521000000.000000,756017000000.000000,6759360000000.000000,14721899000000.000000,,,4270944000000.000000,2051182000000.000000,,871056000000.000000,494254000000.000000,1365310000000.000000,,22083000000.000000,258233000000.000000,280316000000.000000,126736000000.000000,261968000000.000000,,143501000000.000000,,,143501000000.000000,41931000000.000000,4270944000000.000000,3115403000000.000000,313614000000.000000,732543000000.000000,1868915000000.000000,,,,200331000000.000000,3115403000000.000000,7386347000000.000000,,574439000000.000000,1662472000000.000000,4893523000000.000000,114888000000.000000,4778635000000.000000,4893523000000.000000,4683000000.000000,200435000000.000000,7335552000000.000000,14721899000000.000000,2872193366.000000
12M 2012,,,1183482000000.000000,,2596271000000.000000,2055618000000.000000,540653000000.000000,2596271000000.000000,96786000000.000000,,96786000000.000000,96786000000.000000,2674693000000.000000,794212000000.000000,7345444000000.000000,,96916000000.000000,,1404447000000.000000,1267189000000.000000,137258000000.000000,1404447000000.000000,5779347000000.000000,23758000000.000000,22232000000.000000,1526000000.000000,23758000000.000000,1597483000000.000000,8901951000000.000000,16247395000000.000000,,,3498527000000.000000,1402150000000.000000,,806837000000.000000,661440000000.000000,1468277000000.000000,,,121516000000.000000,121516000000.000000,152902000000.000000,171115000000.000000,,153829000000.000000,,,153829000000.000000,28738000000.000000,3498527000000.000000,3809473000000.000000,375607000000.000000,597711000000.000000,1548340000000.000000,995390000000.000000,,,292425000000.000000,3809473000000.000000,7308000000000.000000,,574439000000.000000,1662472000000.000000,6470612000000.000000,114888000000.000000,6355724000000.000000,6470612000000.000000,5307000000.000000,226565000000.000000,8939395000000.000000,16247395000000.000000,2872193366.000000
12M 2013,,,409488000000.000000,,2010482000000.000000,1326502000000.000000,683980000000.000000,2010482000000.000000,119195000000.000000,,119195000000.000000,119195000000.000000,3365362000000.000000,1757423000000.000000,7661950000000.000000,,51168000000.000000,47000000.000000,1368034000000.000000,1272486000000.000000,95548000000.000000,1368034000000.000000,7550599000000.000000,22995000000.000000,22232000000.000000,763000000.000000,22995000000.000000,1726321000000.000000,10719164000000.000000,18381114000000.000000,,,7318180000000.000000,4602566000000.000000,,1131437000000.000000,714243000000.000000,1845680000000.000000,,,365402000000.000000,365402000000.000000,160668000000.000000,83466000000.000000,,224836000000.000000,,,224836000000.000000,35562000000.000000,7318180000000.000000,4578033000000.000000,400167000000.000000,443300000000.000000,1871271000000.000000,996224000000.000000,,,867071000000.000000,4578033000000.000000,11896213000000.000000,,574439000000.000000,1756876000000.000000,3916485000000.000000,114888000000.000000,3801597000000.000000,3916485000000.000000,5735000000.000000,231366000000.000000,6484901000000.000000,18381114000000.000000,2872193366.000000
12M 2014,,,1617503000000.000000,,1863701000000.000000,1274161000000.000000,589540000000.000000,1863701000000.000000,136584000000.000000,,136584000000.000000,136584000000.000000,3804054000000.000000,2291084000000.000000,9712926000000.000000,,11300000000.000000,544000000.000000,1320892000000.000000,1243208000000.000000,77684000000.000000,1320892000000.000000,8946899000000.000000,22232000000.000000,22232000000.000000,,22232000000.000000,1278200000000.000000,11580067000000.000000,21292993000000.000000,,,8996931000000.000000,6431521000000.000000,,526215000000.000000,989462000000.000000,1515677000000.000000,,,247576000000.000000,247576000000.000000,331264000000.000000,112850000000.000000,,264179000000.000000,,,264179000000.000000,93864000000.000000,8996931000000.000000,4349920000000.000000,427844000000.000000,184783000000.000000,1659438000000.000000,997138000000.000000,,,1080717000000.000000,4349920000000.000000,13346851000000.000000,,574439000000.000000,1756876000000.000000,5376651000000.000000,114888000000.000000,5261763000000.000000,5376651000000.000000,5764000000.000000,232412000000.000000,7946142000000.000000,21292993000000.000000,2872193366.000000
12M 2015,,,1549281000000.000000,,2899662000000.000000,2425379000000.000000,474283000000.000000,2899662000000.000000,123850000000.000000,,123850000000.000000,123850000000.000000,3389788000000.000000,2717564000000.000000,10680145000000.000000,,70064000000.000000,999000000.000000,1256707000000.000000,1190146000000.000000,66561000000.000000,1256707000000.000000,10736651000000.000000,22232000000.000000,22232000000.000000,,22232000000.000000,1190217000000.000000,13276870000000.000000,23957015000000.000000,,,9897188000000.000000,7565380000000.000000,,602085000000.000000,815387000000.000000,1417472000000.000000,,,402317000000.000000,402317000000.000000,181357000000.000000,61739000000.000000,,147766000000.000000,,,147766000000.000000,121157000000.000000,9897188000000.000000,6437057000000.000000,457197000000.000000,1891684000000.000000,1284993000000.000000,998139000000.000000,,,1805044000000.000000,6437057000000.000000,16334245000000.000000,,574439000000.000000,1756876000000.000000,5016150000000.000000,114888000000.000000,4901262000000.000000,5016150000000.000000,6834000000.000000,268471000000.000000,7622770000000.000000,23957015000000.000000,2872193366.000000
12M 2016,,,350467000000.000000,,3048205000000.000000,2280771000000.000000,767434000000.000000,3048205000000.000000,155744000000.000000,,155744000000.000000,155744000000.000000,4387631000000.000000,3304539000000.000000,11246586000000.000000,,20847000000.000000,1365565000000.000000,1186805000000.000000,1145193000000.000000,41612000000.000000,1186805000000.000000,11165271000000.000000,22232000000.000000,22232000000.000000,,22232000000.000000,1134104000000.000000,14894824000000.000000,26141410000000.000000,,,8356807000000.000000,4230897000000.000000,,733391000000.000000,581980000000.000000,1315371000000.000000,,,1188597000000.000000,1188597000000.000000,268309000000.000000,24745000000.000000,,315614000000.000000,899453000000.000000,,1215067000000.000000,113821000000.000000,8356807000000.000000,7585168000000.000000,220205000000.000000,6316046000000.000000,418638000000.000000,99783000000.000000,,,530496000000.000000,7585168000000.000000,15941975000000.000000,,574439000000.000000,1756876000000.000000,7607091000000.000000,114888000000.000000,7492203000000.000000,7607091000000.000000,5372000000.000000,255702000000.000000,10199480000000.000000,26141455000000.000000,2872193366.000000
12M 2017,,,615915000000.000000,,3830731000000.000000,2636863000000.000000,1193868000000.000000,3830731000000.000000,142194000000.000000,,142194000000.000000,142194000000.000000,4501828000000.000000,2072825000000.000000,11163493000000.000000,,283900000000.000000,1323468000000.000000,1129494000000.000000,1089907000000.000000,39587000000.000000,1129494000000.000000,11512960000000.000000,22232000000.000000,22232000000.000000,,22232000000.000000,1688554000000.000000,15960608000000.000000,27124101000000.000000,,,8465263000000.000000,5037679000000.000000,,952663000000.000000,1056641000000.000000,2009304000000.000000,,,249447000000.000000,249447000000.000000,269075000000.000000,35011000000.000000,,577672000000.000000,,,577672000000.000000,287075000000.000000,8465263000000.000000,7358859000000.000000,12124000000.000000,6596420000000.000000,30965000000.000000,99864000000.000000,,,619486000000.000000,7358859000000.000000,15824122000000.000000,,574439000000.000000,1756876000000.000000,8699107000000.000000,114888000000.000000,8584219000000.000000,8699107000000.000000,6247000000.000000,263310000000.000000,11299979000000.000000,27124101000000.000000,2872193366.000000
