Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.06,1606.86,1.07,1583.99,"1,755 B","2,123 B","3,878 B","3,398 B","1,975 B"
12M 2009,1.53,1669.85,1.55,1649.41,"1,191 B","2,120 B","3,311 B","2,813 B","1,597 B"
12M 2010,2.46,2030.10,2.48,2013.56,"2,357 B","1,954 B","4,312 B","4,019 B","2,163 B"
12M 2011,2.51,2552.36,2.52,2536.08,"2,195 B","2,601 B","4,796 B","4,310 B","3,692 B"
12M 2012,2.11,3110.55,2.12,3094.53,"1,556 B","3,141 B","4,697 B","3,514 B","3,847 B"
12M 2013,3.48,2255.83,3.50,2240.08,"4,827 B","3,311 B","8,138 B","7,729 B",344 B
12M 2014,2.93,2764.57,2.95,2749.09,"6,696 B","2,841 B","9,537 B","7,920 B",716 B
12M 2015,1.58,2651.61,1.59,2636.13,"7,713 B","4,175 B","11,888 B","10,339 B",783 B
12M 2016,1.23,3549.24,1.23,3533.76,"5,446 B","6,834 B","12,280 B","11,930 B","2,890 B"
12M 2017,0.87,3932.09,0.87,3916.61,"5,615 B","6,727 B","12,343 B","11,727 B","2,698 B"
12M 2018,0.95,4262.31,0.95,4246.83,"5,699 B","8,084 B","13,783 B","13,134 B","4,150 B"
12M 2019,1.09,3804.12,1.09,3788.64,"7,882 B","5,291 B","13,173 B","12,204 B",802 B
12M 2020,0.95,4357.53,0.96,4342.05,"11,031 B","6,847 B","17,878 B","15,054 B","4,253 B"
12M 2021,0.87,5016.07,0.87,5000.59,"10,014 B","9,704 B","19,719 B","17,001 B","7,009 B"
12M 2022,0.74,6696.84,0.74,6681.36,"7,823 B","10,417 B","18,240 B","15,760 B","11,604 B"
12M 2023,0.60,6635.63,0.60,6620.15,"6,546 B","9,515 B","16,061 B","14,419 B","8,916 B"
12M 2024,0.53,6917.86,0.54,6798.79,"8,118 B","11,126 B","19,244 B","17,658 B","11,071 B"
