Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Direksi Dan Karyawan,Penerimaan (Pembayaran Kas) Untuk Aktivitas Operasi Lainnya,Penerimaan Bunga - Bersih,Pembayaran Pajak Penghasilan,Pembayaran Bunga,Pembayaran Ketetapan Pajak,Pengembalian Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Aset Tidak Berwujud,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Hasil Penjualan Properti Investasi,Penerimaan Kas Dari Penjualan Operasi Yang Dihentikan,Kelebihan Atas Jumlah Keseluruhan Kas Yang Diterima Dalam Penjualan Anak Perusahaan - Bersih,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pinjaman Pada Pihak Berelasi,Pelunasan Pinjaman Pihak Berelasi,Pembayaran Dividen Kas,Pelunasan Kewajiban Sewa,Pembayaran Kewajiban Lancar Lainnya Yang Berkaitan Dengan Pembelian Aset Tetap,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,103733500000.000000,630373070000.000000,-393194159000.000000,-86737923000.000000,-5203517000.000000,5626774000.000000,-47442545000.000000,,,311800000.000000,103733500000.000000,-12871702000.000000,-4569000.000000,-9972514000.000000,-3346726000.000000,586131000.000000,,,-134024000.000000,-12871702000.000000,-51975437000.000000,,,-51520000000.000000,,-455437000.000000,-51975437000.000000,38886361000.000000,95253820000.000000,134140181000.000000
12M 2009,81263477000.000000,666210928000.000000,-438643270000.000000,-94755270000.000000,630056000.000000,4555464000.000000,-56734431000.000000,,,,81263477000.000000,-16676462000.000000,-3994769000.000000,-14202786000.000000,-874920000.000000,2396013000.000000,,,,-16676462000.000000,-119390912000.000000,,,-119390912000.000000,,,-119390912000.000000,-54803897000.000000,134140181000.000000,79336284000.000000
12M 2010,159583168000.000000,879423401000.000000,-549699896000.000000,-115586672000.000000,-389579000.000000,2787027000.000000,-56951113000.000000,,,,159583168000.000000,-21294895000.000000,-6231086000.000000,-16531428000.000000,-159223000.000000,1626842000.000000,,,,-21294895000.000000,-109725898000.000000,,,-109725898000.000000,,,-109725898000.000000,28562375000.000000,79336284000.000000,107898659000.000000
12M 2011,156230625000.000000,902911659000.000000,-567886545000.000000,-131531691000.000000,-3863116000.000000,4382191000.000000,-47781873000.000000,,,,156230625000.000000,89412810000.000000,-274511000.000000,-4126476000.000000,,15221797000.000000,78592000000.000000,,,89412810000.000000,-99810638000.000000,,,-99810638000.000000,,,-99810638000.000000,145832797000.000000,107898659000.000000,253731456000.000000
12M 2012,88404562000.000000,966196447000.000000,-678826850000.000000,-145001288000.000000,-3400242000.000000,4810439000.000000,-58490461000.000000,,,3116517000.000000,88404562000.000000,-12884451000.000000,-388316000.000000,-12998787000.000000,-1181044000.000000,1683696000.000000,,,,-12884451000.000000,-185699699000.000000,,,-185699699000.000000,,,-185699699000.000000,-110179588000.000000,253731456000.000000,143551868000.000000
12M 2013,133099062000.000000,1124821630000.000000,-785529086000.000000,-153154262000.000000,-477251000.000000,4603531000.000000,-57165500000.000000,,,,133099062000.000000,-13067643000.000000,-258043000.000000,-9539766000.000000,-5821295000.000000,2551461000.000000,,,,-13067643000.000000,-79356638000.000000,,,-79356638000.000000,,,-79356638000.000000,40674781000.000000,143551868000.000000,184226649000.000000
12M 2014,232826497000.000000,1173845717000.000000,-722211509000.000000,-162063623000.000000,155198000.000000,5965017000.000000,-71967228000.000000,,,9102925000.000000,232826497000.000000,-19888538000.000000,,-23351913000.000000,-60003000.000000,3523378000.000000,,,,-19888538000.000000,-139752919000.000000,,,-139752919000.000000,,,-139752919000.000000,73185040000.000000,184226649000.000000,257411689000.000000
12M 2015,160700345000.000000,966340226000.000000,-601438992000.000000,-149565486000.000000,-11624542000.000000,7641324000.000000,-56132947000.000000,,,5480762000.000000,160700345000.000000,-57519883000.000000,,-42463177000.000000,-16688580000.000000,1631874000.000000,,,,-57519883000.000000,-219760581000.000000,,,-219760581000.000000,,,-219760581000.000000,-116580119000.000000,257411689000.000000,140831570000.000000
12M 2016,43799001000.000000,1044839689000.000000,-732758712000.000000,-149797190000.000000,6877483000.000000,1788762000.000000,-68360716000.000000,,-58790315000.000000,,43799001000.000000,-25483873000.000000,,-11686925000.000000,-13801064000.000000,4116000.000000,,,,-25483873000.000000,-44710694000.000000,,,-44710694000.000000,,,-44710694000.000000,-26395566000.000000,140831570000.000000,114436004000.000000
12M 2017,129919801000.000000,1094599844000.000000,-747965703000.000000,-156675725000.000000,5873449000.000000,-2637750000.000000,-63274314000.000000,,,,129919801000.000000,-62403674000.000000,-893903000.000000,-58656148000.000000,-5988378000.000000,3134755000.000000,,,,-62403674000.000000,-122486874000.000000,30000000000.000000,-30000000000.000000,-122486874000.000000,,,-122486874000.000000,-54970747000.000000,114436004000.000000,59465257000.000000
12M 2018,168964859000.000000,1215793953000.000000,-835755172000.000000,-140171285000.000000,-4568129000.000000,2163124000.000000,-68497632000.000000,,,,168964859000.000000,1436107653000.000000,-529727000.000000,-22191651000.000000,-1140779000.000000,,,1459969810000.000000,,1436107653000.000000,-1261349107000.000000,,,-1261349107000.000000,,,-1261349107000.000000,343723405000.000000,59465257000.000000,403188662000.000000
